Circonscriptions,Population_totale_1931,Canadiens_francais_1931,Population_totale_1941,Canadiens_francais_1941,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Autres_liberal,Autres_union_nationale,Autres_independants,Autres_independant_ministeriel,Autres_conservateur,Autres_commonwealth_cooperative_federation,Autres_communiste,Autres_candidat_du_peuple,Autres_ouvrier
Soulanges,9099,8590,9328,8861,2648,2345,28,2317,303,865,1022,430,,,,,,,,
Stanstead,25118,16622,27972,19543,7027,5484,39,5445,1543,2465,2980,,,,,,,,,
Témiscamingue,20609,14923,40471,31889,9432,6457,124,6333,2975,2133,4200,,,,,,,,,
Témiscouata,17329,17019,23182,22892,4789,4414,63,4351,375,1968,2383,,,,,,,,,
Terrebonne,38611,35772,46864,43233,10740,9061,83,8978,1679,3620,5279,,,,,,,,,79
Trois-Rivières,36649,34334,43888,40886,9855,8192,72,8120,1663,2492,5628,,,,,,,,,
Vaudreuil,12015,10422,13170,11353,3576,3013,11,3002,563,749,1277,976,,,,,,,,
Verchères,12603,12050,14214,13489,3613,3187,10,3177,426,1843,1334,,,,,,,,,
Verdun,60745,23277,67349,28242,22880,13635,293,13342,9245,495,7502,3876,,,,,1469,,,
Westmount,126865,34036,159305,43786,32490,15695,163,15532,16795,5758,8970,,,,,804,,,,
Wolfe,16911,16096,17492,16765,4509,4049,3,4046,460,1870,2176,,,,,,,,,
Yamaska,16820,16521,16516,16078,4553,4001,67,3934,552,1737,2197,,,,,,,,,
