Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Ralliement_national,Rassemblement_pour_l_independance_nationale,Autres_independants_01,Autres_independants_02,Autres_conservateur,Autres_parti_socialiste_du_quebec,Autres_parti_communiste_du_quebec,Autres_droit_vital_personnel,Autres_parti_du_developpement_economique
Rimouski,386,64687,222,455,63735,75,30872,24345,393,23952,6527,11938,11510,,504,,,,,,,
Rivière-du-Loup,181,39994,64,220,39210,60,22816,18982,411,18571,3834,8880,9691,,,,,,,,,
Robert-Baldwin,44594,19663,3675,87560,34315,9660,50854,37276,694,36582,13578,11754,2991,144,900,19506,,1287,,,,
Roberval,429,60287,594,335,56300,435,29899,24792,390,24402,5107,10253,11799,2077,,273,,,,,,
Rouville,3504,22166,309,3915,27415,430,16399,13394,346,13048,3005,6075,6080,206,687,,,,,,,
Rouyn-Noranda,4988,34301,2675,3535,32700,1280,21268,17249,202,17047,4019,5533,6583,4237,694,,,,,,,
Saguenay,5318,45031,3183,1790,58720,3960,36600,23546,423,23123,13054,10737,9505,2444,,437,,,,,,
Saint-Henri,8191,60203,7767,5550,50895,7405,40702,25743,609,25134,14959,8849,10410,371,3034,2470,,,,,,
Saint-Hyacinthe,338,44377,278,450,49720,325,30330,23955,445,23510,6375,10968,10998,,1544,,,,,,,
Saint-Jacques,1953,51211,4499,2390,36180,3760,35035,20207,458,19749,14828,7663,9869,383,1834,,,,,,,
Saint-Jean,3950,33517,1003,3415,41555,925,23624,19248,361,18887,4376,6640,9226,174,780,2067,,,,,,
Saint-Laurent,27715,30415,6120,32390,48945,13425,49240,32387,973,31414,16853,21558,6705,,3151,,,,,,,
Saint-Louis,10492,38334,37632,9255,23545,34010,28694,15910,580,15330,12784,8960,4044,453,1646,,,,,227,,
Saint-Maurice,1769,62993,223,990,54775,150,36874,30175,373,29802,6699,12413,14133,,3256,,,,,,,
Saint-Sauveur,411,48634,164,990,56875,215,34950,25594,502,25092,9356,8984,14485,893,730,,,,,,,
Sainte-Anne,21357,37801,8086,15705,24250,4115,32882,17598,507,17091,15284,4971,4328,208,747,6609,228,,,,,
Sainte-Marie,2032,69368,2480,1535,52785,1540,38364,21939,685,21254,16425,7635,11285,404,1930,,,,,,,
Shefford,4935,49475,553,4605,57235,520,34139,27384,287,27097,6755,10377,14549,1110,1061,,,,,,,
Sherbrooke,11344,68170,976,11130,89165,1175,54064,40323,581,39742,13741,17281,19915,1051,1495,,,,,,,
Stanstead,8318,27547,230,7935,28120,210,21728,16839,359,16480,4889,8215,7638,627,,,,,,,,
Taillon,10989,52990,2192,12780,92480,3890,38455,23039,696,22343,15416,8627,8417,685,4097,517,,,,,,
Témiscamingue,1452,16647,225,1480,15485,180,10807,9052,74,8978,1755,4413,2196,2369,,,,,,,,
Témiscouata,110,28945,24,105,23075,10,13189,11082,204,10878,2107,4784,5653,441,,,,,,,,
Terrebonne,8143,91775,2357,11285,125560,3100,69301,53164,1101,52063,16137,22315,24840,681,4227,,,,,,,
Trois-Rivières,2212,54979,380,2090,61490,340,38408,31832,461,31371,6576,14317,15362,,1692,,,,,,,
Vaudreuil-Soulanges,7172,30812,772,10095,36915,1035,25878,21193,280,20913,4685,11120,8490,96,494,713,,,,,,
Verchères,6248,35522,792,11785,57070,1400,28342,21386,486,20900,6956,11648,7695,209,1348,,,,,,,
Verdun,30818,44669,2830,26250,46195,2275,47250,29553,605,28948,17697,19181,8263,306,1198,,,,,,,
Westmount,43894,17342,13596,45475,20785,12955,47437,26178,528,25650,21259,20061,2236,110,1141,1385,,717,,,,
Wolfe,411,17890,34,395,15780,25,9233,8223,123,8100,1010,2661,5189,250,,,,,,,,
Yamaska,56,15939,63,65,15130,10,9079,7980,71,7909,1099,3816,4093,,,,,,,,,
