Circonscriptions,Anglophones_1971,Francophones_1971,Allophones_1971,Anglophones_1981,Francophones_1981,Allophones_1981,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Credit_social,Nouveau_parti_democratique,Autres_liberal,Autres_credit_social_01,Autres_credit_social_02,Autres_independants_01,Autres_independants_02,Autres_parti_marxiste-leniniste,Autres_parti_rhinoceros,Autres_parti_communiste_canadien,Autres_rhinoceros
Saint-Maurice,1455,69460,230,1245,70525,285,47117,33009,1648,31361,14108,20465,3501,5471,1442,,,,,,,482,,
Saint-Michel,8940,85805,43465,11845,86930,51050,81246,49012,3440,45572,32234,29822,6816,4348,3833,,,,,,476,,277,
Sainte-Marie,1690,59220,1630,2085,40770,2270,34418,20595,1714,18881,13823,8300,7902,1229,1154,,,,,,296,,,
Shefford,5075,72770,575,4865,84815,795,51856,38397,1126,37271,13459,14663,6193,15512,903,,,,,,,,,
Sherbrooke,10785,85610,1165,9285,88790,1590,66005,44944,2550,42394,21061,23903,4716,10864,2238,,,,336,,337,,,
Témiscamingue,5015,48185,1460,3790,47985,795,32226,22911,964,21947,9315,6396,641,14026,884,,,,,,,,,
Terrebonne,10110,104675,2650,10045,183505,4670,83020,55124,4088,51036,27896,28652,9897,8138,3812,,,,,,272,,265,
Trois-Rivières,2700,92245,440,2285,93195,715,64050,42278,2497,39781,21772,24335,5949,7538,1738,,,,,,221,,,
Vaudreuil,50630,56240,5275,53970,80785,9695,71417,51630,1569,50061,19787,29685,12422,2752,4397,,,,,,,805,,
Verdun,26250,46195,2275,18185,40690,2415,47567,31286,1526,29760,16281,17633,7922,1774,2232,,,,,,199,,,
Villeneuve,3730,58725,2790,2505,55260,2865,38259,24695,1127,23568,13564,8905,3006,10452,1205,,,,,,,,,
Westmount,47720,23870,11630,38275,23125,11745,51592,37127,994,36133,14465,20816,11575,412,3140,,,,,,190,,,
