Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Credit_social,Nouveau_parti_democratique,Autres_liberal,Autres_conservateur,Autres_creditiste,Autres_independants,Autres_ouvrier,Autres_nationaliste,Autres_lib._des_electeurs,Autres_independantiste,Autres_communiste
Mont-Royal,64184,29008,36573,66560,34105,48225,74982,54180,666,53514,20802,37648,5693,1318,8855,,,,,,,,,
Nicolet-Yamaska,171,44863,158,185,43985,165,23968,19767,152,19615,4201,8124,9438,1825,228,,,,,,,,,
Notre-Dame-de-Grâce,64832,20836,18152,60165,22475,19785,61237,47731,392,47339,13506,30532,8734,932,7141,,,,,,,,,
Outremont-Saint-Jean,11693,31365,18183,8865,30740,17715,33945,23856,362,23494,10089,13305,4684,1278,4227,,,,,,,,,
Papineau,4698,68209,16982,4090,64700,17415,48526,30605,668,29937,17921,15677,4353,4959,3388,,,,,1064,,496,,
Pontiac-Témiscamingue,12224,24972,846,12230,22750,625,20000,17029,442,16587,2971,6448,6449,3339,351,,,,,,,,,
Portneuf,1858,49332,241,2370,49505,205,25385,20564,240,20324,4821,6776,459,11473,,,1616,,,,,,,
Québec-Est,2563,91142,635,2505,89300,565,54163,44873,653,44220,9290,16976,6593,18661,1450,,,,,,540,,,
Québec-Ouest,1929,50272,800,1760,47675,635,33006,27539,442,27097,5467,9580,3160,13136,848,,,373,,,,,,
Québec-Sud,4022,53834,499,2965,47515,420,36316,30178,548,29630,6138,16314,5533,5454,2329,,,,,,,,,
Richelieu-Verchères,1834,58428,570,2735,80295,780,34040,26887,346,26541,7153,14194,1795,9616,936,,,,,,,,,
Richmond-Wolfe,6600,53825,305,5900,51030,215,28473,22195,130,22065,6278,8762,4063,8312,928,,,,,,,,,
Rimouski,426,73477,242,490,72610,80,35921,29394,217,29177,6527,12274,3192,12414,1297,,,,,,,,,
Rivière-du-Loup-Témiscouata,251,60575,68,290,53410,65,26916,22710,189,22521,4206,10753,1246,10278,244,,,,,,,,,
Roberval,412,56165,593,330,53175,420,24570,20107,162,19945,4463,6908,1667,10345,1025,,,,,,,,,
Saguenay,8646,64238,8524,9370,90310,11060,46781,32853,420,32433,13928,13896,3240,13261,2036,,,,,,,,,
Saint-Antoine-Westmount,27544,23809,5247,28970,19515,4950,38175,27731,308,27423,10444,16635,7223,1338,2227,,,,,,,,,
Saint-Denis,2523,54205,6757,2265,47240,6130,36516,23341,389,22952,13175,11707,4035,4573,2637,,,,,,,,,
Saint-Henri,7812,57647,7712,5350,48060,7355,39202,27604,442,27162,11598,13981,2800,8003,2378,,,,,,,,,
Saint-Hyacinthe-Bagot,408,63186,348,545,70190,370,35276,26674,296,26378,8602,8540,13716,4122,,,,,,,,,,
Saint-Jacques,1892,46383,6124,2095,30035,4595,33045,20592,428,20164,12453,7841,5831,4386,2106,,,,,,,,,
Saint-Jean-Iberville-Napierville,4011,60159,1294,3555,70865,1340,33514,28118,321,27797,5396,14656,4461,7081,1599,,,,,,,,,
Saint-Laurent-Saint-George,14286,11866,8825,13255,8815,7150,22294,14880,218,14662,7414,8552,3796,708,1606,,,,,,,,,
Saint-Maurice-Laflèche,3557,84116,596,1945,78315,370,43828,36168,395,35773,7660,16358,3018,14414,1983,,,,,,,,,
Sainte-Anne,10658,23041,3553,8490,15865,1645,19601,12989,228,12761,6612,7215,1963,2830,753,,,,,,,,,
Sainte-Marie,1429,52231,2169,1130,37965,1190,32253,20491,308,20183,11762,6043,8549,4271,1320,,,,,,,,,
Shefford,5167,62207,588,4810,70835,560,35104,26815,416,26399,8289,9713,4991,9989,1706,,,,,,,,,
Sherbrooke,8344,63304,897,6425,80275,995,41514,32067,345,31722,9447,12103,3390,12708,1052,,,,2469,,,,,
Stanstead,11318,32413,309,12640,37010,390,23844,18899,142,18757,4945,7649,6394,4714,,,,,,,,,,
Terrebonne,8146,92146,2357,11290,125880,3105,55872,41716,390,41326,14156,19015,4798,13618,3895,,,,,,,,,
Trois-Rivières,2322,66109,423,2170,70905,365,39790,32845,268,32577,6945,13077,14558,4224,718,,,,,,,,,
Vaudreuil-Soulanges,7172,30812,772,10095,36915,1035,21061,17532,168,17364,3529,8639,6031,2340,,,,,,,,,354,
Verdun,30818,44669,2830,26250,46195,2275,46396,35223,470,34753,11173,19473,7488,4412,3380,,,,,,,,,
Villeneuve,3395,69839,4594,6300,70380,2570,36305,30115,235,29880,6190,7270,2235,18096,2279,,,,,,,,,
