Circonscriptions,Anglophones_1996,Francophones_1996,Allophones_1996,Anglophones_2001,Francophones_2001,Allophones_2001,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Bloc_quebecois,Nouveau_parti_democratique,Autres_independants_01,Autres_independants_02,Autres_parti_de_la_loi_naturelle,Autres_parti_reformiste,Autres_parti_marxiste-leniniste,Autres_parti_vert,Autres_christian_heritage_party,Autres_action_canadienne
Richelieu,553,84652,725,607,81608,705,66566,50635,2418,48217,15931,13941,6827,26421,1028,,,,,,,,
Richmond-Arthabaska,3503,92662,635,3086,93419,785,72969,54019,1759,52260,18950,10613,21687,19319,641,,,,,,,,
Rimouski-Mitis,536,70724,200,411,69104,180,55665,37985,1211,36774,17680,11112,7901,17282,479,,,,,,,,
Roberval,431,70674,635,395,67425,1065,51844,32135,1028,31107,19709,8176,6312,16207,412,,,,,,,,
Rosemont,3393,76302,21250,3116,79699,19155,73549,52113,2543,49570,21436,15952,7727,23313,1637,494,,,,447,,,
Saint-Bruno-Saint-Hubert,9445,83910,6810,8321,84289,6145,71590,54844,2195,52649,16746,17279,10579,23759,1032,,,,,,,,
Saint-Eustache-Sainte-Thérèse,7297,100363,4330,6778,104387,5020,79701,58276,2720,55556,21425,16280,12522,25807,947,,,,,,,,
Saint-Hyacinthe-Bagot,882,90713,945,687,90123,1050,69072,51347,2139,49208,17725,10970,16313,21116,809,,,,,,,,
Saint-Jean,2823,87092,1325,2770,89585,1700,66529,51255,2535,48720,15274,13239,11938,22441,755,,,,,347,,,
Saint-Lambert,12156,66679,8345,10883,66007,8085,64869,49161,1958,47203,15708,19436,8084,18458,921,,,,,,,,304
Saint-Laurent-Cartierville,15922,34313,45335,15368,34202,49780,65105,50107,781,49326,14998,34598,6861,6276,910,,,,681,,,,
Saint-Léonard-Saint-Michel,6794,42231,53965,6114,39656,56365,69434,53209,1476,51733,16225,36088,5990,8457,1198,,,,,,,,
Saint-Maurice,767,76668,315,642,74193,360,61134,49089,2013,47076,12045,22266,3657,20664,489,,,,,,,,
Shefford,3179,87941,830,2956,89299,895,67413,50819,2316,48503,16594,12699,17897,17376,531,,,,,,,,
Sherbrooke,5510,85830,3280,4662,85408,3615,75725,55628,1489,54139,20097,4720,32228,16086,628,,,477,,,,,
Témiscamingue,3976,79239,620,3113,75372,645,61340,41276,1537,39739,20064,12678,7879,18528,654,,,,,,,,
Terrebonne-Blainville,4928,103107,3480,4945,112300,4075,78338,58720,2994,55726,19618,14687,11883,28066,1090,,,,,,,,
Trois-Rivières,1310,88755,1070,1024,86991,1095,71264,52495,2403,50092,18769,15692,12102,21267,528,,,503,,,,,
Vaudreuil-Soulanges,19542,71543,3545,19875,77625,3785,68134,54265,1654,52611,13869,23676,9760,17574,538,,,490,573,,,,
Verchères,1912,98618,1610,1860,103120,1715,75079,58304,2337,55967,16775,12715,12428,30074,750,,,,,,,,
Verdun-Saint-Henri,18660,61810,9580,16617,60988,12645,65447,47457,1803,45654,17990,21424,6838,15153,1156,,,498,380,205,,,
Westmount-Ville-Marie,35299,28561,28905,33768,27482,30720,64289,45444,569,44875,18845,26972,7802,5078,2566,1328,,212,,166,751,,
