cod_mrc,an_profil,an_donnee,PRC0320,PRC0120,PRC3220,PRC3120,PRC3020,PRC2420,PRC2520,PRC2620,PRC0220,PRC2120,PRC2720,PRC2820,PRC2920,nom_mrc
AR640,2015,2014,0.0157,0.036,3678,4286,9823,1.8594,0.1609,0.2471,0.2544,0.7065,0.7859,0.0249,0.0208,Les Moulins
AR651,2015,2014,0.0163,0.0142,4768,5422,4743,2.5628,0.202,0.2278,0.2346,0.6046,0.7624,0.0226,0.0691,Hors MRC - Laval
AR661,2015,2014,0.022,0.0207,7883,12552,11832,1.6396,0.0967,0.1816,0.202,0.5699,0.5639,0.0455,0.0641,Hors MRC - Montréal
AR670,2015,2014,0.015,0.02,3405,4142,5529,2.3613,0.2406,0.1829,0.1906,0.6515,0.7298,0.0196,0.0458,Roussillon
AR680,2015,2014,0.0098,0.0125,2159,2398,3073,2.9776,0.4313,0.0782,0.0949,0.7282,0.7969,0.0143,0.0566,Les Jardins-de-Napierville
AR690,2015,2014,0.0098,0.0108,1250,1481,1619,2.478,0.3933,0.2066,0.22,0.7525,0.7664,0.0038,0.1322,Le Haut-Saint-Laurent
AR700,2015,2014,0.0193,0.0385,3235,4147,8268,1.9423,0.1777,0.172,0.1882,0.6438,0.6851,0.0299,0.0365,Beauharnois-Salaberry
AR710,2015,2014,0.0118,0.0191,2821,3213,5190,2.5358,0.2842,0.1489,0.1606,0.6511,0.8132,0.0188,0.0335,Vaudreuil-Soulanges
AR720,2015,2014,0.0157,0.0198,3081,4031,5067,2.0558,0.0435,0.1947,0.1991,0.5674,0.7017,0.0183,0.0549,Deux-Montagnes
AR730,2015,2014,0.0156,0.0278,3961,5233,9293,1.9189,0.1267,0.1905,0.202,0.6426,0.691,0.0252,0.0594,Thérèse-De Blainville
AR740,2015,2014,0.0127,0.0193,2751,3539,5370,2.8866,0.1931,0.1487,0.1777,0.6868,0.6491,0.0313,0.0352,Mirabel
AR750,2015,2014,0.016,0.0241,2553,3162,4779,2.0027,0.1996,0.2173,0.2204,0.6673,0.762,0.0368,0.0454,La Rivière-du-Nord
AR760,2015,2014,0.0142,0.0151,1343,1672,1774,2.7018,0.2328,0.1925,0.1905,0.616,0.7673,0.0265,0.0573,Argenteuil
AR770,2015,2014,0.0111,0.0113,1643,1889,1932,2.3902,0.085,0.1829,0.1811,0.5848,0.8183,0.0071,0.0428,Les Pays-d'en-Haut
AR780,2015,2014,0.0112,0.0111,1722,1997,1985,2.7438,0.2357,0.1322,0.1445,0.6552,0.7841,0.0184,0.0589,Les Laurentides
AR790,2015,2014,0.0153,0.0131,1418,1892,1610,2.8794,0.2145,0.1291,0.1383,0.6118,0.6718,0.0655,0.0981,Antoine-Labelle
AR800,2015,2014,0.0137,0.0089,1450,1839,1194,3.7825,0.2367,0.1032,0.1127,0.6043,0.7514,0.0216,0.116,Papineau
AR811,2015,2014,0.0194,0.0191,4175,6223,6126,2.281,0.2302,0.1803,0.1941,0.6415,0.6214,0.1046,0.09,Hors MRC - Gatineau
AR820,2015,2014,0.01,0.0075,1639,1908,1444,2.5763,0.1923,0.1016,0.1094,0.7252,0.7656,0.0254,0.0779,Les Collines-de-l'Outaouais
AR830,2015,2014,0.0161,0.0109,1210,1630,1100,3.8572,0.1721,0.104,0.112,0.6292,0.6984,0.0293,0.1739,La Vallée-de-la-Gatineau
AR840,2015,2014,0.0129,0.0034,918,1399,363,4.8244,0.3368,0.0582,0.061,0.5334,0.635,0.0436,0.2281,Pontiac
AR850,2015,2014,0.0275,0.013,1332,2105,996,4.7773,0.2878,0.1305,0.1409,0.6054,0.5674,0.0412,0.1998,Témiscamingue
AR861,2015,2014,0.0192,0.0194,2431,3464,3501,2.5093,0.1242,0.155,0.1565,0.6446,0.646,0.0568,0.0841,Hors MRC - Rouyn-Noranda
AR870,2015,2014,0.0297,0.0159,1405,2483,1329,4.1428,0.2929,0.095,0.1015,0.54,0.5211,0.0386,0.2256,Abitibi-Ouest
AR880,2015,2014,0.0286,0.0153,2044,3635,1950,3.3685,0.1203,0.1016,0.1083,0.4957,0.5132,0.0387,0.1016,Abitibi
AR890,2015,2014,0.0196,0.0247,2464,2989,3770,2.5923,0.061,0.1876,0.1888,0.5757,0.7284,0.0486,0.0889,La Vallée-de-l'Or
AR901,2015,2014,0.0353,0.0402,1569,2543,2891,1.9938,0.1003,0.1393,0.1408,0.5045,0.6026,0.061,0.1862,Hors MRC - La Tuque
AR910,2015,2014,0.023,0.0273,2173,2770,3277,3.9771,0.2612,0.1182,0.1278,0.5675,0.7376,0.0575,0.0695,Le Domaine-du-Roy
AR920,2015,2014,0.0245,0.0263,2044,2823,3032,3.5726,0.1164,0.177,0.1745,0.5631,0.6842,0.057,0.11,Maria-Chapdelaine
AR930,2015,2014,0.0214,0.0192,2534,3719,3342,2.9009,0.0626,0.1327,0.1409,0.6801,0.6328,0.0555,0.0502,Lac-Saint-Jean-Est
AR941,2015,2014,0.0237,0.0261,3714,5742,6314,2.162,0.02,0.2869,0.2546,0.6466,0.6358,0.0696,0.0484,Hors MRC - Saguenay
AR942,2015,2014,0.0152,0.02,1374,2027,2668,2.3834,0.0672,0.2035,0.2175,0.6085,0.6128,0.1157,0.1238,Le Fjord-du-Saguenay
AR950,2015,2014,0.0331,0.0358,1810,2598,2818,2.6279,0.1533,0.1508,0.2772,0.6728,0.3175,0.0287,0.1132,La Haute-Côte-Nord
AR960,2015,2014,0.0323,0.0386,4339,6187,7392,1.7785,0.1397,0.2242,0.2281,0.6531,0.6096,0.0465,0.0458,Manicouagan
AR971,2015,2014,0.0213,0.0282,4658,5483,7243,2.4011,0.214,0.1603,0.1674,0.5352,0.7552,0.0619,0.0584,Sept-Rivières
AR972,2015,2014,0.0219,0.019,16460,8771,7609,2.6738,0.6768,0.0608,0.1186,0.4807,0.8762,0.0121,0.0424,Caniapiscau
AR981,2015,2014,0.0343,0.0454,1709,3953,5228,3.3125,0.3597,0.1728,0.1711,0.6791,0.4077,0.096,0.1663,Minganie
AR982,2015,2014,0.0443,0.0632,1147,2572,3670,3.0772,0.458,0.362,0.3589,0.6793,0.3081,0.1566,0.376,Le Golfe-du-Saint-Laurent
AR991,2015,2014,0.0509,0.0151,3395,7347,2185,4.3749,0.6444,0.1191,0.096,0.4757,0.4877,0.0636,0.2127,Hors MRC - Nord du Québec
