cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,RAT0200,RAT0201,PRC3300,PRC3302,PRC3301,PRC3400,PRC3402,PRC3401,IND0102,IND0200,IND0400,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population 
45008,2015,2015,212164072.31,0,188366497,0,143213465,0,34273960,0,5735144,0,5143928,0,0.7603,0,0.182,0,0.0304,0,0.0273,0,141652,100881,156348,0,1.2119,0,1717,0,0,1223,0,0,85,118,109,Stanstead,2 000 @ 9 999,V,AR450,Memphremagog,05,Estrie,2831
45020,2015,2015,214342000,0,214342000,0,177121300,0,3301900,0,18442200,0,15476600,0,0.8263,0,0.0154,0,0.086,0,0.0722,0,270234,250543,259494,0,0.4663,0,1261,0,0,1170,0,0,216,43,41,Ogden,1 @ 1 999,M,AR450,Memphremagog,05,Estrie,772
45025,2015,2015,568506735.9,0,567959600,0,458460100,0,4805200,0,53313200,0,51381100,0,0.8072,0,0.0085,0,0.0939,0,0.0905,0,360293,361163,368204,0,0.411,0,1481,0,0,1484,0,0,306,38,37,Stanstead,1 @ 1 999,CT,AR450,Memphremagog,05,Estrie,992
45030,2015,2015,685769059.56,0,683007952,0,556137184,0,24184484,0,39567981,0,63118303,0,0.8142,0,0.0354,0,0.0579,0,0.0924,0,266307,240346,222219,0,0.5678,0,1530,0,0,1381,0,0,185,52,47,Potton,1 @ 1 999,CT,AR450,Memphremagog,05,Estrie,1831
45035,2015,2015,182923743.32,0,175730148,0,146020050,0,18543789,0,1289475,0,9876834,0,0.8309,0,0.1055,0,0.0073,0,0.0562,0,230434,202082,234217,0,0.6886,0,1609,0,0,1411,0,0,195,64,63,Ayer's Cliff,1 @ 1 999,VL,AR450,Memphremagog,05,Estrie,1111
45043,2015,2015,224640848.85,0,224632762,0,165105918,0,2571560,0,44588582,0,12366702,0,0.735,0,0.0114,0,0.1985,0,0.0551,0,324084,300531,282567,0,0.5627,0,1824,0,0,1691,0,0,235,52,46,Hatley,1 @ 1 999,M,AR450,Memphremagog,05,Estrie,762
45050,2015,2015,182805672.8,0,181328900,0,151173300,0,14135300,0,4946300,0,11074000,0,0.8337,0,0.078,0,0.0273,0,0.0611,0,349730,279657,329974,0,1.4003,0,4897,0,0,3916,0,0,275,129,100,North Hatley,1 @ 1 999,VL,AR450,Memphremagog,05,Estrie,685
45055,2015,2015,399299964,0,398141912,0,325539462,0,8776132,0,35348198,0,28478120,0,0.8176,0,0.022,0,0.0888,0,0.0715,0,364280,339219,273119,0,0.6303,0,2337,0,0,2176,0,0,149,61,76,Hatley,2 000 @ 9 999,CT,AR450,Memphremagog,05,Estrie,2100
45060,2015,2015,465604288.6,0,464600600,0,387010000,0,12404800,0,33444200,0,31741600,0,0.833,0,0.0267,0,0.072,0,0.0683,0,290549,274415,234207,0,0.5186,0,1507,0,0,1423,0,0,128,51,49,Sainte-Catherine-de-Hatley,2 000 @ 9 999,M,AR450,Memphremagog,05,Estrie,2523
45072,2015,2015,3693819282.6,0,3581072094,0,3008563338,0,395488014,0,32256648,0,144764094,0,0.8401,0,0.1104,0,0.009,0,0.0404,0,252442,183787,260863,0,0.9567,0,2442,0,0,1778,0,0,88,91,119,Magog,25 000 @ 99 999,V,AR450,Memphremagog,05,Estrie,26560
45080,2015,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint-Benoit-du-Lac,1 @ 1 999,M,AR450,Memphremagog,05,Estrie,50
45085,2015,2015,634558175.5,0,630061400,0,547938800,0,6780800,0,17697600,0,57644200,0,0.8697,0,0.0108,0,0.0281,0,0.0915,0,366415,351167,232865,0,0.5239,0,1928,0,0,1848,0,0,194,48,41,Austin,1 @ 1 999,M,AR450,Memphremagog,05,Estrie,1513
45093,2015,2015,491513933.73,0,489241047,0,395056437,0,27452853,0,5242419,0,61489338,0,0.8075,0,0.0561,0,0.0107,0,0.1257,0,276837,247539,171379,0,0.6835,0,1892,0,0,1692,0,0,143,63,52,Eastman,1 @ 1 999,M,AR450,Memphremagog,05,Estrie,1822
45095,2015,2015,254147389.5,0,253809100,0,206158200,0,5911600,0,4780500,0,36958800,0,0.8123,0,0.0233,0,0.0188,0,0.1456,0,252371,242469,150650,0,0.7161,0,1807,0,0,1736,0,0,125,66,53,Bolton-Est,1 @ 1 999,M,AR450,Memphremagog,05,Estrie,938
45100,2015,2015,158366432,0,158366432,0,129943968,0,4452224,0,3920896,0,20049344,0,0.8205,0,0.0281,0,0.0248,0,0.1266,0,285038,241473,189660,0,0.4962,0,1436,0,0,1217,0,0,158,46,45,Saint-Etienne-de-Bolton,1 @ 1 999,M,AR450,Memphremagog,05,Estrie,573
45105,2015,2015,129167100,0,128805800,0,100790200,0,8035400,0,11268600,0,8711600,0,0.7825,0,0.0624,0,0.0875,0,0.0676,0,201248,184832,139791,0,0.9449,0,1923,0,0,1766,0,0,116,87,77,Stukely-Sud,1 @ 1 999,VL,AR450,Memphremagog,05,Estrie,1027
45115,2015,2015,861938480,0,851281184,0,704648048,0,67826512,0,11622832,0,67183792,0,0.8278,0,0.0797,0,0.0137,0,0.0789,0,270887,261311,205077,0,0.8379,0,2313,0,0,2231,0,0,112,82,76,Orford,2 000 @ 9 999,CT,AR450,Memphremagog,05,Estrie,3949
46005,2015,2015,76850800,0,76623600,0,59567700,0,921600,0,13804700,0,2329600,0,0.7774,0,0.012,0,0.1802,0,0.0304,0,297521,287671,269652,0,0.7838,0,2332,0,0,2255,0,0,224,72,65,Abercorn,1 @ 1 999,VL,AR460,Brome-Missisquoi,16,Monteregie,396
46010,2015,2015,219233232.2,0,217022300,0,143166500,0,9791100,0,55004800,0,9059900,0,0.6597,0,0.0451,0,0.2535,0,0.0417,0,287644,256960,260682,0,0.75,0,2157,0,0,1927,0,0,217,69,56,Frelighsburg,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,1084
46017,2015,2015,221700149.11,0,215262244,0,123394304,0,22566640,0,61822084,0,7479216,0,0.5732,0,0.1048,0,0.2872,0,0.0347,0,220074,206309,235851,0,0.6312,0,1389,0,0,1302,0,0,196,58,46,Saint-Armand,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,1250
46025,2015,2015,85537870,0,84972910,0,33374440,0,7216770,0,43657570,0,724130,0,0.3928,0,0.0849,0,0.5138,0,0.0085,0,183798,163829,209139,0,0.7301,0,1344,0,0,1198,0,0,174,67,64,Pike River,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,511
46030,2015,2015,46900810,0,46900810,0,16129080,0,9633250,0,20906710,0,231770,0,0.3439,0,0.2054,0,0.4458,0,0.0049,0,168006,160000,271103,0,0.7992,0,1350,0,0,1286,0,0,226,74,123,Stanbridge Station,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,263
46035,2015,2015,238810096.47,0,223351700,0,166862300,0,49826040,0,780890,0,5882470,0,0.7471,0,0.2231,0,0.0035,0,0.0263,0,194829,125251,244682,0,1.3873,0,2709,0,0,1741,0,0,134,135,123,Bedford,2 000 @ 9 999,V,AR460,Brome-Missisquoi,16,Monteregie,2572
46040,2015,2015,94008140,0,94008140,0,54376624,0,9961616,0,27889300,0,1780600,0,0.5784,0,0.106,0,0.2967,0,0.0189,0,206559,209221,219645,0,0.5307,0,1102,0,0,1117,0,0,183,49,49,Bedford,1 @ 1 999,CT,AR460,Brome-Missisquoi,16,Monteregie,669
46045,2015,2015,109821366.55,0,109666840,0,64834156,0,1910538,0,41713236,0,1208910,0,0.5912,0,0.0174,0,0.3804,0,0.011,0,215018,200680,242968,0,0.7972,0,1714,0,0,1600,0,0,202,74,54,Stanbridge East,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,877
46050,2015,2015,481428962.99,0,479437740,0,314900214,0,22185408,0,133075116,0,9277002,0,0.6568,0,0.0463,0,0.2776,0,0.0193,0,228486,221029,225283,0,0.693,0,1590,0,0,1538,0,0,123,68,76,Dunham,2 000 @ 9 999,V,AR460,Brome-Missisquoi,16,Monteregie,3413
46058,2015,2015,1034884363.5,0,1028522156,0,845310803,0,62442617,0,66121159,0,54647577,0,0.8219,0,0.0607,0,0.0643,0,0.0531,0,284641,235476,236006,0,0.8322,0,2369,0,0,1960,0,0,129,81,62,Sutton,2 000 @ 9 999,V,AR460,Brome-Missisquoi,16,Monteregie,3981
46065,2015,2015,224550617.9,0,224522800,0,154368000,0,6397800,0,47340200,0,16416800,0,0.6875,0,0.0285,0,0.2108,0,0.0731,0,322886,347853,258104,0,0.4661,0,1517,0,0,1635,0,0,215,43,45,Bolton-Ouest,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,704
46070,2015,2015,39543300,0,39543300,0,28704800,0,379500,0,8555200,0,1903800,0,0.7259,0,0.0096,0,0.2164,0,0.0481,0,217195,222366,173436,0,0.8569,0,1861,0,0,1905,0,0,144,79,73,Brome,1 @ 1 999,VL,AR460,Brome-Missisquoi,16,Monteregie,253
46075,2015,2015,1306939475.2,0,1301184560,0,1040502320,0,73293688,0,136983392,0,50405160,0,0.7997,0,0.0563,0,0.1053,0,0.0387,0,319537,291499,289787,0,0.815,0,2630,0,0,2399,0,0,158,79,69,Lac-Brome,2 000 @ 9 999,V,AR460,Brome-Missisquoi,16,Monteregie,5611
46078,2015,2015,1873740279.3,0,1823038875,0,1339651635,0,313254060,0,59824170,0,110309010,0,0.7348,0,0.1718,0,0.0328,0,0.0605,0,325519,274759,328784,0,0.9536,0,3160,0,0,2668,0,0,180,93,108,Bromont,2 000 @ 9 999,V,AR460,Brome-Missisquoi,16,Monteregie,8714
46080,2015,2015,1207472603.8,0,1079708700,0,820611500,0,210559400,0,9311700,0,39226100,0,0.76,0,0.195,0,0.0086,0,0.0363,0,199812,131972,254956,0,1.2419,0,2531,0,0,1671,0,0,100,113,126,Cowansville,10 000 @ 24 999,V,AR460,Brome-Missisquoi,16,Monteregie,13021
46085,2015,2015,49413800,0,49390600,0,40879900,0,4173000,0,2384400,0,1953300,0,0.8277,0,0.0845,0,0.0483,0,0.0395,0,194072,171544,171576,0,0.9014,0,1749,0,0,1546,0,0,143,83,89,East Farnham,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,566
46090,2015,2015,250272678.5,0,248490100,0,173775600,0,9171400,0,61480300,0,4062800,0,0.6993,0,0.0369,0,0.2474,0,0.0163,0,198630,184149,182016,0,0.8768,0,1742,0,0,1615,0,0,99,85,87,Brigham,2 000 @ 9 999,M,AR460,Brome-Missisquoi,16,Monteregie,2363
46095,2015,2015,110763402,0,110745853,0,36577784,0,5516708,0,68328830,0,322531,0,0.3303,0,0.0498,0,0.617,0,0.0029,0,195998,181170,310262,0,0.8012,0,1570,0,0,1452,0,0,258,74,51,Saint-Ignace-de-Stanbridge,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,663
46100,2015,2015,98217059.896,0,97525788,0,40459928,0,2602811,0,54119372,0,343677,0,0.4149,0,0.0267,0,0.5549,0,0.0035,0,175026,141917,257113,0,0.7449,0,1313,0,0,1065,0,0,214,69,78,Notre-Dame-de-Stanbridge,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,674
46105,2015,2015,148585091.98,0,148584016,0,72476880,0,8994048,0,64991024,0,2122064,0,0.4878,0,0.0605,0,0.4374,0,0.0143,0,218089,197534,269664,0,0.6041,0,1317,0,0,1193,0,0,224,56,52,Sainte-Sabine,1 @ 1 999,M,AR460,Brome-Missisquoi,16,Monteregie,1149
46112,2015,2015,813739376.74,0,762184164,0,574512468,0,99221790,0,67591452,0,20858454,0,0.7538,0,0.1302,0,0.0887,0,0.0274,0,201855,144033,226479,0,1.1403,0,2302,0,0,1642,0,0,124,111,97,Farnham,2 000 @ 9 999,V,AR460,Brome-Missisquoi,16,Monteregie,8739
47010,2015,2015,371025197,0,367053500,0,213195500,0,66654500,0,79842200,0,7361300,0,0.5808,0,0.1816,0,0.2175,0,0.0201,0,208779,194720,263138,0,0.8048,0,1680,0,0,1567,0,0,144,78,66,Saint-Alphonse-de-Granby,2 000 @ 9 999,M,AR470,La Haute-Yamaska,16,Monteregie,3065
47017,2015,2015,6094940864.7,0,5917812276.2,0,4639141092,0,1078390543.1,0,92630220,0,107650421.06,0,0.7839,0,0.1822,0,0.0157,0,0.0182,0,223619,151231,291081,0,1.0554,0,2451,0,0,1657,0,0,98,100,96,Granby,25 000 @ 99 999,V,AR470,La Haute-Yamaska,16,Monteregie,66535
47025,2015,2015,319608631.72,0,305214396,0,240206940,0,50699202,0,3495846,0,10812408,0,0.787,0,0.1661,0,0.0115,0,0.0354,0,171990,112049,167510,0,1.653,0,2874,0,0,1872,0,0,91,161,180,Waterloo,2 000 @ 9 999,V,AR470,La Haute-Yamaska,16,Monteregie,4446
47030,2015,2015,24350898,0,24350898,0,20016786,0,779821,0,3153422,0,400869,0,0.822,0,0.032,0,0.1295,0,0.0165,0,162906,136563,146692,0,1.5736,0,2563,0,0,2149,0,0,122,145,122,Warden,1 @ 1 999,VL,AR470,La Haute-Yamaska,16,Monteregie,368
47035,2015,2015,880501488.83,0,876027705,0,725169375,0,30436875,0,65456685,0,54964770,0,0.8278,0,0.0347,0,0.0747,0,0.0627,0,280761,260265,223081,0,0.8002,0,2246,0,0,2082,0,0,122,78,59,Shefford,2 000 @ 9 999,CT,AR470,La Haute-Yamaska,16,Monteregie,6666
47040,2015,2015,158726527.78,0,157339517,0,73291054,0,4792854,0,75706065,0,3549544,0,0.4658,0,0.0305,0,0.4812,0,0.0226,0,184556,178533,195959,0,0.7438,0,1380,0,0,1335,0,0,163,69,68,Saint-Joachim-de-Shefford,1 @ 1 999,M,AR470,La Haute-Yamaska,16,Monteregie,1318
47047,2015,2015,428147325.2,0,402725900,0,286940400,0,24199300,0,76436500,0,15149700,0,0.7125,0,0.0601,0,0.1898,0,0.0376,0,209209,186856,206137,0,0.9697,0,2031,0,0,1814,0,0,113,95,94,Roxton Pond,2 000 @ 9 999,M,AR470,La Haute-Yamaska,16,Monteregie,3562
47055,2015,2015,226092396.61,0,224075072,0,134069936,0,18727592,0,68418272,0,2859272,0,0.5983,0,0.0836,0,0.3053,0,0.0128,0,189992,173962,205539,0,0.898,0,1706,0,0,1562,0,0,112,88,80,Sainte-Cecile-de-Milton,2 000 @ 9 999,M,AR470,La Haute-Yamaska,16,Monteregie,2104
48005,2015,2015,41141088,0,41141088,0,19684416,0,87168,0,20487168,0,882336,0,0.4785,0,0.0021,0,0.498,0,0.0214,0,166971,145179,176571,0,0.9525,0,1591,0,0,1383,0,0,147,88,90,Bethanie,1 @ 1 999,M,AR480,Acton,16,Monteregie,338
48010,2015,2015,86924033.362,0,84022147,0,68788653,0,13323050,0,864170,0,1046274,0,0.8187,0,0.1586,0,0.0103,0,0.0125,0,141696,109731,147080,0,1.0018,0,1420,0,0,1099,0,0,122,93,93,Roxton Falls,1 @ 1 999,VL,AR480,Acton,16,Monteregie,1261
48015,2015,2015,148717920,0,148717920,0,71894160,0,489840,0,73841664,0,2492256,0,0.4834,0,0.0033,0,0.4965,0,0.0168,0,186048,167649,200970,0,0.7422,0,1402,0,0,1263,0,0,167,69,69,Roxton,1 @ 1 999,CT,AR480,Acton,16,Monteregie,1092
48020,2015,2015,92426273,0,91887400,0,47064800,0,957700,0,40334500,0,3530400,0,0.5122,0,0.0104,0,0.439,0,0.0384,0,165426,152198,160184,0,0.6965,0,1159,0,0,1066,0,0,133,64,64,Sainte-Christine,1 @ 1 999,P,AR480,Acton,16,Monteregie,684
48028,2015,2015,585169416.4,0,564620500,0,416965000,0,85015900,0,54090200,0,8549400,0,0.7385,0,0.1506,0,0.0958,0,0.0151,0,159137,118125,177432,0,1.1631,0,1862,0,0,1382,0,0,97,113,134,Acton Vale,2 000 @ 9 999,V,AR480,Acton,16,Monteregie,7701
48038,2015,2015,225749382.3,0,224699000,0,124724700,0,17485100,0,79624300,0,2864900,0,0.5551,0,0.0778,0,0.3544,0,0.0127,0,179164,151197,202648,0,0.9337,0,1676,0,0,1414,0,0,111,91,75,Upton,2 000 @ 9 999,M,AR480,Acton,16,Monteregie,2153
48045,2015,2015,158665268.59,0,158144612,0,86349582,0,5457957,0,64007416,0,2329657,0,0.546,0,0.0345,0,0.4047,0,0.0147,0,168206,146895,192789,0,0.8858,0,1490,0,0,1301,0,0,160,82,64,Saint-Theodore-d'Acton,1 @ 1 999,M,AR480,Acton,16,Monteregie,1460
48050,2015,2015,133476866.4,0,132498465,0,51794283,0,6104128,0,73526142,0,1073912,0,0.3909,0,0.0461,0,0.5549,0,0.0081,0,192526,176240,263268,0,0.671,0,1292,0,0,1183,0,0,219,62,58,Saint-Nazaire-d'Acton,1 @ 1 999,P,AR480,Acton,16,Monteregie,850
49005,2015,2015,161167243.1,0,160415900,0,79041100,0,17636500,0,59571800,0,4166500,0,0.4927,0,0.1099,0,0.3714,0,0.026,0,136977,124119,152332,0,0.9836,0,1347,0,0,1221,0,0,127,91,88,Saint-Felix-de-Kingsey,1 @ 1 999,M,AR490,Drummond,17,Centre-du-Quebec,1576
49015,2015,2015,91693947.9,0,90985600,0,47343100,0,4843000,0,36673800,0,2125700,0,0.5203,0,0.0532,0,0.4031,0,0.0234,0,137776,116199,163447,0,0.7487,0,1032,0,0,871,0,0,136,69,72,Durham-Sud,1 @ 1 999,M,AR490,Drummond,17,Centre-du-Quebec,1017
49020,2015,2015,77142686.904,0,77142396,0,50257032,0,2332230,0,20416626,0,4136508,0,0.6515,0,0.0302,0,0.2647,0,0.0536,0,149341,137060,133005,0,0.9079,0,1356,0,0,1244,0,0,111,84,89,Lefebvre,1 @ 1 999,M,AR490,Drummond,17,Centre-du-Quebec,875
49025,2015,2015,132409907.48,0,131953702.3,0,74740202,0,8807422.2,0,43406275.1,0,4999803,0,0.5664,0,0.0667,0,0.329,0,0.0379,0,158546,131852,150125,0,0.7955,0,1261,0,0,1049,0,0,125,74,70,L'Avenir,1 @ 1 999,M,AR490,Drummond,17,Centre-du-Quebec,1249
49030,2015,2015,161292614,0,161289184,0,124166098,0,1961274,0,22133104,0,13028708,0,0.7698,0,0.0122,0,0.1372,0,0.0808,0,147963,139066,111160,0,0.8479,0,1255,0,0,1179,0,0,92,78,65,Saint-Lucien,1 @ 1 999,M,AR490,Drummond,17,Centre-du-Quebec,1632
49040,2015,2015,220244607.79,0,219058668,0,126435600,0,18103932,0,69484176,0,5034960,0,0.5772,0,0.0826,0,0.3172,0,0.023,0,156967,131744,162903,0,1.0254,0,1610,0,0,1351,0,0,89,100,104,Wickham,2 000 @ 9 999,M,AR490,Drummond,17,Centre-du-Quebec,2500
49048,2015,2015,480435089.4,0,477845280,0,294467640,0,100993080,0,72966720,0,9417840,0,0.6162,0,0.2114,0,0.1527,0,0.0197,0,194125,157282,220788,0,0.9529,0,1849,0,0,1498,0,0,121,93,75,Saint-Germain-de-Grantham,2 000 @ 9 999,M,AR490,Drummond,17,Centre-du-Quebec,4836
49058,2015,2015,6750149417.5,0,6402097740,0,4663846450,0,1440893590,0,85893700,0,211464000,0,0.7285,0,0.2251,0,0.0134,0,0.033,0,191084,130655,242062,0,1.0585,0,2088,0,0,1428,0,0,81,100,96,Drummondville,25 000 @ 99 999,V,AR490,Drummond,17,Centre-du-Quebec,74540
49070,2015,2015,380093776.22,0,378190662,0,277452757,0,39304655,0,51974600,0,9458650,0,0.7336,0,0.1039,0,0.1374,0,0.025,0,181439,155755,181083,0,1.0076,0,1828,0,0,1569,0,0,99,98,94,Saint-Cyrille-de-Wendover,2 000 @ 9 999,M,AR490,Drummond,17,Centre-du-Quebec,4651
49075,2015,2015,94142009.302,0,93133231.2,0,75969978,0,15164362.2,0,750228,0,1248663,0,0.8157,0,0.1628,0,0.0081,0,0.0134,0,148862,115466,164010,0,1.4146,0,2106,0,0,1634,0,0,136,131,100,Notre-Dame-du-Bon-Conseil,1 @ 1 999,VL,AR490,Drummond,17,Centre-du-Quebec,1442
49080,2015,2015,113986704,0,113955504,0,49954216,0,24369280,0,36749856,0,2882152,0,0.4384,0,0.2138,0,0.3225,0,0.0253,0,143247,129377,182379,0,0.654,0,939,0,0,848,0,0,152,60,64,Notre-Dame-du-Bon-Conseil,1 @ 1 999,P,AR490,Drummond,17,Centre-du-Quebec,1008
49085,2015,2015,90189183.3,0,89786570,0,29882132,0,5150141,0,53993804,0,760493,0,0.3328,0,0.0574,0,0.6014,0,0.0085,0,131187,112833,200420,0,0.8949,0,1203,0,0,1035,0,0,167,83,82,Sainte-Brigitte-des-Saults,1 @ 1 999,P,AR490,Drummond,17,Centre-du-Quebec,772
49095,2015,2015,133335106.18,0,131439536,0,86107897,0,12895497,0,25165166,0,7270976,0,0.6551,0,0.0981,0,0.1915,0,0.0553,0,208356,180177,200806,0,0.824,0,1763,0,0,1524,0,0,167,76,64,Saint-Majorique-de-Grantham,1 @ 1 999,P,AR490,Drummond,17,Centre-du-Quebec,1330
49100,2015,2015,91633179,0,91552191,0,50782893,0,2093346,0,36642072,0,2033880,0,0.5547,0,0.0229,0,0.4002,0,0.0222,0,190331,183589,205917,0,0.5802,0,1104,0,0,1065,0,0,171,54,47,Saint-Edmond-de-Grantham,1 @ 1 999,P,AR490,Drummond,17,Centre-du-Quebec,713
49105,2015,2015,143483567.89,0,142954020,0,61322808,0,21948054,0,56234436,0,3448722,0,0.429,0,0.1535,0,0.3934,0,0.0241,0,153968,129011,173289,0,0.5111,0,787,0,0,659,0,0,144,47,55,Saint-Eugene,1 @ 1 999,M,AR490,Drummond,17,Centre-du-Quebec,1141
49113,2015,2015,180186994.03,0,179016578,0,73977384,0,10883254,0,92642042,0,1513898,0,0.4132,0,0.0608,0,0.5175,0,0.0085,0,138362,121988,194167,0,0.8184,0,1132,0,0,998,0,0,162,76,57,Saint-Guillaume,1 @ 1 999,M,AR490,Drummond,17,Centre-du-Quebec,1585
49125,2015,2015,113373077.18,0,112858130,0,50692070,0,4921950,0,54168180,0,3075930,0,0.4492,0,0.0436,0,0.48,0,0.0273,0,137379,125391,159232,0,0.926,0,1290,0,0,1177,0,0,132,86,79,Saint-Bonaventure,1 @ 1 999,M,AR490,Drummond,17,Centre-du-Quebec,1017
49130,2015,2015,67865938,0,67713975,0,22859662,0,1622446,0,41679988,0,1551879,0,0.3376,0,0.024,0,0.6155,0,0.0229,0,131869,126523,158565,0,0.7049,0,931,0,0,894,0,0,132,65,66,Saint-Pie-de-Guire,1 @ 1 999,P,AR490,Drummond,17,Centre-du-Quebec,449
50005,2015,2015,115064687.23,0,113629725,0,43613361,0,29941560,0,31925619,0,8149185,0,0.3838,0,0.2635,0,0.281,0,0.0717,0,124244,110189,157192,0,1.0133,0,1259,0,0,1117,0,0,131,94,79,Sainte-Eulalie,1 @ 1 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,898
50013,2015,2015,39548164.788,0,39012159,0,15587835,0,1849411,0,20441491,0,1133422,0,0.3996,0,0.0474,0,0.524,0,0.0291,0,110068,99820,158193,0,0.7665,0,844,0,0,765,0,0,132,71,64,Aston-Jonction,1 @ 1 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,422
50023,2015,2015,121802861.07,0,120263913,0,54057861,0,10585377,0,52928667,0,2692008,0,0.4495,0,0.088,0,0.4401,0,0.0224,0,124243,112730,163056,0,1.0838,0,1347,0,0,1222,0,0,136,100,70,Saint-Wenceslas,1 @ 1 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,1091
50030,2015,2015,60250760.5,0,54096100,0,43941100,0,8672900,0,241000,0,1241100,0,0.8123,0,0.1603,0,0.0045,0,0.0229,0,143490,118416,181478,0,1.3457,0,1931,0,0,1594,0,0,151,124,112,Saint-Celestin,1 @ 1 999,VL,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,790
50035,2015,2015,94148665,0,93565390,0,25081835,0,7129691,0,58234176,0,3119688,0,0.2681,0,0.0762,0,0.6224,0,0.0333,0,115312,107807,194925,0,0.7422,0,856,0,0,800,0,0,162,69,70,Saint-Celestin,1 @ 1 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,620
50042,2015,2015,229520938.2,0,220094800,0,116367400,0,37268400,0,61258700,0,5200300,0,0.5287,0,0.1693,0,0.2783,0,0.0236,0,136371,115567,173354,0,1.0138,0,1383,0,0,1172,0,0,95,99,108,Saint-Leonard-d'Aston,2 000 @ 9 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,2365
50050,2015,2015,128132412.36,0,127041306,0,46214959,0,10134516,0,69543481,0,1148350,0,0.3638,0,0.0798,0,0.5474,0,0.009,0,136299,125274,223617,0,0.624,0,851,0,0,782,0,0,186,58,42,Sainte-Perpetue,1 @ 1 999,P,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,930
50057,2015,2015,79146591.264,0,78201032,0,22413352,0,2576808,0,52310024,0,900848,0,0.2866,0,0.033,0,0.6689,0,0.0115,0,124119,113262,211622,0,1.2343,0,1532,0,0,1398,0,0,176,114,100,Sainte-Monique,1 @ 1 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,571
50065,2015,2015,52582115,0,52581105,0,24345444,0,918595,0,26297976,0,1019090,0,0.463,0,0.0175,0,0.5001,0,0.0194,0,136614,122869,189144,0,1.0732,0,1466,0,0,1319,0,0,157,99,83,Grand-Saint-Esprit,1 @ 1 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,486
50072,2015,2015,779597621.36,0,647144715,0,467792640,0,93898035,0,67839660,0,17614380,0,0.7229,0,0.1451,0,0.1048,0,0.0272,0,164979,122062,222108,0,1.3732,0,2265,0,0,1676,0,0,121,134,116,Nicolet,2 000 @ 9 999,V,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,8032
50085,2015,2015,64112464,0,64112464,0,15894424,0,393536,0,47026824,0,797680,0,0.2479,0,0.0061,0,0.7335,0,0.0124,0,120962,116464,189682,0,1.0496,0,1272,0,0,1224,0,0,158,97,78,La Visitation-de-Yamaska,1 @ 1 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,322
50090,2015,2015,102626866.14,0,101789759,0,28275908,0,1900306,0,68835135,0,2778410,0,0.2778,0,0.0187,0,0.6762,0,0.0273,0,118751,105141,192908,0,1.1201,0,1330,0,0,1178,0,0,160,104,72,Saint-Zephirin-de-Courval,1 @ 1 999,P,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,715
50095,2015,2015,54501090,0,54501090,0,10326540,0,820785,0,42220815,0,1132950,0,0.1895,0,0.0151,0,0.7747,0,0.0208,0,111444,103180,241155,0,0.8936,0,996,0,0,922,0,0,201,83,77,Saint-Elphege,1 @ 1 999,P,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,291
50100,2015,2015,139438181.61,0,137170110,0,45209325,0,9614115,0,81326280,0,1020390,0,0.3296,0,0.0701,0,0.5929,0,0.0074,0,121752,107689,210314,0,1.2228,0,1476,0,0,1305,0,0,175,113,71,Baie-du-Febvre,1 @ 1 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,991
50113,2015,2015,201800878.67,0,195864990,0,114410340,0,13687278,0,64543050,0,3224322,0,0.5841,0,0.0699,0,0.3295,0,0.0165,0,117666,100171,131125,0,1.3214,0,1554,0,0,1323,0,0,72,129,116,Pierreville,2 000 @ 9 999,M,AR500,Nicolet-Yamaska,17,Centre-du-Quebec,2174
