cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010102,POSTE_9061,POSTE_5428,POSTE_9682,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3022,RF12010101,PRC0300,PRC0301,PRC0100,PRC0102,PRC0101,PRC3200,PRC3202,PRC3201,PRC3203,PRC3100,PRC3102,PRC3101,PRC3103,PRC3000,PRC3002,PRC3001,PRC3003,PRC2400,PRC2500,PRC2600,PRC0200,PRC2100,PRC2700,PRC2800,PRC2900,PRN0300,PRN0200,PRN0100,POSTE_6805,POSTE_6833,POSTE_6825,POSTE_6827,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population
01042,2015,2014,28942399.8,0,805410,0,525639,0,779469,0,525639,0,0,0,30142,0,167382,0,798725,0,196273,0,0,0,0,281617,3696435,1084116,163761,0.0276,0.0471,0.0068,0,0.0122,1051,374,1425,0,1414,998,2412,0,347,275,622,0,3.4096,0.2101,0.3613,0.3041,0.6951,0.6744,0.0387,0.2147,0,0,0,0,0,0,0,Grosse-Ile,1 @ 1 999,M,AR011,Hors MRC - Les Iles de la Madeleine,11,Gaspesie--Iles-de-la-Madeleine,482
02005,2015,2014,223084423.63,0,5804712,0,3742163,0,5636936,0,3742163,0,0,0,487135,0,940521,0,5861437,0,6141609,0,0,0,0,998963,26420260,11933754,451568,0.0263,0,0.0275,0,0,1141,0,0,0,1674,0,0,0,1754,0,0,0,2.2139,0.0801,0.1772,0.1704,0.6793,0.6639,0.0864,0.1668,0,0,0,0,0,0,0,Perce,2 000 @ 9 999,V,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,3289
02010,2015,2014,44848512.24,0,1416700,0,876660,0,1347926,0,876660,0,18531,0,20073,0,360785,0,1515647,0,360239,0,0,0,0,113172,4434016,444210,408872,0.0334,0,0.008,0,0,1293,0,0,0,2109,0,0,0,507,0,0,0,9.9818,0.3033,0.084,0.0816,0.484,0.6504,0.0149,0.2677,0,0,0,0,0,0,0,Sainte-Therese-de-Gaspe,1 @ 1 999,M,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,1061
02015,2015,2014,173630430.38,0,5620704,0,2722572,0,4988904,0,2722572,0,87356,0,416602,0,1511630,0,4930000,0,4872565,0,0,0,0,1243082,33062683,14928035,915521,0.0279,0,0.0281,0,0,1399,0,0,0,2377,0,0,0,2392,0,0,0,2.2148,0.1835,0.2492,0.255,0.6693,0.5457,0.0835,0.303,0,0,0,0,0,0,0,Grande-Riviere,2 000 @ 9 999,V,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,3460
02028,2015,2014,422205263.58,0,11713654,0,6965189,0,11713654,0,6965189,0,40693,0,638014,0,2495516,0,17732045,0,9821312,0,0,0,0,3491546,111838042,28661922,1986919,0.0419,0,0.0233,0,0,1586,0,0,0,3765,0,0,0,2090,0,0,0,3.902,0.1696,0.2981,0.2081,0.6152,0.5946,0.0545,0.213,0,0,0,0,0,0,0,Chandler,2 000 @ 9 999,V,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,7718
02047,2015,2014,99042136.452,0,3055713,0,1536211,0,2912448,0,1536211,0,0,0,65315,0,872815,0,3052784,0,1215631,0,0,0,0,226150,12930216,1376507,511609,0.0308,0,0.0123,0,0,686,0,0,0,1281,0,0,0,510,0,0,0,9.3935,0.1757,0.0776,0.0846,0.5306,0.5275,0.0224,0.2997,0,0,0,0,0,0,0,Port-Daniel--Gascons,2 000 @ 9 999,M,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,2456
03005,2015,2014,1310068657.7,0,38314208,0,14700298,0,26995937,0,14700298,0,1242673,0,2192736,0,4376774,0,30336281,0,59509617,0,0,0,0,5661489,151315986,63015396,6484270,0.0222,0,0.0454,0,0,1495,0,0,0,2672,0,0,0,5466,0,0,0,2.4013,0.2402,0.2097,0.2023,0.6526,0.5445,0.0812,0.1621,0,0,0,0,0,0,0,Gaspe,10 000 @ 24 999,V,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,15265
03010,2015,2014,36867035.845,0,1906242,0,596141,0,1443728,0,596141,0,35191,0,50675,0,601316,0,1496643,0,4072650,0,0,0,0,876384,25623883,13695249,1261231,0.0396,0,0.1105,0,0,713,0,0,0,1551,0,0,0,4323,0,0,0,1.871,0.8736,0.607,0.3978,0.7889,0.4129,0.0351,0.4165,0,0,0,0,0,0,0,Cloridorme,1 @ 1 999,CT,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,738
03015,2015,2014,10530248.4,0,521248,0,191904,0,377917,0,191904,0,0,0,4207,0,77666,0,366268,0,6145,0,0,0,0,24900,1856702,295161,165912,0.0348,0,0.0006,0,0,671,0,0,0,1134,0,0,0,19,0,0,0,6.2905,0.439,0.0659,0.0793,0.6107,0.5078,0.0111,0.2055,0,0,0,0,0,0,0,Petite-Vallee,1 @ 1 999,M,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,174
03020,2015,2014,71615741.847,0,2214441,0,1052687,0,2036108,0,1052687,0,15004,0,118852,0,602649,0,2075653,0,974192,0,0,0,0,412123,10535756,1629772,460341,0.0288,0,0.0136,0,0,1262,0,0,0,2257,0,0,0,1067,0,0,0,6.4646,0.2261,0.2024,0.2197,0.5965,0.517,0.0584,0.296,0,0,0,0,0,0,0,Grande-Vallee,1 @ 1 999,M,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,1149
03025,2015,2014,17184073.697,0,2207951,0,900758,0,2129202,0,900758,0,933,0,79452,0,873503,0,2399081,0,0,0,0,0,0,1408,4474653,870804,288374,0.1396,0,0,0,0,1763,0,0,0,3198,0,0,0,0,0,0,0,5.1385,0.1354,0.0007,0.0007,0.3105,0.423,0.0373,0.4102,0,0,0,0,0,0,0,Murdochville,1 @ 1 999,V,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,764
04005,2015,2014,20394192,0,901041,0,364802,0,901041,0,364802,0,0,0,31954,0,301239,0,734111,0,1015585,0,0,0,0,288200,5850576,2892847,100317,0.036,0,0.0498,0,0,584,0,0,0,1081,0,0,0,1496,0,0,0,2.0224,0.1113,0.3199,0.3552,0.7289,0.4049,0.0355,0.3343,0,0,0,0,0,0,0,Sainte-Madeleine-de-la-Riviere-Madeleine,1 @ 1 999,M,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,320
04010,2015,2014,57972737.875,0,2406298,0,853255,0,2366442,0,853255,0,41903,0,115997,0,1033697,0,1980130,0,1117554,0,0,0,0,909019,14066846,6639995,138040,0.0334,0,0.0193,0,0,887,0,0,0,1697,0,0,0,979,0,0,0,2.1185,0.0583,0.3841,0.422,0.7447,0.3606,0.049,0.4368,0,0,0,0,0,0,0,Saint-Maxime-du-Mont-Louis,1 @ 1 999,M,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,1129
04015,2015,2014,11598730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mont-Saint-Pierre,1 @ 1 999,VL,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,196
04020,2015,2014,7404370,0,295779,0,115754,0,224493,0,115754,0,0,0,16669,0,83686,0,274985,0,1084,0,0,0,0,0,1177336,27255,114157,0.0371,0,0.0001,0,0,461,0,0,0,979,0,0,0,4,0,0,0,43.1971,0.5085,0,0,0.7013,0.5156,0.0743,0.3728,0,0,0,0,0,0,0,Riviere-a-Claude,1 @ 1 999,M,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,125
04025,2015,2014,11021969.28,0,1309997,0,281429,0,1028680,0,281429,0,0,0,71436,0,607996,0,1202330,0,694934,0,0,0,0,75011,5094621,1081670,185267,0.1091,0,0.063,0,0,987,0,0,0,3746,0,0,0,2165,0,0,0,4.71,0.1801,0.0729,0.0716,0.6311,0.2736,0.0694,0.591,0,0,0,0,0,0,0,Marsoui,1 @ 1 999,VL,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,307
04030,2015,2014,9426816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,La Martre,1 @ 1 999,M,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,246
04037,2015,2014,393577799.96,0,9544314,0,6523807,0,9544314,0,6523807,0,157923,0,881745,0,1396513,0,9806386,0,1870254,0,0,0,0,1106773,33592091,6104579,1726547,0.0245,0,0.0048,0,0,1714,0,0,0,2398,0,0,0,465,0,0,0,5.5028,0.1809,0.116,0.1223,0.539,0.6835,0.0924,0.1463,0,0,0,0,0,0,0,Sainte-Anne-des-Monts,2 000 @ 9 999,V,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,6974
04047,2015,2014,156066837.52,0,3569555,0,2389465,0,3154608,0,2389465,0,5281,0,191649,0,344712,0,3454821,0,110825,0,0,0,0,51237,10486355,319212,695941,0.0221,0,0.0007,0,0,1199,0,0,0,1610,0,0,0,52,0,0,0,32.8508,0.2206,0.0162,0.0168,0.5356,0.7575,0.0608,0.1093,0,0,0,0,0,0,0,Cap-Chat,2 000 @ 9 999,V,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,2604
05010,2015,2014,15128009.393,0,338485,0,142287,0,330174,0,142287,0,0,0,2987,0,153468,0,312711,0,0,0,0,0,0,1596,597791,5385,146414,0.0207,0,0,0,0,305,0,0,0,639,0,0,0,0,0,0,0,111.0104,0.4434,0.0048,0.0055,0.6153,0.4309,0.009,0.4648,0,0,0,0,0,0,0,Shigawake,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,322
05015,2015,2014,19723976.3,0,362684,0,177576,0,362684,0,177576,0,0,0,2784,0,125898,0,390860,0,0,0,0,0,0,384,1014758,11578,305332,0.0198,0,0,0,0,425,0,0,0,882,0,0,0,0,0,0,0,87.6454,0.8419,0.0011,0.0011,0.6081,0.4896,0.0077,0.3471,0,0,0,0,0,0,0,Saint-Godefroi,1 @ 1 999,CT,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,436
05020,2015,2014,21038178.004,0,462653,0,185311,0,377550,0,185311,0,0,0,61,0,118661,0,443048,0,107500,0,0,0,0,108897,1407165,158611,44838,0.0211,0,0.0051,0,0,356,0,0,0,828,0,0,0,201,0,0,0,8.8718,0.1188,0.2884,0.2314,0.6713,0.4908,0.0002,0.3143,0,0,0,0,0,0,0,Hope Town,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,370
05025,2015,2014,34705996,0,608677,0,366152,0,608677,0,366152,0,0,0,1124,0,152103,0,649283,0,139736,0,0,0,0,122080,2264703,360861,27684,0.0187,0,0.004,0,0,578,0,0,0,976,0,0,0,210,0,0,0,6.2758,0.0455,0.2006,0.1829,0.6002,0.6016,0.0018,0.2499,0,0,0,0,0,0,0,Hope,1 @ 1 999,CT,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,627
05032,2015,2014,198854574.45,0,4779492,0,3223918,0,4755901,0,3223918,0,72985,0,253247,0,643893,0,5245712,0,4774621,0,0,0,0,1083801,27712883,10640027,57802,0.026,0,0.024,0,0,1349,0,0,0,2048,0,0,0,1890,0,0,0,2.6046,0.0122,0.2279,0.2092,0.6218,0.6779,0.0532,0.1354,0,0,0,0,0,0,0,Paspebiac,2 000 @ 9 999,V,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,3203
05040,2015,2014,97160738.584,0,1856852,0,1036816,0,1737453,0,1036816,0,8032,0,336947,0,221581,0,1677311,0,574090,0,0,0,0,119755,5918258,689114,811368,0.0172,0,0.0059,0,0,781,0,0,0,1202,0,0,0,413,0,0,0,8.5882,0.467,0.0689,0.0791,0.4803,0.5967,0.1939,0.1275,0,0,0,0,0,0,0,New Carlisle,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,1375
05045,2015,2014,219866675.51,0,4881108,0,2738573,0,4285880,0,2738573,0,28875,0,222447,0,488231,0,4865636,0,4289787,0,0,0,0,926523,20751234,7229776,710495,0.022,0,0.0195,0,0,1209,0,0,0,2019,0,0,0,1790,0,0,0,2.8702,0.1658,0.2162,0.2012,0.5329,0.639,0.0519,0.1139,0,0,0,0,0,0,0,Bonaventure,2 000 @ 9 999,V,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,2798
05050,2015,2014,24400573.153,0,809995,0,463153,0,809995,0,463153,0,0,0,33067,0,156554,0,871782,0,553726,0,0,0,0,205983,3130732,906642,5773,0.0357,0,0.0227,0,0,748,0,0,0,1263,0,0,0,803,0,0,0,3.4531,0.0071,0.2543,0.2305,0.6037,0.5718,0.0408,0.1933,0,0,0,0,0,0,0,Saint-Elzear,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,481
05055,2015,2014,75669806.539,0,1820963,0,1082587,0,1720963,0,1082587,0,0,0,14551,0,280768,0,1899908,0,1137052,0,0,0,0,212863,6666114,1709677,74413,0.0251,0,0.015,0,0,1087,0,0,0,1839,0,0,0,1101,0,0,0,3.899,0.0432,0.1237,0.1219,0.5428,0.6291,0.0085,0.1631,0,0,0,0,0,0,0,Saint-Simeon,1 @ 1 999,P,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,1207
05060,2015,2014,133572495.2,0,3894393,0,1797505,0,2894595,0,1797505,0,0,0,55268,0,338628,0,2779738,0,3821140,0,0,0,0,1107133,23840131,9555435,1603924,0.0208,0,0.0286,0,0,1253,0,0,0,1856,0,0,0,2551,0,0,0,2.4949,0.5541,0.3825,0.3447,0.641,0.621,0.0191,0.117,0,0,0,0,0,0,0,Caplan,2 000 @ 9 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,2086
05065,2015,2014,35530215.874,0,3919570,0,529061,0,3919570,0,529061,0,2120646,0,13218,0,204419,0,2927374,0,1211140,0,0,0,0,1511720,15622365,8763795,998464,0.0227,0,0.0341,0,0,767,0,0,0,1113,0,0,0,1671,0,0,0,1.7826,0.2547,0.3857,1.011,0.7606,0.135,0.0034,0.0522,0,0,0,0,0,0,0,Saint-Alphonse,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,702
05070,2015,2014,276769961.53,0,9893429,0,4548633,0,8516881,0,4548633,0,0,0,115318,0,1377453,0,10558506,0,13211684,0,0,0,0,5121866,78813522,38655662,-3088929,0.0381,0,0.0477,0,0,1776,0,0,0,3893,0,0,0,4872,0,0,0,2.0389,-0.3627,0.6014,0.4371,0.6756,0.5341,0.0135,0.1617,0,0,0,0,0,0,0,New Richmond,2 000 @ 9 999,V,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,3846
05077,2015,2014,50572555,0,738915,0,324709,0,653801,0,324709,0,0,0,7227,0,159413,0,742809,0,132105,0,0,0,0,35222,1620915,240934,193113,0.0147,0,0.0026,0,0,366,0,0,0,807,0,0,0,144,0,0,0,6.7276,0.2954,0.0539,0.0494,0.6384,0.4966,0.0111,0.2438,0,0,0,0,0,0,0,Cascapedia--Saint-Jules,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,758
06005,2015,2014,208605488.79,0,3596493,0,2494585,0,3553235,0,2494585,0,3020,0,483745,0,263433,0,4126775,0,3967347,0,0,0,0,1320695,26647893,6902978,-31152,0.0198,0,0.019,0,0,1588,0,0,0,2501,0,0,0,2406,0,0,0,3.8603,-0.0088,0.3717,0.3253,0.567,0.7021,0.1361,0.0741,0,0,0,0,0,0,0,Maria,2 000 @ 9 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,2544
06013,2015,2014,355791951.5,0,6928249,0,4883665,0,6839349,0,4883665,0,68004,0,341357,0,392362,0,7513861,0,11541926,0,0,0,0,2191058,33103076,15850240,364891,0.0209,0,0.0324,0,0,1677,0,0,0,2323,0,0,0,3601,0,0,0,2.0885,0.0534,0.3204,0.283,0.5641,0.7141,0.0499,0.0574,0,0,0,0,0,0,0,Carleton-sur-Mer,2 000 @ 9 999,V,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,4066
06020,2015,2014,121898936.43,0,2663840,0,1752653,0,2515126,0,1752653,0,80611,0,115115,0,356175,0,2810328,0,2533034,0,0,0,0,500762,10278722,3676999,451969,0.0224,0,0.0208,0,0,1051,0,0,0,1536,0,0,0,1425,0,0,0,2.7954,0.1797,0.1991,0.1933,0.5319,0.6968,0.0458,0.1416,0,0,0,0,0,0,0,Nouvelle,1 @ 1 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,1743
06025,2015,2014,38893216.461,0,691870,0,311221,0,665620,0,311221,0,0,0,12081,0,191074,0,727660,0,86320,0,0,0,0,15291,2058069,310324,365767,0.0187,0,0.0022,0,0,441,0,0,0,974,0,0,0,116,0,0,0,6.632,0.5495,0.023,0.023,0.5548,0.4676,0.0181,0.2871,0,0,0,0,0,0,0,Escuminac,1 @ 1 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,599
06030,2015,2014,76544660.954,0,2365980,0,1004407,0,1622759,0,1004407,0,42819,0,102970,0,306525,0,1831963,0,148100,0,0,0,0,138947,7633170,708003,970026,0.0234,0,0.0019,0,0,982,0,0,0,1554,0,0,0,129,0,0,0,10.7813,0.5978,0.0856,0.0888,0.4728,0.619,0.0635,0.1889,0,0,0,0,0,0,0,Pointe-a-la-Croix,1 @ 1 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,1471
06035,2015,2014,11076896.1,0,432111,0,152423,0,432111,0,152423,0,9343,0,2137,0,65040,0,380007,0,785,0,0,0,0,0,490494,27054,173506,0.0335,0,0.0001,0,0,706,0,0,0,1564,0,0,0,3,0,0,0,18.1302,0.4015,0,0,0.5018,0.3527,0.0049,0.1505,0,0,0,0,0,0,0,Ristigouche-Partie-Sud-Est,1 @ 1 999,CT,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,168
06040,2015,2014,9338160.6,0,399530,0,159887,0,358031,0,159887,0,0,0,8317,0,136557,0,356597,0,308700,0,0,0,0,731,1523893,334453,222670,0.0382,0,0.0331,0,0,563,0,0,0,1169,0,0,0,1012,0,0,0,4.5564,0.6219,0.002,0.0025,0.6323,0.4466,0.0232,0.3814,0,0,0,0,0,0,0,Saint-Andre-de-Restigouche,1 @ 1 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,158
06045,2015,2014,47217885.026,0,1537908,0,630382,0,1464408,0,630382,0,11742,0,237764,0,295081,0,1609389,0,1334628,0,0,0,0,717618,10079976,3682110,161466,0.0338,0,0.0283,0,0,1281,0,0,0,2975,0,0,0,2485,0,0,0,2.7376,0.1103,0.49,0.3899,0.6599,0.4305,0.1624,0.2015,0,0,0,0,0,0,0,Matapedia,1 @ 1 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,668
06050,2015,2014,24182399.08,0,1139475,0,459220,0,990833,0,459220,0,15731,0,11354,0,305351,0,989325,0,1488653,0,0,0,0,265979,7033372,2784718,231136,0.0403,0,0.0616,0,0,866,0,0,0,1748,0,0,0,2673,0,0,0,2.5257,0.2333,0.2684,0.2588,0.6632,0.4635,0.0115,0.3082,0,0,0,0,0,0,0,Saint-Alexis-de-Matapedia,1 @ 1 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,542
06055,2015,2014,27184706.802,0,966534,0,460009,0,956162,0,460009,0,7625,0,23529,0,331778,0,1100457,0,996788,0,0,0,0,383374,6906449,2328512,434765,0.0402,0,0.0367,0,0,713,0,0,0,1572,0,0,0,1434,0,0,0,2.966,0.4547,0.401,0.3386,0.6337,0.4811,0.0246,0.347,0,0,0,0,0,0,0,Saint-Francois-d'Assise,1 @ 1 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,691
06060,2015,2014,8990618,0,535361,0,143702,0,505860,0,143702,0,0,0,5556,0,246873,0,454675,0,152699,0,0,0,0,83304,2049276,434547,476148,0.0506,0,0.017,0,0,584,0,0,0,1636,0,0,0,549,0,0,0,4.7159,0.9413,0.1647,0.1791,0.6451,0.2841,0.011,0.488,0,0,0,0,0,0,0,L'Ascension-de-Patapedia,1 @ 1 999,M,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,184
07005,2015,2014,9703286.74,0,482460,0,133284,0,434593,0,133284,0,37185,0,17508,0,90310,0,338008,0,695769,0,0,0,0,52660,1748288,79832,365393,0.031,0,0.0717,0,0,544,0,0,0,1114,0,0,0,2577,0,0,0,21.8996,0.8408,0.1212,0.1928,0.5855,0.3067,0.0403,0.2078,0,0,0,0,0,0,0,Sainte-Marguerite-Marie,1 @ 1 999,M,AR070,La Matapedia,01,Bas-Saint-Laurent,193
07010,2015,2014,16028436.696,0,584309,0,239124,0,563001,0,239124,0,752,0,10880,0,251926,0,540121,0,1181818,0,0,0,0,0,1692452,260082,348883,0.0337,0,0.0737,0,0,662,0,0,0,1427,0,0,0,3127,0,0,0,6.5074,0.6197,0,0,0.6605,0.4247,0.0193,0.4475,0,0,0,0,0,0,0,Sainte-Florence,1 @ 1 999,M,AR070,La Matapedia,01,Bas-Saint-Laurent,414
