"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg" 
68035,Saint-Cyprien-de-Napierville,M,1999,1.00,129848200.00,6453700.00,17108100.00,42864600.00,218631400.00,7719700.00,422625700.00,300.00,0.00,484000.00,0.00,0.00,0.00,0.00,0.00,0.00,423110000.00,01,1 @ 1 999,AR680,Les Jardins-de-Napierville,,,16,Montérégie
68040,Saint-Jacques-le-Mineur,M,1817,1.00,123898600.00,7045100.00,15959500.00,17653600.00,152443300.00,5619100.00,322619200.00,100.00,0.00,121400.00,0.00,0.00,0.00,947771.50,0.00,0.00,323688471.50,01,1 @ 1 999,AR680,Les Jardins-de-Napierville,,,16,Montérégie
68045,Saint-Édouard,M,1365,1.04,103880712.00,7162168.00,2343432.00,9898096.00,123130384.00,1248104.00,247662896.00,0.00,0.00,0.00,0.00,457228.20,0.00,453195.60,0.00,0.00,248573319.80,01,1 @ 1 999,AR680,Les Jardins-de-Napierville,,,16,Montérégie
68050,Saint-Michel,M,3455,1.01,253875216.00,66705955.00,3294216.00,23625516.00,156802500.00,7420571.00,511723974.00,0.00,0.00,0.00,0.00,380628.60,0.00,1246452.62,0.00,0.00,513351055.22,02,2 000 @ 9 999,AR680,Les Jardins-de-Napierville,,,16,Montérégie
68055,Saint-Rémi,V,8660,1.00,482238700.00,198528300.00,18832400.00,173959600.00,201115900.00,20894900.00,1095569800.00,0.00,0.00,204400.00,1534600.00,5613382.50,0.00,7259275.00,0.00,0.00,1110181457.50,02,2 000 @ 9 999,AR680,Les Jardins-de-Napierville,,,16,Montérégie
69005,Havelock,CT,740,1.10,35893220.00,2991780.00,12231230.00,5267460.00,86675050.00,1130030.00,144188770.00,0.00,0.00,0.00,152570.00,0.00,0.00,0.00,0.00,0.00,144341340.00,01,1 @ 1 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69010,Franklin,M,1702,1.08,91727748.00,10149084.00,13960080.00,27228420.00,120749292.00,5109480.00,268924104.00,0.00,0.00,5076.00,0.00,485951.40,0.00,955363.68,375.30,0.00,270370870.38,01,1 @ 1 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69017,Saint-Chrysostome,M,2704,1.10,157879920.00,19331730.00,6198170.00,17042080.00,143642840.00,4454340.00,348549080.00,0.00,0.00,4840.00,493130.00,0.00,0.00,1524413.00,1432978.80,0.00,352004441.80,02,2 000 @ 9 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69025,Howick,M,810,1.02,45345732.00,9033120.00,862410.00,3870696.00,305592.00,2302344.00,61719894.00,0.00,0.00,248370.00,0.00,0.00,0.00,3339557.01,29702.91,0.00,65337523.92,01,1 @ 1 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69030,Très-Saint-Sacrement,P,1229,1.10,74671080.00,5110160.00,2731080.00,1803340.00,185231640.00,1049070.00,270596370.00,0.00,0.00,0.00,1112540.00,0.00,0.00,0.00,9862.05,0.00,271718772.05,01,1 @ 1 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69037,Ormstown,M,3652,1.09,194121588.00,37742340.00,9312415.00,41284295.00,188073287.00,6734347.00,477268272.00,0.00,0.00,2160489.00,218763.00,9288623.03,0.00,2380979.65,9591264.80,0.00,500908391.47,02,2 000 @ 9 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
