"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0710","RFU0750","RFU0755","RFU0760","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg"
5055,"Saint-Siméon","P",1196,"1.00","67670200.00","13564600.00","7429000.00","5851100.00","3170000.00","3782000.00","101466900.00","0.00","101466900.00","0.00","0.00","0.00","0.00","48400.00","159900.00","0.00","0.00","720005.00","0.00","0.00","102395205.00",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5060,"Caplan","M",2011,"1.00","118993100.00","19943000.00","15923000.00","16005900.00","5963500.00","7224400.00","184052900.00","0.00","184052900.00","0.00","0.00","0.00","0.00","56600.00","102500.00","2629809.00","0.00","1020948.50","1144.00","0.00","187863901.50",2,"2 000 @ 9 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5065,"Saint-Alphonse","M",730,"1.04","28212912.00","2349360.00","5691296.00","3188848.00","2340104.00","4479488.00","46262008.00","0.00","46262008.00","0.00","0.00","0.00","0.00","0.00","52832.00","0.00","0.00","795949.44","4907.76","0.00","47115697.20",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5070,"New Richmond","V",3787,"1.04","188672016.00","32745960.00","22558952.00","68447496.00","7736872.00","12292384.00","332453680.00","0.00","332453680.00","0.00","0.00","0.00","0.00","887120.00","58552.00","1807252.20","0.00","3089360.56","2195999.52","0.00","340491964.28",2,"2 000 @ 9 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5077,"Cascapédia--Saint-Jules","M",768,"1.00","48140300.00","4392900.00","7484100.00","5364600.00","1446300.00","7249200.00","74077400.00","0.00","74077400.00","0.00","0.00","0.00","0.00","266800.00","57400.00","0.00","0.00","0.00","929.50","0.00","74402529.50",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
6005,"Maria","M",2715,"1.06","168640594.00","23806964.00","19679960.00","19729356.00","4282294.00","9924780.00","246063948.00","0.00","246063948.00","0.00","0.00","0.00","0.00","27772.00","282808.00","34498870.77","0.00","3715832.12","7048.47","0.00","284596279.36",2,"2 000 @ 9 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6013,"Carleton-sur-Mer","V",4141,"1.01","263232664.00","33038312.00","32267177.00","54340080.60","5771443.00","14830436.00","403480112.60","0.00","403480112.60","0.00","0.00","3333.00","0.00","38986.00","370670.00","542452.82","5108581.01","2529185.95","12907636.89","0.00","424980958.26",2,"2 000 @ 9 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6020,"Nouvelle","M",1703,"1.02","91485126.00","12748164.00","12866076.00","19755339.60","3625182.00","10839438.00","151319325.60","0.00","151319325.60","0.00","0.00","0.00","0.00","4391304.00","154938.00","0.00","31976.49","1433220.36","0.00","0.00","157330764.45",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6025,"Escuminac","M",535,"1.00","32583000.00","2859400.00","9376100.00","1865100.00","1366900.00","8353700.00","56404200.00","0.00","56404200.00","0.00","0.00","0.00","0.00","295600.00","53400.00","0.00","0.00","1135062.50","0.00","0.00","57888262.50",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6030,"Pointe-à-la-Croix","M",1355,"0.98","47369672.00","11856922.00","9276680.00","14109844.00","115150.00","5116384.00","87844652.00","0.00","87844652.00","0.00","0.00","0.00","0.00","165620.00","2076522.00","316913.87","0.00","2096424.33","140.14","0.00","92500272.34",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6035,"Ristigouche-Partie-Sud-Est","CT",166,"0.98","10723062.00","419538.00","2427558.00","600642.00","386806.00","1326234.00","15883840.00","0.00","15883840.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15883840.00",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6040,"Saint-André-de-Restigouche","M",156,"1.04","5071768.00","658528.00","1244256.00","2429960.00","2095600.00","1320072.00","12820184.00","0.00","12820184.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2602.60","0.00","12822786.60",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6045,"Matapédia","M",627,"1.00","20255200.00","4514300.00","5397200.00","3939640.00","1818600.00","3871100.00","39796040.00","0.00","39796040.00","0.00","0.00","0.00","0.00","3866600.00","118100.00","3953417.00","0.00","0.00","6497276.50","0.00","54231433.50",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6050,"Saint-Alexis-de-Matapédia","M",516,"1.03","17294833.00","2014165.00","3022329.00","1104366.00","3113896.00","2592407.00","29141996.00","0.00","29141996.00","0.00","0.00","0.00","0.00","1957.00","46453.00","0.00","0.00","525530.72","0.00","0.00","29715936.72",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6055,"Saint-François-d'Assise","M",671,"1.02","21850950.00","2688924.00","3275526.00","1288260.00","1022652.00","4713420.00","34839732.00","0.00","34839732.00","0.00","0.00","0.00","0.00","0.00","54468.00","0.00","0.00","854302.02","1458.60","0.00","35749960.62",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
6060,"L'Ascension-de-Patapédia","M",158,"1.20","5888280.00","82200.00","1124520.00","2821440.00","2825400.00","2177160.00","14919000.00","0.00","14919000.00","0.00","0.00","0.00","0.00","0.00","63240.00","0.00","0.00","0.00","0.00","0.00","14982240.00",1,"1 @ 1 999","AR060","Avignon",,,11,"Gaspésie--Îles-de-la-Madeleine"
7005,"Sainte-Marguerite-Marie","M",177,"1.02","4599384.00","347412.00","370056.00","6957012.00","0.00","53550.00","12327414.00","0.00","12327414.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","802.23","0.00","12328216.23",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7010,"Sainte-Florence","M",383,"1.03","9801583.00","1513070.00","506451.00","8463407.00","1815478.00","164285.00","22264274.00","0.00","22264274.00","0.00","0.00","0.00","0.00","0.00","26574.00","0.00","0.00","0.00","0.00","0.00","22290848.00",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7018,"Causapscal","V",2248,"1.12","71525440.00","15507184.00","5339488.00","30592139.20","10076640.00","1440880.00","134481771.20","0.00","134481771.20","0.00","0.00","0.00","0.00","29680.00","0.00","284298.56","0.00","1659658.00","6362916.56","0.00","142818324.32",2,"2 000 @ 9 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7025,"Albertville","M",228,"1.18","7053804.00","420316.00","1340716.00","12151168.00","3226828.00","327214.00","24520046.00","0.00","24520046.00","0.00","0.00","0.00","0.00","0.00","41300.00","0.00","0.00","183589.12","168.74","0.00","24745103.86",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7030,"Saint-Léon-le-Grand","P",983,"1.08","34661844.00","1388124.00","2171124.00","15404364.00","12981708.00","677052.00","67284216.00","0.00","67284216.00","0.00","0.00","0.00","0.00","2916.00","59292.00","0.00","0.00","1011118.68","0.00","0.00","68357542.68",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7035,"Saint-Zénon-du-Lac-Humqui","P",355,"1.39","16648864.00","569344.00","8093136.00","19763854.00","4607850.00","729750.00","50412798.00","0.00","50412798.00","0.00","0.00","0.00","0.00","0.00","43090.00","0.00","0.00","0.00","0.00","0.00","50455888.00",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7040,"Sainte-Irène","P",351,"1.12","17444000.00","607040.00","11622240.00","13326992.00","7505008.00","971264.00","51476544.00","0.00","51476544.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","188828.64","0.00","0.00","51665372.64",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7047,"Amqui","V",6145,"1.00","296154800.00","64767300.00","53270700.00","92972100.00","30597200.00","6518700.00","544280800.00","0.00","544280800.00","0.00","0.00","100.00","0.00","797800.00","453500.00","11368038.50","1556574.50","8335112.50","12197113.50","0.00","578989039.00",2,"2 000 @ 9 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7057,"Lac-au-Saumon","M",1424,"1.19","48155016.00","5480664.00","4274361.00","14097811.00","11128404.00","1072547.00","84208803.00","0.00","84208803.00","0.00","0.00","1547.00","0.00","395675.00","83419.00","8465423.79","0.00","904538.64","0.00","0.00","94059406.42",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7065,"Saint-Alexandre-des-Lacs","P",275,"1.03","9834955.00","268933.00","766732.00","7771762.00","1379170.00","297258.00","20318810.00","0.00","20318810.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20318810.00",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7070,"Saint-Tharcisius","P",407,"1.01","9659539.00","944653.00","395617.00","8681152.00","7709633.00","61711.00","27452305.00","0.00","27452305.00","0.00","0.00","0.00","0.00","0.00","36461.00","0.00","0.00","471780.60","0.00","0.00","27960546.60",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7075,"Saint-Vianney","M",449,"1.01","12077378.00","1245936.00","1200587.00","14339172.00","1731746.00","263913.00","30858732.00","0.00","30858732.00","0.00","0.00","0.00","0.00","0.00","32219.00","0.00","0.00","481962.91","0.00","0.00","31372913.91",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7080,"Val-Brillant","M",930,"1.14","50871360.00","3635802.00","8196828.00","6992076.00","18879540.00","2580390.00","91155996.00","11215.32","91144780.68","0.00","0.00","0.00","0.00","87096.00","99978.00","0.00","0.00","973636.95","0.00","0.00","92305491.63",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7085,"Sayabec","M",1779,"1.04","60515520.00","8309080.00","6432920.00","57590624.00","8693048.00","1907672.00","143448864.00","0.00","143448864.00","0.00","0.00","312.00","0.00","0.00","94744.00","533607.36","0.00","1103353.68","2907624.72","0.00","148088505.76",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7090,"Saint-Cléophas","P",334,"1.02","7215174.00","91290.00","654942.00","12885456.00","2557446.00","100572.00","23504880.00","0.00","23504880.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23504880.00",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7095,"Saint-Moïse","P",556,"1.25","18295250.00","1872500.00","2038000.00","19062375.00","5388625.00","836875.00","47493625.00","0.00","47493625.00","0.00","0.00","0.00","0.00","0.00","56375.00","144706.25","0.00","476815.63","0.00","0.00","48171521.88",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7100,"Saint-Noël","VL",400,"1.01","10096364.00","533886.00","485305.00","4799621.00","4042222.00","179679.00","20137077.00","0.00","20137077.00","0.00","0.00","0.00","0.00","0.00","58580.00","0.00","0.00","401298.76","0.00","0.00","20596955.76",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
7105,"Saint-Damase","P",366,"1.02","11891160.00","566814.00","831606.00","11458476.00","8349108.00","466242.00","33563406.00","0.00","33563406.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","355679.61","0.00","0.00","33919085.61",1,"1 @ 1 999","AR070","La Matapédia",,,1,"Bas-Saint-Laurent"
8005,"Les Méchins","M",973,"1.00","40625200.00","4938900.00","9720600.00","21999700.00","596600.00","1213600.00","79094600.00","0.00","79094600.00","0.00","0.00","0.00","0.00","139600.00","40600.00","0.00","0.00","1134848.00","0.00","0.00","80409648.00",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8010,"Saint-Jean-de-Cherbourg","P",173,"1.01","4492480.00","0.00","2071409.00","3446726.00","99889.00","242198.00","10352702.00","0.00","10352702.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4693.98","0.00","10357395.98",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8015,"Grosses-Roches","M",381,"1.00","18282000.00","1190200.00","6286800.00","976800.00","357200.00","4564200.00","31657200.00","0.00","31657200.00","0.00","0.00","0.00","0.00","41800.00","41100.00","0.00","0.00","343057.00","0.00","0.00","32083157.00",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8023,"Sainte-Félicité","M",1142,"1.00","51748000.00","4322600.00","8746000.00","4022000.00","8580200.00","498400.00","77917200.00","0.00","77917200.00","0.00","0.00","0.00","0.00","0.00","65100.00","0.00","0.00","1186328.00","0.00","0.00","79168628.00",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8030,"Saint-Adelme","P",518,"1.01","19220906.00","1081811.00","5358959.00","6670040.00","5138678.00","413696.00","37884090.00","0.00","37884090.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","681926.25","0.00","0.00","38566016.25",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8035,"Saint-René-de-Matane","M",951,"0.98","42864220.00","2561426.00","11222764.00","2329852.00","2213918.00","3154326.00","64346506.00","0.00","64346506.00","0.00","0.00","0.00","0.00","10780.00","36750.00","0.00","0.00","1675934.26","0.00","0.00","66069970.26",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8040,"Sainte-Paule","M",268,"1.01","17790443.00","471367.00","13310285.00","1685084.00","1041613.00","1205031.00","35503823.00","0.00","35503823.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","199241.19","794.37","0.00","35703858.55",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8053,"Matane","V",13868,"1.00","620324400.00","153974700.00","75775800.00","277206300.00","26718700.00","12534000.00","1166533900.00","0.00","1166533900.00","0.00","0.00","41900.00","0.00","8262600.00","12021300.00","29863314.00","28761856.50","12300359.50","21299921.50","0.00","1279085151.50",3,"10 000 @ 24 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8065,"Saint-Léandre","P",366,"1.00","17217500.00","430000.00","5091400.00","759300.00","8138100.00","1031400.00","32667700.00","0.00","32667700.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","567281.00","0.00","0.00","33234981.00",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8073,"Saint-Ulric","M",1563,"1.00","81634700.00","5744900.00","20292400.00","5644800.00","20272100.00","2983000.00","136571900.00","0.00","136571900.00","0.00","0.00","0.00","0.00","15500.00","1100.00","0.00","0.00","1270698.00","1358.50","0.00","137860556.50",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
8080,"Baie-des-Sables","M",618,"1.03","32197594.00","2554297.00","3497571.00","5052871.00","13151864.00","937094.00","57391291.00","0.00","57391291.00","0.00","0.00","0.00","0.00","18025.00","41715.00","0.00","0.00","1006064.35","0.00","0.00","58457095.35",1,"1 @ 1 999","AR080","La Matanie",,,1,"Bas-Saint-Laurent"
9005,"La Rédemption","P",428,"0.99","12578544.00","684387.00","2249379.00","5878026.00","3489156.00","1578555.00","26458047.00","0.00","26458047.00","0.00","0.00","0.00","0.00","0.00","33264.00","0.00","0.00","629207.87","0.00","0.00","27120518.87",1,"1 @ 1 999","AR090","La Mitis",,,1,"Bas-Saint-Laurent"
9010,"Saint-Charles-Garnier","P",238,"1.01","8890121.00","243814.00","2473692.00","2112617.00","4010003.00","1369055.00","19099302.00","0.00","19099302.00","0.00","0.00","0.00","0.00","0.00","29189.00","0.00","0.00","0.00","0.00","0.00","19128491.00",1,"1 @ 1 999","AR090","La Mitis",,,1,"Bas-Saint-Laurent"
9015,"Les Hauteurs","M",482,"1.10","11546700.00","669900.00","1553860.00","2817100.00","19041880.00","944350.00","36573790.00","0.00","36573790.00","0.00","0.00","0.00","0.00","0.00","55330.00","0.00","0.00","658457.80","78.65","0.00","37287656.45",1,"1 @ 1 999","AR090","La Mitis",,,1,"Bas-Saint-Laurent"
9020,"Sainte-Jeanne-d'Arc","P",273,"1.10","10454950.00","206140.00","3894440.00","6887760.00","5517930.00","1886060.00","28847280.00","0.00","28847280.00","0.00","0.00","0.00","0.00","0.00","42020.00","0.00","0.00","581852.70","0.00","0.00","29471152.70",1,"1 @ 1 999","AR090","La Mitis",,,1,"Bas-Saint-Laurent"
