Date,Moyen,Site,Nombre,Montant
2019-02-01,"MOBL","Longueuil, Gaétan-Boucher",2816,246635
2019-02-01,"MOBL","Longueuil, Roland-Therrien",3012,258494
2019-02-01,"MOBL","Longueuil, Taschereau",115,9501
2019-02-01,"MOBL","Marieville (Mobile)",5252,447788
2019-02-01,"MOBL","Marieville, rte 112",2505,310985
2019-02-01,"MOBL","Mirabel, A-50",207,18027
2019-02-01,"MOBL","Montmagny, rte 283",51,5655
2019-02-01,"MOBL","Montréal, A-13 CHANTIER -80",1626,450032
2019-02-01,"MOBL","Montréal, A-40 CHANTIER -90",90,23392
2019-02-01,"MOBL","Montréal, Boul. Henri-Bourassa Est -50",102,20565
2019-02-01,"MOBL","Montréal, Boul. Pie-IX -50",85,8057
2019-02-01,"MOBL","Montréal, école Marc-Laflamme/Le Prélude",41,3683
2019-02-01,"MOBL","Montréal, école secondaire St-Laurent",31,2923
2019-02-01,"MOBL","Montréal (Mobile)",38898,3253823
2019-02-01,"MOBL","Montréal, Notre-Dame E",2452,227123
2019-02-01,"MOBL","Montréal, Rue Sherbrooke -50",7,864
2019-02-01,"MOBL","Noyan, rte 202",26,2312
2019-02-01,"MOBL","Prévost , rte 117 - 50",5115,476321
2019-02-01,"MOBL","Prévost , rte 117 - 70",163,13835
2019-02-01,"MOBL","Québec,  10e Avenue Est",6,491
2019-02-01,"MOBL","Québec, 18e Rue (138)",76,7470
2019-02-01,"MOBL","Québec,  1re Avenue",1390,128094
2019-02-01,"MOBL","Québec, A-740",13248,1296763
2019-02-01,"MOBL","Québec, aut.40 est, 80",1372,270516
2019-02-01,"MOBL","Québec, aut.73 sud, 80",4151,791873
2019-02-01,"MOBL","Québec, aut.973 nord, 80",483,93121
2019-02-01,"MOBL","Québec, Bélair",95,10062
2019-02-01,"MOBL","Québec,  Bourdages",6,468
2019-02-01,"MOBL","Québec,  Bouvier",2139,215194
2019-02-01,"MOBL","Québec,  Careau",99,9082
2019-02-01,"MOBL","Québec, Champlain (Gilmour)",2263,228889
2019-02-01,"MOBL","Québec, Champlain (Nouvelle-France)",1405,132842
2019-02-01,"MOBL","Québec,  Chaudière",170,16146
2019-02-01,"MOBL","Québec, Chauveau Ouest",2157,210780
2019-02-01,"MOBL","Québec,  Clemenceau",789,75268
2019-02-01,"MOBL","Québec, Daim",1,78
2019-02-01,"MOBL","Québec,  des Platanes",520,49095
2019-02-01,"MOBL","Québec, école Anne-Hébert",188,22307
2019-02-01,"MOBL","Québec, école Coeur-Vaillant-Campanile",1505,151260
2019-02-01,"MOBL","Québec, école Ste-Odile",10,1082
2019-02-01,"MOBL","Québec, école St-Yves",48,4220
2019-02-01,"MOBL","Québec, Etna",5,493
2019-02-01,"MOBL","Québec,  Francheville",415,43703
2019-02-01,"MOBL","Québec,  Grande Allée Ouest",271,25223
2019-02-01,"MOBL","Québec, Henri-Bourassa (Duf.-Montmorency)",2324,256306
2019-02-01,"MOBL","Québec, Henri-Bourassa (Louis-XIV)",736,70512
2019-02-01,"MOBL","Québec,  Jacques-Bédard",157,14235
2019-02-01,"MOBL","Québec, Jean-XXIII",73,7243
2019-02-01,"MOBL","Québec,  Louis-XIV (Bourg-Royal)",2687,248205
2019-02-01,"MOBL","Québec,  Louis-XIV (Pierre-Bertrand )",1945,187948
2019-02-01,"MOBL","Québec,  Louis-XIV (Raymond)",620,57038
2019-02-01,"MOBL","Québec,  Marguerite-Bourgeoys",2,156
2019-02-01,"MOBL","Québec,  Montagne-des-Roches",39,3548
2019-02-01,"MOBL","Québec,  Moreau",12,1596
2019-02-01,"MOBL","Québec,  Mousseigne",18,1471
2019-02-01,"MOBL","Québec Pont Pierre-Laporte Nord",147,23486
2019-02-01,"MOBL","Québec Pont Pierre-Laporte Sud",204,36967
2019-02-01,"MOBL","Québec,  Promenade-des-Soeurs",278,24285
2019-02-01,"MOBL","Québec, Quatre-Bourgeois",1125,100136
2019-02-01,"MOBL","Québec, Raymond",10,863
2019-02-01,"MOBL","Québec,  Sainte-Thérèse",126,11704
2019-02-01,"MOBL","Québec,  Saint-Jacques",676,63719
2019-02-01,"MOBL","Québec,  Triquet",16,1227
2019-02-01,"MOBL","Québec,  Val-Bélair",3,277
2019-02-01,"MOBL","Québec,  Vénus",17,1408
2019-02-01,"MOBL","Richelieu (Mobile)",489,137556
2019-02-01,"MOBL","Robert Bourassa (Mobile)",1756,445242
2019-02-01,"MOBL","Route 112",49,7966
2019-02-01,"MOBL","Route 138 Ste-Anne de-Beaupré",4372,374328
2019-02-01,"MOBL","Route 138 St-Tite-des-Caps",4738,396601
2019-02-01,"MOBL","Route 158 St-Jacques et Crabtree",1000,84692
2019-02-01,"MOBL","Route 340 St-Lazare",139,10485
2019-02-01,"MOBL","Route 340 Vaudreuil-Dorion",507,39961
2019-02-01,"MOBL","Route 341 L'Épiphanie",642,58709
2019-02-01,"MOBL","Route 367 Ste-Cath.-de-la-Jacques-Cartier",743,62834
2019-02-01,"MOBL","Saint-Augustin de Desmaures, Aut-40, 80",1618,322724
2019-02-01,"MOBL","Saint-Augustin-de-Desmaures,  Fossambault",694,75923
2019-02-01,"MOBL","Saint-Augustin-de-Desmaures, Hêtrière",296,26389
2019-02-01,"MOBL","Sainte-Catherine-de-la-Jacques-Cartier, Rte 367-90",6,615
2019-02-01,"MOBL","Saint-Roch-de-Richelieu, A-30 CHANTIER -90",3,753
2019-02-01,"MOBL","Saint-Vallier (Mobile)",432,117916
2019-02-01,"MOBL","Senneville , Aut.40  km 40 -80",70,31925
2019-02-01,"MOBL","Sorel-Tracy, rte 132",1156,99405
2019-02-01,"MOBL","St-Apollinaire (Mobile)",1931,502924
2019-02-01,"MOBL","St-Apollinaire, rte 273",6,502
2019-02-01,"MOBL","St-Aubert, rte 204",4,336
2019-02-01,"MOBL","St-Blaise, rte 223",44,3837
2019-02-01,"MOBL","St-Bruno, Sir-Wilfrid-Laurier",3523,301892
2019-02-01,"MOBL","St-Césaire, rte 112",5622,523264
2019-02-01,"MOBL","St-Charles-de-Bellechasse,rte 279",78,6694
2019-02-01,"MOBL","St-Chrysostome, rte 209",51,5087
2019-02-01,"MOBL","St-Constant, A-30",19,2641
2019-02-01,"MOBL","St-Cyprien-de-Napierville, rte 219",85,8919
2019-02-01,"MOBL","St-Dominique, rte 137",100,9588
2019-02-01,"MOBL","Ste-Adèle, école St-Joseph",214,18497
2019-02-01,"MOBL","Ste-Agathe-des-Monts, rte 329",22,2682
2019-02-01,"MOBL","Ste-Anne-de-Sabrevois, rte 133",1988,201446
2019-02-01,"MOBL","Ste-Brigide-d'Iberville, rte 233",127,11910
2019-02-01,"MOBL","Ste-Geneviève-de-Berthier, rte 158",3408,314859
2019-02-01,"MOBL","Ste-Julienne, rte 337",339,29460
2019-02-01,"MOBL","Ste-Marceline-de-Kildare, rte 343",375,31443
2019-02-01,"MOBL","Ste-Marie-Madeleine, rte 116",2097,204812
2019-02-01,"MOBL","Ste-Martine, rte 138",1443,117701
2019-02-01,"MOBL","St-Esprit, rte 125",604,59781
2019-02-01,"MOBL","St-Félix-de-Valois, rte 131",481,42906
2019-02-01,"MOBL","St-Frédéric, rte 112",101,8862
2019-02-01,"MOBL","St-Gabriel-de-Brandon, rte 348",28,3250
2019-02-01,"MOBL","St-Gabriel-de-Valcartier, rte 371",24,2425
2019-02-01,"MOBL","St-Georges, école polyvalente des Deux Rives",81,9995
2019-02-01,"MOBL","St-Gilles, rte 269",334,31346
2019-02-01,"MOBL","St-Hyacinthe, école primaire St-Thomas d'Aquin",989,141476
2019-02-01,"MOBL","St-Isidore route du Vieux-Moulin",499,46495
2019-02-01,"MOBL","St-Jacques, rte 158",20,2115
2019-02-01,"MOBL","St-Jean-de-Matha, rte 131",290,27614
2019-02-01,"MOBL","St-Jean-Port-Joli, rte 204",33,2712
2019-02-01,"MOBL","St-Lazare, rte 340",5,434
2019-02-01,"MOBL","St-Lin, rte 335",839,70238
2019-02-01,"MOBL","St-Marc-Sur-Richelieu, école des Trois-Temps",7,585
2019-02-01,"MOBL","St-Marc-sur-Richelieu, rte 223",423,36608
2019-02-01,"MOBL","St-Nicolas (Mobile)",5639,1392224
2019-02-01,"MOBL","Stoneham (Mobile)",534,138573
2019-02-01,"MOBL","St-Patrice-de-Sher (Mobile)",1090,301716
2019-02-01,"MOBL","St-Paul, rte 158",29,2709
2019-02-01,"MOBL","St-Prosper, école  polyvalente des Abénakis",13,1131
2019-02-01,"MOBL","St-Prosper, rte 275",47,4250
2019-02-01,"MOBL","St-Raymond, rte 365",72,5907
2019-02-01,"MOBL","St-Rémi, rte 221",253,22515
2019-02-01,"MOBL","St-Stanislas-de-Kostka, rte 132",382,37700
2019-02-01,"MOBL","Terrebonne, A-640 CHANTIER -80",548,153049
2019-02-01,"MOBL","Très-St-Sacrement, rte 138",111,9323
2019-02-01,"MOBL","Val-Alain, A-20 km259, chantier-80",30,17372
2019-02-01,"MOBL","Val-Alain, Aut.20 KM 263 CHANTIER -80",51,13596
2019-02-01,"MOBL","Vallée-Jonction, rte 112",151,14679
2019-02-01,"MOBL","Vaudreuil-Dorion, A-40 EST",18498,3921135
2019-02-01,"MOBL","Vaudreuil-Dorion, Aut.40 CHANTIER -80",7,1888
2019-02-01,"MOBL","Vaudreuil-Dorion (Mobile)",14696,3868631
2019-02-01,"MOBL","Vaudreuil-Dorion, rte 340",585,48646
2019-02-01,"FERG","À Brossard, à l'intersection du boulevard Taschereau et de l'avenue Panama, sur le boulevard Taschereau en direction sud",397,67016
2019-02-01,"FERG","À Gatineau, à l'intersection du boulevard Maisonneuve et du boulevard Sacré-Coeur, sur le boulevard Maisonneuve en direction nord",344,58120
2019-02-01,"FERG","À L'Ange-Gardien, à l'intersection de la route 138 et de la rue Casgrain, sur la route 138 en direction nord-est",180,30393
2019-02-01,"FERG","À Laval, sur la route 117, dénommée boulevard Curé-Labelle, à l'intersection du boulevard Dagenais Ouest, en direction nord",258,43646
