stationId,polluant,valeur,date,heure
99,"NO2",3,"2025-01-23",2
99,"PM",12,"2025-01-23",2
103,"O3",18,"2025-01-23",2
103,"NO2",1,"2025-01-23",2
103,"PM",15,"2025-01-23",2
3,"NO2",2,"2025-01-23",3
3,"PM",13,"2025-01-23",3
6,"SO2",1,"2025-01-23",3
6,"O3",11,"2025-01-23",3
6,"NO2",5,"2025-01-23",3
6,"PM",20,"2025-01-23",3
17,"O3",14,"2025-01-23",3
17,"NO2",3,"2025-01-23",3
17,"PM",15,"2025-01-23",3
28,"CO",1,"2025-01-23",3
28,"O3",15,"2025-01-23",3
28,"NO2",3,"2025-01-23",3
28,"PM",14,"2025-01-23",3
31,"SO2",1,"2025-01-23",3
31,"CO",1,"2025-01-23",3
31,"O3",17,"2025-01-23",3
31,"NO2",2,"2025-01-23",3
31,"PM",14,"2025-01-23",3
50,"PM",12,"2025-01-23",3
55,"O3",8,"2025-01-23",3
55,"NO2",5,"2025-01-23",3
55,"PM",15,"2025-01-23",3
66,"O3",16,"2025-01-23",3
66,"NO2",2,"2025-01-23",3
66,"PM",10,"2025-01-23",3
80,"SO2",1,"2025-01-23",3
80,"O3",17,"2025-01-23",3
80,"NO2",3,"2025-01-23",3
80,"PM",12,"2025-01-23",3
99,"SO2",1,"2025-01-23",3
99,"O3",15,"2025-01-23",3
99,"NO2",4,"2025-01-23",3
99,"PM",11,"2025-01-23",3
103,"O3",19,"2025-01-23",3
103,"NO2",1,"2025-01-23",3
103,"PM",13,"2025-01-23",3
3,"SO2",1,"2025-01-23",7
3,"O3",18,"2025-01-23",7
3,"NO2",2,"2025-01-23",7
3,"PM",10,"2025-01-23",7
6,"SO2",1,"2025-01-23",7
6,"O3",10,"2025-01-23",7
6,"NO2",6,"2025-01-23",7
6,"PM",12,"2025-01-23",7
17,"O3",14,"2025-01-23",7
17,"NO2",4,"2025-01-23",7
17,"PM",11,"2025-01-23",7
28,"CO",1,"2025-01-23",7
28,"O3",10,"2025-01-23",7
28,"NO2",5,"2025-01-23",7
28,"PM",11,"2025-01-23",7
31,"SO2",1,"2025-01-23",7
31,"CO",1,"2025-01-23",7
31,"O3",2,"2025-01-23",7
31,"NO2",10,"2025-01-23",7
31,"PM",12,"2025-01-23",7
50,"PM",10,"2025-01-23",7
55,"O3",8,"2025-01-23",7
55,"NO2",6,"2025-01-23",7
55,"PM",10,"2025-01-23",7
66,"O3",10,"2025-01-23",7
66,"NO2",5,"2025-01-23",7
66,"PM",10,"2025-01-23",7
80,"SO2",1,"2025-01-23",7
80,"O3",7,"2025-01-23",7
80,"NO2",7,"2025-01-23",7
80,"PM",10,"2025-01-23",7
99,"SO2",1,"2025-01-23",7
99,"O3",15,"2025-01-23",7
99,"NO2",4,"2025-01-23",7
99,"PM",10,"2025-01-23",7
103,"O3",19,"2025-01-23",7
103,"NO2",1,"2025-01-23",7
103,"PM",11,"2025-01-23",7
3,"SO2",1,"2025-01-23",5
3,"O3",17,"2025-01-23",5
3,"NO2",3,"2025-01-23",5
3,"PM",11,"2025-01-23",5
6,"SO2",1,"2025-01-23",5
6,"O3",15,"2025-01-23",5
6,"NO2",4,"2025-01-23",5
6,"PM",17,"2025-01-23",5
17,"O3",17,"2025-01-23",5
17,"NO2",2,"2025-01-23",5
17,"PM",12,"2025-01-23",5
28,"CO",1,"2025-01-23",5
28,"O3",16,"2025-01-23",5
28,"NO2",3,"2025-01-23",5
28,"PM",12,"2025-01-23",5
31,"SO2",1,"2025-01-23",5
31,"CO",1,"2025-01-23",5
31,"O3",19,"2025-01-23",5
31,"NO2",2,"2025-01-23",5
31,"PM",11,"2025-01-23",5
50,"PM",11,"2025-01-23",5
55,"O3",10,"2025-01-23",5
55,"NO2",5,"2025-01-23",5
55,"PM",13,"2025-01-23",5
66,"O3",19,"2025-01-23",5
66,"NO2",1,"2025-01-23",5
66,"PM",9,"2025-01-23",5
80,"SO2",1,"2025-01-23",5
80,"O3",18,"2025-01-23",5
80,"NO2",2,"2025-01-23",5
