Sexe,Annee,Nombre_de_travailleurs,Pourcentage_de_la_population_agee_de_18_ans_et_plus_travailleurs,Gains_reel_moyen_des_travailleurs,Nombre_de_cotisants,Pourcentage_de_la_population_agee_de_18_ans_et_plus_cotisants,Gains_reels_moyen_des_cotisants,Gains_admissibles_moyen_des_cotisants,Cotisation_moyenne
F ,1971,789933,42.1,3676,744649,39.7,4028,3456,100.6
F ,1972,840112,43.9,3892,798352,41.7,4236,3546,104.45
F ,1973,901311,46.1,4287,849091,43.4,4697,3863,111.38
F ,1974,949712,47.5,4955,912043,45.6,5325,4336,129.75
F ,1975,996430,48.7,5478,967720,47.3,5825,4836,148.73
F ,1976,1045649,50.1,6628,1012870,48.6,7067,5583,172.5
F ,1977,1068471,50.5,7058,1037026,49,7528,6135,187.61
F ,1978,1104432,51.5,7688,1070876,49.9,8194,6770,206.15
F ,1979,1137770,52.2,8404,1100759,50.5,8979,7511,227.74
F ,1980,1177176,53.3,9489,1129080,51.1,10198,8438,252.16
F ,1981,1214328,54.2,10499,1167687,52.1,11235,9328,279.55
F ,1982,1185300,52.3,11536,1131430,49.9,12475,10345,305.98
F ,1983,1204679,52.6,11818,1140996,49.8,12840,11180,325.94
F ,1984,1252774,54.3,12505,1179272,51.1,13611,12092,348.28
F ,1985,1290293,55.4,13033,1199170,51.5,14307,13060,366.91
F ,1986,1333952,56.8,13538,1228473,52.3,14935,13891,385.26
F ,1987,1394659,58.8,14488,1293727,54.5,15852,14404,428.48
F ,1988,1449931,60.4,15228,1348598,56.2,16585,14971,471.73
F ,1989,1486802,61.3,15980,1383311,57,17359,15680,520.77
F ,1990,1504324,61.6,17279,1396836,57.2,18764,16597,581.06
F ,1991,1489737,60.7,18052,1370897,55.9,19745,17471,634.65
F ,1992,1477598,60,18844,1352685,54.9,20692,18361,691.93
F ,1993,1476553,59.7,19366,1347078,54.5,21312,18936,741.56
F ,1994,1503762,60.6,19533,1355209,54.6,21694,19350,785.06
F ,1995,1518658,60.9,19977,1371025,55,22121,19665,833.14
F ,1996,1524743,60.9,20383,1370728,54.8,22640,20026,877.5
F ,1997,1556459,61.9,20729,1400774,55.7,22959,20222,955.7
F ,1998,1629919,55.9,20905.94,1459435,50.1,23466.77,20658.48,1113.01
F ,1999,1682190,57.2,21657.82,1517378,51.6,24105.36,21083.12,1249.22
F ,2000,1763371,59.5,22845.57,1580777,53.3,25540.85,21656.61,1404.7
F ,2001,1774738,59.3,23754.37,1613328,54,26183.37,22212.22,1597.65
F ,2002,1810648,60.1,24570.16,1651341,54.8,26973.22,22720.41,1796.12
F ,2003,1857174,61.1,25208.9,1680936,55.3,27866.22,23389.92,1958.91
F ,2004,1874425,61.2,26180.97,1705594,55.7,28780.4,23932.63,2014.03
F ,2005,1884249,61,27072.64,1730905,56.1,29474.93,24361.31,2056.88
F ,2006,1912169,61.4,27900.34,1758115,56.5,30336.12,24954.22,2117.81
F ,2007,1960861,62.3,29317.5,1792075,56.9,32050.54,26068.15,2230.58
F ,2008,1963072,61.6,30534.5,1815226,57,32998.38,26845.98,2308.55
F ,2009,1969404,61,31159.58,1823174,56.5,33624.19,27457.69,2370.13
F ,2010,1986625,60.8,31847.09,1845642,56.5,34232.5,27984.9,2423.6
F ,2011,2029078,61.5,32813.55,1880348,57,35352.23,28756.36,2501.02
F ,2012,2043322,61.5,33786.42,1905047,57.3,36174.11,29618.61,2625.91
F ,2013,2064101,61.7,34582.45,1918812,57.4,37122.53,30307.35,2736.01
F ,2014,2069549,61.7,35477.25,1930372,57.5,37950.52,31048.57,2854.04
F ,2015,2071889,61.5,36072.63,1933959,57.4,38551.26,31595.02,2953.94
F ,2016,2083802,61.5,36797.94,1943360,57.3,39347.8,32324,3074.95
F ,2017,2111250,61.7,37949.54,1973858,57.7,40477,32932.01,3185.77
F ,2018,2140573,61.9,39502.28,2005733,58,42039.53,33877.5,3289.32
