ï»¿NO_LAMPE,TYPE_LAMPE,NO_CIVIQUE,NOMRUEAC,TYPEAC,PARTAC 
115-1301-1,IND,1678,Saint-FranÃ§ois-Xavier,rue,
115-302-1,DEL,820,Whitehead,rue,
115-1302-1,DEL,1736,Saint-FranÃ§ois-Xavier,rue,
115-1293-1,DEL,,Sainte-Catherine,rue,
115-1266-1,DEL,861,Saint-Jacques,rue,
115-1303-1,DEL,1849,Saint-FranÃ§ois-Xavier,rue,
115-1304-1,DEL,1864,Saint-FranÃ§ois-Xavier,rue,
115-357-1,DEL,820,Gingras,rue,
115-358-1,DEL,,Gingras,rue,
115-1305-1,DEL,,Saint-FranÃ§ois-Xavier,rue,
115-362-1,DEL,798,Williams,rue,
115-1306-1,DEL,,Saint-FranÃ§ois-Xavier,rue,
120-103-1,SHP,,Williams - Jutras,ruelle,
115-371-1,DEL,781,Jutras,rue,
120-104-1,DEL,,Williams - Jutras,ruelle,
115-1307-1,DEL,2080,Saint-FranÃ§ois-Xavier,rue,
115-331-1,DEL,719,Godbout,rue,
115-1308-1,DEL,,Saint-FranÃ§ois-Xavier,rue,
115-394-1,IND,687,LanctÃ´t,rue,
115-393-1,DEL,,LanctÃ´t,rue,
115-392-1,DEL,571,LanctÃ´t,rue,
115-391-1,DEL,507,LanctÃ´t,rue,
115-332-1,DEL,643,Godbout,rue,
115-333-1,DEL,543,Godbout,rue,
115-1276-1,DEL,,Thibodeau,rue,
115-370-1,DEL,715,Jutras,rue,
120-105-1,DEL,,Williams - Jutras,ruelle,
115-369-1,DEL,635,Jutras,rue,
115-1275-1,DEL,,Thibodeau,rue,
115-365-1,DEL,576,Williams,rue,
115-364-1,DEL,656,Williams,rue,
115-363-1,DEL,728,Williams,rue,
115-356-1,DEL,798,Gingras,rue,
115-355-1,DEL,744,Gingras,rue,
115-354-1,DEL,694,Gingras,rue,
115-1274-1,DEL,,Saint-FranÃ§ois-d'Assise,rue,
115-1273-1,DEL,,Saint-FranÃ§ois-d'Assise,rue,
115-1272-1,DEL,,Saint-FranÃ§ois-d'Assise,rue,
115-1264-1,DEL,811,Saint-Jacques,rue,
115-1265-1,DEL,827,Saint-Jacques,rue,
115-1292-1,DEL,824,Sainte-Catherine,rue,
115-1291-1,DEL,820,Sainte-Catherine,rue,
115-1290-1,DEL,786,Sainte-Catherine,rue,
115-1289-1,DEL,757,Sainte-Catherine,rue,
115-315-1,DEL,,Sainte-Cath - Saint-Chris 1,ruelle,
115-1283-1,DEL,820,Saint-Christophe,rue,
115-1282-1,DEL,788,Saint-Christophe,rue,
115-303-1,DEL,796,Whitehead,rue,
115-304-1,DEL,740,Whitehead,rue,
115-305-1,DEL,678,Whitehead,rue,
115-1281-1,DEL,724,Saint-Christophe,rue,
115-306-1,DEL,608,Whitehead,rue,
120-150-1,DEL,,Saint-FranÃ§-X - St-Paul 1,ruelle,
115-317-1,DEL,1769,Saint-Paul,rue,
120-139-1,DEL,,Sainte-Cath - Saint-Chris 3,ruelle,
115-1277-1,DEL,,Saint-Christophe,rue,
115-1278-1,DEL,606,Saint-Christophe,rue,
115-1279-1,DEL,644,Saint-Christophe,rue,
120-138-1,DEL,,Saint-FranÃ§-X - St-Paul 2,ruelle,
115-1280-1,DEL,672,Saint-Christophe,rue,
115-1284-1,DEL,,Sainte-Catherine,rue,
115-1285-1,DEL,631,Sainte-Catherine,rue,
115-1286-1,DEL,661,Sainte-Catherine,rue,
115-1287-1,DEL,685,Sainte-Catherine,rue,
115-1288-1,DEL,707,Sainte-Catherine,rue,
115-1240-1,DEL,,Le Caron,rue,
115-1256-1,DEL,,Le Caron,rue,
115-1256-2,DEL,,Le Caron,rue,
115-353-1,DEL,668,Gingras,rue,
115-352-1,DEL,632,Gingras,rue,
115-318-1,DEL,1800,Saint-Paul,rue,
115-319-1,DEL,,Saint-Paul,rue,
115-320-1,DEL,1870,Saint-Paul,rue,
115-351-1,DEL,544,Gingras,rue,
115-350-1,DEL,478,Gingras,rue,
115-399-1,DEL,,Du HÃ©risson,rue,
120-110-1,DEL,,Saint-FranÃ§-X - Du HÃ©risson,ruelle,
120-130-1,DEL,,Williams,rue,
115-366-1,DEL,516,Williams,rue,
115-367-1,DEL,481,Jutras,rue,
115-368-1,DEL,573,Jutras,rue,
115-398-1,DEL,,Du HÃ©risson,rue,
115-397-1,DEL,2109,Du HÃ©risson,rue,
120-435-1,DEL,,Williams,rue,
120-436-1,DEL,400,Williams,rue,
120-437-1,DEL,300,Williams,rue,
120-438-1,DEL,250,Williams,rue,
115-1314-1,DEL,2020,Nicolas-Perrot,rue,
120-89-1,DEL,215,Mailhot,rue,
120-89-2,DEL,215,Mailhot,rue,
120-88-1,DEL,270,Mailhot,rue,
120-88-2,DEL,270,Mailhot,rue,
120-87-1,DEL,380,Mailhot,rue,
120-87-2,DEL,380,Mailhot,rue,
115-1257-1,DEL,400,Mailhot,rue,
115-1315-1,DEL,2040,Nicolas-Perrot,rue,
120-82-2,DEL,230,DÃ©silets,rue,
120-82-1,DEL,230,DÃ©silets,rue,
120-83-2,DEL,290,DÃ©silets,rue,
120-83-1,DEL,290,DÃ©silets,rue,
120-84-2,DEL,360,DÃ©silets,rue,
120-84-1,DEL,360,DÃ©silets,rue,
115-335-1,DEL,430,DÃ©silets,rue,
115-1316-1,IND,2100,Nicolas-Perrot,rue,
120-107-2,DEL,262,Farmer,rue,
120-107-1,DEL,262,Farmer,rue,
120-131-2,DEL,320,Farmer,rue,
120-131-1,DEL,320,Farmer,rue,
120-133-2,DEL,380,Farmer,rue,
120-133-1,DEL,380,Farmer,rue,
115-330-1,DEL,440,Farmer,rue,
120-141-2,DEL,375,Tourigny,rue,
120-141-1,DEL,375,Tourigny,rue,
120-140-2,DEL,435,Tourigny,rue,
120-140-1,DEL,435,Tourigny,rue,
158-4-1,DEL,485,Tourigny,rue,
158-5-1,DEL,495,Tourigny,rue,
115-1034-1,DEL,2025,Chenaux,boulevard,des
115-1035-1,DEL,2020,Chenaux,boulevard,des
115-1036-1,DEL,2060,Chenaux,boulevard,des
115-1037-1,DEL,2075,Chenaux,boulevard,des
120-80-2,DEL,,DÃ©silets,rue,
120-80-1,DEL,,DÃ©silets,rue,
120-81-1,DEL,176,DÃ©silets,rue,
120-81-2,DEL,176,DÃ©silets,rue,
115-1038-1,DEL,2101,Chenaux,boulevard,des
115-1039-1,DEL,2151,Chenaux,boulevard,des
115-1040-1,DEL,,Chenaux,boulevard,des
120-108-2,DEL,140,Farmer,rue,
120-108-1,DEL,140,Farmer,rue,
120-109-2,DEL,200,Farmer,rue,
120-109-1,DEL,200,Farmer,rue,
115-1043-1,DEL,2183,Chenaux,boulevard,des
115-1070-1,DEL,,Chenaux,boulevard,des
120-143-2,DEL,,Tourigny,rue,
120-143-1,DEL,,Tourigny,rue,
120-142-2,DEL,223,Tourigny,rue,
120-142-1,DEL,223,Tourigny,rue,
115-1317-1,DEL,2155,Nicolas-Perrot,rue,
120-74-2,DEL,250,Tourigny,rue,
120-74-1,DEL,250,Tourigny,rue,
120-73-2,DEL,295,Tourigny,rue,
120-73-1,DEL,295,Tourigny,rue,
75-3-1,DEL,,Nicolas-Perrot,rue,
75-4-1,DEL,2220,Nicolas-Perrot,rue,
158-1-1,DEL,,Ringuet,rue,
158-2-1,DEL,305,Ringuet,rue,
158-3-1,DEL,275,Ringuet,rue,
158-6-1,DEL,235,Ringuet,rue,
158-7-1,DEL,205,Ringuet,rue,
158-8-1,DEL,175,Ringuet,rue,
158-9-1,DEL,145,Ringuet,rue,
75-5-1,DEL,2250,Nicolas-Perrot,rue,
75-6-1,IND,2290,Nicolas-Perrot,rue,
75-13-1,DEL,100,Landry,rue,
75-12-1,DEL,120,Landry,rue,
75-11-1,DEL,150,Landry,rue,
75-10-1,DEL,180,Landry,rue,
75-2-1,DEL,105,Ringuet,rue,
75-7-1,DEL,2310,Nicolas-Perrot,rue,
75-8-1,DEL,2340,Nicolas-Perrot,rue,
75-9-1,DEL,,Nicolas-Perrot,rue,
115-1076-1,DEL,2191,Chenaux,boulevard,des
115-1087-1,DEL,2195,Chenaux,boulevard,des
115-1088-1,DEL,2201,Chenaux,boulevard,des
115-3-1,DEL,2203,Chenaux,boulevard,des
115-7-1,DEL,2209,Chenaux,boulevard,des
120-66-1,DEL,2213,Chenaux,boulevard,des
120-67-1,DEL,2219,Chenaux,boulevard,des
120-68-1,DEL,2223,Chenaux,boulevard,des
120-69-1,DEL,2225,Chenaux,boulevard,des
75-1-1,DEL,75,Ringuet,rue,
120-70-1,DEL,2235,Chenaux,boulevard,des
121-5-1,SHP,,Chenaux,boulevard,des
121-5-2,SHP,,Chenaux,boulevard,des
121-4-1,SHP,,Chenaux,boulevard,des
121-4-2,SHP,,Chenaux,boulevard,des
121-3-1,SHP,,Chenaux,boulevard,des
121-3-2,SHP,,Chenaux,boulevard,des
121-9-1,SHP,,Chenaux,boulevard,des
121-9-2,SHP,,Chenaux,boulevard,des
121-2-1,SHP,,Chenaux,boulevard,des
121-2-2,SHP,,Chenaux,boulevard,des
121-7-1,SHP,,Saint-Louis,boulevard,
121-7-2,SHP,,Saint-Louis,boulevard,
121-8-1,SHP,3331,Saint-Louis,boulevard,
121-8-2,SHP,3331,Saint-Louis,boulevard,
120-120-1,DEL,3215,Saint-Louis,boulevard,
115-1311-1,DEL,3331,Saint-Louis,boulevard,
121-1-1,SHP,2310,Chenaux,boulevard,des
121-1-2,SHP,2310,Chenaux,boulevard,des
115-1310-1,DEL,,Saint-Louis,boulevard,
120-160-1,DEL,2843,Saint-Louis,boulevard,
120-161-1,DEL,2965,Saint-Louis,boulevard,
120-162-1,DEL,3105,Saint-Louis,boulevard,
115-379-1,DEL,,Lajoie,rue,
115-380-1,DEL,2855,Lajoie,rue,
115-381-1,DEL,3035,Lajoie,rue,
115-382-1,DEL,3201,Lajoie,rue,
115-383-1,DEL,3285,Lajoie,rue,
115-42-1,DEL,2350,Chenaux,boulevard,des
115-36-1,DEL,2333,Chenaux,boulevard,des
74-3-1,DEL,2805,De Normanville,rue,
74-4-1,DEL,2845,De Normanville,rue,
74-5-1,DEL,2885,De Normanville,rue,
74-6-1,DEL,2925,De Normanville,rue,
74-7-1,DEL,2975,De Normanville,rue,
74-8-1,DEL,3015,De Normanville,rue,
74-9-1,DEL,3050,De Normanville,rue,
64-25-1,DEL,2400,Chenaux,boulevard,des
115-1692-1,DEL,3320,De Courval,rue,
115-1691-1,DEL,3425,De Courval,rue,
115-1690-1,IND,3445,De Courval,rue,
115-1689-1,DEL,3485,De Courval,rue,
115-1688-1,DEL,3515,De Courval,rue,
115-1687-1,DEL,3533,De Courval,rue,
115-1686-1,DEL,3565,De Courval,rue,
120-372-1,DEL,1080,PÃ¨re-Marsolet,rue,du
120-382-1,DEL,3230,Houde,rue,
115-710-1,DEL,1085,Viger,rue,
115-751-1,DEL,,Papineau,rue,
115-749-1,DEL,3225,Papineau,rue,
120-375-1,DEL,3250,RenÃ©-Kimber,rue,
115-753-1,DEL,3243,Papineau,rue,
120-376-1,DEL,3288,RenÃ©-Kimber,rue,
115-754-1,DEL,3259,Papineau,rue,
115-752-1,DEL,3335,Houde,rue,
115-742-1,DEL,1110,RenÃ©-Kimber,rue,
115-755-1,DEL,3265,Papineau,rue,
115-775-1,IND,,Marguerite-Bourgeoys,rue,
115-776-1,IND,1080,Marguerite-Bourgeoys,rue,
115-756-1,IND,3267,Papineau,rue,
120-357-1,DEL,3305,Papineau,rue,
120-358-1,DEL,3345,Papineau,rue,
115-704-1,IND,,Cinq-Mars,rue,
115-705-1,DEL,1150,Cinq-Mars,rue,
115-706-1,DEL,1180,Cinq-Mars,rue,
120-360-1,DEL,3585,Papineau,rue,
59-104-1,DEL,3053,Louis-Pasteur,rue,
59-103-1,DEL,3085,Louis-Pasteur,rue,
59-102-1,DEL,3105,Louis-Pasteur,rue,
115-1743-1,DEL,975,PÃ¨re-Marquette,rue,du
115-1704-1,DEL,3185,Foucher,rue,
115-1703-1,DEL,3185,Foucher,rue,
115-730-1,DEL,3168,Berthelot,rue,
59-101-1,DEL,3125,Louis-Pasteur,rue,
59-100-1,DEL,3140,Louis-Pasteur,rue,
115-729-1,DEL,3214,Berthelot,rue,
115-1702-1,DEL,3225,Foucher,rue,
59-99-1,DEL,3150,Louis-Pasteur,rue,
59-98-1,DEL,3170,Louis-Pasteur,rue,
59-22-1,DEL,3275,Louis-Pasteur,rue,
115-707-1,DEL,955,Viger,rue,
115-708-1,DEL,,Viger,rue,
115-709-1,DEL,1035,Viger,rue,
115-786-1,DEL,,Viger,rue,
115-799-1,DEL,3270,Foucher,rue,
115-798-1,DEL,3245,Foucher,rue,
115-797-1,DEL,3255,Foucher,rue,
115-796-1,DEL,3275,Foucher,rue,
115-777-1,IND,1056,Marguerite-Bourgeoys,rue,
115-778-1,DEL,1022,Marguerite-Bourgeoys,rue,
120-363-1,DEL,3235,Provencher,rue,
120-362-1,DEL,3255,Provencher,rue,
120-364-1,DEL,3323,Foucher,rue,
120-386-1,DEL,3343,Foucher,rue,
120-361-1,DEL,3325,Provencher,rue,
120-377-1,DEL,1045,Cinq-Mars,rue,
115-702-1,DEL,935,Cinq-Mars,rue,
120-385-1,DEL,3355,Foucher,rue,
120-384-1,DEL,3550,Foucher,rue,
120-383-1,DEL,3475,Foucher,rue,
115-781-1,IND,930,Marguerite-Bourgeoys,rue,
115-782-1,IND,900,Marguerite-Bourgeoys,rue,
115-783-1,IND,,Marguerite-Bourgeoys,rue,
115-784-1,IND,806,Marguerite-Bourgeoys,rue,
115-785-1,IND,794,Marguerite-Bourgeoys,rue,
59-1-1,DEL,,Marguerite-Bourgeoys,rue,
59-21-1,DEL,3305,Louis-Pasteur,rue,
59-20-1,DEL,3355,Louis-Pasteur,rue,
59-18-1,DEL,3250,Louis-Pasteur,rue,
59-17-1,DEL,3375,Louis-Pasteur,rue,
59-16-1,DEL,3280,Louis-Pasteur,rue,
59-15-1,DEL,3310,Louis-Pasteur,rue,
59-14-1,DEL,3381,Louis-Pasteur,rue,
59-13-1,DEL,3395,Louis-Pasteur,rue,
59-12-1,DEL,3405,Louis-Pasteur,rue,
59-11-1,DEL,3415,Louis-Pasteur,rue,
59-10-1,DEL,,Louis-Pasteur,rue,
70-2-1,DEL,,Carmel,boulevard,du
70-1-1,DEL,,Carmel,boulevard,du
59-23-1,DEL,,Carmel,boulevard,du
59-24-1,DEL,,Carmel,boulevard,du
59-50-1,DEL,,Carmel,boulevard,du
59-4-1,DEL,2211,De Normanville,rue,
59-7-1,DEL,,Carmel,boulevard,du
59-93-2,DEL,,Laviolette,boulevard,
59-93-1,DEL,,Laviolette,boulevard,
59-92-2,DEL,,Laviolette,boulevard,
59-92-1,DEL,,Laviolette,boulevard,
59-91-2,DEL,2700,Laviolette,boulevard,
59-91-1,DEL,2700,Laviolette,boulevard,
59-90-2,DEL,2200,Laviolette,boulevard,
59-90-1,DEL,2200,Laviolette,boulevard,
59-89-2,DEL,,Laviolette,boulevard,
59-89-1,DEL,,Laviolette,boulevard,
59-5-1,DEL,2220,Marie-Leneuf,rue,
59-6-1,DEL,2221,Marie-Leneuf,rue,
59-88-2,DEL,2840,Laviolette,boulevard,
59-88-1,DEL,2840,Laviolette,boulevard,
59-87-2,DEL,2888,Laviolette,boulevard,
59-87-1,DEL,2888,Laviolette,boulevard,
59-86-2,DEL,2964,Laviolette,boulevard,
59-86-1,DEL,2964,Laviolette,boulevard,
59-85-2,DEL,3010,Laviolette,boulevard,
59-85-1,DEL,3010,Laviolette,boulevard,
59-84-2,DEL,3130,Laviolette,boulevard,
59-84-1,DEL,3130,Laviolette,boulevard,
59-83-2,DEL,3200,Laviolette,boulevard,
59-83-1,DEL,3200,Laviolette,boulevard,
59-82-2,DEL,3250,Laviolette,boulevard,
59-82-1,DEL,3250,Laviolette,boulevard,
59-81-2,DEL,3340,Laviolette,boulevard,
59-81-1,DEL,3340,Laviolette,boulevard,
59-80-2,DEL,3400,Laviolette,boulevard,
59-80-1,DEL,3400,Laviolette,boulevard,
59-79-2,DEL,3460,Laviolette,boulevard,
59-79-1,DEL,3460,Laviolette,boulevard,
59-78-2,DEL,3500,Laviolette,boulevard,
59-78-1,DEL,3500,Laviolette,boulevard,
59-77-2,DEL,3500,Laviolette,boulevard,
59-77-1,DEL,3500,Laviolette,boulevard,
59-73-1,DEL,,Laviolette,boulevard,
59-75-1,DEL,3530,Laviolette,boulevard,
59-76-1,DEL,,Laviolette,boulevard,
59-55-1,DEL,,Laviolette,boulevard,
59-54-1,DEL,,Laviolette,boulevard,
59-53-1,DEL,,Laviolette,boulevard,
59-52-1,DEL,,Laviolette,boulevard,
59-51-1,DEL,,RÃ©collets,boulevard,des
59-62-1,DEL,,RÃ©collets,boulevard,des
59-63-1,DEL,,RÃ©collets,boulevard,des
59-64-1,DEL,,RÃ©collets,boulevard,des
59-49-1,DEL,,RÃ©collets,boulevard,des
59-49-2,DEL,,RÃ©collets,boulevard,des
59-48-1,DEL,855,RÃ©collets,boulevard,des
59-48-2,DEL,855,RÃ©collets,boulevard,des
59-47-1,DEL,875,RÃ©collets,boulevard,des
59-47-2,DEL,875,RÃ©collets,boulevard,des
59-46-1,DEL,,RÃ©collets,boulevard,des
59-46-2,DEL,,RÃ©collets,boulevard,des
59-45-1,DEL,915,RÃ©collets,boulevard,des
59-45-2,DEL,915,RÃ©collets,boulevard,des
59-44-1,DEL,935,RÃ©collets,boulevard,des
59-44-2,DEL,935,RÃ©collets,boulevard,des
59-43-1,DEL,965,RÃ©collets,boulevard,des
59-43-2,DEL,965,RÃ©collets,boulevard,des
59-42-1,DEL,1015,RÃ©collets,boulevard,des
59-42-2,DEL,1015,RÃ©collets,boulevard,des
59-41-1,DEL,1043,RÃ©collets,boulevard,des
59-41-2,DEL,1043,RÃ©collets,boulevard,des
59-40-1,DEL,1065,RÃ©collets,boulevard,des
59-40-2,DEL,1065,RÃ©collets,boulevard,des
59-39-1,DEL,,RÃ©collets,boulevard,des
59-39-2,DEL,,RÃ©collets,boulevard,des
59-38-1,DEL,1125,RÃ©collets,boulevard,des
59-38-2,DEL,1125,RÃ©collets,boulevard,des
59-37-1,DEL,1135,RÃ©collets,boulevard,des
59-37-2,DEL,1135,RÃ©collets,boulevard,des
59-36-1,DEL,1175,RÃ©collets,boulevard,des
59-36-2,DEL,1175,RÃ©collets,boulevard,des
59-65-1,DEL,3605,Papineau,rue,
59-65-2,DEL,3605,Papineau,rue,
120-530-1,DEL,1075,ChÃ¢taigniers,rue,des
120-529-1,DEL,1055,ChÃ¢taigniers,rue,des
115-1331-1,DEL,,Tilleuls,rue,des
115-90-1,DEL,1035,ChÃ¢taigniers,rue,des
115-1332-1,DEL,1020,Tilleuls,rue,des
120-240-1,IND,3600,Foucher,rue,
120-241-1,DEL,3640,Foucher,rue,
115-430-1,DEL,1010,Saules,rue,des
115-429-1,DEL,980,Saules,rue,des
115-428-1,DEL,940,Saules,rue,des
115-1326-1,DEL,,PinÃ¨de,rue,de la
115-1327-1,DEL,3615,PinÃ¨de,rue,de la
115-1328-1,DEL,3665,PinÃ¨de,rue,de la
115-1329-1,DEL,3685,PinÃ¨de,rue,de la
115-427-1,DEL,920,Saules,rue,des
108-1-1,DEL,3715,PinÃ¨de,rue,de la
108-1-2,DEL,3715,PinÃ¨de,rue,de la
115-1330-1,DEL,3725,PinÃ¨de,rue,de la
120-228-1,DEL,920,MÃ©lÃ¨zes,rue,des
120-169-1,DEL,941,MÃ©lÃ¨zes,rue,des
120-229-1,DEL,971,MÃ©lÃ¨zes,rue,des
115-1318-1,DEL,910,MÃ©lÃ¨zes,rue,des
108-3-1,DEL,3790,PinÃ¨de,rue,de la
108-4-1,DEL,3820,PinÃ¨de,rue,de la
59-97-2,DEL,2195,Carmel,boulevard,du
59-97-1,DEL,2195,Carmel,boulevard,du
59-66-2,DEL,2225,Carmel,boulevard,du
59-66-1,DEL,2225,Carmel,boulevard,du
143-1-1,DEL,2330,Carmel,boulevard,du
143-1-2,DEL,2330,Carmel,boulevard,du
143-2-1,DEL,2360,Carmel,boulevard,du
143-2-2,DEL,2360,Carmel,boulevard,du
143-3-1,DEL,2420,Carmel,boulevard,du
143-3-2,DEL,2420,Carmel,boulevard,du
120-452-1,DEL,2480,Carmel,boulevard,du
120-452-2,DEL,2480,Carmel,boulevard,du
120-451-1,DEL,2520,Carmel,boulevard,du
120-451-2,DEL,2520,Carmel,boulevard,du
120-450-1,DEL,2560,Carmel,boulevard,du
120-450-2,DEL,2560,Carmel,boulevard,du
120-449-1,DEL,2620,Carmel,boulevard,du
120-449-2,DEL,2620,Carmel,boulevard,du
120-448-1,DEL,2676,Carmel,boulevard,du
120-448-2,DEL,2676,Carmel,boulevard,du
120-136-1,DEL,2246,Marie-Leneuf,rue,
120-137-1,DEL,2300,Marie-Leneuf,rue,
115-1104-1,DEL,,Ludger-Duvernay,rue,
120-145-1,DEL,2400,Marie-Leneuf,rue,
120-146-1,DEL,2470,Marie-Leneuf,rue,
120-147-1,DEL,2490,Marie-Leneuf,rue,
120-456-1,DEL,2841,Ludger-Duvernay,rue,
120-148-1,DEL,2540,Marie-Leneuf,rue,
120-163-1,DEL,2570,Marie-Leneuf,rue,
115-1270-1,DEL,2584,Marie-Leneuf,rue,
120-482-1,DEL,2624,Marie-Leneuf,rue,
115-1269-1,DEL,,NÃ©rÃ©e-Beauchemin,rue,
120-476-1,DEL,2680,Marie-Leneuf,rue,
120-477-1,DEL,2720,Marie-Leneuf,rue,
120-98-1,DEL,2841,NÃ©rÃ©e-Beauchemin,rue,
120-97-1,IND,2890,NÃ©rÃ©e-Beauchemin,rue,
120-96-1,DEL,2900,NÃ©rÃ©e-Beauchemin,rue,
115-128-2,IND,2510,De Vaudreuil,place,
115-128-1,IND,2510,De Vaudreuil,place,
120-455-1,DEL,2920,Ludger-Duvernay,rue,
120-78-1,DEL,2868,AbbÃ©-Dalcourt,place,de l'
115-300-1,DEL,,AbbÃ©-Dalcourt,place,de l'
120-79-2,DEL,2960,AbbÃ©-Dalcourt,place,de l'
120-79-1,DEL,2960,AbbÃ©-Dalcourt,place,de l'
120-454-1,DEL,3020,Ludger-Duvernay,rue,
120-77-1,DEL,3031,AbbÃ©-Dalcourt,place,de l'
120-537-1,DEL,,De Vaudreuil,place,
120-453-1,DEL,3094,Ludger-Duvernay,rue,
120-457-1,DEL,2390,De Vaudreuil,place,
120-458-1,DEL,,De Vaudreuil,place,
120-459-1,DEL,2355,De Vaudreuil,place,
115-126-1,DEL,,De Vaudreuil,place,
120-460-1,DEL,,Ludger-Duvernay,rue,
120-431-1,DEL,,De Vaudreuil,place,
120-430-1,DEL,,De Vaudreuil,place,
120-432-1,DEL,2427,De Vaudreuil,place,
120-432-2,IND,2427,De Vaudreuil,place,
120-434-1,DEL,2517,De Vaudreuil,place,
120-461-1,DEL,3390,Ludger-Duvernay,rue,
120-462-1,DEL,3480,Ludger-Duvernay,rue,
120-64-2,DEL,2971,Harper,place,
120-64-1,DEL,2971,Harper,place,
120-75-1,DEL,2920,Harper,place,
120-65-1,DEL,2951,Harper,place,
120-65-2,DEL,2951,Harper,place,
115-359-1,DEL,,Harper,place,
59-74-1,DEL,3570,Laviolette,boulevard,
59-56-1,DEL,3600,Laviolette,boulevard,
59-57-1,DEL,,RÃ©collets,boulevard,des
120-233-1,DEL,680,RÃ©collets,boulevard,des
120-234-1,DEL,680,RÃ©collets,boulevard,des
59-58-1,DEL,,RÃ©collets,boulevard,des
59-59-1,DEL,751,RÃ©collets,boulevard,des
59-60-1,DEL,720,RÃ©collets,boulevard,des
59-61-1,DEL,720,RÃ©collets,boulevard,des
59-71-1,DEL,,Laviolette,boulevard,
59-70-1,DEL,,Laviolette,boulevard,
59-72-1,DEL,,RÃ©collets,boulevard,des
59-69-1,DEL,,Laviolette,boulevard,
59-68-1,DEL,,Laviolette,boulevard,
120-237-1,DEL,3600,Saint-Pie-X,rue,
120-238-1,DEL,,Saint-Pie-X,rue,
120-207-1,DEL,730,Saules,rue,des
120-227-1,DEL,,Laviolette,boulevard,
120-179-1,DEL,,Laviolette,boulevard,
120-226-1,DEL,3711,Laviolette,boulevard,
115-426-1,DEL,840,Saules,rue,des
120-178-1,DEL,3731,Laviolette,boulevard,
120-165-1,IND,,MÃ©lÃ¨zes,rue,des
120-170-1,DEL,751,MÃ©lÃ¨zes,rue,des
120-170-2,DEL,751,MÃ©lÃ¨zes,rue,des
120-156-1,DEL,731,MÃ©lÃ¨zes,rue,des
120-156-2,DEL,731,MÃ©lÃ¨zes,rue,des
115-402-1,DEL,3801,Laviolette,rue,
120-249-1,DEL,,Peupliers,rue,des
120-447-1,DEL,2736,Carmel,boulevard,du
120-447-2,DEL,2736,Carmel,boulevard,du
120-446-1,DEL,2770,Carmel,boulevard,du
120-446-2,DEL,2770,Carmel,boulevard,du
120-445-1,DEL,,Carmel,boulevard,du
120-445-2,DEL,,Carmel,boulevard,du
120-444-1,DEL,2968,Carmel,boulevard,du
120-444-2,DEL,2968,Carmel,boulevard,du
120-443-2,DEL,2998,Carmel,boulevard,du
120-443-1,DEL,2998,Carmel,boulevard,du
120-168-1,IND,710,MÃ©lÃ¨zes,rue,des
120-167-1,DEL,681,MÃ©lÃ¨zes,rue,des
120-536-1,DEL,681,MÃ©lÃ¨zes,rue,des
120-166-1,DEL,661,MÃ©lÃ¨zes,rue,des
120-166-2,DEL,661,MÃ©lÃ¨zes,rue,des
74-10-1,DEL,3150,De Normanville,rue,
64-22-1,DEL,,De Normanville,rue,
64-24-1,DEL,,Chenaux,boulevard,des
64-23-1,DEL,,Chenaux,boulevard,des
64-21-1,DEL,,Chenaux,boulevard,des
64-1-1,DEL,240,Seigneuriale,terrasse,
64-20-1,DEL,,Chenaux,boulevard,des
64-2-1,DEL,260,Seigneuriale,terrasse,
64-19-1,DEL,2665,Chenaux,boulevard,des
64-18-1,DEL,,Chenaux,boulevard,des
64-3-1,DEL,270,Seigneuriale,terrasse,
64-17-1,DEL,2755,Chenaux,boulevard,des
64-4-1,DEL,290,Seigneuriale,terrasse,
120-481-1,DEL,,Marie-Leneuf,rue,
120-480-1,DEL,2790,Marie-Leneuf,rue,
120-479-1,DEL,2770,Marie-Leneuf,rue,
115-321-1,DEL,2801,De Souligny,rue,
120-478-1,DEL,2750,Marie-Leneuf,rue,
115-322-1,DEL,2915,De Souligny,rue,
115-323-1,DEL,3195,De Souligny,rue,
120-95-1,DEL,3000,NÃ©rÃ©e-Beauchemin,rue,
120-94-1,DEL,3000,NÃ©rÃ©e-Beauchemin,rue,
120-93-1,DEL,3380,NÃ©rÃ©e-Beauchemin,rue,
115-324-1,DEL,3435,De Souligny,rue,
63-1-1,DEL,,RÃ©collets,boulevard,des
63-1-2,DEL,,RÃ©collets,boulevard,des
63-2-1,DEL,,RÃ©collets,boulevard,des
63-3-1,DEL,,RÃ©collets,boulevard,des
63-4-1,DEL,641,RÃ©collets,boulevard,des
63-5-1,DEL,661,RÃ©collets,boulevard,des
120-232-1,DEL,,RÃ©collets,boulevard,des
64-16-1,DEL,,Chenaux,boulevard,des
64-15-1,DEL,,Chenaux,boulevard,des
64-5-1,DEL,320,Seigneuriale,terrasse,
64-14-1,DEL,,Chenaux,boulevard,des
64-6-1,DEL,430,Seigneuriale,terrasse,
64-13-1,DEL,,Chenaux,boulevard,des
64-12-1,DEL,,Chenaux,boulevard,des
64-7-1,DEL,450,Seigneuriale,terrasse,
120-230-1,DEL,,Le Corbusier,rue,
115-20-1,DEL,,Le Corbusier,rue,
115-25-1,DEL,,Le Corbusier,rue,
115-31-1,DEL,,Le Corbusier,rue,
115-37-1,DEL,,Le Corbusier,rue,
62-1-1,DEL,150,Le Corbusier,rue,
