ï»¿ID,MUNICIPALITE,AVIS_NO,STATUT,DATEDEBUT,DATEFIN,TYPE,SERVICE
126,Repentigny,12,Inactif,2020-03-07 23:50:00,2020-03-11 16:00:00,Avis d'Ã©bullition,Travaux publics
127,Repentigny,13,Inactif,2020-03-12 10:30:00,2020-03-13 22:00:00,Avis d'Ã©bullition,Travaux publics
129,Repentigny,14,Inactif,2020-03-17 18:40:00,2020-03-20 14:55:00,Avis d'Ã©bullition,Travaux publics
130,Repentigny,15,Inactif,2020-03-31 17:20:00,2020-04-02 17:15:00,Avis d'Ã©bullition,Travaux publics
131,Repentigny,16,Inactif,2020-04-20 19:00:00,2020-04-23 14:50:00,Avis d'Ã©bullition,Travaux publics
132,Repentigny,17,Inactif,2020-05-02 09:00:00,2020-05-05 18:30:00,Avis d'Ã©bullition,Travaux publics
133,Repentigny,18,Inactif,2020-05-04 16:00:00,2020-05-08 13:00:00,Avis d'Ã©bullition,Travaux publics
134,Repentigny,19,Inactif,2020-05-12 03:30:00,2020-05-14 16:00:00,Avis d'Ã©bullition,Travaux publics
135,Repentigny,20,Inactif,2020-05-17 14:00:00,2020-05-20 17:00:00,Avis d'Ã©bullition,Travaux publics
136,Repentigny,21,Inactif,2020-05-19 20:00:00,2020-05-25 11:00:00,Avis d'Ã©bullition,Travaux publics
137,Repentigny,23,Inactif,2020-05-26 02:00:00,2020-05-28 15:30:00,Avis d'Ã©bullition,Travaux publics
139,Repentigny,6,Inactif,2020-06-03 12:00:00,2020-06-03 21:00:00,Avis d'Ã©bullition,Gestion des infrastructures
140,Repentigny,8,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
141,Repentigny,9,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
142,Repentigny,10,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
143,Repentigny,11,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
144,Repentigny,12,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
145,Repentigny,13,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
146,Repentigny,14,Inactif,2020-06-11 14:00:00,2020-06-11 16:00:00,Avis d'Ã©bullition,Gestion des infrastructures
147,Repentigny,24,Inactif,2020-06-16 17:30:00,2020-06-18 17:00:00,Avis d'Ã©bullition,Travaux publics
148,Repentigny,25,Inactif,2020-06-18 20:30:00,2020-06-25 12:00:00,Avis d'Ã©bullition,Travaux publics
149,Repentigny,15,Inactif,2020-06-19 12:00:00,2020-06-21 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
150,Repentigny,26,Inactif,2020-06-22 18:00:00,2020-06-25 12:00:00,Avis d'Ã©bullition,Travaux publics
151,Repentigny,27,Inactif,2020-06-23 19:00:00,2020-06-26 18:00:00,Avis d'Ã©bullition,Travaux publics
152,Repentigny,28,Inactif,2020-06-24 07:00:00,2020-06-26 18:00:00,Avis d'Ã©bullition,Travaux publics
153,Repentigny,16,Inactif,2020-06-25 12:00:00,2020-07-31 16:00:00,Avis d'Ã©bullition,Gestion des infrastructures
154,Repentigny,29,Inactif,2020-07-02 23:00:00,2020-07-06 18:00:00,Avis d'Ã©bullition,Travaux publics
156,Repentigny,30,Inactif,2020-07-08 19:30:00,2020-07-10 19:00:00,Avis d'Ã©bullition,Travaux publics
157,Repentigny,17,Inactif,2020-07-13 12:00:00,2020-07-16 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
158,Repentigny,31,Inactif,2020-07-12 07:00:00,2020-07-15 01:00:00,Avis d'Ã©bullition,Travaux publics
159,Repentigny,32,Inactif,2020-07-15 08:20:00,2020-07-16 15:00:00,Avis d'Ã©bullition,Travaux publics
160,Repentigny,33,Inactif,2020-07-17 02:00:00,2020-07-20 11:25:00,Avis d'Ã©bullition,Travaux publics
161,Repentigny,34,Inactif,2020-07-19 02:15:00,2020-07-22 19:20:00,Avis d'Ã©bullition,Travaux publics
162,Repentigny,35,Inactif,2020-07-20 19:45:00,2020-07-20 19:40:00,Avis d'Ã©bullition,Travaux publics
163,Repentigny,18,AnnulÃ©,2020-07-23 22:00:00,,Avis d'Ã©bullition,Gestion des infrastructures
164,Repentigny,18,Inactif,2020-07-20 04:00:00,2020-07-27 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
165,Repentigny,19,Inactif,2020-07-24 12:00:00,2020-08-03 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
166,Repentigny,20,Inactif,2020-07-27 12:00:00,2020-07-28 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
167,Repentigny,36,Inactif,2020-07-30 20:00:00,2020-08-10 17:00:00,Avis d'Ã©bullition,Travaux publics
168,Repentigny,37,Inactif,2020-08-09 16:00:00,2020-08-12 13:00:00,Avis d'Ã©bullition,Travaux publics
169,Repentigny,38,Inactif,2020-08-11 17:00:00,2020-08-17 17:00:00,Avis d'Ã©bullition,Travaux publics
170,Repentigny,22,Inactif,2020-08-17 12:00:00,2020-08-20 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
171,Repentigny,23,Inactif,2020-08-19 00:00:00,2020-08-20 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
172,Repentigny,24,Inactif,2020-08-26 01:00:00,2020-08-31 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
173,Repentigny,39,Inactif,2020-08-26 02:15:00,2020-08-31 17:00:00,Avis d'Ã©bullition,Travaux publics
