NOM_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,SOUS_TYPE_CLIENT_PARTENAIRE,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE,RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,LATITUDE,LONGITUDE
Journal Le Brunois,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,197,rue Jauvin,Saint-Bruno,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G0W 2L0,48.471368773928937,-71.651082119049022
La Télévision communautaire de Roberval inc.,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,939,rue Saint-Jean,Roberval,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G8H 2H3,48.52001295447463,-72.224718005484448
Le Journal d'un lac à l'autre inc.,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,186,rue Principale,Lac-Bouchette,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G0W 1V0,48.262716647889789,-72.182113245203311
Radio communautaire du Saguenay inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,3877,boulevard Harvey,Jonquière,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7X 0A6,48.413132570065173,-71.249900600703242
Société d'information Lac-St-Jean,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,218,3e avenue,Dolbeau-Mistassini,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G8L 1V9,48.875644482564539,-72.22704099653923
Autour de l'Île,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,517,route des Prêtres,Saint-Pierre-de-l'Île-d'Orléans,3,Capitale-Nationale,Québec,Canada,G0A 4E0,46.888144450101045,-71.069874145732697
CKRL-MF 89 1 inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,405,3e Avenue,Québec,3,Capitale-Nationale,Québec,Canada,G1L 2W2,46.822535111609248,-71.22660838993032
Communications Basse-Ville,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,266,rue Saint-Vallier Ouest,Québec,3,Capitale-Nationale,Québec,Canada,G1K1K2,46.812217099316896,-71.236323399126363
Journal Le Lavalois,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,418,avenue Ste-Brigitte,Sainte-Brigitte-de-Laval,3,Capitale-Nationale,Québec,Canada,G0A 3K0,47.003319046922726,-71.193958145383263
La Télévision communautaire de Saint-Raymond inc.,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,31-04-01,rue Saint-Joseph,Saint-Raymond,3,Capitale-Nationale,Québec,Canada,G3L 1H4,46.889313324794713,-71.835216188420418
La Télévision d'Ici (Côte-de-Beaupré),Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,9795,boulevard Sainte-Anne,Sainte-Anne-de-Beaupré,3,Capitale-Nationale,Québec,Canada,G0A 3C0,47.022038042369417,-70.929859583045683
Radio Basse-Ville,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,335,rue Saint-Joseph Est,Québec,3,Capitale-Nationale,Québec,Canada,G1K 3B4,46.813634046101924,-71.22575458189911
Radio MF Charlevoix,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,315,chemin Cartier Nord,Saint-Hilarion,3,Capitale-Nationale,Québec,Canada,G0A 3V0,47.578124461557437,-70.402956649878362
Télévision communautaire Vents et Marées,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,764,rue Saint-Raphaël,La Malbaie,3,Capitale-Nationale,Québec,Canada,G5A2P2,47.668848081608218,-70.094324099535186
Télévision de Charlevoix-Ouest (TVCO),Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,74,rue Ambroise-Fafard,Baie-Saint-Paul,3,Capitale-Nationale,Québec,Canada,G3Z 3B6,47.438377414398296,-70.50934802029596
Bulletin communautaire Le Tour d'y voir,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,1060,rue Saint-François-Xavier,Trois-Rivières,4,Mauricie,Québec,Canada,G9A 1R8,46.351056687698858,-72.545506985282373
Coop de solidarité Radio communautaire de la MRC de Maskinongé,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,50A,rue de la Fabrique,Saint-Léon-le-Grand,4,Mauricie,Québec,Canada,J0K 2W0,46.3132358711282,-72.936038426179152
Éditions communautaires des Chenaux,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,44,chemin Rivière-à-Veillet,Sainte-Geneviève-de-Batiscan,4,Mauricie,Québec,Canada,G0X 2R0,46.539509217760546,-72.341206238109166
Journal Le Stéphanois inc.,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,1260,"rue Saint-Alphonse,  C. P. 282",Saint-Étienne-des-Grès,4,Mauricie,Québec,Canada,G0X 2P0,46.441938412152773,-72.77044181181256
La Gazette de la Mauricie,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,942A,rue Sainte-Geneviève,Trois-Rivières,4,Mauricie,Québec,Canada,G9A 3X6,46.346479688851822,-72.543741753549043
Radio Shawinigan Inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,540,avenue Broadway,Shawinigan,4,Mauricie,Québec,Canada,G9N 1M3,46.541063326108279,-72.743647075428157
Image de Bury,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,789,route 108,Bury,5,Estrie,Québec,Canada,J0B 1J0,45.511317303955366,-71.485315214090576
"Jourd'Ham, journal communautaire de la municipalité de Ham-Sud",Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,50,10e Rang Est,Saint-Joseph-de-Ham-Sud,5,Estrie,Québec,Canada,J0B 3J0,45.796832142877378,-71.66879160189967
Journal Communautaire d'Ascot Corner inc.,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,5699,rue Principale,Ascot Corner,5,Estrie,Québec,Canada,J0B 1A0,45.449992327980844,-71.765173513221541
Journal communautaire Le Reflet de Lingwick-Gould,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,72,route 108,Lingwick,5,Estrie,Québec,Canada,J0B 2Z0,45.60963927910062,-71.351851142850563
Journal communautaire Regards,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,785,rue Thibault,Sherbrooke,5,Estrie,Québec,Canada,J1H 3B3,45.375731040712694,-71.897028436526853
La Voix ferrée,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,187,rue Laurier,Sherbrooke,5,Estrie,Québec,Canada,J1H 4Z4,45.398012510863296,-71.88974376204294
Le Journal communautaire L'Info de Saint-Élie-d'Orford,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,1352,chemin de la Station,Sherbrooke,5,Estrie,Québec,Canada,J1R 0R5,45.401663512491005,-72.019415781672933
Le Journal régional du Haut-Saint-François,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,57,"rue Craig Nord, bureau 101",Cookshire-Eaton,5,Estrie,Québec,Canada,J0B 1M0,45.41297036525372,-71.630349635063041
Le Papotin inc.,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,43-A,rue Main,Dudswell,5,Estrie,Québec,Canada,J0B 1G0,45.582195950042518,-71.572769033235815
Le P'tit journal de Woburn,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,300,rue Joly,Saint-Augustin-de-Woburn,5,Estrie,Québec,Canada,G0Y 1R0,45.391713483810555,-70.873975248524019
Le Saint-Denisien,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,1745,Route 222,Saint-Denis-de-Brompton,5,Estrie,Québec,Canada,J0B 2P0,45.454885506195708,-72.073360365254572
Le Trident de Wotton,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,52,6è rang,Wotton,5,Estrie,Québec,Canada,J0A 1N0,45.786164260589672,-71.850341296941821
L'Éveil du citoyen de Weedon,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,209,rue des Érables,Weedon,5,Estrie,Québec,Canada,J0B 3J0,45.70119679581844,-71.461714545622826
L'Évènement de Scotstown-Hampden inc.,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,107,chemin Victoria Ouest,Scotstown,5,Estrie,Québec,Canada,J0B 3B0,45.523705790343961,-71.281174595133848
Radio Bishop inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,184,rue Queen,Sherbrooke,5,Estrie,Québec,Canada,J1M 1J9,45.370015639254646,-71.8569787495003
Radio communautaire de l'Estrie,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,67,rue Wellington Nord,Sherbrooke,5,Estrie,Québec,Canada,J1H 5A9,45.402460058361484,-71.891209913078669
Radio communautaire de Windsor et région inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,49,6e Avenue,Windsor,5,Estrie,Québec,Canada,J1S 1T2,45.572908569840834,-71.996912962813795
"Radio coopérative de Coaticook, Coop de solidarité",Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,39,rue Main Ouest,Coaticook,5,Estrie,Québec,Canada,J1A 1P3,45.132535824993091,-71.805883956141443
Soleil des Cantons (1982) ltée,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,257,rue Queen,Sherbrooke,5,Estrie,Québec,Canada,J1M 1K7,45.374328513258028,-71.862021600139414
Échos Montréal,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,387,rue Saint-Paul Ouest,Montréal,6,Montréal,Québec,Canada,H2Y 2A7,45.500780749378343,-73.556929534678289
Journal communautaire Le Monde inc.,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,2381,rue Alice Nolin,Montréal,6,Montréal,Québec,Canada,H4N 3G5,45.532696308600386,-73.668319265584188
Journaldesvoisins.com,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,10369,rue Clark,Montréal,6,Montréal,Québec,Canada,H3L 2S3,45.548203201945391,-73.666470311076282
La radio communautaire de LaSalle,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,55,rue Dupras,Montréal,6,Montréal,Québec,Canada,H8R 4A8,45.428533284268831,-73.66249726044957
Radio Centre-Ville Saint-Louis,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,5212,boulevard Saint-Laurent,Montréal,6,Montréal,Québec,Canada,H2T 1S1,45.523818686966052,-73.595056889388303
Radio communautaire francophone de Montréal inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,2,rue Sainte-Catherine Est,Montréal,6,Montréal,Québec,Canada,H2X 1K4,45.510055343839738,-73.563460546776639
Télévision Communautaire Frontenac,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,1850,rue Bercy,Montréal,6,Montréal,Québec,Canada,H2K 2V2,45.533448975652455,-73.549953706232628
Journal communautaire - L'Écho de Cantley,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,188,montée de la Source,Cantley,7,Outaouais,Québec,Canada,J8V 3J2,45.521925652395474,-75.772750136563758
Radio communautaire de Pontiac,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,138,rue Principale,Fort-Coulonge,7,Outaouais,Québec,Canada,J0X 1V0,45.840421848251367,-76.734514194250295
Radio communautaire F.M. de la Haute-Gatineau inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,158,rue Laurier,Maniwaki,7,Outaouais,Québec,Canada,J9E 2K7,46.375492820276072,-75.976952283902818
Télévision communautaire de la Basse-Lièvre inc.,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,150,rue Maclaren Est,Gatineau,7,Outaouais,Québec,Canada,J8L1K1,45.587273079937859,-75.413486133079147
Contact de Témiscaming,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,32,"rue Simon, C.P. 566",Témiscaming,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3R0,46.716685172603576,-79.101689979807063
Ensemble pour bâtir,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,200,rue Leblanc,Rouyn-Noranda,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 1Y0,48.241814254487885,-79.133437911510811
Journal Boum!,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,600,1re Rue Ouest,Barraute,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 1A0,48.439604908977586,-77.637005084752289
Journal communautaire de Malartic,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,550,4e Avenue,Malartic,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 1Z0,48.140909532841981,-78.122300086917534
Journal communautaire de Normétal inc.,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,56,av. du Docteur-Bigué,Normétal,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3A0,48.995799107191303,-79.365163272764889
Journal l'Alliance de Preissac,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,180,avenue du Lac,Preissac,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 2E0,48.282207756344938,-78.449223565954767
Journal le Bavard,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,150,avenue Privat,Taschereau,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3N0,48.662863493345633,-78.680131627463339
Journal Le Pont de Palmarolle,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,71,6e Avenue Ouest,Palmarolle,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3C0,48.666374471472899,-79.203337396642951
La Voie du secteur des Coteaux,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,241A,rue Principale,Champneuf,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 1E0,48.588232995823475,-77.505756384727334
L'Écho des montagnes,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,324,route 111,La Corne,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 1R0,48.354729767381528,-77.995074346785032
L'Indice bohémien,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,150,avenue du Lac,Rouyn-Noranda,8,Abitibi-Témiscamingue,Québec,Canada,J9X 4N5,48.239203110225176,-79.018097017872378
Montbeillard en bref,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,3323,rang Rochon,Rouyn-Noranda,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 2X0,48.039519789775674,-79.215576604988229
Radio Boréale,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,43,1ère Avenue Est,Amos,8,Abitibi-Témiscamingue,Québec,Canada,J9T 1H2,48.572246404414663,-78.114288211625251
Radio communautaire M.F. de Senneterre inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,121,1re Rue Est,Senneterre,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 2M0,48.393137968639849,-77.232666995017922
Télé communautaire d'Amos Région,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,69,1re Avenue Ouest,Amos,8,Abitibi-Témiscamingue,Québec,Canada,J9T 1T7,48.572242120862249,-78.117676507693801
Télévision communautaire du Témiscamingue,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,3,rue Principale Sud,Notre-Dame-du-Nord,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3B0,47.592997981561751,-79.484063688577507
tvcTK,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,1415,chemin Kipawa,Témiscaming,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3R0,46.734070413265627,-79.074158836168536
Communications Basse-Côte-Nord,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,1193,boulevard Docteur-Camille-Marcoux,Lourdes de Blanc-Sablon,9,Côte-Nord,Québec,Canada,G0G 1W0,51.420244983230454,-57.179350232196335
Journal communautaire Le Portageur,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,50,chemin d'en Haut,Natashquan,9,Côte-Nord,Québec,Canada,G0G 2E0,50.185159106347392,-61.820855681458923
Journal des villes nordiques Le Trait d'Union du Nord inc.,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,850,place Daviault,Fermont,9,Côte-Nord,Québec,Canada,G0G 1J0,52.797927263863834,-67.089275213117133
La Radio communautaire CKNA inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,29,chemin d'en Haut,Natashquan,9,Côte-Nord,Québec,Canada,G0G 2E0,50.186234027427531,-61.822291159485246
La Radio communautaire de Fermont inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,20,place Daviault,Fermont,9,Côte-Nord,Québec,Canada,G0G 1J0,52.797394794397853,-67.090317056861409
La Radio communautaire de Rivière St-Augustin inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,558,rue Principale,Saint-Augustin,9,Côte-Nord,Québec,Canada,G0G 2R0,48.802439202906641,-71.92973722714153
La Télévision du Littoral inc.,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,125,route 138 Ouest,Forestville,9,Côte-Nord,Québec,Canada,G0T 1E0,48.731938342163545,-69.094826981180617
Radio & Télévision communautaire Havre-Saint-Pierre,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,992,rue du Bouleau,Havre-Saint-Pierre,9,Côte-Nord,Québec,Canada,G0G 1P0,50.239094533585821,-63.606656704491549
Radio Anticosti,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,4A,rue du Savoy,"Port-Menier, L'île d'Anticosti",9,Côte-Nord,Québec,Canada,G0G 2Y0,49.817851734229976,-64.350446227964227
Radio Blanc-Sablon inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,1193,boul. DR Camille Marcoux,Blanc-Sablon,9,Côte-Nord,Québec,Canada,G0G 1W0,51.420244983230454,-57.179350232196335
Radio communautaire Tête-à-la-Baleine,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,38,Tête-à-la-Baleine,Côte-Nord-du-Golfe-du-Saint-Laurent,9,Côte-Nord,Québec,Canada,G0G 2W0,50.70206347715613,-59.311820189744282
Télévision régionale de la Péninsule inc.,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,113,rue Vallilée,Chute-aux-Outardes,9,Côte-Nord,Québec,Canada,G0H 1C0,49.128507125857865,-68.392861367177218
Télévision régionale Haute-Côte-Nord,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,107,rue Saint-Marcellin Ouest,Les Escoumins,9,Côte-Nord,Québec,Canada,G0T 1K0,48.342415977361327,-69.40491104458188
Radio communautaire de Radisson,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,143,avenue Jolliet,Radisson,10,Nord-du-Québec,Québec,Canada,J0Y 2X0,53.790224967150415,-77.632147493351169
Radio Matagami,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,110,boulevard Matagami,Matagami,10,Nord-du-Québec,Québec,Canada,J0Y 2A0,49.756725445503889,-77.630187237669261
Diffusion communautaire Baie-des-Chaleurs inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,1645,boulevard Perron Est,Carleton-sur-Mer,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0C 1J0,48.1270238460177,-66.043013708986948
Diffusion communautaire des Îles inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,1172,chemin de La Vernière,Les Îles-de-la-Madeleine,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G4T 1R3,47.374196024326729,-61.895440553459999
"Journal communautaire ""Le Phare""",Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,1A,rue du Vieux-Pont,Grande-Vallée,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0E 1K0,49.225459881269934,-65.125224126101941
Journal Communautaire Matapédia et les Plateaux,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,103,rue Rustico Nord,Saint-Alexis-de-Matapédia,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0J 2E0,47.971179010765567,-67.050357788599513
"Journal culturel Graffici, coopérative de solidarité",Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,190,Rue Armand-Lelièvre,New Richmond,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0C 2B0,48.166493870297401,-65.867609244399944
Radio Gaspésie inc.,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,162,rue Jacques-Cartier,Gaspé,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G4X 1M9,48.831049799243921,-64.486664252423779
Télé-Gaspé,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,37,rue Chrétien,Gaspé,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G4X 1E1,48.834078045815268,-64.48125100514423
Télé-Soleil inc.,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,1B,1re Avenue Ouest,Saint-Maxime-du-Mont-Louis,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0E 1T0,49.208176007907809,-65.724502482215883
