ï»¿ID,TYPE,REVETEMENT_SOL,MUNICIPALITE,GEOM,DATE_CREATION,DATE_MODIFICATION,LONGITUDE,LATITUDE
1226,Soccer,Gazon,Repentigny,Point,2015-06-15T15:12:31,2016-09-01T15:16:43,-73.45931,45.76845
1225,Soccer,Gazon,Repentigny,Point,2015-06-15T15:12:31,2016-09-01T15:16:43,-73.45956,45.76862
437,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.46007,45.76773
1216,Basketball,Asphalte,Repentigny,Point,2015-06-15T15:12:31,2016-09-01T15:15:59,-73.46007,45.76771
1224,Soccer,Gazon,Repentigny,Point,2015-06-15T15:12:31,2016-09-01T15:16:43,-73.46014,45.76798
1222,Soccer,Gazon,Repentigny,Point,2015-06-15T15:12:31,2016-09-01T15:16:43,-73.46037,45.76815
1223,Soccer,Gazon,Repentigny,Point,2015-06-15T15:12:31,2016-09-01T15:16:43,-73.46034,45.76785
1221,Soccer,Gazon,Repentigny,Point,2015-06-15T15:12:31,2016-09-01T15:16:43,-73.46057,45.76803
842,Volleyball,Sable,Repentigny,Point,2014-09-18T11:24:36,2016-09-01T14:54:14,-73.46067,45.76774
471,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.47238,45.76833
818,Soccer,Gazon,Repentigny,Point,2014-09-18T08:55:35,2016-09-01T15:16:43,-73.41693,45.78176
819,Soccer,Gazon,Repentigny,Point,2014-09-18T08:55:55,2016-09-01T15:16:43,-73.41667,45.78203
820,Soccer,Gazon,Repentigny,Point,2014-09-18T08:55:59,2016-09-01T15:16:43,-73.41641,45.7823
821,Soccer,Gazon,Repentigny,Point,2014-09-18T08:56:03,2016-09-01T15:16:43,-73.41615,45.78257
823,Soccer,Gazon,Repentigny,Point,2014-09-18T08:56:11,2016-09-01T15:16:43,-73.41563,45.78233
822,Soccer,Gazon,Repentigny,Point,2014-09-18T08:56:08,2016-09-01T15:16:43,-73.41589,45.78206
824,Soccer,Gazon,Repentigny,Point,2014-09-18T08:56:17,2016-09-01T15:16:43,-73.41615,45.78178
825,Soccer,Gazon,Repentigny,Point,2014-09-18T08:56:20,2016-09-01T15:16:43,-73.41641,45.78151
427,Basketball,Asphalte,Repentigny,Point,2013-01-01,2016-09-01T15:15:59,-73.41602,45.781
3696,Basketball,Asphalte,Repentigny,Point,2016-08-11T09:57:47,2016-09-01T15:15:59,-73.41589,45.78113
467,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.4784,45.72647
3699,Soccer,Gazon,Repentigny,Point,2016-08-11T10:39:34,2016-09-01T15:16:43,-73.46119,45.76084
455,Football,SynthÃ©tique,Repentigny,Point,2013-01-01,2016-09-01T15:25:23,-73.47898,45.76214
4091,Course,Surface dure,Repentigny,Point,2016-09-01T14:35:00,2016-09-01T14:43:30,-73.47907,45.76218
4092,Course,Tuile caoutchoutÃ©,Repentigny,Point,2016-09-01T14:44:24,2016-09-01T14:46:44,-73.43712,45.76137
5293,Fers,Sable,Repentigny,Point,2016-10-12T10:15:12,2016-10-12T10:26:41,-73.41696,45.77508
5294,Fers,Sable,Repentigny,Point,2016-10-12T10:15:25,2016-10-12T10:26:44,-73.41699,45.77505
5295,Fers,Sable,Repentigny,Point,2016-10-12T10:15:32,2016-10-12T10:26:46,-73.41702,45.77502
419,Baseball,Gazon,Repentigny,Point,2013-01-01,2016-10-12T15:48:55,-73.43802,45.75805
5299,Baseball,Gazon,Repentigny,Point,2016-12-23T10:58:28,2021-07-23T08:18:44,-73.43675,45.75818
428,Basketball,Asphalte,Repentigny,Point,2013-01-01,2017-09-21T10:55:05,-73.42801,45.77303
6103,Basketball,Asphalte,Repentigny,Point,2017-09-21T10:55:05,2016-09-27T14:49:41,-73.42837,45.77292
6105,Volleyball,Sable,Repentigny,Point,2017-09-21T11:12:03,2016-09-01T14:54:05,-73.45596,45.72791
2437,Volleyball,Sable,Repentigny,Point,2016-01-21T14:41:29,2017-09-21T11:12:27,-73.45563,45.72804
6106,Volleyball,Sable,Repentigny,Point,2017-09-21T11:12:27,2017-09-21T11:12:03,-73.45579,45.72798
5704,Basketball,Asphalte,Repentigny,Point,2017-01-05T15:42:49,2017-10-11T13:46:37,-73.40994,45.78879
5703,Basketball,Asphalte,Repentigny,Point,2017-01-05T15:41:02,2017-10-11T13:48:38,-73.41013,45.78865
6903,Patinoire extÃ©rieure,Glace,Repentigny,Point,2017-10-11T13:44:36,2017-10-11T13:57:15,-73.41004,45.78872
6503,Tennis,Surface dure,Repentigny,Point,2017-09-27T09:36:58,2017-10-12T10:19:45,-73.44337,45.77423
6505,Tennis,Surface dure,Repentigny,Point,2017-09-27T09:44:05,2017-10-12T10:20:22,-73.44287,45.77434
465,Soccer,Gazon,Repentigny,Point,2013-01-01,2018-08-09T16:31:00,-73.47246,45.7301
485,Soccer,Gazon,Repentigny,Point,2013-01-01,2018-08-10T09:57:41,-73.43448,45.76025
411,Baseball,Gazon,Repentigny,Point,2013-01-01,2019-05-29T08:50:18,-73.47921,45.75615
413,Baseball,Gazon,Repentigny,Point,2013-01-01,2019-05-29T08:51:07,-73.4762,45.75449
2037,PÃ©tanque,Gravelette,Repentigny,Point,2015-09-29T10:04:38,2019-08-14T16:25:39,-73.47181,45.72242
407,Volleyball,Sable,Repentigny,Point,2013-01-01,2019-08-19T16:10:26,-73.46595,45.76163
450,Tennis,Surface dure,Repentigny,Point,2013-01-01,2019-08-20T10:33:48,-73.46361,45.76599
8515,Course,Sable,Repentigny,Point,2019-08-26T15:24:47,2019-08-26T15:28:41,-73.47808,45.76239
8516,Course,Sable,Repentigny,Point,2019-08-26T15:25:02,2019-08-26T15:28:49,-73.4787,45.7615
8514,Course,Surface dure,Repentigny,Point,2019-08-26T15:23:46,2019-08-26T15:28:32,-73.47839,45.76194
423,Baseball,Gazon,Repentigny,Point,2013-01-01,2019-08-27T09:56:42,-73.42839,45.76161
448,Tennis,Surface dure,Repentigny,Point,2013-01-01,2019-08-27T13:33:31,-73.46731,45.74029
410,Baseball,Gazon,Repentigny,Point,2013-01-01,2019-08-28T13:55:27,-73.48007,45.75657
486,Soccer,Gazon,Repentigny,Point,2013-01-01,2019-08-28T14:39:36,-73.42474,45.76525
813,Skateboard,BÃ©ton,Repentigny,Point,2014-07-28T14:42:11,2019-08-30T11:18:12,-73.40888,45.78952
442,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2019-09-26T17:06:09,-73.41744,45.77427
418,Baseball,Gazon,Repentigny,Point,2013-01-01,2019-09-26T17:07:59,-73.41788,45.77396
439,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2019-09-27T10:15:23,-73.4458,45.76302
8517,Baseball,Gazon,Repentigny,Point,2019-09-27T10:16:25,2019-09-27T10:22:51,-73.44638,45.76219
8518,Baseball,Gazon,Repentigny,Point,2019-09-27T10:17:26,2019-09-27T10:22:53,-73.44651,45.76252
1231,PÃ©tanque,Gravelette,Repentigny,Point,2015-06-15T15:12:31,2019-10-08T09:41:02,-73.461,45.76732
451,Tennis,Surface dure,Repentigny,Point,2013-01-01,2019-10-08T10:08:05,-73.46046,45.76747
3293,Fers,Sable,Repentigny,Point,2016-08-08T13:59:51,2019-10-08T10:21:22,-73.4608,45.76717
3295,PÃ©tanque,Gravelette,Repentigny,Point,2016-08-08T14:01:40,2019-10-08T10:21:31,-73.46091,45.76725
6102,Tennis,Surface dure,Repentigny,Point,2017-08-17T13:21:50,2019-10-09T15:29:03,-73.45075,45.74076
