NUMÉRO,DATE D'APPROBATION,NOM DU FOURNISSEUR,SERVICE,DESCRIPTION,NUMÉRO ENTENTE-CADRE,MONTANT
1511593,2022-01-14,Regard Sécurité,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Lunettes protectrices pour les employés_bc ouvert 2022,1255847,"120,00"
1511593,2022-01-14,Regard Sécurité,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Lunettes protectrices pour les employés de Madison-bc ouvert 2022,1255847,"152,00"
1511813,2022-01-14,Matériaux paysagers Savaria ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Mélange de terre de culture et compost bovin - bc ouvert 2022 - GDD 1216954008,1468667,"9 658,85"
1511583,2022-01-14,Serrumax Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires de charpente et de clôture,N/A,"1 049,87"
1511584,2022-01-14,Les Gestions M&D Picard Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires et pièces de remplacement pour outil,N/A,"1 049,87"
1511590,2022-01-14,Quincaillerie Notre-Dame De St-Henri Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires et pièces de remplacement pour outil,N/A,"2 624,69"
1511596,2022-01-14,Regard Sécurité,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement de protection,1255847,"200,00"
1511600,2022-01-14,Regard Sécurité,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement de protection,1255847,"200,00"
1511722,2022-01-14,Carrefour Jeunesse-Emploi De Côte-Des-Neiges ,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Transport automobile,N/A,"6 000,00"
1511756,2022-01-14,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,1469292,"2 643,07"
1511784,2022-01-14,Novafor Equipement Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires vestimentaires,N/A,"774,20"
1511793,2022-01-14,Outillages Express,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement de protection,N/A,"314,91"
1511795,2022-01-14,Lave Auto 88 Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Lavage de véhicules,N/A,"1 574,81"
1511808,2022-01-14,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Produits d'entretien ménager,1048199,"508,68"
1511809,2022-01-14,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Produits de papier,1048199,"964,97"
1511831,2022-01-14,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Produits de papier,1048199,"728,73"
1511832,2022-01-14,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Appareil d'entretien,1048199,"493,81"
1511999,2022-01-17,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement d'entretien manuel,1048199,"646,68"
1512141,2022-01-17,Inter Propane Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Carburant (essence, diesel, kérosène)",N/A,"2 099,74"
1512160,2022-01-17,Go Zero Recycle Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fournitures de classement et de rangement,N/A,"4 409,06"
1502489,2022-01-18,Collège Jean-De-Brébeuf,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Organisation d'activités sportives,N/A,"1 018,14"
1512282,2022-01-18,RMB Extermination Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Extermination, fumigation",N/A,"3 149,62"
1511476,2022-01-18,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Produits d'hygiène corporelle,1048199,"60,72"
1512328,2022-01-18,Magasin René Veilleux Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires et pièces de remplacement pour outil,N/A,"1 574,81"
1512381,2022-01-18,Serrumax Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Serrurerie, ferronnerie et accessoires de portes et fenêtres",N/A,"104,99"
1512401,2022-01-18,Réno-Dépôt,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires et pièces de remplacement pour machinerie et équipement industriel,N/A,"524,94"
1512403,2022-01-18,Association Québecoise du Loisir Municipal,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Frais - Adhésion et cotisation,N/A,"1 181,11"
1512421,2022-01-18,Esri Canada Limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Logiciel et progiciel,N/A,"4 115,51"
1512594,2022-01-19,Entreprise Ziani Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Déneigement de la moitié de la chaussée à côté du trottoir (de l'entrée (Monkland) jusqu'à l'arrière du stationnement),N/A,"2 902,90"
1512523,2022-01-19,Location Gamma Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Outils manuels,N/A,"4 199,50"
1512529,2022-01-19,Inolec,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Outil électrique,N/A,"3 674,56"
1512541,2022-01-19,Tabasko Communications Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Infographie, graphisme",N/A,"15 748,12"
1512572,2022-01-19,La Compagnie De Location D'Autos Enterprise Canada.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Location - Automobile, camionnette et fourgonnette",1506805,"8 399,00"
1512580,2022-01-19,Coopérative De L'Université Laval,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,N/A,"1 773,23"
1512590,2022-01-19,Long & Mcquade Limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Matériel artistique,N/A,"80,83"
1512594,2022-01-19,Entreprise Ziani Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat)",N/A,"5 044,65"
1508329,2022-01-19,Rejean Beaudry,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat)",N/A,"8 000,00"
1508340,2022-01-19,Pierre Alarie,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat)",N/A,"8 000,00"
1512762,2022-01-19,Les Industries Poly Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Reprographie,N/A,"3 149,62"
1512764,2022-01-19,Gestion Amh 2019 Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Entrepreneur en bâtiments de tout genre,N/A,"1 721,79"
1512769,2022-01-19,Corporation Des Officiers Municipaux Agréés Du Québec,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Frais - Adhésion et cotisation,N/A,"572,18"
1512770,2022-01-19,Wolters Kluwer Canada Ltee,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Guide, brochure et affiche",N/A,"2 353,82"
1512773,2022-01-19,Gbi Experts-Conseils Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Chalet de parc Jean-Brillant et pataugeoire: caractérisation des matériaux et rapport,N/A,"25 106,70"
1512774,2022-01-19,Gbi Experts-Conseils Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ingénieur environnement,N/A,"13 462,02"
1500479,2022-01-19,Ism Art & Design,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Décoration temporaire,N/A,"209,97"
1512784,2022-01-19,Vif Communication Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Logiciel et progiciel,N/A,"3 905,53"
1512872,2022-01-19,Location Lordbec Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Remplacement de drain d'égout ,N/A,"21 916,14"
1460093,2022-01-21,Entrac Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Formation en développement organisationnel et technique,N/A,"872,71"
1513293,2022-01-21,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,N/A,"1 439,30"
1513313,2022-01-21,Extermination Inspex Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Extermination, fumigation",N/A,"818,90"
1513327,2022-01-21,Remorquage Burstall Conrad,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Remorquage pour opération de déneigement,N/A,"839,90"
1513324,2022-01-21,Uline Canada Corp,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"457,16"
1513360,2022-01-21,Guay Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Location - Véhicule lourd, machinerie lourde et camion avec équipement spécialisé",N/A,"7 475,11"
1513751,2022-01-24,Demix Béton,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Béton prémélangé_bc ouvert 2022_GDD 1206954008,1479642,"44 525,19"
1513751,2022-01-24,Demix Béton,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Béton prémélangé - bc ouvert 2022 - GDD 1216954008,1479642,"472,44"
1513571,2022-01-24,Technologies Stay Connected Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Logiciel et progiciel,N/A,"11 721,85"
1513653,2022-01-24,Novafor Equipement Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement de protection,N/A,"363,20"
1508309,2022-01-25,R.M. Leduc & Cie Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fournitures de classement et de rangement,N/A,"110,66"
1513820,2022-01-25,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Appareil d'entretien,1048199,"4 199,50"
1513860,2022-01-25,Bouty Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Chaise et fauteuil ergonomique,N/A,"2 557,84"
1513862,2022-01-25,Xylème Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Abattage, émondage, élagage",N/A,"3 149,62"
1513863,2022-01-25,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,1469292,"1 110,70"
1513912,2022-01-25,Telus,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Frais de communication,N/A,"19 947,62"
1513943,2022-01-25,Acklands - Grainger Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Formation en santé et sécurité,N/A,"55,64"
1514134,2022-01-25,Englobe Corp.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Traitement/valorisation de matériaux de construction,1399594,"4 147,01"
1514440,2022-01-26,9373-5942 Québec Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Location - Signalisation routière,1479638,"3 149,62"
1514293,2022-01-26,Audio Ciné Films Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Droit d'auteur,N/A,"1 784,79"
1514344,2022-01-26,Peauseidon Eau De Source Naturelle,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Eau potable - Mesure d'urgence,N/A,"4 000,00"
1514364,2022-01-26,Groupe Qualinet Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Nettoyage industriel,N/A,"1 197,79"
1514418,2022-01-26,Plomberie Parenti Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"864,43"
1514494,2022-01-27,Trauma-Secours Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Formation SECOURISTES EN MILIEU DE TRAVAIL (CNESST),N/A,"54,08"
1514551,2022-01-27,Rouleaux De Papier & Rubans J.L. Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"1 574,81"
1514557,2022-01-27,Brault & Bouthillier Ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Matériel pour loisir, jeu",N/A,"1 049,87"
1514564,2022-01-27,Biblio Rpl Ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"2 624,69"
1514565,2022-01-27,Carr Mclean Limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"1 049,87"
1514568,2022-01-27,R.M. Leduc & Cie Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"2 099,75"
1514570,2022-01-27,Uline Canada Corp,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement d'emballage et d'entreposage,N/A,"2 099,75"
1514572,2022-01-27,Voxel Factory Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"2 099,75"
1514577,2022-01-27,Planterra Ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Entretien paysager,N/A,"2 563,10"
1514611,2022-01-27,Piano Esmonde White,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de scène,N/A,"2 099,75"
1514616,2022-01-27,Peauseidon Eau De Source Naturelle,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Breuvage et nourriture,N/A,"150,00"
1514620,2022-01-27,Alimentation Eric Da Ponte Inc. - Metro,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Breuvage et nourriture,N/A,"824,94"
1514621,2022-01-27,9028-6733 Québec Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Matériel artistique,N/A,"629,92"
1514625,2022-01-27,Coopérative De Taxi Montréal,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Transport automobile,N/A,"157,48"
1514629,2022-01-27,L'Empreinte Imprimerie Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Impression,N/A,"1 889,77"
1514633,2022-01-27,Lamcom Technologies Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Impression,N/A,"5 774,31"
1514491,2022-01-27,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Matériel médical,1048199,"1 411,03"
1514516,2022-01-27,Lifeworks (Canada) Ltd.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service : expertise médicale,N/A,"15 000,00"
1514521,2022-01-27,Outillages Express,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires et pièces de remplacement pour outil,N/A,"62,96"
1514632,2022-01-27,Multi-Pressions L.C. Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Appareil d'entretien,N/A,"170,08"
1514771,2022-01-27,Groupe Sdm Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"6 299,25"
1515110,2022-01-31,Groupe SDM Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service de dégel au 37, Maplewood _aqueduc",N/A,"2 335,97"
1515122,2022-01-31,ARBO-Design inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Gré à gré pour services et équipement en urgence d'élagage,N/A,"13 991,95"
1515372,2022-01-31,Recyclage Notre-Dame inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fourniture de sites pour l'élimination de résidus de balais de rue et de dépôts à neige dans l'arrondissement CDN-NDG_bc ouvert 2022,N/A,"25 532,96"
1464610,2022-02-01,Vortex Structures Aquatiques Internationales Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de sport et terrain de jeux,N/A,"4 523,86"
1515590,2022-02-01,Novafor Équipement Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Appareil de communication,N/A,"10 204,78"
1515619,2022-02-01,Entreprises Forlini-Division Équipement De Sécurité Universel Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Vêtements de travail,N/A,"125,93"
1515626,2022-02-01,Hypertec Systèmes Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,1469336,"437,02"
1515628,2022-02-01,Hypertec Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,1469336,"2 622,13"
1515680,2022-02-01,Cimco  Réfrigération,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de sport et terrain de jeux,N/A,"5 567,70"
1515684,2022-02-01,Biblio RPL Ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"244,63"
1515690,2022-02-01,Syndicat De Copropriété Des Terrains Benny Farm,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Frais de copropriété,N/A,"3 029,00"
1515856,2022-02-02,Les Distributions Pierre Larochelle Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fournitures de classement et de rangement,N/A,"2 624,69"
1516029,2022-02-02,Outillages Express,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires et pièces de remplacement pour outil,N/A,"408,60"
1516034,2022-02-02,Novafor Équipement Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement de protection,N/A,"590,81"
1510965,2022-02-03,Regard Sécurité,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires vestimentaires,1255847,"230,00"
1516099,2022-02-03,Bureau En Gros,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fournitures et matériel médical,N/A,"60,88"
1516117,2022-02-03,Tenaquip Limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement et fourniture d'emballage et d'entreposage,N/A,"139,78"
1516125,2022-02-03,Dufresne Standard & Special  Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Matériel de fixation, clou, vis",N/A,"75,59"
1516140,2022-02-03,Addison Électronique Montréal,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fil et câble électrique,N/A,"325,29"
1516164,2022-02-03,Distributions LG Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Impression,N/A,"918,64"
1516274,2022-02-03,Allard  & Ricard Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Tuyauterie et raccord,N/A,"1 049,87"
1516275,2022-02-03,"Le Groupe Gesfor, Poirier, Pinchin Inc.",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Génératrice,N/A,"13 751,79"
1516277,2022-02-03,Duoson Multimédia Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Diffusion,N/A,"6 299,25"
1516279,2022-02-03,PCG Plomberie & Chauffage Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Équipement de détection, inspection",N/A,"7 349,10"
1468678,2022-02-03,"Paquette & Associés, Huissiers De Justice S.E.N.C.R.L.",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Huissier de justice,N/A,"1 286,29"
1516374,2022-02-04,Groupe SDM Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"6 299,25"
1516354,2022-02-04,Dallaire Médical Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fournitures et matériel médical,N/A,"342,25"
1516656,2022-02-07,"Paquette & associés, Huissiers de justice S.E.N.C.R.L.",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Huissiers de justice,N/A,"3 149,62"
1453584,2022-02-07,Location Sauvageau Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Transport automobile,N/A,"9 170,70"
1502488,2022-02-07,Aquam Spécialiste Aquatique Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Location - Équipement de sport,N/A,"728,19"
1507185,2022-02-07,Les Installations Sportives Agora Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de sport et terrain de jeux,N/A,"12 807,43"
1516656,2022-02-07,"Paquette & Associés, Huissiers De Justice S.E.N.C.R.L.",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Huissier de justice,N/A,"10 498,75"
