ANNEE_FINANCIERE,SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_NOM,BEN_TYPE,SUB_TYPE,TITRE_VERSON_ORIGINALW,TITRE_VERSION_DOUBLEE,LANGUE_VERSION_ORIGINALE,LANGUE_VERSION_DOUBLEE,PREMIER_MARCHE,FORMAT,CATEGORIE,ANIMATION,DESTINE_AUX_ENFANTS,DUREE_DE_L_OEUVRE_DOUBLEE,NBR_EPISODES,NO_PREMIER_EPISODE,NO_DERNIER_EPISODE
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Memory,Memory - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,113,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,America's Book of Secrets I,"histoire secrète des États-Unis, L' I",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Hustle and Tow I,"as du remorquage, Les I",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,30,20,1,20
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Abandoned Engineering V,Structures abandonnées V,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,12,1,12
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Fight the Power: Movements That Changed America,"pouvoir de la contestation: les mouvements qui ont changé les États-Unis, Le",Anglais,Français,Télévision,Moyen Métrage (31 à 74 minutes),Documentaire,FAUX,FAUX,60,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Tulsa Burnin : The 1921 Race Massacre,Tulsa brûle : le massacre de 1921,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Documentaire,FAUX,FAUX,120,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Historys Greatest Mysteries II,"grands mystères de lhistoire, Les II",Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,120,4,1,4
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,DBcom Média inc.,Entreprise,Crédit d'impôt,"Life-Sized City, The I",Des villes à hauteur d'hommes I,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,52,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,DBcom Média inc.,Entreprise,Crédit d'impôt,"Life-Sized City, The II",Des villes à hauteur d'hommes II,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,52,6,201,206
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,American Dad XIII,American Dad XIII - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,FAUX,30,11,1301,1311
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Luna, Chip & Inkie I","Luna, Chip et Inkie I (1A-10B)",Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,VRAI,11,20,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Malory Towers II,Malory Towers II - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,VRAI,30,12,201,212
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Denis & Me III,Denis & Me III - V.F.,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Fiction-Animation,VRAI,FAUX,3,4,301,304
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Beanie Mania,"Beanie Manie, La",Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Documentaire,FAUX,FAUX,120,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Big Blue I,Big Blue I - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,VRAI,30,18,101,118
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Jurassic World 3 : Dominion,Monde Jurassique : Domination,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,147,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Minions 2 -The Rise of Gru,"Minions 2: Il était une fois Gru, Les",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction-Animation,VRAI,VRAI,90,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Monde de demain, Le I",Reign Supreme I,Français,Anglais,Télévision,Minisérie (2 à 6 épisodes),Fiction,FAUX,FAUX,60,6,101,106
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Pawn Stars XXI,Prêteurs sur gage XXI,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,16,1,16
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Return to Sender : A Reunion on the Way to the Altar,"lettre perdue, La",Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,88,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,sMothered II,"Telle mère, telle fille II",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,201,210
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Trois fois rien,Three Times Nothing,Français,Anglais,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,94,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Tribal I,Tribal I - V.F.,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Fiction,FAUX,FAUX,60,4,101,104
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,"Belle Équipe V inc., La",Entreprise,Crédit d'impôt,Scout & The Gumboot Kids,Scout et les Bottes-Trotteurs,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,VRAI,5,30,101,130
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,"Belle Equipe III inc., La",Entreprise,Crédit d'impôt,Hi Opie,Bonjour Opie,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,VRAI,6,78,101,239
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,"Belle Equipe III inc., La",Entreprise,Crédit d'impôt,Opie's Home,Opie a la maison (Épisode 101A - 107C),Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,VRAI,6,21,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,De Claus Familie 2,Claus Family 2,Espagnol,Anglais,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,92,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Productions Eureka! inc.,Entreprise,Crédit d'impôt,Guides d'aventures III,Aventure Guides III,Français,Anglais,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,48,10,21,30
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Tuskegee Airmen : Legacy of Courage,"aviateurs de Tuskagee, Les",Anglais,Français,Télévision,Moyen Métrage (31 à 74 minutes),Documentaire,FAUX,FAUX,60,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Black Liberators WWII,"légion oubliée, La",Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Documentaire,FAUX,FAUX,90,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Big Timber II,"scierie, La II",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,1,8
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Dr Pimple Popper III,Docteure Bouton III,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,11,1,11
