"No structure","IDE_STRCT","Groupe","Statut","Type structure","Charg. conception","Affichage sur place","Responsablilté de gestion","Centre de services","Role VM Inspection","Année de construction","Nom route","Nom obstacle","ICG","Catégorie ICG","Date Insp. Générale Fermee","Superficie du tablier","Superficie du mur","Longitude","Latitude","X","Y","lien_vers_rapport"
"81-05176A",6088201,"T.V. St-Marc, du Fort / Aut. 720, CP et René-Lévesque Ouest","Actif Ville de Montréal","Tunnel",,,"Ville de Montréal - MTQ","21 - Arrondissement Le Sud-Ouest","Inspections annuelle et générale par la Ville Montréal",1972,"Tunnel rue Saint-Marc, dir. Nord ","Autoroute 720 ",100,4,"2021-11-16",,,-73.5771305,45.490034,298771.169,5038904.027,"Non disponible"
"81-05176B",6041784,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1972,"Rue Saint-Marc, dir. Nord, côté Ouest",,100,4,"2019-08-13",,381,-73.5782785,45.491413,298681.586,5039057.362,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05176B_inspection_generale_web.pdf"
"81-05176C",6041786,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1972,"Rue Saint-Marc, dir. Nord, côté Est",,100,4,"2019-08-13",,381,-73.5782055,45.4914865,298687.2998,5039065.524,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05176C_inspection_generale_web.pdf"
"81-05177A",6088202,"T.V. St-Marc, du Fort / Aut. 720, CP et René-Lévesque Ouest","Actif Ville de Montréal","Tunnel",,,"Ville de Montréal - MTQ","21 - Arrondissement Le Sud-Ouest","Inspections annuelle et générale par la Ville Montréal",1972,"Rue du Fort, dir. Sud ","Autoroute 720 ",99.64,4,"2020-10-27",,,-73.57763021792,45.4895609687546,298732.0582,5038851.496,"Non disponible"
"81-05177B",6041789,"T.V. St-Marc, du Fort / Aut. 720, CP et René-Lévesque Ouest","Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1972,"Rue du Fort, dir. Sud, côté Ouest ",,96.56,4,"2020-10-27",,194,-73.5793642389407,45.4906811994996,298596.642,5038976.12,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05177B_inspection_generale_web.pdf"
"81-05177C",6041794,"T.V. St-Marc, du Fort / Aut. 720, CP et René-Lévesque Ouest","Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1972,"Rue du Fort, dir. Sud, côté Est",,100,4,"2021-11-16",,176,-73.5792886561951,45.4907336012131,298602.5555,5038981.938,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05177C_inspection_generale_web.pdf"
"81-05178A",6009045,"P.I. Ave Girouard / Boul. De Maisonneuve et CP","Actif Ville de Montréal","Mur",,,"Ville de Montréal","27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grà¢ce","Inspections annuelle et générale par la Ville Montréal",1931,"Avenue Girouard ",,99.18,4,"2021-10-20",,194,-73.6081122916484,45.4707076339515,296346.6177,5036759.078,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05178A_inspection_generale_web.pdf"
"81-05178B",6009046,"P.I. Ave Girouard / Boul. De Maisonneuve et CP","Actif Ville de Montréal","Pont à  poutres en acier enr. de béton","99-Inconnu","Aucun affichage","Ville Montréal - Canadien Pacifique ","27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grà¢ce","Inspections annuelle et générale par la Ville Montréal",1931,"Canadien Pacifique rail 1","Avenue Girouard ",66.69,3,"2018-05-29",703,,-73.6084872794744,45.470993205667,296317.3399,5036790.853,"Non disponible"
"81-05178C",6009047,"P.I. Ave Girouard / Boul. De Maisonneuve et CP","Actif Ville de Montréal","Pont à  dalle pleine en béton armé","13-H20-S16","Aucun affichage","Ville de Montréal - MTQ","27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grà¢ce","Inspections annuelle et générale par la Ville Montréal",1961,"Boulevard De Maisonneuve Ouest ","Avenue Girouard ",99.98,4,"2021-10-20",287,,-73.6086979073179,45.4710872602538,296300.885,5036801.328,"Non disponible"
"81-05178D",6009052,"P.I. Ave Girouard / Boul. De Maisonneuve et CP","Actif Ville de Montréal","Mur",,,"Ville Montréal - Municipalité ","27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grà¢ce","Inspections annuelle et générale par la Ville Montréal",1931,"Avenue Girouard ",,99.75,4,"2021-10-20",,320,-73.6094107727092,45.4712863137652,296245.176,5036823.524,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05178D_inspection_generale_web.pdf"
"81-05178E",6009053,"P.I. Ave Girouard / Boul. De Maisonneuve et CP","Actif Ville de Montréal","Mur",,,"Ville de Montréal","27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grà¢ce","Inspections annuelle et générale par la Ville Montréal",1931,"Avenue Girouard ",,99.52,4,"2021-10-20",,330,-73.6092029735525,45.4714332529709,296261.446,5036839.831,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05178E_inspection_generale_web.pdf"
"81-05179",6036549,,"Actif Ville de Montréal","Port. béton armé, ss remblai","99-Inconnu","Charges légales","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1932,"Rue Notre-Dame Est et Chà¢teau Ramezay","Ancienne rue Gosford",71.9,3,"2018-05-29",874,,-73.5530669794574,45.5089906754571,300653.4624,5041009.166,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05179_inspection_generale_web.pdf"
"81-05183A",6041796,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1961,"Boulevard Henri-Bourassa Ouest, côté Sud ",,100,4,"2019-06-27",,350,-73.677334,45.5396315,290951.0303,5044428.235,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05183A_inspection_generale_web.pdf"
"81-05183B",6041798,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1961,"Boulevard Henri-Bourassa Ouest, côté Nord",,100,4,"2019-06-27",,339,-73.677708,45.5397245,290921.8455,5044438.635,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05183B_inspection_generale_web.pdf"
"81-05183C",6029220,"P.I. Henri-Bourassa / CP, Est de Bois-de-Boulogne","Actif Ville de Montréal","Pont à  dalle pleine en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1961,"Virage en U à  l'Ouest du Canadien Pacifique","Boulevard Henri-Bourassa Ouest, dir. Ouest ",98.05,4,"2019-08-12",313,,-73.677223,45.5401385,290959.8232,5044484.56,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05183C_inspection_generale_web.pdf"
"81-05183D",6029300,"P.I. Henri-Bourassa / CP, Est de Bois-de-Boulogne","Actif Ville de Montréal","Pont à  dalle pleine en béton armé","98-Autre","Aucun affichage","Ville Montréal - Canadien Pacifique ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1961,"Canadien Pacifique rail 1","Boulevard Henri-Bourassa Ouest Dir. Est",93.49,4,"2019-08-12",784,,-73.677185,45.5402905,290962.8281,5044501.445,"Non disponible"
"81-05183E",6029255,"P.I. Henri-Bourassa / CP, Est de Bois-de-Boulogne","Actif Ville de Montréal","Pont à  dalle pleine en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1961,"Virage en U, à  l'Est du Canadien Pacifique","Boulevard Henri-Bourassa Ouest, dir. Ouest",94.1,4,"2019-08-13",335,,-73.6770495,45.540431,290973.4444,5044517.036,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05183E_inspection_generale_web.pdf"
"81-05183F",6041800,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1961,"Boulevard Henri-Bourassa Ouest, côté Nord ",,100,4,"2019-06-27",,346,-73.6769535,45.5409365,290981.0653,5044573.196,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05183F_inspection_generale_web.pdf"
"81-05183G",6041802,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1961,"Boulevard Henri-Bourassa Ouest, côté Sud ",,100,4,"2019-06-27",,322,-73.676572,45.54084,291010.8344,5044562.406,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05183G_inspection_generale_web.pdf"
"81-05184",6030292,,"Actif Ville de Montréal","Pont à  dalle pleine en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",1931,"Canadien Pacifique rail 1","rue Hochelaga Dir. Ouest",59.57,3,"2021-08-24",1170,,-73.5558555,45.5396235,300437.9416,5044413.567,"Non disponible"
"81-05185",6015825,,"Actif Ville de Montréal","Pont à  poutres en acier enr. de béton","99-Inconnu","Aucun affichage","Ville Montréal - Canadien National","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",1930,"Canadien National","rue Hochelaga Dir. Ouest",30,2,"2021-08-24",406,,-73.5409355,45.5643805,301604.5284,5047164.146,"Non disponible"
"81-05186A",6041804,"P.I. Jarry / CP, à  l'Est de Querbes","Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1956,"Rue Jarry Ouest, dir. Est ",,99.88,4,"2021-08-18",,494,-73.6347835,45.532639,294272.7238,5043644.691,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05186A_inspection_generale_web.pdf"
"81-05186B",6041806,"P.I. Jarry / CP, à  l'Est de Querbes","Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1956,"Rue Jarry Ouest, dir. Ouest ",,99.8,4,"2021-08-18",,461,-73.6350635,45.5327065,294250.867,5043652.229,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05186B_inspection_generale_web.pdf"
"81-05186C",6029328,"P.I. Jarry / CP, à  l'Est de Querbes","Actif Ville de Montréal","Pont à  dalle pleine en béton armé","98-Autre","Aucun affichage","Ville Montréal - Canadien Pacifique ","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1956,"Canadien Pacifique rail 1","Rue Jarry Ouest Dir. Est",98.98,4,"2019-08-20",622,,-73.634592,45.533268,294287.7981,5043714.567,"Non disponible"
"81-05186D",6041808,"P.I. Jarry / CP, à  l'Est de Querbes","Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1956,"Rue Jarry Ouest, dir. Ouest ",,99.85,4,"2019-08-19",,388,-73.6344475,45.5337685,294299.1773,5043770.169,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05186D_inspection_generale_web.pdf"
"81-05187A",6041810,"P.I. Jean-Talon / CP, Est de du Parc","Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1930,"Rue Jean-Talon Ouest, côté Sud ",,36.99,2,"2020-11-23",,236,-73.621756,45.530668,295289.9055,5043424.026,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05187A_inspection_generale_web.pdf"
"81-05187B",6041829,"P.I. Jean-Talon / CP, Est de du Parc","Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1930,"Rue Jean-Talon Ouest, côté Nord",,45.35,3,"2020-11-23",,227,-73.6220305,45.530749,295268.4786,5043433.06,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05187B_inspection_generale_web.pdf"
"81-05187C",6041832,"P.I. Jean-Talon / CP, Est de du Parc","Actif Ville de Montréal","Pont à  poutres en acier enr. de béton","99-Inconnu","Aucun affichage","Ville Montréal - Canadien Pacifique ","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1930,"Canadien Pacifique rail 1","Rue Jean-Talon Ouest Dir. Est",100,4,"2020-11-23",627,,-73.621546,45.5311265,295306.3853,5043474.955,"Non disponible"
"81-05187D",6041843,"P.I. Jean-Talon / CP, Est de du Parc","Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1930,"Rue Jean-Talon Ouest, côté Nord",,48.97,3,"2020-11-23",,229,-73.621331,45.531554,295323.2502,5043522.438,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05187D_inspection_generale_web.pdf"
"81-05187E",6041848,"P.I. Jean-Talon / CP, Est de du Parc","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1930,"Rue Jean-Talon Ouest, côté Sud",,53.47,3,"2020-11-23",,217,-73.6210625,45.531477,295344.2089,5043513.849,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05187E_inspection_generale_web.pdf"
"81-05189A",6045101,"P.I. Masson / CP, Est de De Lorimier","Actif Ville de Montréal","Mur",,,"Ville de Montréal","22 - Arrondissement Le Plateau-Mont-Royal","Inspections annuelle et générale par la Ville Montréal",1959,"Rue Masson, dir. Est, côté Sud ",,99.33,4,"2021-09-09",,388,-73.580296,45.5405985,298529.3591,5044523.539,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05189A_inspection_generale_web.pdf"
"81-05189B",6041850,"P.I. Masson / CP, Est de De Lorimier","Actif Ville de Montréal","Mur",,,"Ville de Montréal","22 - Arrondissement Le Plateau-Mont-Royal","Inspections annuelle et générale par la Ville Montréal",1959,"Rue Masson, dir. Ouest, côté Nord ",,98.4,4,"2021-09-09",,208,-73.5804999946434,45.5408245057823,298513.4535,5044548.671,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05189B_inspection_generale_web.pdf"
"81-05189C",6036559,"P.I. Masson / CP, Est de De Lorimier","Actif Ville de Montréal","Portique en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","22 - Arrondissement Le Plateau-Mont-Royal","Inspections annuelle et générale par la Ville Montréal",1959,"Rue Masson (Virage en U, à  l'Ouest du CP) ","Rue Masson, dir. Ouest",98.54,4,"2021-09-09",514,,-73.5798312082914,45.5411654647085,298565.7192,5044586.51,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05189C_inspection_generale_web.pdf"
"81-05189D",6041852,"P.I. Masson / CP, Est de De Lorimier","Actif Ville de Montréal","Port. béton armé, ss remblai","98-Autre","Aucun affichage","Ville Montréal - Canadien Pacifique ","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1959,"Canadien Pacifique rail 1","Rue Masson Dir. Est",99.44,4,"2021-09-09",1005,,-73.5798205,45.5413875,298566.58,5044611.184,"Non disponible"
"81-05189E",6037568,"P.I. Masson / CP, Est de De Lorimier","Actif Ville de Montréal","Portique en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1959,"Virage en U, à  l'Est du Canadien Pacifique","Rue Masson, dir. Ouest",99.43,4,"2021-09-09",500,,-73.5796217842819,45.5416800366697,298582.1305,5044643.679,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05189E_inspection_generale_web.pdf"
"81-05189F",6041892,"P.I. Masson / CP, Est de De Lorimier","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1959,"Rue Masson, côté Nord ",,96.63,4,"2020-08-19",,250,-73.5791615,45.5422525,298618.138,5044707.262,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05189F_inspection_generale_web.pdf"
"81-05189G",6041894,"P.I. Masson / CP, Est de De Lorimier","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1959,"Rue Masson, côté Sud ",,96.42,4,"2021-09-09",,219,-73.578814,45.5421805,298645.2671,5044699.234,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05189G_inspection_generale_web.pdf"
"81-05191",6048984,,"Actif Ville de Montréal","Pont à  poutres en acier enr. de béton","99-Inconnu","Aucun affichage","Ville Montréal - Canadien National","21 - Arrondissement Le Sud-Ouest","Inspections annuelle et générale par la Ville Montréal",1939,"Canadien National rail 1","rue Notre-Dame Ouest Dir. Ouest",99.89,4,"2021-09-28",443,,-73.5851650108626,45.4769424976723,298141.6172,5037449.801,"Non disponible"
"81-05192",6032180,,"Actif Ville de Montréal","Pont à  dalle pleine en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",1924,"Canadien Pacifique rail 1","rue Ontario Est Dir. Ouest",68.57,3,"2020-11-24",945,,-73.548797,45.538781,300989.1212,5044319.58,"Non disponible"
"81-05193A",6036581,"P.I. Papineau / CP, des Carrières","Actif Ville de Montréal","Pont à  poutres en béton armé","5-H15","Tonnage réduit","Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1934,"Rue des Carrières ","Avenue Papineau Sud ",49.73,3,"2021-11-16",437,,-73.5881015,45.5391825,297919.6232,5044366.816,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05193A_inspection_generale_web.pdf"
"81-05193B",6041896,"P.I. Papineau / CP, des Carrières","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1934,"Avenue Papineau, côté Ouest ",,98.42,4,"2021-11-16",,462,-73.58896,45.539461,297852.612,5044397.84,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05193B_inspection_generale_web.pdf"
"81-05193C",6041898,"P.I. Papineau / CP, des Carrières","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1934,"Avenue Papineau, côté Est ",,98.66,4,"2021-11-17",,442,-73.588832,45.539648,297862.6313,5044418.611,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05193C_inspection_generale_web.pdf"
"81-05194A",6041900,"P.I. Papineau / CP, des Carrières","Actif Ville de Montréal","Mur",,,"Ville de Montréal","22 - Arrondissement Le Plateau-Mont-Royal","Inspections annuelle et générale par la Ville Montréal",1934,"Avenue Papineau, côté Ouest",,98.9,4,"2021-11-16",,222,-73.5858945,45.5380315,298091.8442,5044238.718,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05194A_inspection_generale_web.pdf"
"81-05194B",6041990,"P.I. Masson / CP, Est de De Lorimier","Actif Ville de Montréal","Pont à  poutres en acier enr. de béton","99-Inconnu","Aucun affichage","Ville Montréal - Canadien Pacifique ","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1934,"Canadien Pacifique rail 1","Avenue Papineau Dir. Nord",98.67,4,"2021-11-16",595,,-73.5863035,45.538358,298059.9413,5044275.036,"Non disponible"
"81-05194C",6041994,"P.I. Papineau / CP, des Carrières","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1934,"Avenue Papineau, côté Ouest ",,99.58,4,"2021-11-16",,977,-73.587208859676,45.5386514542048,297989.2707,5044307.725,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05194C_inspection_generale_web.pdf"
"81-05194D",6041996,"P.I. Papineau / CP, des Carrières","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1934,"Avenue Papineau, côté Est ",,98.72,4,"2021-11-17",,1010,-73.587088,45.538835,297998.7316,5044328.112,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05194D_inspection_generale_web.pdf"
"81-05194E",6041998,"P.I. Papineau / CP, des Carrières","Actif Ville de Montréal","Mur",,,"Ville de Montréal","22 - Arrondissement Le Plateau-Mont-Royal","Inspections annuelle et générale par la Ville Montréal",1934,"Avenue Papineau, côté Est ",,96.49,4,"2021-11-17",,215,-73.5857095,45.538192,298106.3113,5044256.539,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05194E_inspection_generale_web.pdf"
"81-05195A",6042005,"P.I. Du Parc / CP, entre Beaubien et Van Horne","Actif Ville de Montréal","Mur",,,"Ville de Montréal","22 - Arrondissement Le Plateau-Mont-Royal","Inspections annuelle et générale par la Ville Montréal",1914,"Avenue du Parc entre Beaubien et Van Horne côté Ouest",,97.24,4,"2018-09-19",,276,-73.6108525,45.5259245,296140.8262,5042895.642,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05195A_inspection_generale_web.pdf"
"81-05195B",6036699,"P.I. Du Parc / CP, entre Beaubien et Van Horne","Actif Ville de Montréal","Pont à  poutres en acier","98-Autre","Aucun affichage","Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1914,"Canadien Pacifique rail 1","Avenue du Parc, Dir. Nord ",41.28,3,"2018-07-25",756,,-73.611328,45.5262475,296103.7326,5042931.589,"Non disponible"
"81-05195C",6039979,"P.I. Du Parc / CP, entre Beaubien et Van Horne","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1914,"Avenue du Parc",,98.95,4,"2018-09-19",,149,-73.6120115,45.5264385,296050.3714,5042952.889,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05195C_inspection_generale_web.pdf"
"81-05195D",6030297,"P.I. Du Parc / CP, entre Beaubien et Van Horne","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1914,"Avenue du Parc ",,96.69,4,"2018-09-19",,181,-73.611831,45.526579,296064.4926,5042968.484,"Non disponible"
"81-05195E",6030298,"P.I. Du Parc / CP, entre Beaubien et Van Horne","Actif Ville de Montréal","Mur",,,"Ville de Montréal","22 - Arrondissement Le Plateau-Mont-Royal","Inspections annuelle et générale par la Ville Montréal",1914,"Avenue du Parc ",,89.83,4,"2020-12-02",,199,-73.6107356374712,45.5260930420839,296149.9807,5042914.36,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05195E_inspection_generale_web.pdf"
"81-05196A",6041951,"P.I. Du Parc / CP, entre Beaubien et Beaumont","Actif Ville de Montréal","Mur",,,"Ville Montréal - Canadien Pacifique ","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1931,"Du Parc entre Beaubien et Beaumont coté Ouest",,99.81,4,"2020-11-29",,215,-73.616223,45.5283005,295721.6952,5043160.283,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05196A_inspection_generale_web.pdf"
"81-05196B",6041953,"P.I. Du Parc / CP, entre Beaubien et Beaumont","Actif Ville de Montréal","Pont à  poutres en acier enr. de béton","99-Inconnu","Aucun affichage","Ville Montréal - Canadien Pacifique ","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1931,"Canadien Pacifique rail 1","Avenue du Parc Dir. Nord",100,4,"2020-11-29",778,,-73.616938,45.528733,295665.9158,5043208.428,"Non disponible"
"81-05196C",6041957,"P.I. Du Parc / CP, entre Beaubien et Beaumont","Actif Ville de Montréal","Mur",,,"Ville Montréal - Canadien Pacifique ","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1931,"Avenue du Parc entre Beaubien et Beaumont côté Ouest",,100,4,"2020-11-29",,211,-73.6174985,45.5288615,295622.1557,5043222.772,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05196C_inspection_generale_web.pdf"
"81-05196D",6041959,"P.I. Du Parc / CP, entre Beaubien et Beaumont","Actif Ville de Montréal","Mur",,,"Ville Montréal - Canadien Pacifique ","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1931,"Avenue du Parc au Nord du Canadien Pacifique",,100,4,"2020-11-29",,166,-73.6174545,45.529089,295625.6296,5043248.05,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05196D_inspection_generale_web.pdf"
"81-05196E",6041961,"P.I. Du Parc / CP, entre Beaubien et Beaumont","Actif Ville de Montréal","Mur",,,"Ville Montréal - Canadien Pacifique ","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1931,"Avenue du Parc entre Beaubien et Beaumont coté Est",,100,4,"2020-11-29",,284,-73.6162675,45.5285615,295718.2613,5043189.293,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05196E_inspection_generale_web.pdf"
"81-05197",6015828,,"Actif Ville de Montréal","Portique en béton armé","99-Inconnu","Aucun affichage","Ville Montréal - Canadien Pacifique ","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1939,"Canadien Pacifique rail 1","rue de Rouen ",99.2,4,"2021-05-13",389,,-73.552514,45.539285,300698.8728,5044375.773,"Non disponible"
"81-05198A",6009054,"P.I. St-Denis / CP, des Carrières","Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","99-Inconnu","Aucun affichage","Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1970,"Rue des Carrières ","Rue Saint-Denis, dir. Sud",66.55,3,"2018-09-10",366,,-73.596557,45.5301635,297258.0768,5043365.284,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05198A_inspection_generale_web.pdf"
"81-05198B",6009055,"P.I. St-Denis / CP, des Carrières","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1970,"Rue Saint-Denis ",,96.65,4,"2018-09-10",,57,-73.596919,45.530185,297229.8044,5043367.708,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05198B_inspection_generale_web.pdf"
"81-05198C",6009057,"P.I. St-Denis / CP, des Carrières","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1970,"Rue Saint-Denis ",,92.3,4,"2018-09-10",,50,-73.5966405,45.5303445,297251.5789,5043385.407,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05198C_inspection_generale_web.pdf"
