No structure,IDE_STRCT,Groupe,Statut,Type structure,Charg. conception,Affichage,Responsablilté de gestion,Centre de services,Role VM Inspection,Année de construction,Nom route,Nom obstacle,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,Longitude,Latitude,X,Y
81-05023,202529,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",18-CL625,Aucun affichage,Ville de Montréal - MTQ,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1972,Rue Bleury,Autoroute 720 Ouest,100,4,2018/10/16 00:00:00,554,,-73.561375,45.5036835,300003.8413,5040419.839
81-05045,201967,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1966,Avenue Souligny Est,Autoroute 25 Nord,100,4,2018/09/06 00:00:00,2461,,-73.5237544941555,45.5893315105917,302946.5183,5049936.46
81-05071B,202468,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1966,boulevard Angrignon,Autoroute 20,100,4,2016/08/16 00:00:00,2311,,-73.6262959662775,45.453110640996,294921.7498,5034805.603
81-05075,202004,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1965,boulevard Henri-Bourassa Est (direction Est),Autoroute 40 Est,100,4,2018/05/30 00:00:00,1618,,-73.5185657506361,45.6600854721948,303353.1993,5057799.444
81-05076,202005,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1965,Boulevard Henri-Bourassa Est (direction ouest),Autoroute 40 Est,100,4,2018/05/30 00:00:00,1805,,-73.518278015676,45.6612608639072,303375.6518,5057930.064
81-05083,202006,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1965,"Virage en U, voie service A-40",Autoroute 40 Ouest,100,4,2016/04/19 00:00:00,937,,-73.5193941400117,45.6715094037888,303288.9516,5059069.043
81-05072,207708,,Actif Ville de Montréal,"Pont à tablier supér., béton armé",18-CL625,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1929,Route 335,Rivière des Prairies,100,4,2018/09/11 00:00:00,10004,,-73.6753948913277,45.5572850819218,291106.7529,5046389.769
81-05084E,202090,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1960,boulevard Crémazie Ouest,Autoroute 40 Ouest,100,4,2018/10/25 00:00:00,488,,-73.6455451728145,45.5352513330191,293432.7088,5043936.47
81-05104,6057306,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,À l'Est du ch. des Floralies,Canal Sud,100,4,2017/11/01 00:00:00,714,,-73.5259657267477,45.5096082506603,302771.1171,5041076.756
81-05127A,202338,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Chemin Upper-Lachine,Autoroute 15,100,4,2018/10/09 00:00:00,1946,,-73.6064984069707,45.4712783163901,296472.8926,5036822.33
81-05191,6048984,,Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien National,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1939,CN,rue Notre-Dame Ouest Dir. Ouest,100,4,2018/10/23 00:00:00,443,,-73.5851650108626,45.4769424976723,298141.6172,5037449.801
81-05199B,6042019,,Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1933,"CP, au Sud de des Carrières",Rue Saint-Denis Dir. Nord,100,4,2017/10/02 00:00:00,670,,-73.596298,45.5300565,297278.2926,5043353.369
81-05205,6059201,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien National,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1939,"CN, au Nord de la rue Notre-Dame Ouest",rue Sainte-Marguerite,100,4,2017/07/17 00:00:00,546,,-73.5875985,45.4757495,297951.2173,5037317.427
81-05250,6030329,,Actif Ville de Montréal,Portique en béton armé,98-Autre,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1968,Chemin de fer CN,rue Meilleur,100,4,2016/11/03 00:00:00,191,,-73.6603295,45.5390485,292278.874,5044360.653
81-05274,6049981,,Actif Ville de Montréal,Ponceau rectang. en béton armé,98-Autre,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1997,Canadien National,sentier polyvalent,100,4,2018/05/22 00:00:00,,,-73.6022346198692,45.6137422531333,296826.4419,5052654.094
81-05296,6034628,,Actif Ville de Montréal,Pont acier-bois,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,2007,Passage face au Théâtre de la Poudrière,Étang face au Théâtre de la Poudrière,100,4,2016/11/15 00:00:00,14,,-73.5347865,45.5177935,302082.2828,5041986.649
81-05309,6029043,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1900,"Parc Angrignon, coin Nord-Ouest",À l'Ouest du relais sanitaires,100,4,2016/05/26 00:00:00,11,,-73.6092715,45.4409195,296251.4787,5033448.858
81-05458,6065144,,Actif Ville de Montréal,Pont couvert,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1992,Rue Saint-Dominique,Rue De La Gauchetière Est,100,4,2017/11/17 00:00:00,10,,-73.5597285,45.5084435,300132.9006,5040948.723
81-05459,6065245,,Actif Ville de Montréal,Pont couvert,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1992,Rue Jeanne-Mance,Rue De La Gauchetière Ouest,100,4,2017/11/17 00:00:00,10,,-73.5619375,45.5053215,299960.025,5040601.905
81-05461,6072183,,Actif Ville de Montréal,Ponceau rectang. en béton armé,17-QS660,Aucun affichage,Ville de Montréal - MTQ,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,2000,"Autoroute 40, Est de la rue Damien-Gauthier",Club de Golf de l'Île de Montréal,100,4,2017/03/09 00:00:00,,,-73.51301,45.6868975,303786.6345,5060779.082
81-05463,6056233,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1995,"Accès à l'avenue Pierre-Dupuy, dir. Ouest",sentier polyvalent,100,4,2017/06/12 00:00:00,426,,-73.5287579489081,45.5080596212728,302552.8798,5040904.73
81-05464,6056241,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1995,Accès entre l'ave Pierre-Dupuy et l'île Notre-Dame,piste site propre,100,4,2017/06/12 00:00:00,190,,-73.5289792584329,45.5080643927178,302535.587,5040905.266
81-05468,202591,,Actif Ville de Montréal,Portique en béton armé,16-MS250,Aucun affichage,Ville de Montréal - MTQ,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1986,rue Panet,Autoroute 720 Est,100,4,2018/10/16 00:00:00,451,,-73.5495347879707,45.5175607225307,300930.0476,5041961.385
81-05469,202592,,Actif Ville de Montréal,Portique en béton armé,16-MS250,Aucun affichage,Ville de Montréal - MTQ,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1986,rue Amherst,Autoroute 720 Est,100,4,2018/10/16 00:00:00,720,,-73.552049264249,45.5152088378748,300733.4323,5041700.142
81-05471,6042162,,Actif Ville de Montréal,Pont à dalle pleine en béton précont.,98-Autre,Aucun affichage,Ville Montréal - Canadien National,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,2004,"CN, près de la 59ième avenue",rue Sherbrooke Est,100,4,2017/04/03 00:00:00,515,,-73.5031295,45.6753505,304556.1891,5059495.74
81-05472,6065100,,Actif Ville de Montréal,Pont couvert,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1998,Avenue Viger Est,Boulevard Saint-Laurent,100,4,2017/11/17 00:00:00,61,,-73.558872,45.50758,300199.756,5040852.713
81-05473,6065101,,Actif Ville de Montréal,Pont couvert,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1998,Boulevard René-Lévesque Ouest,Boulevard Saint-Laurent,100,4,2017/11/17 00:00:00,61,,-73.5613165,45.5086965,300008.838,5040976.933
81-05489,6036939,,Actif Ville de Montréal,Ponceau voûté en béton armé,18-CL625,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,2008,Autoroute 10 sortie île des Soeurs,Piste multifonctionnelle,100,4,2016/02/23 00:00:00,,,-73.5434335,45.4729495,301404.0362,5037003.449
81-05492,5017813,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,2008,Rue Tellier,Autoroute 25,100,4,2016/04/19 00:00:00,1626,,-73.5208062671809,45.5884182295393,303176.532,5049834.901
81-05494,202242,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,2008,rue Hochelaga,Autoroute 25 Nord,100,4,2015/09/28 00:00:00,3613,,-73.5261045,45.589916,302763.1765,5050001.472
81-05495,6036867,,Actif Ville de Montréal,Ponceau voûté en béton armé,18-CL625,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,2009,Boulevard Gouin Ouest,"Ruisseau Bertrand, à l'Est de l'aut. 13",100,4,2017/07/19 00:00:00,,,-73.7581575,45.5087245,284628.0445,5041010.634
81-05499,5150344,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,2011,place Curatteau,Autoroute 25 Sud,100,4,2015/09/23 00:00:00,709,,-73.540376,45.593871,301649.8531,5050441.462
81-05500,5273613,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",18-CL625,Aucun affichage,Ville de Montréal - MTQ,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,2010,Boulevard Saint-Jean-Baptiste  (P.-A.-T.) Nord,Autoroute 40 Est,100,4,2015/09/28 00:00:00,2371,,-73.5281655,45.648218,302604.6418,5056480.789
81-05505,6017360,,Actif Ville de Montréal,"Pont à tablier supérieur, en acier",18-CL625,Aucun affichage,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,2005,"Sentier pédestre, Parc environnemental St-Michel",Rue Michel Jurdant,100,4,2016/07/12 00:00:00,236,,-73.622752,45.557521,295216.6738,5046408.353
81-05509,6036873,,Actif Ville de Montréal,Ponceau voûté en béton armé,18-CL625,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,2011,Boulevard Gouin Est,Bassin à l'Ouest de Trefflé-Berthiaume,100,4,2017/03/20 00:00:00,,,-73.5354685,45.6765275,302036.8029,5059627.152
81-05516,6070741,,Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Aucun affichage,Ville de Montréal,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,2016,Prolongement de la rue Lapierre,Canal de l'Aqueduc,100,4,2017/07/04 00:00:00,400,,-73.6022512982767,45.4342428861819,296799.7393,5032706.169
81-05517,6036933,,Actif Ville de Montréal,"Pont de type Pony-Warren, en acier",98-Autre,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2013,Entre Rue des Andes et Rue des Outardes,Lac E,100,4,2018/06/06 00:00:00,99,,-73.7158034341457,45.5114002140085,287938.3125,5041298.223
