IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Type structure,Année de construction,Superficie du tablier,Superficie du mur,Charg conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp Générale Fermee,X,Y,latitude,longitude
6064783,81-01511,rue Curatteau,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1999,,1430,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"303356,718327675","5049863,89837263","45,5886795505939","-73,5184970961601"
6064784,81-01512,"Côté Ouest de la rue Curatteau, du Nord de Tellier au CN",,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1999,,651,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"303089,823678314","5049980,92565559","45,5897319913611","-73,5219180272787"
6064785,81-01513,"Côté Est de la rue Curatteau, de Souligny O à Hochelaga",,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1999,,190,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"302876,608838504","5050079,94366464","45,5906224273113","-73,5246510292663"
6064786,81-01514,Côté Ouest de la rue Curatteau,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1999,,1253,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"302563,902638859","5050207,83136309","45,5917722627456","-73,5286593950228"
6056247,81-01515,Côté Ouest de la rue Curatteau,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1999,,1990,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"302157,097491289","5050385,49465576","45,5933695010442","-73,5338742565233"
6064381,81-01516,rue De Boucherville,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1999,,1532,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"301338,147734284","5050615,88274578","45,5954390036215","-73,5443724207505"
6041903,81-01519,"Voie de service Acadie Sud, dir. Est, côté Sud",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Mur,2001,,431,,,Actif Ville de Montréal,Ville Montréal - Municipalité,Inspections annuelle et générale par la Ville Montréal,"99,23",4,2016-09-22,"293205,638810575","5043401,51993928","45,5304339200472","-73,6484398718228"
6041905,81-01521,"Voie de service, dir. Est vers l'Ouest, côté Sud",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Mur,2003,,640,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016-09-19,"293241,694513876","5043403,84720859","45,5304554605533","-73,6479783156256"
6041605,81-01522,"Voie de service, dir. Est, côté Sud",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Mur,2001,,83,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016-09-20,"293242,83437406","5043464,84660356","45,5310043737525","-73,6479651615592"
6041607,81-01523,"Voie de service, dir. Est, côté Sud",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Mur,2001,,384,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016-09-20,"293272,646681636","5043561,32241624","45,5318729911574","-73,6475857495481"
6064383,81-01525,Boulevard Louis-H.-La Fontaine,,,09 - Arrondissement Anjou,Mur,1999,,904,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"301049,337535161","5050791,33964766","45,5970163160615","-73,5480756031439"
6064385,81-01526,Boulevard Louis-H.-La Fontaine,,,09 - Arrondissement Anjou,Mur,1999,,526,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"300871,401155297","5050904,70346907","45,5980354125736","-73,5503572847972"
6064387,81-01527,Boulevard Louis-H.-La Fontaine,,,09 - Arrondissement Anjou,Mur,1999,,1474,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"300663,690156517","5051030,62827109","45,5991673139467","-73,5530208171222"
6064388,81-01528,Boulevard Louis-H.-La Fontaine,,,09 - Arrondissement Anjou,Mur,1999,,1324,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"300112,049393828","5051380,05731416","45,6023080703851","-73,5600953143997"
6011745,81-02201,Avenue Rockland Direction Nord,Chemin de fer Canadien Pacifique,,05 - Arrondissement Outremont,Pont à dalle évidée en béton armé,1966,4540,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Municipalité,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2016-09-27,"295116,510908985","5042182,41789921","45,5194931538707","-73,6239513968626"
6011751,81-02202,Boulevard de l'Île-des-Soeurs direction Ouest,Piste Cyclable parc West Vancouver,,12 - Arrondissement Verdun,Pont à dalle évidée en béton précont.,1967,86,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"301438,584854648","5035273,16372769","45,4573797155829","-73,5429797988011"
6036789,81-02203,"Boulevard de l'île des soeurs, direction Est",Piste Cyclable parc West Vancouver,,12 - Arrondissement Verdun,Pont à dalle évidée en béton précont.,1967,82,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"301459,509499381","5035268,77194573","45,4573402964882","-73,5427122218968"
202265,81-02204,Rue Jean-Milot,Route 138,,18 - Arrondissement LaSalle,Portique en béton armé,1963,560,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016-06-01,"293059,892034365","5032380,50523895","45,4312596020874","-73,6500423665922"
5785636,81-02205A,Rue Stinson (LaSalle),Route 138,"P.S. Stinson, CP, Wanklyn / Route 138",18 - Arrondissement LaSalle,Portique en béton armé,1963,465,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015-10-01,"293081,362922826","5032029,98620941","45,4281058112716","-73,649759621185"
202247,81-02205B,Rue Wanklyn,Route 138,"P.S. Stinson, CP, Wanklyn / Route 138",18 - Arrondissement LaSalle,Portique en béton armé,1963,465,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015-10-01,"293096,295462016","5032079,72459058","45,4285536330164","-73,6495699718563"
202263,81-02206,Rue Airlie,Route 138,,18 - Arrondissement LaSalle,Portique en béton armé,1963,399,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"292992,674554044","5031726,53722786","45,4253737280078","-73,650885745233"
