NO,SRCGNR_NO,TYPPLL_CODE,DOM_INTERV,DTHR_ENREGISTRE,PROVENANCE,CDSREGPST_CODE_LIEU_PLN
19910328,24,ND AIR,A,1991-05-22,T,H1A
19910329,24,ND AIR,A,1991-05-22,T,H3G
19910330,24,ND AIR,A,1991-05-22,T,H3T
19910331,24,ND AIR,A,1991-05-22,T,
19910332,24,ND AIR,A,1991-05-22,T,
19910333,24,ND AIR,A,1991-05-22,T,
19910334,24,ND AIR,A,1991-05-22,T,
19910335,24,ND AIR,A,1991-05-22,T,
19910336,24,ND AIR,A,1991-05-23,T,H3A
19910337,24,ND AIR,A,1991-05-23,T,
19910338,24,ND AIR,A,1991-05-23,T,
19910339,24,ND AIR,A,1991-05-23,T,
19910340,24,ND AIR,A,1991-05-23,T,H8S
19910341,24,ND AIR,A,1991-05-23,T,
19910342,24,ND AIR,A,1991-05-23,T,
19910344,24,ND AIR,A,1991-05-24,T,H1B
19910345,24,ND AIR,A,1991-05-24,T,H2G
19910346,24,ND AIR,A,1991-05-24,T,
19910347,24,ND AIR,A,1991-05-23,T,
19910348,24,ND AIR,A,1991-05-24,T,
19910349,24,ND AIR,A,1991-05-24,T,H4E
19910350,24,ND AIR,A,1991-05-24,T,H1N
19910351,24,ND AIR,A,1991-05-26,T,
19910352,24,ND AIR,A,1991-05-25,T,H2J
19910353,24,ND AIR,A,1991-05-27,T,
19910354,24,ND AIR,A,1991-05-23,T,
19910355,24,ND AIR,A,1991-05-28,T,H2J
19910356,24,ND AIR,A,1991-05-28,T,H3J
19910357,24,ND AIR,A,1991-05-28,T,
19910358,24,ND AIR,A,1991-05-28,T,H2M
19910359,24,ND AIR,A,1991-05-29,T,H3S
19910360,24,ND AIR,A,1991-05-29,T,
19910361,24,ND AIR,A,1991-05-29,T,H8Z
19910362,24,ND AIR,A,1991-05-29,T,
19910363,24,ND AIR,A,1991-05-29,T,H1J
19910364,24,ND AIR,A,1991-05-29,T,H2X
19910365,24,ND AIR,A,1991-05-29,T,
19910366,24,ND AIR,A,1991-05-28,T,
19910367,24,ND AIR,A,1991-05-30,T,
19910368,24,ND AIR,A,1991-05-30,T,
19910369,24,ND AIR,A,1991-05-30,T,H3C
19910370,24,ND AIR,A,1991-05-30,T,H9R
19910371,24,ND AIR,A,1991-05-30,T,
19910372,24,ND AIR,A,1991-05-30,T,
19910373,24,ND AIR,A,1991-05-30,T,
19910374,24,ND AIR,A,1991-05-30,T,H2Y
19910375,24,ND AIR,A,1991-05-30,T,
19910376,24,ND AIR,A,1991-05-30,T,H1W
19910377,24,ND AIR,A,1991-05-30,T,
19910378,24,ND AIR,A,1991-05-31,T,
19910379,24,ND AIR,A,1991-05-31,T,
19910380,24,ND AIR,A,1991-05-31,T,
19910381,24,ND AIR,A,1991-05-31,T,
19910382,24,ND AIR,A,1991-05-31,T,
19910383,24,ND AIR,A,1991-05-30,T,H4G
19910384,24,ND AIR,A,1991-05-31,T,
19910385,24,ND AIR,A,1991-06-03,T,
19910387,24,ND AIR,A,1991-06-03,T,
19910388,24,ND AIR,A,1991-06-03,T,
19910389,24,ND AIR,A,1991-06-03,T,
19910390,24,ND AIR,A,1991-06-03,T,H2E
19910391,24,ND AIR,A,1991-06-03,T,H9P
19910392,24,ND AIR,A,1991-06-03,T,H4E
19910393,24,ND AIR,A,1991-06-04,T,
19910394,24,ND AIR,A,1991-06-04,T,
19910395,24,ND AIR,A,1991-06-04,T,H1L
19910396,24,ND AIR,A,1991-06-04,T,H3H
19910397,24,ND AIR,A,1991-06-04,T,H3X
19910398,24,ND AIR,A,1991-06-04,T,
19910399,24,ND AIR,A,1991-06-04,T,H4E
19910400,24,ND AIR,A,1991-06-04,T,
19910401,24,ND AIR,A,1991-06-04,T,
19910402,24,ND AIR,A,1991-06-04,T,
19910403,24,ND AIR,A,1991-06-04,T,
19910404,24,ND AIR,A,1991-06-04,T,
19910405,24,ND AIR,A,1991-06-05,T,H1T
19910406,24,ND AIR,A,1991-06-05,T,
19910407,24,ND AIR,A,1991-06-05,T,H2M
19910409,24,ND AIR,A,1991-06-05,T,
19910410,24,ND AIR,A,1991-06-06,T,
19910411,24,ND AIR,A,1991-06-06,T,
19910412,24,ND AIR,A,1991-06-06,T,
19910441,24,ND AIR,A,1991-06-11,T,H2G
19910442,24,ND AIR,A,1991-06-11,T,
19910443,24,ND AIR,A,1991-06-11,T,
19910444,24,ND AIR,A,1991-06-11,T,H1B
19910445,24,ND AIR,A,1991-06-11,T,
19910446,24,ND AIR,A,1991-06-12,T,H1G
19910447,24,ND AIR,A,1991-06-12,T,
19910448,24,ND AIR,A,1991-06-12,T,H4B
19910449,24,ND AIR,A,1991-06-12,T,
19910450,24,ND AIR,A,1991-06-12,T,
19910451,24,ND AIR,A,1991-06-12,T,
19910452,24,ND AIR,A,1991-06-13,T,
19910453,24,ND AIR,A,1991-06-13,T,H1J
19910454,24,ND AIR,A,1991-06-13,T,
19910455,24,ND AIR,A,1991-06-13,T,
19910456,24,ND AIR,A,1991-06-13,T,H4K
19910457,24,ND AIR,A,1991-06-13,T,H4T
19910458,24,ND AIR,A,1991-06-13,T,H1M
19910459,24,ND AIR,A,1991-06-13,T,H1A
19910460,24,ND AIR,A,1991-06-14,T,H2N
19910461,24,ND AIR,A,1991-06-14,T,
19910462,24,ND AIR,A,1991-06-14,T,
19910463,24,ND AIR,A,1991-06-14,T,H1M
19910464,24,ND AIR,A,1991-06-14,T,
19910465,24,ND AIR,A,1991-06-17,T,H3H
19910466,24,ND AIR,A,1991-06-17,T,
19910467,24,ND AIR,A,1991-06-17,T,
19910468,24,ND AIR,A,1991-06-17,T,H3A
19910469,24,ND AIR,A,1991-06-17,T,H2C
19910470,24,ND AIR,A,1991-06-17,T,H4M
19910471,24,ND AIR,A,1991-06-17,T,H4C
19910472,24,ND AIR,A,1991-06-17,T,H3S
19910643,24,ND AIR,A,1991-07-16,T,
19910644,24,ND AIR,A,1991-07-16,T,
19910645,24,ND AIR,A,1991-07-17,T,
19910646,24,ND AIR,A,1991-07-17,T,
19910647,24,ND AIR,A,1991-07-17,T,
19910648,24,ND AIR,A,1991-07-17,T,H1A
19910649,24,ND AIR,A,1991-07-17,T,
19910650,24,ND AIR,A,1991-07-18,T,
19910651,24,ND AIR,A,1991-07-18,T,H2A
19910652,24,ND AIR,A,1991-07-18,T,
19910653,24,ND AIR,A,1991-07-18,T,H4G
19910654,24,ND AIR,A,1991-07-19,T,H1W
19910655,24,ND AIR,A,1991-07-19,T,
19910656,24,ND AIR,A,1991-07-19,T,
19910657,24,ND AIR,A,1991-07-19,T,H1L
19910658,24,ND AIR,A,1991-07-22,T,
19910659,24,ND AIR,A,1991-07-22,T,
19910660,24,ND AIR,A,1991-07-22,T,
19910661,24,ND AIR,A,1991-07-22,T,
19910662,24,ND AIR,A,1991-07-22,T,
19910663,24,ND AIR,A,1991-07-22,T,
19910664,24,ND AIR,A,1991-07-22,T,
19910665,24,ND AIR,A,1991-07-22,T,
19910666,24,ND AIR,A,1991-07-22,T,
19910667,24,ND AIR,A,1991-07-22,T,
19910668,24,ND AIR,A,1991-07-22,T,
19910669,24,ND AIR,A,1991-07-22,T,H1H
19910670,24,ND AIR,A,1991-07-22,T,H1E
19910671,24,ND AIR,A,1991-07-23,T,H2B
19910672,24,ND AIR,A,1991-07-23,T,H2B
19910673,24,ND AIR,A,1991-07-23,T,
19910674,24,ND AIR,A,1991-07-23,T,
19910675,24,ND AIR,A,1991-07-23,T,H2L
19910676,24,ND AIR,A,1991-07-23,T,
19910677,24,ND AIR,A,1991-07-23,T,
19910678,24,ND AIR,A,1991-07-24,T,H2G
19910679,24,ND AIR,A,1991-07-24,T,
19910680,24,ND AIR,A,1991-07-24,T,H2C
19910681,24,ND AIR,A,1991-07-24,T,H4H
19910682,24,ND AIR,A,1991-07-24,T,
19910683,24,ND AIR,A,1991-07-24,T,
19910685,24,ND AIR,A,1991-07-24,T,
19910686,24,ND AIR,A,1991-07-25,T,H3L
19910687,24,ND AIR,A,1991-07-25,T,H1C
19910688,24,ND AIR,A,1991-07-25,T,H2C
19910689,24,ND AIR,A,1991-07-25,T,
19910690,24,ND AIR,A,1991-07-25,T,H3M
19910691,24,ND AIR,A,1991-07-25,T,
19910692,24,ND AIR,A,1991-07-25,T,H9J
19910693,24,ND AIR,A,1991-07-25,T,
19910694,24,ND AIR,A,1991-07-26,T,H3X
19910695,24,ND AIR,A,1991-07-26,T,H4E
19910696,24,ND AIR,A,1991-07-26,T,
19910697,24,ND AIR,A,1991-07-26,T,
19910698,24,ND AIR,A,1991-07-29,T,
19910699,24,ND AIR,A,1991-07-29,T,H1K
19910700,24,ND AIR,A,1991-07-29,T,H2V
19910701,24,ND AIR,A,1991-07-30,T,
19910702,24,ND AIR,A,1991-07-30,T,
19910703,24,ND AIR,A,1991-07-30,T,
19910704,24,ND AIR,A,1991-07-30,T,
19910705,24,ND AIR,A,1991-07-30,T,
19910706,24,ND AIR,A,1991-07-30,T,H3C
19910707,24,ND AIR,A,1991-07-30,T,H1M
19910708,24,ND AIR,A,1991-07-30,T,H3V
19910709,24,ND AIR,A,1991-07-30,T,H1W
19910473,24,ND AIR,A,1991-06-18,T,
19910474,24,ND AIR,A,1991-06-18,T,
19910475,24,ND AIR,A,1991-06-18,T,
19910476,24,ND AIR,A,1991-06-18,T,
19910477,24,ND AIR,A,1991-06-18,T,
19910478,24,ND AIR,A,1991-06-19,T,
19910479,24,ND AIR,A,1991-06-19,T,
19910480,24,ND AIR,A,1991-06-19,T,
19910481,24,ND AIR,A,1991-06-19,T,
19910482,24,ND AIR,A,1991-06-18,T,
19910483,24,ND AIR,A,1991-06-18,T,
19910484,24,ND AIR,A,1991-06-18,T,
19910485,24,ND AIR,A,1991-06-18,T,
19910486,24,ND AIR,A,1991-06-19,T,H3S
19910487,24,ND AIR,A,1991-06-19,T,
19910488,24,ND AIR,A,1991-06-19,T,
19910489,24,ND AIR,A,1991-06-19,T,
19910490,24,ND AIR,A,1991-06-19,T,
19910491,24,ND AIR,A,1991-06-19,T,H3P
19910492,24,ND AIR,A,1991-06-19,T,
19910493,24,ND AIR,A,1991-06-19,T,
19910494,24,ND AIR,A,1991-06-19,T,
19910495,24,ND AIR,A,1991-06-19,T,
19910496,24,ND AIR,A,1991-06-19,T,
19910497,24,ND AIR,A,1991-06-19,T,
19910498,24,ND AIR,A,1991-06-19,T,
19910499,24,ND AIR,A,1991-06-19,T,
19910500,24,ND AIR,A,1991-06-19,T,
19910501,24,ND AIR,A,1991-06-19,T,
19910502,24,ND AIR,A,1991-06-19,T,
19910503,24,ND AIR,A,1991-06-19,T,
19910504,24,ND AIR,A,1991-06-19,T,
19910505,24,ND AIR,A,1991-06-19,T,
19910506,24,ND AIR,A,1991-06-19,T,
19910507,24,ND AIR,A,1991-06-19,T,
19910508,24,ND AIR,A,1991-06-19,T,
19910509,24,ND AIR,A,1991-06-19,T,
19910510,24,ND AIR,A,1991-06-19,T,
19910511,24,ND AIR,A,1991-06-19,T,
19910512,24,ND AIR,A,1991-06-19,T,
19910513,24,ND AIR,A,1991-06-20,T,
19910515,24,ND AIR,A,1991-06-20,T,
19910516,24,ND AIR,A,1991-06-20,T,H8N
19910517,24,ND AIR,A,1991-06-20,T,H9S
19910518,24,ND AIR,A,1991-06-20,T,
19910519,24,ND AIR,A,1991-06-20,T,H1A
19910520,24,ND AIR,A,1991-06-20,T,H1A
19910521,24,ND AIR,A,1991-06-09,T,H2N
19910522,24,ND AIR,A,1991-06-20,T,
19910523,24,ND AIR,A,1991-06-21,T,H9R
19910524,24,ND AIR,A,1991-06-25,T,
19910525,24,ND AIR,A,1991-06-25,T,
19910526,24,ND AIR,A,1991-06-25,T,
19910527,24,ND AIR,A,1991-06-25,T,
19910528,24,ND AIR,A,1991-06-25,T,H3K
19910529,24,ND AIR,A,1991-06-26,T,
19910530,24,ND AIR,A,1991-06-25,T,
19910531,24,ND AIR,A,1991-06-26,T,H8N
19910532,24,ND AIR,A,1991-06-26,T,H1X
19910533,24,ND AIR,A,1991-06-26,T,
19910534,24,ND AIR,A,1991-06-26,T,
19910535,24,ND AIR,A,1991-06-26,T,
19910536,24,ND AIR,A,1991-06-26,T,
19910537,24,ND AIR,A,1991-06-26,T,
19910538,24,ND AIR,A,1991-06-26,T,
19910539,24,ND AIR,A,1991-06-26,T,
19910540,24,ND AIR,A,1991-06-26,T,
19910541,24,ND AIR,A,1991-06-26,T,H2B
19910542,24,ND AIR,A,1991-06-26,T,
19910543,24,ND AIR,A,1991-06-27,T,
19910544,24,ND AIR,A,1991-06-27,T,
19910545,24,ND AIR,A,1991-06-27,T,
19910546,24,ND AIR,A,1991-06-27,T,
19910547,24,ND AIR,A,1991-06-27,T,H1W
19910548,24,ND AIR,A,1991-06-27,T,H1A
19910549,24,ND AIR,A,1991-06-27,T,H2Y
19910550,24,ND AIR,A,1991-06-27,T,
19910551,24,ND AIR,A,1991-06-28,T,
19910552,24,ND AIR,A,1991-06-28,T,
19910553,24,ND AIR,A,1991-06-28,T,H4V
19910554,24,ND AIR,A,1991-06-28,T,H3V
19910555,24,ND AIR,A,1991-06-28,T,H3V
19910556,24,ND AIR,A,1991-06-28,T,
19910557,24,ND AIR,A,1991-06-28,T,
19910558,24,ND AIR,A,1991-06-28,T,
19910559,24,ND AIR,A,1991-06-28,T,H2J
19910560,24,ND AIR,A,1991-06-28,T,
19910561,24,ND AIR,A,1991-07-02,T,
19910562,24,ND AIR,A,1991-07-02,T,H3K
19910563,24,ND AIR,A,1991-07-02,T,H3V
19910564,24,ND AIR,A,1991-07-02,T,H1G
19910565,24,ND AIR,A,1991-07-02,T,
19910566,24,ND AIR,A,1991-07-02,T,H4H
19910567,24,ND AIR,A,1991-07-02,T,H2E
19910568,24,ND AIR,A,1991-07-02,T,
19910569,24,ND AIR,A,1991-07-02,T,H1Y
19910570,24,ND AIR,A,1991-07-02,T,
19910571,24,ND AIR,A,1991-07-03,T,H1Y
19910572,24,ND AIR,A,1991-07-03,T,
19910573,24,ND AIR,A,1991-07-03,T,
19910575,24,ND AIR,A,1991-07-03,T,H4T
19910576,24,ND AIR,A,1991-07-04,T,H3J
19910577,24,ND AIR,A,1991-07-04,T,H4N
19910578,24,ND AIR,A,1991-07-04,T,H1A
19910579,24,ND AIR,A,1991-07-04,T,
19910580,24,ND AIR,A,1991-07-04,T,
19910581,24,ND AIR,A,1991-07-04,T,H8R
19910582,24,ND AIR,A,1991-07-04,T,
19910583,24,ND AIR,A,1991-07-04,T,
19910584,24,ND AIR,A,1991-07-04,T,
19910585,24,ND AIR,A,1991-07-04,T,
19910586,24,ND AIR,A,1991-07-04,T,
19910587,24,ND AIR,A,1991-07-04,T,
19910588,24,ND AIR,A,1991-07-04,T,
19910589,24,ND AIR,A,1991-07-04,T,
19910590,24,ND AIR,A,1991-07-04,T,
19910591,24,ND AIR,A,1991-07-04,T,
19910592,24,ND AIR,A,1991-07-04,T,
19910593,24,ND AIR,A,1991-07-04,T,
19910594,24,ND AIR,A,1991-07-04,T,
19910595,24,ND AIR,A,1991-07-04,T,
19910596,24,ND AIR,A,1991-07-04,T,
19910597,24,ND AIR,A,1991-07-05,T,
19910598,24,ND AIR,A,1991-07-05,T,
19910599,24,ND AIR,A,1991-07-05,T,H4N
19910600,24,ND AIR,A,1991-07-05,T,
19910601,24,ND AIR,A,1991-07-08,T,
19910602,24,ND AIR,A,1991-07-08,T,H1R
19910603,24,ND AIR,A,1991-07-08,T,H2V
19910604,24,ND AIR,A,1991-07-08,T,
19910605,24,ND AIR,A,1991-07-08,T,
19910606,24,ND AIR,A,1991-07-09,T,H9P
19910607,24,ND AIR,A,1991-07-09,T,H1W
19910608,24,ND AIR,A,1991-07-09,T,
19910609,24,ND AIR,A,1991-07-08,T,H2H
19910610,24,ND AIR,A,1991-07-09,T,H1A
19910611,24,ND AIR,A,1991-07-09,T,
19910612,24,ND AIR,A,1991-07-10,T,H4L
19910613,24,ND AIR,A,1991-07-11,T,H3C
19910614,24,ND AIR,A,1991-07-10,T,H2K
19910615,24,ND AIR,A,1991-07-10,T,H2W
19910616,24,ND AIR,A,1991-07-11,T,
19910617,24,ND AIR,A,1991-07-11,T,H1A
19910618,24,ND AIR,A,1991-07-11,T,
19910619,24,ND AIR,A,1991-07-11,T,
19910620,24,ND AIR,A,1991-07-11,T,
19910621,24,ND AIR,A,1991-07-15,T,
19910622,24,ND AIR,A,1991-07-15,T,
19910623,24,ND AIR,A,1991-07-15,T,
19910624,24,ND AIR,A,1991-07-15,T,H2L
19910625,24,ND AIR,A,1991-07-15,T,
19910626,24,ND AIR,A,1991-07-15,T,H3A
19910627,24,ND AIR,A,1991-07-15,T,
19910628,24,ND AIR,A,1991-07-15,T,H2T
19910629,24,ND AIR,A,1991-07-15,T,
19910630,24,ND AIR,A,1991-07-15,T,
19910631,24,ND AIR,A,1991-07-15,T,H2J
19910632,24,ND AIR,A,1991-07-16,T,
19910633,24,ND AIR,A,1991-07-16,T,
19910634,24,ND AIR,A,1991-07-16,T,
19910635,24,ND AIR,A,1991-06-16,T,
19910636,24,ND AIR,A,1991-07-16,T,
19910637,24,ND AIR,A,1991-07-16,T,H1B
19910638,24,ND AIR,A,1991-07-16,T,
19910639,24,ND AIR,A,1991-07-16,T,
19910640,24,ND AIR,A,1991-07-16,T,
19910641,24,ND AIR,A,1991-07-16,T,
19910642,24,ND AIR,A,1991-07-16,T,
19910870,24,ND AIR,A,1991-09-09,T,
19910871,24,ND AIR,A,1991-09-09,T,
19910872,24,ND AIR,A,1991-09-10,T,
19910873,24,ND AIR,A,1991-09-10,T,H2L
19910874,24,ND AIR,A,1991-09-10,T,H1B
19910875,24,ND AIR,A,1991-09-10,T,
19910876,24,ND AIR,A,1991-09-10,T,
19910877,24,ND AIR,A,1991-09-10,T,
19910878,24,ND AIR,A,1991-09-10,T,
19910879,24,ND AIR,A,1991-09-10,T,
19910880,24,ND AIR,A,1991-09-10,T,
19910881,24,ND AIR,A,1991-09-10,T,H4B
19910882,24,ND AIR,A,1991-09-10,T,H1N
19910883,24,ND AIR,A,1991-09-10,T,
19910884,24,ND AIR,A,1991-09-10,T,H3G
19910885,24,ND AIR,A,1991-09-11,T,
19910886,24,ND AIR,A,1991-09-11,T,
19910887,24,ND AIR,A,1991-09-11,T,H3Z
19910888,24,ND AIR,A,1991-09-11,T,H8S
19910889,24,ND AIR,A,1991-09-12,T,
19910890,24,ND AIR,A,1991-09-12,T,
19910891,24,ND AIR,A,1991-09-12,T,H2N
19910892,24,ND AIR,A,1991-09-12,T,
19910893,24,ND AIR,A,1991-09-12,T,H2X
19910894,24,ND AIR,A,1991-09-12,T,
19910895,24,ND AIR,A,1991-09-12,T,
19910896,24,ND AIR,A,1991-09-12,T,
19910897,24,ND AIR,A,1991-09-12,T,
19910898,24,ND AIR,A,1991-09-13,T,
19910899,24,ND AIR,A,1991-09-13,T,
19910900,24,ND AIR,A,1991-09-13,T,H1X
19910901,24,ND AIR,A,1991-09-13,T,
19910902,24,ND AIR,A,1991-09-13,T,
19910903,24,ND AIR,A,1991-09-13,T,
19910904,24,ND AIR,A,1991-09-13,T,
19910905,24,ND AIR,A,1991-09-13,T,
19910906,24,ND AIR,A,1991-09-13,T,
19910907,24,ND AIR,A,1991-09-13,T,
19910908,24,ND AIR,A,1991-09-13,T,H2K
19910909,24,ND AIR,A,1991-09-13,T,H2L
19910910,24,ND AIR,A,1991-09-16,T,
19910911,24,ND AIR,A,1991-09-16,T,
19910912,24,ND AIR,A,1991-09-16,T,
19910913,24,ND AIR,A,1991-09-16,T,H1B
19910914,24,ND AIR,A,1991-09-16,T,
19910915,24,ND AIR,A,1991-09-16,T,H3W
19910916,24,ND AIR,A,1991-09-17,T,H3C
19910917,24,ND AIR,A,1991-09-18,T,
19910918,24,ND AIR,A,1991-09-18,T,
19910919,24,ND AIR,A,1991-09-18,T,
19910920,24,ND AIR,A,1991-09-18,T,H3S
19910921,24,ND AIR,A,1991-09-18,T,H2L
19910922,24,ND AIR,A,1991-09-18,T,H8R
19910923,24,ND AIR,A,1991-09-18,T,
19910924,24,ND AIR,A,1991-09-17,T,
19910925,24,ND AIR,A,1991-09-18,T,
19910926,24,ND AIR,A,1991-09-17,T,
19910927,24,ND AIR,A,1991-09-16,T,
19910928,24,ND AIR,A,1991-09-19,T,
19910929,24,ND AIR,A,1991-09-19,T,
19910931,24,ND AIR,A,1991-09-20,T,
19910932,24,ND AIR,A,1991-09-19,T,
19910933,24,ND AIR,A,1991-09-20,T,
19910934,24,ND AIR,A,1991-09-20,T,
19910935,24,ND AIR,A,1991-09-20,T,
19910936,24,ND AIR,A,1991-09-23,T,H4B
19910937,24,ND AIR,A,1991-09-23,T,H4B
19910938,24,ND AIR,A,1991-09-23,T,H4P
19910939,24,ND AIR,A,1991-09-23,T,
19910940,24,ND AIR,A,1991-09-23,T,
19910941,24,ND AIR,A,1991-09-24,T,
19910942,24,ND AIR,A,1991-09-20,T,
19910943,24,ND AIR,A,1991-09-24,T,
19910944,24,ND AIR,A,1991-09-19,T,H1B
19910945,24,ND AIR,A,1991-09-25,T,
19910710,24,ND AIR,A,1991-07-30,T,
19910711,24,ND AIR,A,1991-07-30,T,H4E
19910712,24,ND AIR,A,1991-07-30,T,
19910713,24,ND AIR,A,1991-07-30,T,H1B
19910714,24,ND AIR,A,1991-07-31,T,H1A
19910715,24,ND AIR,A,1991-07-31,T,H1B
19910716,24,ND AIR,A,1991-07-31,T,H1M
19910717,24,ND AIR,A,1991-07-31,T,
19910718,24,ND AIR,A,1991-08-01,T,H4E
19910719,24,ND AIR,A,1991-07-31,T,
19910720,24,ND AIR,A,1991-07-31,T,
19910721,24,ND AIR,A,1991-07-31,T,
19910722,24,ND AIR,A,1991-08-01,T,H1H
19910723,24,ND AIR,A,1991-08-01,T,
19910724,24,ND AIR,A,1991-08-01,T,
19910725,24,ND AIR,A,1991-08-01,T,
19910726,24,ND AIR,A,1991-08-02,T,
19910727,24,ND AIR,A,1991-08-02,T,
19910728,24,ND AIR,A,1991-08-02,T,
19910729,24,ND AIR,A,1991-08-04,T,
19910730,24,ND AIR,A,1991-08-05,T,H1L
19910731,24,ND AIR,A,1991-08-05,T,H1B
19910732,24,ND AIR,A,1991-08-06,T,H2T
19910733,24,ND AIR,A,1991-08-06,T,
19910734,24,ND AIR,A,1991-08-06,T,
19910735,24,ND AIR,A,1991-08-06,T,
19910736,24,ND AIR,A,1991-08-06,T,
19910737,24,ND AIR,A,1991-08-06,T,
19910738,24,ND AIR,A,1991-08-07,T,H9J
19910739,24,ND AIR,A,1991-08-06,T,
19910740,24,ND AIR,A,1991-08-07,T,
19910741,24,ND AIR,A,1991-08-07,T,H2V
19910742,24,ND AIR,A,1991-08-08,T,
19910743,24,ND AIR,A,1991-08-08,T,
19910744,24,ND AIR,A,1991-08-08,T,H1Z
19910745,24,ND AIR,A,1991-08-08,T,H2Z
19910746,24,ND AIR,A,1991-08-08,T,H2L
19910747,24,ND AIR,A,1991-08-08,T,H2X
19910748,24,ND AIR,A,1991-08-09,T,H3W
19910749,24,ND AIR,A,1991-08-09,T,H2Y
19910750,24,ND AIR,A,1991-08-09,T,H2G
19910751,24,ND AIR,A,1991-08-09,T,H1A
19910752,24,ND AIR,A,1991-08-12,T,H3M
19910753,24,ND AIR,A,1991-08-12,T,H2Y
19910754,24,ND AIR,A,1991-08-12,T,H9P
19910755,24,ND AIR,A,1991-08-12,T,H1G
19910756,24,ND AIR,A,1991-08-12,T,
19910757,24,ND AIR,A,1991-08-12,T,
19910758,24,ND AIR,A,1991-08-12,T,H1L
19910759,24,ND AIR,A,1991-08-12,T,
19910760,24,ND AIR,A,1991-08-12,T,
