ï»¿Type;Sous-type;Region;No_Region;Nom_du_lieu;Adresse
Lieu de valorisation de sols contamines avec acte statutaire;;Cote-Nord ;09;Englobe - Carriere Miller Baie-Comeau;"Lot de cadastre 2905582
Baie-Comeau (Quebec)"
Lieu de valorisation de sols contamines avec acte statutaire;;Cote-Nord ;09;LEET MW;"1000, Quebec 389
Fermont (Quebec)  G0G1J0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Nord-du-Quebec ;10;ecocentre Kuujjuaq;"Coordonnees geographiques 58.150908  68.359408
Kuujjuaq"
Lieu de valorisation de sols contamines avec acte statutaire;;Gaspesie - Ãles-de-la-Madeleine ;11;Carriere Ben Gallon;"Lot 1136-P, rang 1 Ouest
Paspebiac (Quebec)  G0C1Z0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Gaspesie - Ãles-de-la-Madeleine ;11;Regie intermunicipale de Gestion des Dechets solides des Anses;"785, rue Saint Pierre
Grande-Riviere-Ouest (Quebec)  G0C1W0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Butte-ecran parc industriel Lauzon;"Aucune rue des Riveurs
Levis (Quebec)  G6Y0C2 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Carriere Mont Granite;"606, rue Piuze
Thetford Mines (Quebec)  G6G5R7 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Carriere National;"3900, boulevard Frontenac Est
Thetford Mines (Quebec)  G6H4G2 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Englobe - Carriere Saint-David;"Lot de cadastre 2219966
Levis (Quebec)"
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Englobe - LVMA Mine Black Lake - Lieu de Valorisation de Materiaux Amiantes;"3700, rue du lac noir
THETFORD MINES (Quebec)  G6H1S9 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Englobe - Mine Black Lake - Valorisation sols AB;"3700, rue du Lac-Noir
Thetford Mines (Quebec)  G0N1B0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Englobe - Mine Carey - Valorisation sols AB;"95 3e rang Nord
Tring-Jonction (Quebec)  G0N1X0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Fibres Sustana;"3805 Saint-Augustin
Levis (Quebec)  G6Z8J4 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Halde Flintkote;"800, rue Flintkote
Thetford Mines (Quebec)  G6H4E7 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Lac Vert;"112, rue Jacques-Nau
Levis (Quebec)  G6V9J4 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Pare Volvo;"250, route du President-Kennedy
Levis (Quebec)  G6V9J6 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Viridis (Mine Black Lake);"200, chemin de la mine
Saint-Joseph-de-Coleraine (Quebec)  G0N1B0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Chaudiere-Appalaches ;12;Viridis (Mine National);"Coordonnees geographiques 46.133184  -71.253449
Thetford Mines"
Lieu de valorisation de sols contamines avec acte statutaire;;Laval ;13;Carriere DJL Laval;"4297, rang Saint Elzear Est
Laval (Quebec)  H7E4P2 "
Lieu de valorisation de sols contamines avec acte statutaire;;Laval ;13;Demix Laval;"1500, boulevard Saint-Martin Est
Laval (Quebec)  H7G4S8 "
Lieu de valorisation de sols contamines avec acte statutaire;;Laval ;13;Demix St-FranÃ§ois;"2950, montee Masson
Laval (Quebec)  H7B1E3 "
Lieu de valorisation de sols contamines avec acte statutaire;;Lanaudiere ;14;Carriere L'epiphanie;"865, rang de l'Achigan Sud
L'epiphanie (Quebec)  J5X3M9 "
Lieu de valorisation de sols contamines avec acte statutaire;;Lanaudiere ;14;Carriere St-Barthelemy 2020 Inc.;"460, rang Saint Jacques
Saint-Barthelemy (Quebec)  J0K1X0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Lanaudiere ;14;Remblayage Solterra - Mascouche;"1285, chemin de la Cabane-Ronde
Mascouche (Quebec)  J7K0P2 "
Lieu de valorisation de sols contamines avec acte statutaire;;Laurentides ;15;Carriere Mirabel Agregats Mirabel;"5605, route Arthur-Sauve
Mirabel (Quebec)  J7N2R4 "
Lieu de valorisation de sols contamines avec acte statutaire;;Laurentides ;15;Carriere Mirabel Uniroc;"5605, route Arthur-Sauve
Mirabel (Quebec)  J7N2R4 "
Lieu de valorisation de sols contamines avec acte statutaire;;Laurentides ;15;Demix Mirabel;"18625, chemin du Grand Saint Charles
Saint-Augustin de Mirabel (Quebec)  J7N2E8 "
Lieu de valorisation de sols contamines avec acte statutaire;;Laurentides ;15;Stablex Canada Inc.;"760, boulevard Industriel
Blainville (Quebec)  J7C3V4 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;CRS;"950, chemin d'Anjou
Boucherville (Quebec)  J4B5E4 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;CRSMM - St-Bruno;"580, rang des Vingt Cinq Est
Saint-Bruno-de-Montarville (Quebec)  J3V0G6 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;CRSMM - St-Philippe;"201, rang Saint-Marc
Saint-Philippe (Quebec)  J0L2K0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;Carriere Baillargeon;"826, rue des Carrieres
Saint-Jean-sur-Richelieu (Quebec)  J3B2P2 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;Carriere Venise-en-Quebec;"196 23e rue Ouest
Venise-en-Quebec (Quebec)  J0J2K0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;Carriere de Melocheville;"100, boulevard de Melocheville
Beauharnois (Quebec)  J0S1J0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;Carriere de la briqueterie La Prairie;"955, chemin Saint-Jose
La Prairie (Quebec)  J5R3A9 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;Demix St-Jacques;"47, route edouard VII
Saint-Jacques-le-Mineur (Quebec)  J0J1Z0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;Demix Varennes;"3350, chemin de la Butte aux Renards
Varennes (Quebec)  J3X0G7 "
Lieu de valorisation de sols contamines avec acte statutaire;;Monteregie ;16;Eurovia Carignan;"100, chemin de la Carriere
Carignan (Quebec)  J3L0N5 "
Lieu de valorisation de sols contamines avec acte statutaire;;Centre-du-Quebec ;17;Enfoui-bec Valorisation RFPP;"18055, rue Gauthier
Becancour (Quebec)  G9H1C1 "
Lieu de valorisation de sols contamines avec acte statutaire;;Centre-du-Quebec ;17;Englobe - Carriere DG;"23, route Fleury
Warwick (Quebec)  J0A1M0 "
