TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0199",2417,"Aucune influence","Mod̩r̩e",5,12.4,13.6,16.5,24.8,16.4,16.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0201",2147,"Aucune influence","Mod̩r̩e",5.2,12.1,13.8,16.9,24.1,16.3,14.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0202",1224,"Aucune influence","Mod̩r̩e",4.3,14.3,16.6,20.4,31.7,23,27.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0204",1072,"Aucune influence","Mod̩r̩e",4.3,14.2,16.8,20.9,32,23.5,26.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0205",1062,"Aucune influence","Mod̩r̩e",4.3,14.1,16.8,20.6,31.7,23.5,25.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0206",688,"Aucune influence","Mod̩r̩e",4.2,13.6,15.6,20,30,21.8,36,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0208",429,"Aucune influence","Mod̩r̩e",4.4,13.8,15.8,20.1,29.7,20.6,36.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0209",357,"Aucune influence","Mod̩r̩e",4.5,13.3,15.2,19.3,27.8,19.1,29.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0220",304,"Aucune influence","Limit̩e",3.9,12.1,13.6,15.5,25.3,18.5,4.5,"Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0223",918,"Aucune influence","Mod̩r̩e",6.1,10.4,10.8,11.7,14.5,10.4,-2.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0225",779,"Aucune influence","Mod̩r̩e",5.1,13.4,12.6,15.7,22.6,16.6,11.1,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0226",251,"Aucune influence","Mod̩r̩e",5,12.2,13.1,15,24.2,15.4,13.3,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0229",508,"Aucune influence","Limit̩e",5.2,13.1,11.9,14.4,20.3,15.8,-0.3,"Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0241",458,"Aucune influence","Mod̩r̩e",2.8,8.2,8.8,11.8,17.6,13.1,43.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0242",311,"Aucune influence","Mod̩r̩e",2.9,9.1,10.2,13.8,20.2,14.9,48.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0252",441,"Aucune influence","Limit̩e",3.3,10.9,12.4,13.9,19.5,16.5,21.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0258",22064,"Aucune influence","Mod̩r̩e",3.5,14.2,16.3,18.9,29.7,21.5,23.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0260",21762,"Aucune influence","Mod̩r̩e",3.6,14.2,16.4,19,29.7,21.7,22.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0262",21663,"Aucune influence","Mod̩r̩e",3.6,14.2,16.3,18.9,29.8,21.7,22.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0264",20931,"Aucune influence","Mod̩r̩e",3.9,14.4,16.4,19,30.1,21.8,22.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0265",20332,"Aucune influence","Mod̩r̩e",4.1,14.4,16.5,18.9,30.4,21.9,22.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
