SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_TYPE,BEN_NOM,BEN_ADRESSE,BEN_ADRESSE2,BEN_MUNICIPALITE,BEN_CODE_POSTAL,BEN_RADM,SUB_NOM,SUB_VOLET,SUB_SOUS-VOLET,SUB_DATE,SUB_TYPE,SUB_DESCRIPTION,SUB_DOMAINE,SUB_SOUS-DOMAINE,SUB_VALEUR
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Productions Gamago inc. (Club Soda),"1225, Boulevard St-Laurent",4e étage,Montréal,H2X2S6,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Club Soda,Musique et variétés,Diffusion - Salles,200 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9247-1481 Québec inc. (Le Zaricot),"1460, rue des Cascades",,Saint-Hyacinthe,J2S3H5,Montérégie,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Zaricot,Musique et variétés,Diffusion - Salles,45 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9333-2807 Québec inc. (Minotaure),"3, rue Kent",,Gatineau,J8X3J8,Outaouais,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Minotaure,Musique et variétés,Diffusion - Salles,20 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9209-3624 Québec inc. (Le Café du Clocher),"19, rue Saint-Joseph",,Alma,G8B3E2,Saguenay-Lac-Saint-Jean,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Café du Clocher,Musique et variétés,Diffusion - Salles,20 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Société de la salle Jean-Grimaldi,"1111, Lapierre",,Montréal,H8N2J4,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Théâtre Desjardins - LaSalle,Musique et variétés,Diffusion - Salles,80 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Cabaret Lion d'Or,"1676, rue Ontario Est",,Montréal,H2L1S7,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Cabaret Lion d'Or,Musique et variétés,Diffusion - Salles,200 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9191-1529 Québec inc. (Bar Escogriffe),"4657, rue Saint-Dominique",,Montréal,H2T1T7,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Bar spectacle Escogriffe,Musique et variétés,Diffusion - Salles,48 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Les Productions Jean-Bernard Hébert inc. (Théâtre de Rougemont),"773, rue Lusignan",,Montréal,H3C1Z1,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Théâtre des Grands Chênes,Musique et variétés,Diffusion - Salles,50 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Les Productions Jean-Bernard Hébert inc. (Théâtre de Rougemont),"773, rue Lusignan",,Montréal,H3C1Z1,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Théâtre de Rougemont,Musique et variétés,Diffusion - Salles,60 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Productions Némésis films inc.,"2351, rue Frontenac",,Montréal,H2K2Z8,Montréal,Aide à la création émergente 2022,Production 2022,,2021-06-23,Subvention,L'été des chaleurs,Cinéma et production télévisuelle,Production - Cinéma,7 000
