annee,reg_n,num_c,num_n,num_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,pression_moy,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2018,Abitibi-Témiscamingue,88015,La Morandière,M,-77.7014434078431,48.682901708,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88022,Barraute,M,-77.6692943331188,48.437692118,1.2,2.7,2.8,6.0,23,19,53,4,100.00,15.724
2018,Abitibi-Témiscamingue,88030,La Corne,M,-77.9309972104669,48.358972957,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88035,Landrienne,CT,-77.8867245305781,48.5105234635,1.6,2.7,2.1,6.0,7,4,32,0,0.00,7.343
2018,Abitibi-Témiscamingue,88040,Saint-Marc-de-Figuery,P,-78.0295863886121,48.4585065365,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88045,La Motte,M,-78.1623704387719,48.344352631,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88050,Saint-Mathieu-d'Harricana,M,-78.1999801286989,48.47350718,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88055,Amos,V,-77.9575642462046,48.6109704415,0.8,2.7,3.5,6.0,74,97,44,14,0.00,102.785
2018,Abitibi-Témiscamingue,88060,Saint-Félix-de-Dalquier,M,-78.1171388209804,48.675799154,0.8,2.7,2.1,6.0,6,7,49,2,99.00,5.969
2018,Abitibi-Témiscamingue,88065,Saint-Dominique-du-Rosaire,M,-78.0418634274023,48.857771438,1.1,2.7,2.1,6.0,4,3,47,0,0.00,7.073
2018,Abitibi-Témiscamingue,88070,Berry,M,-78.3151465198219,48.8388301735,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88075,Trécesson,CT,-78.3151622978357,48.624402283,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88080,Launay,CT,-78.5338850009792,48.647953066,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88085,Sainte-Gertrude-Manneville,M,-78.4356206494669,48.524758183,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88090,Preissac,M,-78.382214569586,48.3601640555,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,89008,Val-d'Or,V,-77.4701727553584,47.995283708,4.1,2.7,3.5,6.0,1080,263,63,14,96.00,200.140
2018,Abitibi-Témiscamingue,89010,Rivière-Héva,M,-78.2394158006229,48.1487399445,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,89015,Malartic,V,-78.0640586933806,48.166534766,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,89040,Senneterre,V,-76.4224577131725,48.2568067645,3.0,2.7,2.8,6.0,109,36,56,6,0.00,34.324
2018,Abitibi-Témiscamingue,89045,Senneterre,P,-77.2741969828631,48.3620101525,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,89050,Belcourt,M,-77.4369658582467,48.395626042,,2.7,,6.0,,,,,,
2018,Bas-Saint-Laurent,07005,Sainte-Marguerite-Marie,M,-67.0925884970837,48.312714623,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07010,Sainte-Florence,M,-67.2350374781833,48.268738202,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07018,Causapscal,V,-67.2376105741189,48.377591909,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07025,Albertville,M,-67.3700875162198,48.3225848005,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07030,Saint-Léon-le-Grand,P,-67.5150027032414,48.367582338,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07035,Saint-Zénon-du-Lac-Humqui,P,-67.6094769047707,48.3114331625,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07040,Sainte-Irène,P,-67.6401433988336,48.4234499465,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07047,Amqui,V,-67.4258799497188,48.486658987,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07057,Lac-au-Saumon,M,-67.3946891672742,48.404202128,16.6,1.9,2.8,6.0,190,11,55,14,100.00,10.869
2018,Bas-Saint-Laurent,07065,Saint-Alexandre-des-Lacs,P,-67.2777615191857,48.4788111715,1.0,1.9,2.1,6.0,3,3,56,0,0.00,3.047
2018,Bas-Saint-Laurent,07070,Saint-Tharcisius,P,-67.3070983627701,48.544004886,1.4,1.9,2.1,6.0,3,2,32,0,0.00,3.520
2018,Bas-Saint-Laurent,07075,Saint-Vianney,M,-67.418547937376,48.6195321035,1.8,1.9,2.1,6.0,9,5,70,2,100.00,4.570
2018,Bas-Saint-Laurent,07080,Val-Brillant,M,-67.5598575209743,48.524260309,5.5,1.9,2.1,6.0,41,7,47,4,100.00,7.998
2018,Bas-Saint-Laurent,07085,Sayabec,M,-67.6767232621904,48.595519712,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07090,Saint-Cléophas,P,-67.7295008177731,48.485164844,4.9,1.9,2.1,6.0,13,3,52,0,0.00,3.116
2018,Bas-Saint-Laurent,07095,Saint-Moïse,P,-67.8497643001613,48.524861119,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,07100,Saint-Noël,VL,-67.8262133614664,48.603439563,2.2,1.9,2.1,6.0,12,6,60,0,0.00,5.640
2018,Bas-Saint-Laurent,07105,Saint-Damase,P,-67.7813914754886,48.656446769,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,08005,Les Méchins,M,-66.8822719024315,48.931876693,13.7,1.9,2.1,6.0,169,12,63,2,0.00,11.877
2018,Bas-Saint-Laurent,08010,Saint-Jean-de-Cherbourg,P,-67.1045459304659,48.845152818,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,08015,Grosses-Roches,M,-67.1608426321762,48.9171282705,1.4,1.9,2.1,6.0,8,6,56,1,0.00,6.304
2018,Bas-Saint-Laurent,08023,Sainte-Félicité,M,-67.290936135027,48.882378795,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,08030,Saint-Adelme,P,-67.3093259004558,48.8166638205,1.2,1.9,2.1,6.0,3,2,53,1,0.00,2.217
