annee,cl_pop_desservie,num_c,num_n,num_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2022,0 à 999 personnes,44010,EAST HEREFORD,M,-71.53652647306662,45.07353556873658,0.97810695,"3,4","2,4","5,9",0.76700000,0.78416783,,,1.40600000
2022,0 à 999 personnes,45093,EASTMAN,M,-72.30510843462285,45.33455060205844,4.82129350,"3,4","2,4","5,9",43.45415876,9.01296690,1,2.00000000,13.68500000
2022,0 à 999 personnes,77011,ESTÉREL,V,-74.02871415754693,46.04614555440352,1.17203975,5,"2,4","5,9",2.18600000,1.86512445,,,2.19500000
2022,0 à 999 personnes,80005,FASSETT,M,-74.83941224300844,45.65286430507345,1.46397199,"3,8","2,4","5,9",13.72181500,9.37300378,2,,10.26400000
2022,0 à 999 personnes,94220,FERLAND-ET-BOILLEAU,M,-70.8152511290973,48.160383828689405,0.55254274,"4,5","2,4","5,9",1.40200000,2.53736028,,,6.11200000
2022,0 à 999 personnes,38047,FORTIERVILLE,M,-72.03449393391867,46.48852311839397,1.41725875,"2,4","2,4","5,9",6.69544249,4.72422026,,,4.56600000
2022,0 à 999 personnes,26005,FRAMPTON,M,-70.78538083447407,46.444184764943984,0.29540415,"2,4","2,4","5,9",2.52491000,8.54730720,2,,8.67000000
2022,0 à 999 personnes,96015,FRANQUELIN,M,-67.86145227284679,49.360925488017365,5.69990248,"3,8","2,4","5,9",14.53062500,2.54927607,2,,2.50000000
2022,0 à 999 personnes,46010,FRELIGHSBURG,M,-72.8106440096154,45.03887737602676,0.84746583,"3,4","2,4","5,9",2.59616110,3.06344044,,,1.85000000
2022,0 à 999 personnes,30025,FRONTENAC,M,-70.79395029777766,45.546280677618554,1.17282724,"3,4","2,4","5,9",5.51880000,4.70555237,,2.00000000,5.81800000
2022,0 à 999 personnes,87020,GALLICHAN,M,-79.30417290399626,48.62767621128448,7.38170579,"4,4","2,4","5,9",8.84600000,1.19836800,1,,1.37300000
2022,0 à 999 personnes,92055,GIRARDVILLE,M,-72.57313789987474,49.03826116866053,1.49527870,"4,5","2,4","5,9",18.68678940,12.49719496,,2.00000000,11.29800000
2022,0 à 999 personnes,83032,GRACEFIELD,V,-75.95949787178556,46.09343410282488,11.18669288,"3,8","2,4","5,9",85.02843429,7.60085534,4,2.00000000,9.00300000
2022,0 à 999 personnes,76052,GRENVILLE-SUR-LA-ROUGE,M,-74.65735742958068,45.70859163319254,3.06300276,5,"2,4","5,9",18.86900000,6.16029480,,,9.14100000
2022,0 à 999 personnes,8015,GROSSES-ROCHES,M,-67.1550643527475,48.91344500589883,0.82797580,4,"2,4","5,9",5.10427000,6.16475747,2,,6.30500000
2022,0 à 999 personnes,85095,GUÉRIN,CT,-79.284791383183,47.65365658568198,2.92358085,"4,4","2,4","5,9",10.84500000,3.70949208,4,,5.94300000
2022,0 à 999 personnes,39010,HAM-NORD,CT,-71.64453349836033,45.89396716482396,4.12055642,"2,4","2,4","5,9",21.79000000,5.28812077,,,7.90300000
2022,0 à 999 personnes,45055,HATLEY (CT),CT,-71.9660657132457,45.29580938761624,2.02999787,"3,4","2,4","5,9",10.81300000,5.32660656,,2.00000000,5.22200000
2022,0 à 999 personnes,45043,HATLEY (M),M,-71.96055901507975,45.20098177226433,0.56848004,"3,4","2,4","5,9",4.01955147,7.07069934,2,,5.00900000
2022,0 à 999 personnes,68010,HEMMINGFORD (VL),VL,-73.58561938545932,45.04681180270968,1.20871288,"5,4","2,4","5,9",8.43100000,6.97518833,2,,6.70100000
2022,0 à 999 personnes,19070,HONFLEUR,M,-70.88199168748262,46.63939086077799,0.74636178,"2,4","2,4","5,9",3.50400000,4.69477418,,,5.08000000
2022,0 à 999 personnes,69025,HOWICK,M,-73.84893740985181,45.18893066596569,3.51541972,"5,4","2,4","5,9",21.10196400,6.00268693,,,6.70300000
2022,0 à 999 personnes,78065,HUBERDEAU,M,-74.66360707448118,45.99472889464238,2.22274348,5,"2,4","5,9",17.90093026,8.05352954,,,8.28500000
2022,0 à 999 personnes,14050,KAMOURASKA,M,-69.85291851725154,47.54086237798216,1.95292307,4,"2,4","5,9",13.73936939,7.03528448,1,,4.94400000
2022,0 à 999 personnes,79025,KIAMIKA,M,-75.31722328953897,46.3774978243537,2.59904394,5,"2,4","5,9",6.49800000,2.50015011,1,4.00039287,4.07260000
2022,0 à 999 personnes,91005,LAC-BOUCHETTE,M,-72.11947484330155,48.15524445044348,5.27129490,"4,5","2,4","5,9",48.58528500,9.21695445,4,2.00000000,12.78000000
2022,0 à 999 personnes,22030,LAC-DELAGE,V,-71.4023436254485,46.967814358241334,2.87740167,"3,3","2,4","5,9",18.47109072,6.41936470,,2.00019203,5.20750000
2022,0 à 999 personnes,13060,LAC-DES-AIGLES,M,-68.67885203770891,47.99334175498761,0.42782948,4,"2,4","5,9",2.67167500,6.24471930,,,5.20400000
2022,0 à 999 personnes,30080,LAC-DROLET,M,-70.84438459032226,45.72078505738349,0.21521422,"3,4","2,4","5,9",2.11646570,9.83422785,,2.50327126,7.94800000
2022,0 à 999 personnes,18010,LAC-FRONTIÈRE,M,-70.02881668121205,46.656475114861635,11.40517675,"2,4","2,4","5,9",19.35329000,1.69688646,,2.00000000,3.45500000
2022,0 à 999 personnes,78115,LA CONCEPTION,M,-74.7372358260906,46.16128310853239,0.46280892,5,"2,4","5,9",5.31400000,11.48206050,,,9.97500000
2022,0 à 999 personnes,79105,LAC-SAINT-PAUL,M,-75.24018494865417,46.775159305462765,0.18146815,5,"2,4","5,9",0.46232150,2.54767296,,4.00000000,3.56000000
2022,0 à 999 personnes,78095,LAC-SUPÉRIEUR,M,-74.49002846990746,46.29013543329697,2.65799980,5,"2,4","5,9",5.39300000,2.02896930,,2.66720128,3.74100000
2022,0 à 999 personnes,19090,LA DURANTAYE,P,-70.85114609950358,46.81064455492368,2.59763103,"2,4","2,4","5,9",9.70257600,3.73516326,,2.00000000,4.63600000
2022,0 à 999 personnes,79047,LA MACAZA,M,-74.74438841631388,46.40720656354982,1.04241035,5,"2,4","5,9",1.13900000,1.09265991,,,2.09400000
2022,0 à 999 personnes,78130,LA MINERVE,M,-74.98487765691412,46.20263778163043,0.70656562,5,"2,4","5,9",2.67500000,3.78591870,,1.00000000,3.01100000
2022,0 à 999 personnes,88035,LANDRIENNE,CT,-77.88682064320089,48.4957250411845,0.55865551,"4,4","2,4","5,9",2.75152872,4.92526912,,2.00000000,7.34300000
2022,0 à 999 personnes,41027,LA PATRIE,M,-71.2367861094276,45.404139684592316,3.04988527,"3,4","2,4","5,9",14.50000000,4.75427721,3,2.00000000,7.34200000
2022,0 à 999 personnes,94265,LAROUCHE,M,-71.51449195243242,48.45965912888297,1.30584458,"4,5","2,4","5,9",17.28532500,13.23689305,3,,11.19200000
2022,0 à 999 personnes,79050,L'ASCENSION,M,-74.81347006309558,46.56648636090037,0.87251060,5,"2,4","5,9",6.12300000,7.01767980,1,,7.24400000
2022,0 à 999 personnes,85060,LATULIPE-ET-GABOURY,CU,-79.02177149547813,47.3363129486885,3.33125916,"4,4","2,4","5,9",5.94719500,1.78526939,1,2.00000000,2.16000000
2022,0 à 999 personnes,32072,LAURIERVILLE,M,-71.66562038708159,46.30448824748239,2.58071141,"2,4","2,4","5,9",32.22011258,12.48497310,,2.00000000,10.64000000
2022,0 à 999 personnes,85052,LAVERLOCHÈRE-ANGLIERS,M,-79.15362468443291,47.51501873555661,13.38024086,"4,4","2,4","5,9",30.07211944,2.24750210,7,2.00000000,5.08900000
2022,0 à 999 personnes,52050,LA VISITATION-DE-L'ÎLE-DUPAS,M,-73.12129894715684,46.10839594441476,0.78859325,4,"2,4","5,9",9.99451056,12.67384752,20,0.06918979,14.45300000
2022,0 à 999 personnes,50085,LA VISITATION-DE-YAMASKA,M,-72.60173168167837,46.11576190927245,1.52415780,"2,4","2,4","5,9",15.32018449,10.05157374,,2.00000000,19.36800000
2022,0 à 999 personnes,13050,LEJEUNE,M,-68.5442914786479,47.76340643918046,0.63488872,4,"2,4","5,9",1.57716566,2.48416080,1,2.00000000,2.38300000
