annee,reg_n,mun_c,mun_n,mun_d,coord_x,coord_y,consom_resid,consom_resid_reg,consom_resid_cpop,consom_resid_qb,nb_reseau_dist,pop_desservie,nb_resid_desservi,nb_pers_resid,vol_eau_dist,consom_resid_ml,qte_eau_pers,qte_eau_pers_prec,qte_eau_pers_reg,qte_eau_pers_cpop,qte_eau_pers_qc
2018,Abitibi-Témiscamingue,88075,Trécesson,CT,-78.3151622978357,48.624402283,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88080,Launay,CT,-78.5338850009792,48.647953066,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88085,Sainte-Gertrude-Manneville,M,-78.4356206494669,48.524758183,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88090,Preissac,M,-78.382214569586,48.3601640555,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,89008,Val-d'Or,V,-77.4701727553584,47.995283708,215,221,275,268,3,27686,12410.00,2.23,4241,2174,420,439,422,466,536
2018,Abitibi-Témiscamingue,89010,Rivière-Héva,M,-78.2394158006229,48.1487399445,,221,,268,,,,,,,,167,422,,536
2018,Abitibi-Témiscamingue,89015,Malartic,V,-78.0640586933806,48.166534766,,221,,268,,,,,,,,396,422,,536
2018,Abitibi-Témiscamingue,89040,Senneterre,V,-76.4224577131725,48.2568067645,521,221,259,268,1,2643,1471.00,1.80,1073,503,1112,,422,487,536
2018,Abitibi-Témiscamingue,89045,Senneterre,P,-77.2741969828631,48.3620101525,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,89050,Belcourt,M,-77.4369658582467,48.395626042,,221,,268,,,,,,,,,422,,536
2018,Bas-Saint-Laurent,07005,Sainte-Marguerite-Marie,M,-67.0925884970837,48.312714623,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,07010,Sainte-Florence,M,-67.2350374781833,48.268738202,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,07018,Causapscal,V,-67.2376105741189,48.377591909,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,07025,Albertville,M,-67.3700875162198,48.3225848005,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,07030,Saint-Léon-le-Grand,P,-67.5150027032414,48.367582338,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,07035,Saint-Zénon-du-Lac-Humqui,P,-67.6094769047707,48.3114331625,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,07040,Sainte-Irène,P,-67.6401433988336,48.4234499465,,278,,268,,,,,,,,344,454,,536
2018,Bas-Saint-Laurent,07047,Amqui,V,-67.4258799497188,48.486658987,,278,,268,,,,,,,,523,454,,536
2018,Bas-Saint-Laurent,07057,Lac-au-Saumon,M,-67.3946891672742,48.404202128,400,278,259,268,1,1011,379.00,2.67,370,148,1002,1181,454,487,536
