annee,reg_n,mun_c,mun_n,mun_d,coord_x,coord_y,pourc_indice_validite,pourc_indice_validite_reg,pourc_indice_validite_cpop,pourc_indice_validite_qc,nresid_compt_relv,nresid_scompt,resid_compt_relv,resid_scompt,pourc_brchm_nresid_compt
2021,Abitibi-Témiscamingue,87090,LA SARRE,V,-79.18974579686457,48.80730936368472,55,57.61309047,61.93468083,60.00000000,2,0,0,2137,0.00687285
2021,Abitibi-Témiscamingue,85060,LATULIPE-ET-GABOURY,CU,-79.02177149706925,47.33631294324906,59,57.61309047,59.03947305,60.00000000,0,0,0,81,0.00000000
2021,Abitibi-Témiscamingue,88080,LAUNAY,CT,-78.53339785738366,48.64100560450497,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85052,LAVERLOCHÈRE-ANGLIERS,M,-79.15362468516037,47.51501873261717,58,57.61309047,59.03947305,60.00000000,11,0,17,178,0.78571429
2021,Abitibi-Témiscamingue,85037,LORRAINVILLE,M,-79.3183054154509,47.364223198240396,59,57.61309047,59.03947305,60.00000000,0,0,0,462,0.00000000
2021,Abitibi-Témiscamingue,87058,MACAMIC,V,-79.0646591882368,48.762853571905595,59,57.61309047,61.09552442,60.00000000,0,50,0,572,1.00000000
2021,Abitibi-Témiscamingue,89015,MALARTIC,V,-78.06438186806979,48.16324457187233,44,57.61309047,61.09552442,60.00000000,0,40,0,976,0.40816327
2021,Abitibi-Témiscamingue,85075,MOFFET,M,-78.87678930202293,47.587041027953454,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85100,NÉDÉLEC,CT,-79.40935536184047,47.80078121587885,44,57.61309047,59.03947305,60.00000000,0,0,0,72,0.00000000
2021,Abitibi-Témiscamingue,87115,NORMÉTAL,M,-79.35377907678547,48.98128444290326,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85090,NOTRE-DAME-DU-NORD,M,-79.42424956050999,47.603122333209285,61,57.61309047,59.03947305,60.00000000,26,0,19,440,0.89655172
2021,Abitibi-Témiscamingue,87025,PALMAROLLE,M,-79.19554590091766,48.67732835906824,50,57.61309047,59.03947305,60.00000000,1,2,0,283,0.15000000
2021,Abitibi-Témiscamingue,87035,POULARIES,M,-78.95440157738459,48.6467250869841,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,88090,PREISSAC,M,-78.38229454866509,48.388468412760965,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87010,RAPIDE-DANSEUR,M,-79.29998468286527,48.53955290322725,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85105,RÉMIGNY,M,-78.97782531744478,47.79672331913548,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,89010,RIVIÈRE-HÉVA,M,-78.23952401055104,48.15187260723822,43,57.61309047,59.03947305,60.00000000,0,0,0,60,0.00000000
2021,Abitibi-Témiscamingue,88010,ROCHEBAUCOURT,M,-77.46691952066382,48.67543952036993,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87015,ROQUEMAURE,M,-79.43625778038663,48.63337867067531,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,86042,ROUYN-NORANDA,V,-78.90777775549081,48.13364694712263,62,57.61309047,61.98563338,60.00000000,702,0,7833,1248,0.92125984
