annee,cl_pop_desservie,pop_desservie,mun_c,mun_n,mun_d,coord_x,coord_y,indice_validite,indice_validite_reg,indice_validite_cpop,indice_validite_qb,nresid_compt_relv,nresid_compt_nonrelv,nresid_scompt,resid_compt_relv,resid_compt_nonrelv,resid_scompt,pourc_brchm_nresid_compt
2018,0 à 999 personnes,145,11030,Sainte-Françoise,P,-69.0439332223529,48.0750518975,0.27,0.54,0.54,0.56,0,0,0,0,0,92,7.00
2018,0 à 999 personnes,148,03015,Petite-Vallée,M,-65.0093375581154,49.18622038,0.37,0.56,0.54,0.56,0,0,7,0,0,95,0.00
2018,0 à 999 personnes,150,13040,Saint-Juste-du-Lac,M,-68.7378601707235,47.722362047,0.57,0.54,0.54,0.56,0,0,6,0,0,69,0.00
2018,0 à 999 personnes,152,27055,Saint-Jules,P,-70.9259349307728,46.226658007,0.62,0.59,0.54,0.56,0,0,11,0,0,66,0.00
2018,0 à 999 personnes,157,07090,Saint-Cléophas,P,-67.7295008177731,48.485164844,0.59,0.54,0.54,0.56,0,0,5,0,0,73,0.00
2018,0 à 999 personnes,158,79010,Notre-Dame-de-Pontmain,M,-75.6864202747665,46.304478661,0.60,0.58,0.54,0.56,0,0,14,0,0,90,0.00
2018,0 à 999 personnes,162,44055,Sainte-Edwidge-de-Clifton,CT,-71.6701035291564,45.203854034,0.45,0.56,0.54,0.56,2,6,2,0,11,50,0.80
2018,0 à 999 personnes,164,08030,Saint-Adelme,P,-67.3093259004558,48.8166638205,0.48,0.54,0.54,0.56,0,0,7,0,0,74,0.00
2018,0 à 999 personnes,164,47035,Shefford,CT,-72.5646081862065,45.3636366215,0.61,0.58,0.54,0.56,1,0,0,0,59,7,1.00
2018,0 à 999 personnes,166,07065,Saint-Alexandre-des-Lacs,P,-67.2777615191857,48.4788111715,0.49,0.54,0.54,0.56,0,0,4,0,0,77,0.00
2018,0 à 999 personnes,167,75045,Saint-Hippolyte,M,-74.010605839315,45.922846791,0.62,0.58,0.54,0.56,0,6,7,0,0,69,0.46
2018,0 à 999 personnes,168,98050,Rivière-Saint-Jean,M,-64.4226390633136,50.345038895,0.41,0.47,0.54,0.56,0,0,5,0,0,110,0.00
2018,0 à 999 personnes,172,83088,Montcerf-Lytton,M,-76.0791039082826,46.5745374155,0.37,0.49,0.54,0.56,0,1,6,0,0,77,0.14
2018,0 à 999 personnes,172,85085,Saint-Eugène-de-Guigues,M,-79.351279044257,47.5249328645,0.48,0.49,0.54,0.56,0,0,10,0,0,66,0.00
2018,0 à 999 personnes,175,12080,Notre-Dame-du-Portage,M,-69.6441552304303,47.779594488,0.69,0.54,0.54,0.56,4,0,0,107,0,0,1.00
2018,0 à 999 personnes,178,45105,Stukely-Sud,VL,-72.4115525891703,45.3421203015,0.70,0.56,0.54,0.56,4,1,0,77,0,0,1.00
2018,0 à 999 personnes,178,88065,Saint-Dominique-du-Rosaire,M,-78.0418634274023,48.857771438,0.38,0.49,0.54,0.56,0,0,4,0,0,69,0.00
2018,0 à 999 personnes,196,51070,Saint-Mathieu-du-Parc,M,-72.9694663148136,46.642366588,0.58,0.52,0.54,0.56,0,0,10,0,0,111,0.00
2018,0 à 999 personnes,205,15065,Baie-Sainte-Catherine,M,-69.7757132646736,48.087957756,0.44,0.56,0.54,0.56,24,0,0,20,0,120,1.00
2018,0 à 999 personnes,208,07070,Saint-Tharcisius,P,-67.3070983627701,48.544004886,0.59,0.54,0.54,0.56,0,0,11,0,0,80,0.00
2018,0 à 999 personnes,211,84035,L'Île-du-Grand-Calumet,M,-76.6884287108746,45.738198562,0.41,0.49,0.54,0.56,0,0,8,0,0,114,0.00
2018,0 à 999 personnes,213,84020,Portage-du-Fort,VL,-76.6610640559545,45.5944849795,0.45,0.49,0.54,0.56,0,0,6,0,0,126,0.00
2018,0 à 999 personnes,214,28065,Sainte-Sabine,P,-70.3390891939354,46.495446968,0.62,0.59,0.54,0.56,0,0,6,0,0,123,0.00
2018,0 à 999 personnes,215,39020,Saint-Rémi-de-Tingwick,M,-71.8268868745196,45.867077204,0.63,0.58,0.54,0.56,0,0,1,0,0,130,0.00
2018,0 à 999 personnes,224,04025,Marsoui,VL,-66.0398727880632,49.1347324135,0.59,0.56,0.54,0.56,0,0,12,0,0,151,0.00
2018,0 à 999 personnes,225,30010,Notre-Dame-des-Bois,M,-71.0510564659916,45.352547554,0.48,0.56,0.54,0.56,0,9,0,0,2,82,1.00
2018,0 à 999 personnes,227,11055,Saint-Simon,P,-69.0150806551298,48.211661492,0.59,0.54,0.54,0.56,0,0,10,0,0,116,0.00
2018,0 à 999 personnes,234,44023,Dixville,M,-71.7460259046403,45.05727055,0.62,0.56,0.54,0.56,0,0,13,0,0,93,0.00
2018,0 à 999 personnes,237,91010,Saint-André-du-Lac-Saint-Jean,VL,-71.9921573399212,48.3089664085,0.44,0.56,0.54,0.56,0,0,6,0,0,110,0.00
2018,0 à 999 personnes,238,42005,Stoke,M,-71.7644942644341,45.5526261625,0.37,0.56,0.54,0.56,0,0,6,0,0,73,0.00
2018,0 à 999 personnes,238,80090,Montpellier,M,-75.2626546870837,45.8953343305,0.44,0.49,0.54,0.56,0,0,10,0,0,100,0.00
2018,0 à 999 personnes,238,96005,Baie-Trinité,VL,-67.3276284704335,49.444750139,0.59,0.47,0.54,0.56,0,0,76,0,0,199,0.00
2018,0 à 999 personnes,240,13045,Auclair,M,-68.663733394171,47.7435525565,0.45,0.54,0.54,0.56,0,0,9,0,0,99,0.00
2018,0 à 999 personnes,243,11005,Saint-Clément,M,-69.0948270090422,47.9225243395,0.59,0.54,0.54,0.56,0,13,0,0,95,0,1.00
2018,0 à 999 personnes,243,82010,Notre-Dame-de-la-Salette,M,-75.5458763233203,45.7747968165,0.30,0.49,0.54,0.56,0,0,7,0,0,130,0.00
2018,0 à 999 personnes,244,50095,Saint-Elphège,P,-72.695932815096,46.055377655,0.61,0.58,0.54,0.56,16,0,0,99,0,0,1.00
2018,0 à 999 personnes,244,94230,Sainte-Rose-du-Nord,P,-70.5911037304963,48.408300192,0.58,0.56,0.54,0.56,0,1,21,0,0,108,0.05
2018,0 à 999 personnes,245,62020,Sainte-Béatrix,M,-73.6354761626418,46.217102285,0.61,0.56,0.54,0.56,0,0,20,0,0,104,0.00
2018,0 à 999 personnes,246,98030,Aguanish,M,-62.3485655371426,50.3378099045,0.45,0.47,0.54,0.56,0,0,13,0,0,182,0.00
