"Poste","Candidat","Nb votes","Nb votes valides","Nb votes rejetés","Nb votes total"
"15.00","D'AVIRRO Sabrina","1096","16652","1310","17962"
"15.00","TALARICO Dominic","2282","16652","1310","17962"
"15.10","MOSCHELLA Domenico","2468","4856","3039","7895"
"15.10","PERESSINI Roberta","2388","4856","3039","7895"
"15.11","TREMBLAY Lili-Anne","3490","7139","756","7895"
"15.11","MORMINA Giuseppe (Joe)","923","7139","756","7895"
"15.11","DRATLER Nathan","804","7139","756","7895"
"15.11","MADIH Yassir","190","7139","756","7895"
"15.11","DI PAOLA Tommaso","1732","7139","756","7895"
"15.20","PERRI Dominic","6241","9210","858","10068"
"15.20","CONSTANT Edna","1635","9210","858","10068"
"15.20","MULLINS Sonya","1334","9210","858","10068"
"15.21","BATTISTA Mario","6149","9218","847","10065"
"15.21","TARABORRELLI Teresa","1734","9218","847","10065"
"15.21","PANETTA Orlando","1335","9218","847","10065"
"16.00","DORAIS Benoit","5402","19621","685","20306"
"16.00","FILIATRAULT Cindy","4822","19621","685","20306"
"16.00","PRINCE Jason","5287","19621","685","20306"
"16.00","RIVÈS Sylvia M.","4110","19621","685","20306"
"16.10","FOURNIER Véronique","2905","11297","337","11634"
"16.10","PERRIER Patrice-Hans","270","11297","337","11634"
"16.10","KABEYA Mudi Wa Mbuji Liévin","2589","11297","337","11634"
"16.10","ROBERTSON Derek","2224","11297","337","11634"
"16.10","SAUVÉ Craig","3309","11297","337","11634"
"16.11","FRÉCHETTE Pierre","2796","10962","655","11617"
"16.11","THIÉBAUT Sophie","5099","10962","655","11617"
"16.11","DE BONVILLE Kristi","3067","10962","655","11617"
"16.20","ROY Huguette","2139","8073","623","8696"
"16.20","SALAS CASTRO José Humberto","431","8073","623","8696"
"16.20","SIGOUIN Anne-Marie","2997","8073","623","8696"
"16.20","OUAMABIA Claudia Olga","2506","8073","623","8696"
"16.21","BÉLANGER Daniel","2461","8026","671","8697"
"16.21","VAILLANCOURT Alain","2948","8026","671","8697"
"16.21","PHANEUF Guillaume","2617","8026","671","8697"
"17.00","CHAMPOUX Andrée","1549","20747","583","21330"
"17.00","PARENTEAU Jean-François","5147","20747","583","21330"
"17.00","SAVARD André","2669","20747","583","21330"
"17.00","TASSÉ Alain","2902","20747","583","21330"
"17.00","LE ROUGETEL Katherine","102","20747","583","21330"
"17.00","BENDJENNET Mourad","3645","20747","583","21330"
"17.00","DAVIS Mary Ann","4594","20747","583","21330"
"17.00","MERCIER Jency","139","20747","583","21330"
"17.10","JULIEN André","1612","11322","379","11701"
"17.10","BÉLANGER Mathieu","2643","11322","379","11701"
"17.10","KUGELMASS Jack L.","2195","11322","379","11701"
"17.10","TOUCHETTE Marc","833","11322","379","11701"
"17.10","GENDRON Jacques","1067","11322","379","11701"
"17.10","GAUTHIER Manon","2972","11322","379","11701"
"17.11","BEAUPRÉ Paul","1782","11341","371","11712"
"17.11","L'HEUREUX Pierre","3051","11341","371","11712"
"17.11","CÔTÉ Charles","984","11341","371","11712"
"17.11","LEROUX Jacline","2514","11341","371","11712"
"17.11","ANCTIL Carole","752","11341","371","11712"
"17.11","DURBAU Dolores","2149","11341","371","11712"
"17.11","KASSEM Abdulilah","109","11341","371","11712"
"17.12","BOIVIN Jean-Pierre","1886","11351","370","11721"
"17.12","LAMASANU Stefana","2313","11351","370","11721"
"17.12","GUAY PEPPER Béatrice","684","11351","370","11721"
"17.12","BRUNET Marie-Eve","3051","11351","370","11721"
"17.12","LATENDRESSE Luce","800","11351","370","11721"
"17.12","RAYMOND-BOUGIE Stéphanie","2617","11351","370","11721"
"17.20","LANGLAIS Richard","1523","9299","319","9618"
"17.20","PARENT Marie-Josée","1917","9299","319","9618"
"17.20","DOWNEY Sterling","2306","9299","319","9618"
"17.20","CAYA France","376","9299","319","9618"
"17.20","GLOUTNAY Françoise","1082","9299","319","9618"
"17.20","DHAVERNAS Sébastien","2095","9299","319","9618"
"17.21","TREMBLAY Michelle","2141","9289","326","9615"
"17.21","POULIN Joanne","1431","9289","326","9615"
"17.21","NEGRET Gladys","1773","9289","326","9615"
"17.21","GAGNON Luc","2329","9289","326","9615"
"17.21","TRUDEL Monique","1228","9289","326","9615"
"17.21","L'ALLIER-DAVIES Michèle  ","387","9289","326","9615"
"17.22","LÉVESQUE Rielle","1060","9297","317","9614"
"17.22","MAUGER Marie-Andrée","2422","9297","317","9614"
"17.22","AUGER Robert","1510","9297","317","9614"
"17.22","SARRASIN Philippe","2018","9297","317","9614"
"17.22","RAHEEMEEA Mamad","409","9297","317","9614"
"17.22","PARENT André-Yanne","1878","9297","317","9614"
"18.10","SHANAHAN Steve","1865","4979","115","5094"
"18.10","SILÈS Damien","1366","4979","115","5094"
"18.10","ZOUBRIS Jimmy","786","4979","115","5094"
"18.10","TRUDEAU Nicole","962","4979","115","5094"
"18.20","BERGERON Richard","2283","7851","167","8018"
"18.20","ROBILLARD François","1307","7851","167","8018"
"18.20","DESCHAMPS Stéphane","104","7851","167","8018"
"18.20","DIAS Nelson","54","7851","167","8018"
"18.20","SCHNOBB Philippe","2247","7851","167","8018"
"18.20","SALVADORI Francis","1707","7851","167","8018"
"18.20","WANG Jade","149","7851","167","8018"
"18.30","HAREL Louise","2263","7667","207","7874"
"18.30","MAINVILLE Pierre","1626","7667","207","7874"
"18.30","PLANTE Valérie","2526","7667","207","7874"
"18.30","GÉLINAS Anne-Marie","354","7667","207","7874"
"18.30","PAIEMENT Pierre","898","7667","207","7874"
"19.00","MARTINEZ Soraya","5447","34803","1576","36379"
"19.00","SAMSON Anie","12395","34803","1576","36379"
"19.00","GOULET Nathalie","11665","34803","1576","36379"
"19.00","ZAKO Béatrice","5296","34803","1576","36379"
"19.10","BENJAMIN Frantz","3390","6747","366","7113"
"19.10","ALVAREZ GARCIA Emilio","1129","6747","366","7113"
"19.10","BERNARD Isabelle","1270","6747","366","7113"
"19.10","DE LUCA John","958","6747","366","7113"
"19.20","OUELLET Sylvain","2822","8603","414","9017"
"19.20","BRICAULT Claude","2799","8603","414","9017"
"19.20","DE CICCO Angelo","1737","8603","414","9017"
"19.20","LESSARD André-Germain","119","8603","414","9017"
"19.20","COLAVECCHIO Nino","929","8603","414","9017"
"19.20","ST-LOUIS François","197","8603","414","9017"
"19.30","LEFEBVRE Elsie","5691","12468","428","12896"
"19.30","IACOBACCI Pasquale Lino","1700","12468","428","12896"
"19.30","PRÉVOST Robert","4604","12468","428","12896"
"19.30","AUBUT-LUSSIER Ludovic","473","12468","428","12896"
"19.40","DEROS Mary","3105","6967","369","7336"
"19.40","ANASTASAKIS Stella","924","6967","369","7336"
"19.40","DYCK Sasha","1938","6967","369","7336"
"19.40","SINGH Dilbagh","1000","6967","369","7336"
"2.00","MIRANDA Luis","7868","13935","490","14425"
"2.00","MARCELLUS Nyrlande","903","13935","490","14425"
"2.00","TONDREAU Rémi","3412","13935","490","14425"
"2.00","OBREGON René","1752","13935","490","14425"
"2.01","HÉNAULT Andrée","7465","13810","597","14407"
"2.01","ATTARD Daniel","1962","13810","597","14407"
"2.01","WATSON-MOREAU Charlotte","1120","13810","597","14407"
"2.01","HARIRI Youssef","3263","13810","597","14407"
"2.10","BEAUDRY Gilles","2312","4501","234","4735"
"2.10","GUILLOTTE Blaise","567","4501","234","4735"
"2.10","LA ROSA Agata","1274","4501","234","4735"
"2.10","SARA Mona","348","4501","234","4735"
"2.20","PERRON Paul-Yvon","2089","4026","158","4184"
"2.20","PLOURDE Sylvain","951","4026","158","4184"
"2.20","EDOUARD Nadia","680","4026","158","4184"
"2.20","TOURÉ Boubacar","306","4026","158","4184"
"2.30","MANCINI Angela","1633","5295","258","5553"
"2.30","MOUSSALEM Mona","345","5295","258","5553"
"2.30","DI GENOVA ZAMMIT Michelle","2454","5295","258","5553"
"2.30","ROUSSY Jean-Sébastien","863","5295","258","5553"
"3.00","ROSS Andrew","7918","35628","1014","36642"
"3.00","SIMKIN Michael","9348","35628","1014","36642"
"3.00","COPEMAN Russell","10482","35628","1014","36642"
"3.00","COPPS Kevin","7880","35628","1014","36642"
"3.10","PEREZ Lionel","2016","5644","207","5851"
"3.10","HAMON Erik","1692","5644","207","5851"
"3.10","JEGATHEESWARAN Kamala","1037","5644","207","5851"
"3.10","RASHIDAN Kianoush","899","5644","207","5851"
"3.20","POPEANU Magda","1953","6328","157","6485"
"3.20","CÔTÉ Marcel","1181","6328","157","6485"
"3.20","SIAZON Elizabeth","51","6328","157","6485"
"3.20","FOTOPULOS Helen","1876","6328","157","6485"
"3.20","ASSOR Raphaël","1267","6328","157","6485"
"3.30","ROTRAND Marvin","3155","6546","286","6832"
"3.30","GUTMAN Sarah","2111","6546","286","6832"
"3.30","SAUVÉ-FRANKEL Ginette","1280","6546","286","6832"
"3.40","MCQUEEN Peter","3639","9511","139","9650"
"3.40","JOLY Mélanie","2990","9511","139","9650"
"3.40","RETTA Gabriel","1187","9511","139","9650"
"3.40","ADAMS Anne E.","352","9511","139","9650"
"3.40","BERGERON Martin","1343","9511","139","9650"
"3.50","PENTSOS George","436","7669","167","7836"
"3.50","SEARLE Jeremy","1795","7669","167","7836"
"3.50","FORD Margaret","1267","7669","167","7836"
"3.50","ARSENEAULT Christian","1441","7669","167","7836"
"3.50","RANKIN Deborah","100","7669","167","7836"
"3.50","RANDHAWA Kashmir Singh","1305","7669","167","7836"
"3.50","ROSENFIELD Ruth","1325","7669","167","7836"
"4.00","DAUPHIN Claude","6760","12512","430","12942"
"4.00","ENE Pierre","1182","12512","430","12942"
"4.00","BOSSY Patricia","4570","12512","430","12942"
"4.01","BLANCHET Bernard","3902","12929","447","13376"
"4.01","CARUSO Carolina","1587","12929","447","13376"
"4.01","CLOUTIER Jean-François","4165","12929","447","13376"
"4.01","LEFEBVRE Jean-François","2822","12929","447","13376"
"4.01","LAKHOYAN Hagop (Jacques)","453","12929","447","13376"
"4.10","BORJA Sergio","436","3980","160","4140"
"4.10","POULIN Lise","1118","3980","160","4140"
"4.10","SYMON John","795","3980","160","4140"
"4.10","LANGLOIS Julie","344","3980","160","4140"
"4.10","VODANOVIC Maja","1287","3980","160","4140"
"4.20","RACICOT Daniel","1151","3656","162","3818"
"4.20","GUILBAULT Kevin","129","3656","162","3818"
"4.20","MÉNARD Catherine","1114","3656","162","3818"
"4.20","DUBOIS Michel","444","3656","162","3818"
"4.20","DE BORDES Antonio","818","3656","162","3818"
"4.30","POWELL Patrick","109","5208","149","5357"
"4.30","DURANTE Mario","760","5208","149","5357"
"4.30","SIMONYIK Kymberley","1618","5208","149","5357"
"4.30","GIRARD Jean-François","551","5208","149","5357"
"4.30","LEJEUNE Christian","478","5208","149","5357"
"4.30","LEVASSEUR Julie","1548","5208","149","5357"
"4.30","NOËL Pierre","144","5208","149","5357"
"5.00","BARBE Manon","7276","19880","681","20561"
"5.00","KALUZNY Oksana","1116","19880","681","20561"
"5.00","MORENO Francisco","3274","19880","681","20561"
"5.00","VADACCHINO Michael","1604","19880","681","20561"
"5.00","ASCH Patrick","2235","19880","681","20561"
"5.00","LABBÉ Jean-François","4375","19880","681","20561"
"5.10","DESCHAMPS Richard","3539","10860","391","11251"
"5.10","LUSSIER Pierre","874","10860","391","11251"
"5.10","CATALANO Frank","601","10860","391","11251"
"5.10","BENOIT Michel","2272","10860","391","11251"
"5.10","NIEDBALSKI Monika","1133","10860","391","11251"
"5.10","D'AMBROSIO Carlo","2441","10860","391","11251"
"5.11","BÉNARD Jocelyne","829","10737","458","11195"
"5.11","KWON Andréa","2126","10737","458","11195"
"5.11","SICOLI Luciano","656","10737","458","11195"
"5.11","BLANCHET Nancy","3367","10737","458","11195"
"5.11","BUFFONE Patrizia","1213","10737","458","11195"
"5.11","LAFONTAINE Julien","2546","10737","458","11195"
"5.12","KARKAVILAS Vas","2302","10743","466","11209"
"5.12","NAKOUZI Basile","706","10743","466","11209"
"5.12","ROMANO Daniela","2877","10743","466","11209"
"5.12","OKOU Romarick","1204","10743","466","11209"
"5.12","PALESTINI Laura","3654","10743","466","11209"
"5.20","PACE Enrico","690","8873","488","9361"
"5.20","DI SANTE Luciano","2443","8873","488","9361"
"5.20","DOLGIH Kiril","122","8873","488","9361"
"5.20","LAPERRIÈRE Steven","2019","8873","488","9361"
"5.20","AZZOUNI Yosef","1021","8873","488","9361"
"5.20","VALLÉE Monique","2578","8873","488","9361"
"5.21","DUFORT Raymond","481","8909","451","9360"
"5.21","ORLANDO Mario","982","8909","451","9360"
"5.21","DECLOS Serge","2326","8909","451","9360"
"5.21","HAYECK Héné","51","8909","451","9360"
"5.21","DHILLON Anju","2258","8909","451","9360"
"5.21","BARRY Mody Maka","911","8909","451","9360"
"5.21","TREMBLAY Eric","1900","8909","451","9360"
"5.22","TROILO Josée","2718","8847","487","9334"
"5.22","URBANOWICZ Artur Adam","1751","8847","487","9334"
"5.22","MASANOTTI Dino","2699","8847","487","9334"
"5.22","PATEL Sanjay","612","8847","487","9334"
"5.22","KHAN Amir","1067","8847","487","9334"
"6.00","BÉLANGER Richard","2304","6785","141","6926"
"6.00","ARSCOTT Geoffrey Gordon","1202","6785","141","6926"
"6.00","MARINACCI Normand","2856","6785","141","6926"
"6.00","GRENIER Bruno","423","6785","141","6926"
"6.10","GIBB Diane","564","2154","41","2195"
"6.10","LIMOGES Claude","73","2154","41","2195"
"6.10","CÔTÉ Stéphane","977","2154","41","2195"
"6.10","FOURNIER Éric","132","2154","41","2195"
"6.10","GAUTHIER Louise","408","2154","41","2195"
"6.20","LAROCQUE Christian","1046","2084","44","2128"
"6.20","LITTLE Christopher","534","2084","44","2128"
"6.20","GELLY Marie-Andrée","135","2084","44","2128"
"6.20","MORAN Steven","369","2084","44","2128"
"6.30","LÉVESQUE-RENÉ Jean-Dominic","501","1616","40","1656"
"6.30","RICHER Angèle","107","1616","40","1656"
"6.30","ROBERT François","391","1616","40","1656"
"6.30","THEORET Claude","223","1616","40","1656"
"6.30","BROUILLARD Daniel","394","1616","40","1656"
"6.40","VOISARD Philippe","104","911","37","948"
"6.40","PROULX Geneviève-Anaïs","63","911","37","948"
"6.40","DUGAT Jean Maxime","240","911","37","948"
"6.40","DUGAS Éric","335","911","37","948"
"6.40","LECLERC Roger","169","911","37","948"
"7.00","MÉNARD Réal","15106","41628","2081","43709"
"7.00","POULIN Daniel","10417","41628","2081","43709"
"7.00","CANUEL Serge","3168","41628","2081","43709"
"7.00","LESSARD-BLAIS Pierre","12937","41628","2081","43709"
"7.10","MIRON Suzie","3071","11682","381","12063"
"7.10","PRIMEAU Gaëtan","2269","11682","381","12063"
"7.10","CELZI Richard","3232","11682","381","12063"
"7.10","TREMBLAY Marc","407","11682","381","12063"
"7.10","TALLA Jonathan","2703","11682","381","12063"
"7.20","RACICOT Yves","288","10990","471","11461"
"7.20","KARATCHEVSKAYA Alexandra","2591","10990","471","11461"
"7.20","LAVIGNE LALONDE Laurence","3462","10990","471","11461"
"7.20","PAQUET Pierre","2214","10990","471","11461"
"7.20","PINEL Cindy","2435","10990","471","11461"
"7.30","BLANCHARD Laurent","2739","9686","293","9979"
"7.30","CALDWELL Éric Alan","3408","9686","293","9979"
"7.30","DONNELLY Nicole","282","9686","293","9979"
"7.30","ST-PIERRE Mikael","2013","9686","293","9979"
"7.30","CHARBONNEAU Patrick","1244","9686","293","9979"
"7.40","BOUCHARD Michel","2754","9712","476","10188"
"7.40","THÉRIAULT Lyn","2768","9712","476","10188"
"7.40","BOIVIN ROY Karine","3327","9712","476","10188"
"7.40","ROBERT Sonia","863","9712","476","10188"
"8.00","DEGUIRE Gilles","12173","18723","1250","19973"
"8.00","RYAN Guy","3902","18723","1250","19973"
"8.00","BOIVIN Suzanne","2648","18723","1250","19973"
"8.10","ALLAIRE Michelle","2123","9941","731","10672"
"8.10","ROSSI Chantal","6292","9941","731","10672"
"8.10","COHEN Andrea","1526","9941","731","10672"
"8.11","RICOURT Monica","6167","9912","766","10678"
"8.11","BERNIER Henri-Paul","444","9912","766","10678"
"8.11","NELSON David","1502","9912","766","10678"
"8.11","ROY Jean","1799","9912","766","10678"
"8.20","CODERRE Denis","6376","8831","458","9289"
"8.20","FORTIN Claude","1098","8831","458","9289"
"8.20","GELIN Vladimir","905","8831","458","9289"
"8.20","BELINGA Renée-Chantal","452","8831","458","9289"
"8.21","CITTA Claudia ","1311","8626","661","9287"
"8.21","EDOUARD Wilmann","1325","8626","661","9287"
"8.21","LO BIANCO Sylvia","5990","8626","661","9287"
"9.00","CINQ-MARS Marie","3582","9170","149","9319"
"9.00","TÉTREAULT Paul-André","1250","9170","149","9319"
"9.00","COUTU Etienne","3192","9170","149","9319"
"9.00","TILQUIN Renaud","900","9170","149","9319"
"9.00","AMOUZOU Comlan","246","9170","149","9319"
"9.10","DUHAMEL Paul-Guy","163","2440","26","2466"
"9.10","GOLDBERG Sheldon","381","2440","26","2466"
"9.10","LACERTE Pierre","692","2440","26","2466"
"9.10","POLLAK Mindy","860","2440","26","2466"
"9.10","PRÉVOST Charles","344","2440","26","2466"
"9.20","FORGET Céline","872","2540","46","2586"
"9.20","GALLET Hubert","198","2540","46","2586"
"9.20","RAHMANI Belgacem","131","2540","46","2586"
"9.20","TOMLINSON Philipe","861","2540","46","2586"
"9.20","NEPVEU Bertrand","478","2540","46","2586"
"9.30","POTVIN Marie","541","1927","44","1971"
"9.30","CARDYN Lucie","723","1927","44","1971"
"9.30","LEBLANC Alexa","405","1927","44","1971"
"9.30","LAPOINTE Valérie","258","1927","44","1971"
"9.40","BUGEL Jérôme","627","2248","59","2307"
"9.40","KOBRYNSKY Marc-Nicolas","356","2248","59","2307"
"9.40","NUNES Ana","395","2248","59","2307"
"9.40","GREMAUD Jacqueline","870","2248","59","2307"
