ï»¿ID,DATE_ATTRIB,TYPE_LIEU,TYPE_DOSSIER_INTERV,SECTEUR_SCIAN,REGION
68,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
69,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
70,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
71,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
72,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
73,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAURENTIDES
74,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
75,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
76,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
77,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
78,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
79,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
80,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
81,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAURENTIDES
82,2022-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,MONTREAL
83,2022-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,MONTREAL
84,2022-01-05,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,LAVAL
85,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAVAL
86,2022-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,CHAUDIERE-APPALACHES
87,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,LAVAL
88,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,ABITIBI-TEMISCAMINGUE
89,2022-01-06,ETABLISSEMENT,PLAINTE,ADMINISTRATIONS PUBLIQUES,CHAUDIERE-APPALACHES
90,2022-01-05,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),YAMASKA
91,2022-01-06,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,BAS-ST-LAURENT
