Instance,Type_assemblee,Publique,Diffusion_web,Date,Heure,Endroit,Salle,Rue,No_civique
Conseil d'agglomération,Régulière,Oui,Non,2014-06-19,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-06-25,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-06-26,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-07-02,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2014-07-07,1:00:00 PM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-07-30,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-08-06,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-08-13,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2014-08-18,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-08-20,4:00:00 PM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-08-21,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-08-27,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-09-03,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-09-10,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les transports et les travaux publics,Consultation publique,Oui,Non,2014-09-11,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2014-09-11,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2014-09-15,1:00:00 PM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2014-09-15,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-09-17,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-09-18,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-09-24,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-10-01,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les transports et les travaux publics,Consultation publique,Oui,Non,2014-10-02,7:00:00 PM,Édifice Lucien-Saulnier,Salle 202,Notre-Dame est,155
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-10-07,7:00:00 PM,Marché Bonsecours,Salle du Vieux-Montréal,St-Paul Est,350
Comité exécutif ,Régulière,Non,Oui,2014-10-08,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-10-15,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2014-10-20,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2014-10-21,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission de la présidence du conseil,Consultation publique,Oui,Non,2014-10-21,1:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-10-22,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-10-22,7:00:00 PM,,Salle de banquet du centre communautaire,"Boulevard De Salaberry, Ville de Dollad-des-Ormeaux",12001
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-10-23,7:00:00 PM,,Salle de banquet du centre communautaire,"Boulevard De Salaberry, Ville de Dollad-des-Ormeaux",12001
