"Arrondissement","Organisme",2008,"2009 1e appel","2009 2e appel","2010 1er appel","2010 2e appel","2011 1er appel","2011 2e appel","2012 1er appel","2012 2e appel","2013 1er appel","2013 2e appel","2014 1er appel","2014 2e appel","TOTAL"
"Côte-des-Neiges-Notre-Dame-de-Grâce","Maison des jeunes de la Côte-des-Neiges",,,,,,,,11962,,,,,,11962
"Lachine","Les productions Multi-sens",,,,,11550,,,,,,,,,11550
"Le Plateau Mont-Royal","Art neuf inc.",,10055,,,,,,8280,,,,,,18335
"Le Sud-Ouest","Maison des jeunes La galerie",9300,12039,,,8994,,,,,,,,,30333
"Le Sud-Ouest","Voies Parrallèles",,,10000,9550,9085,,,,,,,,,28635
"Le Sud-Ouest","Rendez-vous Gospel",,,,7550,,,,,,,,,,7550
"Le Sud-Ouest","Centre culturel Georges-Vanier",,,,,,,,,,,1750,,12500,14250
"Le Sud-Ouest","Opération jeunesse Ville-Émard/Côte-St-Paul",,,,,,,,,,,4250,,,4250
"Le Sud-Ouest","Centre Communautaire de Loisirs Sainte-Catherine d’Alexandrie",,,,,,,,,,,,7605,,7605
"Le Sud-Ouest","Centre de Loisirs Monseigneur Pigeon",,,,,,,,,,,,9000,,9000
"Mercier-Hochelaga-Maisonneuve","Centre des jeunes Boyce-Viau",,,4000,,,,,,,,,,,4000
"Mercier-Hochelaga-Maisonneuve","Maison des jeunes MAGI de Mercier-ouest",,,,,12804,,16000,,,,,,,28804
"Mercier-Hochelaga-Maisonneuve","Le projet harmonie",,,,,,,16500,,,,8000,,,24500
"Montréal-Nord","Centre des jeunes l'escale de Montréal-Nord",,23310,,20000,,,,,,,,,,43310
"Montréal-nord","Un itinéraire pour tous",,,,,12522,,,,,,,,,12522
"Outremont","Maison des jeunes d'Outremont",,,,,6000,,,6292,3235,,,,,15527
"Pierrefonds-Roxboro","Carrefour des 6-12 ans de Pierrefonds-Est",,,,,,,,,,,,9000,,9000
"Pierrefonds-Roxboro","Action jeunesse de l'ouest de l'Île",,,,,,,,,,,,,7485,7485
"Rivière-des-Prairies-Pointe-aux-Trembles","Centre communautaire Le relais du bout",,,,,15500,,,,,,,,,15500
"Rivière-des-Prairies-Pointe-aux-Trembles","Maison des jeunes de Rivière-des-Prairies",,,,,,12000,,,,,,,,12000
"Rivière-des-Prairies-Pointe-aux-Trembles","Centre multimédia de l'est de Montréal",,,,,,,20000,,,,,,,20000
"Rosemont-Petite-Patrie","L'Hôte-Maison (maison de jeunes)",,9800,,,,8000,,9200,8000,,8000,,,43000
"Rosemont-Petite-Patrie","Carrefour communautaire Rosemont L'Entregens",,,11000,,,,,,,,,,,11000
"Rosemont-Petite-Patrie","Carrefour communautaire Montrose inc.",,,,10000,,,,,,,,,,10000
"Rosemont-Petite-Patrie","L'Oasis des enfants de Rosemont",,,,,11000,,,7000,,,,,,18000
"Rosemont-Petite-Patrie","Arrondissement Rosemont-La Petite-Patrie",,,,,,,,,,,,,6278,6278
"Saint-Laurent","Arrondissement Saint-Laurent",,,,,,,9400,,,,,,,9400
"Saint-Léonard","Gestion Multisports St-Léonatd",,,,,,,,,,,,,8137,8137
"Ville-Marie","Oxy-jeunes inc.",9200,,,,,,5500,,,,,,,14700
"Ville-Marie","Centre de soir Denise-Massé",,,5000,,,,,,,,,,,5000
"Ville-Marie","Association des familles du Centre-Sud",,,,,,,10210,8700,,,,7500,,26410
"Ville-Marie","Arrondissement Ville-Marie",,,,,,,3375,,,,,,,3375
"Ville-Marie","corporation du Centre Jean-Claude Malépart",,,,,,,,,8500,,,,,8500
"Ville-Marie","Direction chrétienne - Innovation jeunesse",,,,,,,,,4260,,4250,7470,9596,25576
"Ville-Marie","Centre d'entraide et de ralliement familial le C.E.R.F.",,,,,,,,,4087,,,,,4087
"Ville-Marie","Association Les chemins du Soleil",,,,,,,,,3384,3638,5023,,,12045
"Ville-Marie","Services de loisirs Saint-Jacques de Montréal",,,,,,,,,,8000,,,,8000
"Ville-Marie","Association sportive et communautaire du Centre-Sud inc.",,,,,,,,,,,,,1870,1870
"Villeray-Saint-Michel-Parc-Extension","Maison des jeunes Par la Grand'porte",10000,,,9749,,,,18000,,,7000,,,44749
"Villeray-Saint-Michel-Parc-Extension","Projet ado communautaire en travail de rue",9000,,,,,,,,,,,,,9000
"Villeray-Saint-Michel-Parc-Extension","Création etc.",,20000,,,,,,,,,,,,20000
"Villeray-Saint-Michel-Parc-Extension","L'organisation des jeunes de Parc-Extension (PEYO)",,,,17000,,,,,,,11000,,,28000
"Villeray-Saint-Michel-Parc-Extension","Loisirs communautaires Saint-Michel",,,,,6000,,,,,,,,,6000
"Villeray-Saint-Michel-Parc-Extension","Centre de loisirs communautaires Lajeunesse inc.",,,,,,10000,,9000,,,9866,,,28866
,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,
,"TOTAL",58250,96901,56000,85842,106455,76503,113952,78434,49072,99999,72000,73768,73866,1041042
