Nom Bibliothèque	Secteur	Titre	Nombre de prêt	Nombre de document	Lien URL
Bibliothèque de Cartierville	Jeunes - DVD	Camp Rock.2,Le face à face[enregistrement vidéo] =Camp Rock.2,The final jam /réalisation, Paul Hoen ; scénario, Dan Berendsen, Karin Gist, Regina Hicks.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1988735
Bibliothèque de Cartierville	Adultes - DVD	Rebelle[enregistrement vidéo] =War witch /scénario et réalisation, Kim Nguyen.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2354647
Bibliothèque de Cartierville	Adultes - Cours de langue	Le nouveau russe sans peine /par Vladimir Dronov, Wladimir Matchabelli, Françoise Gallais avec le concours de Marie-José Bru ; illustrations de Jean-Louis Goussé.	4	4	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1308946
Bibliothèque de Cartierville	Jeunes - Livres d'images (Albums)	Adrien le lapin /Antoon Krings.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1231762
Bibliothèque De Salaberry	Jeunes - DVD	Teenage Mutant Ninja Turtles.Voici Shreddder[enregistrement vidéo] =Teenage Mutant Ninja Turtles.Enter Shreddder /créé par Kevin Eastman, Peter Laird.	5	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2413951
Bibliothèque De Salaberry	Jeunes - DVD	Les Simpson.L'intégrale de la troisième saison[enregistrement vidéo] =The Simpsons.The complete third season /créé par Matt Groening ; réalisé par David Silverman ... [et al.] ; développé par James L. Brooks, Matt Groening, Sam Simon.	4	3	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1430127
Bibliothèque De Salaberry	Jeunes - DVD	Détestable moi 2[enregistrement vidéo] =Despicable me 2 /réalisation, Pierre Coffin, Chris Renaud ; scénario, Ken Daurio, Cinco Paul.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2430461
Bibliothèque De Salaberry	Jeunes - DVD	The spectacular Spider-Man.2[enregistrement vidéo] /Adelaide Productions, Inc. ; Sony Pictures Television ; Marvel Entertainment ; Culver Entertainment ; Sony Wonder.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1824728
Bibliothèque De Salaberry	Jeunes - DVD	Bratz.Passion 4 fashion Diamondz[enregistrement vidéo] =Bratz.Une passion pour la mode Diamondz.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1467402
Bibliothèque De Salaberry	Tout-petits - BD	Max est fou de jeux vidéo /Dominique de Saint Mars ; [illustrations de] Serge Bloch ; [inspiré par Astrapi].	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1286628
Bibliothèque De Salaberry	Jeunes - Albums carton (cartonnés)	Polo :5 histoires /Régis Faller.	4	5	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1810525
Bibliothèque De Salaberry	Tout-petits - BD	Tom et Jerry.Le costume d'ours.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1255123
Bibliothèque De Salaberry	Jeunes - DVD	Mission Marvel[enregistrement vidéo] =Mission Marvel /Walt Disney Television Animation.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2415945
Bibliothèque De Salaberry	Jeunes - DVD	Contes pour tous.Coffret collection 3[enregistrement vidéo].	3	12	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1508983
Bibliothèque De Salaberry	Jeunes - DVD	Contes pour tous.Coffret collection 1[enregistrement vidéo].	3	12	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1432452
Bibliothèque De Salaberry	Jeunes - DVD	Contes pour tous.Coffret collection 2[enregistrement vidéo].	3	12	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1466280
Bibliothèque De Salaberry	Jeunes - BD	Naruto.47,Le sceau brisé!! /Masashi Kishimoto ; [traduit et adapté en français par Sébastien Bigini].	3	3	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1925876
Bibliothèque De Salaberry	Jeunes - BD	L'empire du ruban rouge /[Akira Toriyama ; traduction, Kiyoko Chappe].	3	4	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1188144
Bibliothèque De Salaberry	Jeunes - BD	Bone.9,La couronne d'aiguilles /par Jeff Smith ; traduit de l'américain par Anne Capuron.	3	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1835673
Bibliothèque De Salaberry	Jeunes - DVD	La reine des neiges[enregistrement vidéo] =Frozen /réalisation, Chris Buck, Jennifer Lee ; scénario, Jennifer Lee ; histoire, Chris Buck, Jennifer Lee, Shane Morris.	3	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2446490
Bibliothèque De Salaberry	Jeunes - DVD	Rémi.Sans famille[enregistrement vidéo] /réalisation, Osamu Dezaki ; directeur de l'animation, Akio Sugino.	3	5	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1456957
Bibliothèque De Salaberry	Tout-petits - BD	Max aime les monstres /[texte de] Dominique de Saint Mars ; [illustrations de] Serge Bloch.	3	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1429287
Bibliothèque De Salaberry	Tout-petits - BD	Max n'aime pas lire /Dominique de Saint Mars ; [illustrations de] Serge Bloch ; [inspiré par Astrapi].	3	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1218629
Bibliothèque De Salaberry	Jeunes - DVD	Madagascar3.Bons baisers d'Europe[enregistrement vidéo] =Madagascar3,Europe's most wanted /réalisation, Eric Darnell, Tom McGrath, Conrad Vernon ; scénario, Eric Dartnell, Noah Baumbach.	3	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2354653
Bibliothèque Saul-Bellow	Jeunes - Livres d'images (Albums)	Mes premiers pas en mathématiques /texte de Jane Belk Moncure ; adaptation française de Chrystiane Harnois ; illustrations de Pam Peltier ... [et al.]	6	9	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1488286
Bibliothèque Saul-Bellow	Jeunes - DVD	Retour vers le futur.La trilogie complète[enregistrement vidéo] =Back to the future.The complete trilogy /scénario, Robert Zemeckis, Bob Gale ; réalisation, Robert Zemeckis.	6	5	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1754404
Bibliothèque Saul-Bellow	Jeunes - BD	Aventures de Tintin.English.	6	8	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2431414
Bibliothèque Saul-Bellow	Adultes - DVD	Qi gong yoga[enregistrement vidéo] :l'énergie qui guérit /[présenté par] Nicole Bordeleau.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2257014
Bibliothèque Saul-Bellow	Jeunes - DVD	Teenage mutant ninja turtles:[videorecording)] :Rise of the turtles /Viacom International Inc. ; Nickelodeon.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2396078
Bibliothèque Saul-Bellow	Adultes - Documentaires	Scott 2015 standard postage stamp catalogue /editor, Charles Snee ; editor emeritus, James E. Kloetzel	4	6	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2453621
Bibliothèque Saul-Bellow	Adultes - DVD	Harry Potter et l'Ordre du Phénix[enregistrement vidéo] =Harry Potter and the Order of the Phoenix /réalisation, David Yates ; scénario, Michael Goldenberg.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1599984
Bibliothèque Saul-Bellow	Jeunes - DVD / Blu-Ray	La reine des neiges[enregistrement vidéo] =Frozen /réalisation, Chris Buck, Jennifer Lee ; scénario, Jennifer Lee ; histoire, Chris Buck, Jennifer Lee, Shane Morris.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2454562
Bibliothèque Saul-Bellow	Jeunes - BD	Album Garfield.53 /[par Jim Davis].	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2067983
Bibliothèque Saul-Bellow	Jeunes - Documentaires	Lego le livre	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2394796
Bibliothèque Saul-Bellow	Adultes - DVD	Être Llewyn Davis[enregistrement vidéo] =Inside Llewyn Davis /scénario et réalisation, Joel Coen et Ethan Coen.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2444811
Bibliothèque Saul-Bellow	Adultes - Documentaires	L'encyclopédie de la peinture à l'huile /Jeremy Galton ; [traduction française de Patricia Ranvoisé].	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2444862
Bibliothèque Saul-Bellow	Adultes - Documentaires	Mon enfant à l'école :conseils et astuces pour l'accompagner de la maternelle à la 6e année.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2466503
Bibliothèque Saul-Bellow	Adultes - DVD	Whitewash : l'homme que j'ai tué[enregistrement vidéo] =Whitewash /réalisation, Emanuel Hoss-Desmarais ; scénario, Marc Tulin, Emanuel Hoss-Desmarais.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2453634
Bibliothèque Saul-Bellow	Adultes - DVD	Le Wolverine[enregistrement vidéo] =The Wolverine /réalisation, James Mangold ; scénario, Mark Bomback, Scott Frank.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2427869
Bibliothèque Saul-Bellow	Adultes - DVD	Steve Jobs[videorecording] :one last thing /produced by Pioneer Productions ; directors, Jonathan Challis, John Coffey, Susan Crook and Ian Lynch.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2282625
Bibliothèque Saul-Bellow	Adultes - Romans	Les soeurs Deblois.1,Charlotte /Louise Tremblay-D'Essiambre.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1349829
Bibliothèque Saul-Bellow	Adultes - DVD	Impardonnables[enregistrement vidéo] =Unforgivable /réalisation, André Téchiné ; scénario, André Téchiné, Mehdi Ben Attia.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2330361
Bibliothèque Saul-Bellow	Adultes - DVD	Le hérisson[enregistrement vidéo] =The hedgehog /scénario et réalisation, Mona Achache.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1938898
Bibliothèque Saul-Bellow	Adultes - DVD	Guide de la petite vengeance[enregistrement vidéo] =The little book of revenge /réalisation, Jean-François Pouliot ; scénario, Ken Scott.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1432887
Bibliothèque de Saint-Pierre	Jeunes - DVD	Myster Mask.2[enregistrement vidéo] =Darkwing Duck. 2.	6	3	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1510251
Bibliothèque de Saint-Pierre	Jeunes - BD	Oups! /dessin, Midam et Adam ; scénario, Midam et www.gameoverforever.com.	5	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1909490
