Nom Bibliothèque	Secteur	Titre	Nombre de prêt	Nombre de document	Lien au catalogue
Bibliothèque de Cartierville	Jeunes - DVD	Rémi.Sans famille[enregistrement vidéo] /réalisation, Osamu Dezaki ; directeur de l'animation, Akio Sugino.	5	5	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1456957
Bibliothèque de Cartierville	Adultes - DVD	Rebelle[enregistrement vidéo] =War witch /scénario et réalisation, Kim Nguyen.	5	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2354647
Bibliothèque de Cartierville	Adultes - Cours de langue	Francés perfeccionamiento[ensemble multi-supports] /texto original francés de Anthony Bulger ; adaptado para el uso de los  hispanohablantes por Soledad San Miguel Carmona y Francisco Javier Antón Martínez ; dibujos de J.-L. Goussé	5	5	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1363233
Bibliothèque de Cartierville	Jeunes - Documentaires	Plus de 30 tests pour se préparer et réussir!.Français /Colette Laberge.	4	6	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2251879
Bibliothèque de Cartierville	Adultes - Documentaires	Conduire un véhicule de promenade /[publication réalisée par la Société de l'assurance automobile du Québec ; recherche et rédaction, Michèle Jean et Micheline Briand avec la collaboration de Diane Hamel... et al.]	4	16	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1427841
Bibliothèque de Cartierville	Adultes - DVD	L'impossible[enregistrement vidéo] =The impossible /réalisation, J. A. Bayona ; histoire, María Belón ; scénario, Sergio G. Sánchez.	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2389732
Bibliothèque de Cartierville	Jeunes - DVD	Les Schtroumpfs[enregistrement vidéo] :Un chant de Noël = The Smurfs : a Christmas carol /[réalisation, Raja Gosnell ; histoire, J. David Stem, David N. Weiss ; scénario, J. David Stem ... et al.].	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2412867
Bibliothèque de Cartierville	Jeunes - Documentaires	Pas de problème!.Mathématique, 1re[-6e] année : exercices de résolution de problèmes : 1er[-3e] cycle /Pierrette Tranquille, Françoise Tchou ; [illustrations, Michel Grant].	4	6	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1409837
Bibliothèque de Cartierville	Jeunes - DVD	Turbo[enregistrement vidéo] /directed by David Soren.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2427716
Bibliothèque de Cartierville	Jeunes - DVD	Les aventures de Tintin[enregistrement vidéo] /réalisation, Stéphane Bernasconi.	4	8	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1393483
Bibliothèque de Cartierville	Adultes - DVD	Qi gong yoga[enregistrement vidéo] :l'énergie qui guérit /[présenté par] Nicole Bordeleau.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2257014
Bibliothèque de Cartierville	Jeunes - DVD	Sol et Gobelet.coffret 1[enregistrement vidéo] /réalisation, Maurice Falardeau.	3	3	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1419169
Bibliothèque de Cartierville	Adultes - DVD	Les derniers rayons du soleil[enregistrement vidéo] =Sunshine /réalisation, Danny Boyle ; scénario, Alex Garland.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1600050
Bibliothèque de Cartierville	Adultes - DVD	Ombres et ténèbres[enregistrement vidéo] =Dark shadows /réalisation, Tim Burton ; scénario, Seth Grahame-Smith.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2352916
Bibliothèque de Cartierville	Adultes - DVD	Mince alors![enregistrement vidéo] /un film de Charlotte de Turckheim ; un scénario de Charlotte de Turckheim et Gladys Marciano ; adaptation et dialogues, Charlotte de Turckheim, Gladys Marciano, Jeanne Le Guillou.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2349361
Bibliothèque de Cartierville	Adultes - DVD	La dame aux camélias[enregistrement vidéo] /réalisation, Desmond Davis ; scénario, Blanche Hanalis.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2352913
Bibliothèque de Cartierville	Jeunes - DVD	Batman, le film.Le pacte des superhéroes[enregistrement vidéo] =Batman, the movie.DC super heroes unite /story by Jon Burton and David A. Goodman ; directed by Jon Burton.	3	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2406672
Bibliothèque De Salaberry	Jeunes - BD	Les nombrils.1,Pour qui tu te prends? /[illustrations de] Delaf ; [texte de] Dubuc.	5	3	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1418076
Bibliothèque De Salaberry	Jeunes - DVD	Détestable moi 2[enregistrement vidéo] =Despicable me 2 /réalisation, Pierre Coffin, Chris Renaud ; scénario, Ken Daurio, Cinco Paul.	5	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2430461
Bibliothèque De Salaberry	Jeunes - DVD	Barbie Mariposa et le royaume des fées[enregistrement vidéo] =Barbie Mariposa & the fairy princess /réalisation, William Lau ; scénario, Elise Allen.	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2410088
Bibliothèque De Salaberry	Jeunes - DVD	Benjamin fête l'Halloween[enregistrement vidéo] =Franklin's Halloween /réalisation, John Van Bruggen.	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1414232
Bibliothèque De Salaberry	Jeunes - BD	Pink diary	4	8	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1586538
Bibliothèque De Salaberry	Jeunes - BD	Les nombrils.3,Les liens de l'amitié /[illustrations de] Delaf ; [texte de] Dubuc.	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1577718
Bibliothèque De Salaberry	Tout-petits - BD	Lili part en camp de vacances /[texte de] Dominique de Saint Mars ; [illustrations de] Serge Bloch.	4	3	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1461881
Bibliothèque De Salaberry	Jeunes - DVD	Le livre de la jungle.2[enregistrement vidéo] =The jungle book.2 /réalisation, Steve Trenbirth ; scénario, Carter Crocker, Karl Geurs, David Reynolds.	4	3	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1587425
Bibliothèque De Salaberry	Tout-petits - BD	Max et Lili se posent des questions sur Dieu /[texte de] Dominique de Saint Mars ; [illustrations de] Serge Bloch.	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1803286
Bibliothèque De Salaberry	Jeunes - DVD	Vic le Viking[enregistrement vidéo].	4	3	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1451926
Bibliothèque De Salaberry	Jeunes - Livres avec document audio	Rondes et comptines des 4 saisons[ensemble multi-supports] /[illustrations, Xavier Deneux ... et al. ; réalisation, arrangements et musique, Lauri Prado, Alain Schneider].	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1426663
Bibliothèque De Salaberry	Jeunes - DVD	Kaboum.Saison 1.2[enregistrement vidéo] /idée originale, Zoomba.	4	7	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1823220
Bibliothèque De Salaberry	Jeunes - DVD	Les Simpson.L'intégrale de la sixième saison[enregistrement vidéo] =The Simpsons.The complete sixth season /créé par Matt Groening ; réalisé par David Silverman ... [et al.] ; développé par James L. Brooks, Matt Groening, Sam Simon.	4	8	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1431574
Bibliothèque De Salaberry	Jeunes - BD	Naruto.3 /Masashi Kishimoto ; [traduit et adapté en franâis par Sylvain Chollet].	3	4	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1358629
Bibliothèque De Salaberry	Jeunes - BD	Foot 2 rue.7,Les nouveaux Bleus /scénario, Mathieu Mariolle ; dessin, Philippe Cardona.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1585196
Bibliothèque De Salaberry	Jeunes - Livres d'images (Albums)	Foot 2 rue.16,Toujours plus d'épreuves  /scénario, Mathieu Mariolle ; dessin, Philippe Cardona.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2117968
Bibliothèque De Salaberry	Jeunes - BD	Foot 2 rue.11,Coups bas /scénario, Mathieu Mariolle ; dessin, Philippe Cardona.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1908622
Bibliothèque De Salaberry	Jeunes - Livres d'images (Albums)	SamSam veut un animal /texte de Gwenaelle Boulet ; illustrations de Serge Bloch et Astrid Scaramus ; [création originale de Serge Bloch].	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2371780
Bibliothèque De Salaberry	Jeunes - Livres d'images (Albums)	Un marcholéon trop mignon /d'après l'oeuvre originale de Serge Bloch ; [réalisé par Tanguy de Kermel ; bible littéraire d'Alexandre Révérend ; scénario de Virginie Boda ; adaptation de Catherine Romat].	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2081148
Bibliothèque De Salaberry	Jeunes - BD	Dark, j'adore! /scénario et dessin, Midam.	3	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1396165
Bibliothèque Saul-Bellow	Jeunes - DVD	Les Schtroumpfs[enregistrement vidéo].	10	6	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1416536
Bibliothèque Saul-Bellow	Adultes - DVD	Matchs mémorables dans l'histoire des Canadiens[enregistrement vidéo]	6	10	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2098551
Bibliothèque Saul-Bellow	Jeunes - DVD	Il était une fois--[enregistrement vidéo] =Bedtime story /réalisation, Raymond Lebrun, Marcos DaSilva.	5	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1493850
Bibliothèque Saul-Bellow	Jeunes - DVD	Le meilleur de Caillou.2[enregistrement vidéo] =Caillou classics.2.	5	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1988725
Bibliothèque Saul-Bellow	Jeunes - DVD	L'étrange mal de Monsieur Bizarre et 10 autres histoires[enregistrement vidéo] /réalisation, Jean-Pierre Tardivel.	5	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2402524
Bibliothèque Saul-Bellow	Jeunes - BD	Aventures de Tintin.English.	5	8	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2431414
Bibliothèque Saul-Bellow	Jeunes - DVD	Les avions[enregistrement vidéo] =Planes /réalisation, Klay Hall ; histoire de John Lasseter, Klay Hall, Jeffrey M. Howard ; scénario, Jeffrey M. Howard.	5	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2413924
Bibliothèque Saul-Bellow	Adultes - DVD	Qi gong yoga[enregistrement vidéo] :l'énergie qui guérit /[présenté par] Nicole Bordeleau.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2257014
Bibliothèque Saul-Bellow	Jeunes - BD	Le zoo pétrifié /[texte de] Joris Chamblain ; [illustrations de] Aurélie Neyret.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2362110
Bibliothèque Saul-Bellow	Adultes - Gros caractères - Fiction	Les tristes noces[texte (gros caractères)] /Marie-Bernadette Dupuy	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1938765
Bibliothèque Saul-Bellow	Adultes - DVD	Tout le monde a un plan[enregistrement vidéo] =Everybody has a plan /Twentieth Century Fox, Tornasol Films, Haddock Films, Castafiore Films, Terz Filmproduktion production in association with Fox International Productions ; Mariela Besuievsky .... [et. al.] ; written and directed by Ana Piterbarg.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2457321
Bibliothèque Saul-Bellow	Adultes - Romans	Quattrocento.Français	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2465689
Bibliothèque Saul-Bellow	Adultes - DVD	Möbius[enregistrement vidéo] /scénario et réalisation, Éric Rochant.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2457322
Bibliothèque Saul-Bellow	Adultes - DVD	La vie est belle[enregistrement vidéo] =Life is beautiful = [La vita è bella] /réalisation, Roberto Benigni ; scénario, Vincenzo Cerami, Roberto Benigni.	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1449927
Bibliothèque Saul-Bellow	Adultes - DVD	Bienvenue au Marigold Hotel[enregistrement vidéo] =The best exotic Marigold Hotel /réalisation, John Madden ; scénario, Ol Parker.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2349284
Bibliothèque Saul-Bellow	Jeunes - Jeux vidéo sur console	Kirby's return to dream land[[ressource électronique (Wii)].	4	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2269768
Bibliothèque Saul-Bellow	Jeunes - Livres d'images (Albums)	Notre bonhomme de neige /Alice Schertle ; illustrations de Barbara Lavallee ; texte français d'Hélène Pilotto.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1814525
Bibliothèque Saul-Bellow	Adultes - DVD	Un homme sérieux[enregistrement vidéo] =A serious man /scénario et réalisation, Joel Coen & Ethan Coen.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1921576
Bibliothèque Saul-Bellow	Adultes - Romans	Confiance aveugle /CJ Lyons ; traduit de l'anglais (États-Unis) par Lena Tanant.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2465655
Bibliothèque Saul-Bellow	Jeunes - DVD	Au jeu![enregistrement vidéo] =Game on! /réalisation, Marcos da Silva, Raymond Lebrun ; production André A. Bélanger, Luc Châtelain.	4	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2455091
Bibliothèque de Saint-Pierre	Adultes - Disques compacts	La vallée des réputations[enregistrement sonore] /Jean Leloup	14	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1328091
Bibliothèque de Saint-Pierre	Adultes - Documentaires	Las Vegas /[établi par Connie Emerson ; traduit et adapté de l'anglais par Anne-Marie Térel avec la collaboration d'Isabelle Guilhamon].	13	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2254288
Bibliothèque de Saint-Pierre	Adultes - Romans	La petite fille au tambour :roman /John Le Carré ; trad. de l'anglais par Natalie Zimmermann et Lorris Murail.	12	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1044833
Bibliothèque de Saint-Pierre	Adultes - Romans	Rendez-vous chez Tiffany /James Patterson ; traduit de l'américain par Mélanie Carpe.	7	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1928308
Bibliothèque de Saint-Pierre	Adultes - DVD	Bruce le tout-puissant[enregistrement vidéo] =Bruce almighty /réalisation, Tom Shadyac ; scénario, Steve Koren, Mark O'Keefe, Steve Oedekerk.	7	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2359143
Bibliothèque de Saint-Pierre	Jeunes - Romans	La ruse de Xavier /Emmanuel Aquin ; illustrations de Luc Chamberland.	6	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1601229
Bibliothèque de Saint-Pierre	Jeunes - Romans	La piqûre de Brox /Emmanuel Aquin ; illustrations de Luc Chamberland.	5	2	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1601227
Bibliothèque de Saint-Pierre	Jeunes - DVD	La forteresse suspendue[enregistrement vidéo] /scénario et réalisation, Roger Cantin.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2091952
Bibliothèque de Saint-Pierre	Jeunes - DVD	Dragons[enregistrement vidéo] =How to train your dragon /réalisation, Chris Sanders, Dean DeBlois ; scénario, Cressida Cowell.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1985680
Bibliothèque de Saint-Pierre	Adultes - DVD	Divergence[enregistrement vidéo] =Divergent /réalisation, Neil Burger ; scénario, Evan Daugherty, Vanessa Taylor.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2462977
Bibliothèque de Saint-Pierre	Jeunes - Fêtes	Galette se déguise pour l'Halloween! /[texte de] Lina Rousseau ; [illustrations de] Marie-Claude Favreau.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1944830
Bibliothèque de Saint-Pierre	Adultes - Documentaires	Oui, je peux[ensemble multi-supports] :comment les affirmations peuvent changer votre vie /Louise L. Hay.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1383111
Bibliothèque de Saint-Pierre	Adultes - Romans	Le fabuleux destin d'une vache-- :roman /David Safier ; traduit de l'allemand par Catherine Barret.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2453036
Bibliothèque de Saint-Pierre	Adultes - DVD	Summer of Sam[videorecording] /Touchstone Pictures ; a 40 Acres and a Mule Filmworks Production ; a Spike Lee Joint ; written by Victor Colicchio, Michael Imperioli, and Spike Lee ; produced by Jon Kilik and Spike Lee ; directed by Spike Lee.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2354641
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	3 petits moutons /[texte de] Agnès Cathala ; [illustrations de] Laurent Richard.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1585618
Bibliothèque de Saint-Pierre	Jeunes - Romans	S.O.S. souris en orbite! /Geronimo Stilton ; [illustrations de Francesco Barbieri ; traduction de Marianne Faurobert].	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2425024
Bibliothèque de Saint-Pierre	Adultes - Documentaires	Contes à guérir, contes à grandir /Jacques Salomé ; illustrations de Dominique de Mestral.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1120924
Bibliothèque de Saint-Pierre	Adolescents - Romans	Ombres et secrets /Shannon Delany ; traduit de l'anglais par Sophie Deshaies.	3	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2360852
Bibliothèque de Saint-Pierre	Adultes - Romans	Prescription mortelle : roman	2	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2459652
Bibliothèque de Saint-Pierre	Adultes - DVD	Sublimes créatures[enregistrement vidéo] =Beautiful creatures /scénario et réalisation, Richard LaGravenese.	2	1	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2395090
Bibliothèque Benny	Inconnu	Adieu, Betty Crocker :roman /François Gravel.	16	16	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1347842
Bibliothèque Benny	Jeunes - Premières lectures	La boîte à lecture.1 /d'après les livres de Norman Bridwell ; [texte français d'Isabelle Allard].	8	11	Lien URL:http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1459210
