quest,q2b,q2c,q33,q4,q4a,q4c,q4d,q4e,q4f,q4g,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q9h,q9i,q9j,q10,q11,q12a,q12b,q12c,q12d,q12e,q12f,q12g,q12h,q13a,q13b,q13c,q13d,q14,q15,q16,q17b,q17a,q18,q19a,q19b,q19c,q19d,q19e,q19f,q20,q21_m1,q21_m2,q21_m3,q21_m4,q21_m5,q21_m6,q21_m7,q21_m8,q21_m9,q21_m10,q22,q24,q25_m1,q25_m2,q25_m3,q25_m4,q25_m5,q26,q27_m1,q27_m2,q27_m3,q28,q29a,q29b,q29c,q29d,q29e,q29f,q29g,q29h,q30,q31,q34,q35,q36,q36b,q36c,q37,pondm
84,H1A,"11,00","5,00","1,00","1,00","9,00","1,00","1,00","1,00","4,00","3,00","2,00","4,00","4,00","3,00","2,00","2,00","3,00","3,00","2,00","9,00","2,00","2,00","1,00","1,00","1,00","1,00","3,00","4,00","3,00","1,00","2,00","1,00","4,00","9,00","1,00","9,00","9,00","9,00","1,00","1,00","1,00","1,00","2,00","9,00","9,00","2,00","99,00","3,00","2,00","2,00","2,00","2,00","4,00","9,00","2,00","2,00","2,00","3,00","4,00","2,00","2,00","2,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","10,00",,,,,"99,00","2,00",,,"2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","0,18"
91,H3L,"13,00","5,00","1,00","1,00","2,00","1,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","3,00","3,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","98,00","1,00","2,00","2,00","2,00","2,00","9,00","2,00","2,00","2,00","2,00","2,00","4,00","2,00","2,00","2,00","4,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","1,00","4,00","1,00","1,00","2,00","0,69"
95,H9H,"15,00","2,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","4,00","3,00","2,00","4,00","2,00","2,00","2,00","4,00","4,00","4,00","1,00","1,00","4,00","2,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","3,00","1,00","1,00","1,00","3,00","3,00","4,00","2,00","2,00","2,00","2,00","2,00","13,00","3,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","3,00","2,00","2,00","2,00","9,00","25,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","2,00","4,00","23,00","2,00","1,72"
97,H2J,"12,00","3,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","3,00","1,00","1,00","1,00","1,00","16,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","5,00","3,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","3,00","6,00",,,,"3,00","3,00",,,"1,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","2,00","1,00","1,00","1,00","4,00","1,00","1,00","2,00","2,51"
99,H2K,"6,00","4,00","1,00","2,00","3,00","2,00","2,00","4,00","1,00","2,00","2,00","3,00","2,00","2,00","3,00","1,00","4,00","4,00","4,00","1,00","1,00","4,00","2,00","3,00","1,00","1,00","2,00","2,00","1,00","1,00","3,00","1,00","3,00","3,00","2,00","2,00","1,00","1,00","1,00","2,00","2,00","3,00","1,00","2,00","1,00","1,00","9,00","2,00","4,00","4,00","1,00","3,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","3,00","2,00","1,00","3,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","10,00",,,,,"10,00","1,00",,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","1,00","4,00","1,00","1,00","2,00","0,73"
100,H1X,"18,00","5,00","1,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","3,00","3,00","2,00","3,00","4,00","2,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","1,00","1,00","1,00","1,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","16,00","2,00","2,00","3,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","18,00","2,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","5,00","18,00","2,00",,,"2,00","2,00",,,"1,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","4,00","1,00","1,00","1,00","0,74"
101,H2K,"14,00","5,00","1,00","2,00","2,00","2,00","3,00","4,00","4,00","2,00","2,00","3,00","2,00","2,00","2,00","9,00","4,00","4,00","3,00","3,00","3,00","3,00","1,00","3,00","1,00","1,00","2,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","9,00","2,00","9,00","1,00","3,00","2,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","99,00","7,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","4,00",,,,,"4,00","1,00",,,"2,00","3,00","3,00","2,00","2,00","2,00","3,00","4,00","2,00","3,00","2,00","4,00","2,00","2,00","1,00","1,00","1,00","1,64"
103,H1H,"18,00","5,00","1,00","3,00","3,00","2,00","2,00","3,00","4,00","4,00","4,00","4,00","3,00","4,00","4,00","2,00","4,00","4,00","4,00","3,00","3,00","4,00","4,00","3,00","1,00","1,00","3,00","2,00","2,00","2,00","3,00","4,00","3,00","4,00","4,00","1,00","2,00","2,00","1,00","3,00","2,00","2,00","3,00","1,00","4,00","4,00","4,00","3,00","4,00","4,00","2,00","2,00","3,00","2,00","2,00","3,00","3,00","2,00","4,00","4,00","3,00","3,00","5,00","20,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","45,00",,,,,"45,00","1,00",,,"2,00","2,00","1,00","2,00","3,00","2,00","3,00","3,00","2,00","3,00","4,00","4,00","2,00","3,00","5,00","1,00","2,00","0,98"
109,H8N,"10,00","4,00","1,00","3,00","3,00","1,00","3,00","1,00","4,00","2,00","3,00","3,00","2,00","2,00","2,00","4,00","4,00","3,00","3,00","2,00","4,00","3,00","2,00","4,00","2,00","2,00","2,00","3,00","2,00","3,00","3,00","3,00","3,00","4,00","4,00","2,00","2,00","9,00","1,00","2,00","3,00","3,00","2,00","3,00","4,00","2,00","4,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","5,00","13,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","4,00","1,00","9,00","1,00","1,24"
123,H3X,"5,00","4,00","1,00","1,00","1,00","1,00","4,00","1,00","3,00","4,00","4,00","2,00","2,00","2,00","2,00","1,00","4,00","4,00","2,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","3,00","1,00","1,00","2,00","2,00","1,00","1,00","3,00","1,00","2,00","2,00","2,00","1,00","2,00","2,00","1,00","2,00","4,00","3,00","98,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","3,00","24,00","17,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","4,00","1,00","9,00","1,00","1,10"
126,H2J,"3,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","98,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","11,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","4,00","2,00","1,00","2,00","1,36"
135,H3C,"6,00","4,00","1,00","2,00","2,00","2,00","1,00","2,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","2,00","2,00","3,00","1,00","4,00","1,00","1,00","1,00","2,00","1,00","4,00","1,00","1,00","2,00","2,00","4,00","1,00","1,00","1,00","1,00","1,00","4,00","1,00","1,00","2,00","2,00","2,00","99,00","2,00","2,00","2,00","4,00","2,00","9,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","6,00","18,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","1,00","4,00","1,00","1,00","2,00","0,73"
138,H3N,"18,00","6,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","3,00","1,00","3,00","1,00","2,00","1,00","2,00","2,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","1,00","1,00","1,00","2,00","1,00","2,00","1,00","3,00","2,00","2,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","11,00","2,00","3,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","1,00","2,00","98,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","1,00","4,00","3,00","15,00","2,00","0,50"
141,H4N,"19,00","4,00","1,00","2,00","2,00","3,00","3,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","3,00","2,00","3,00","3,00","3,00","2,00","3,00","3,00","3,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","3,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","4,00","3,00","4,00","2,00","2,00","4,00","2,00","1,00","2,00","2,00","1,00","2,00","3,00","3,00","3,00","2,00","32,00","7,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","2,00","1,00","1,00","1,00","1,38"
145,H1N,"1,00","2,00","1,00","1,00","1,00","1,00","3,00","1,00","4,00","2,00","2,00","3,00","1,00","1,00","4,00","3,00","4,00","4,00","4,00","3,00","2,00","1,00","2,00","2,00","4,00","1,00","3,00","4,00","1,00","2,00","4,00","3,00","1,00","4,00","9,00","1,00","4,00","3,00","2,00","2,00","3,00","3,00","2,00","4,00","2,00","2,00","4,00","3,00","3,00","3,00","3,00","1,00","4,00","3,00","1,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","23,00","5,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","2,00","4,00","2,00","1,00","4,30"
148,H2M,"9,00","6,00","1,00","4,00","4,00","3,00","3,00","3,00","4,00","4,00","4,00","4,00","4,00","3,00","3,00","3,00","3,00","4,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","3,00","2,00","3,00","2,00","1,00","1,00","1,00","2,00","2,00","1,00","1,00","2,00","1,00","1,00","9,00","9,00","9,00","2,00","1,00","2,00","99,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","9,00","2,00","3,00","9,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","18,00",,,,,"18,00","1,00","3,00",,"4,00","3,00","9,00","3,00","2,00","1,00","9,00","3,00","9,00","3,00","4,00","99,00","2,00","3,00","3,00","1,00","2,00","1,15"
149,A9A,"1,00","6,00","1,00","2,00","2,00","2,00","2,00","2,00","4,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","3,00","3,00","4,00","4,00","3,00","1,00","1,00","3,00","4,00","3,00","2,00","4,00","2,00","2,00","3,00","2,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","1,00","14,00","2,00","2,00","2,00","2,00","3,00","1,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","4,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","4,00",,,,,"4,00","1,00",,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","3,00","1,00","2,00","0,96"
157,H1T,"17,00","3,00","1,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","4,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","12,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","24,00","2,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","83,00",,,,,"83,00","2,00",,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","2,00","4,00","5,00","1,00","2,00","1,52"
162,H3E,"14,00","6,00","1,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","1,00","3,00","1,00","4,00","3,00","3,00","2,00","3,00","3,00","2,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","2,00","1,00","2,00","1,00","2,00","2,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","14,00","2,00","3,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","23,00","6,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","4,00",,,,,"4,00","2,00",,,"1,00","2,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","3,00","3,00","1,00","2,00","0,85"
163,H1L,"17,00","5,00","1,00","2,00","2,00","1,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","4,00","3,00","2,00","2,00","4,00","2,00","2,00","1,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","1,00","3,00","2,00","2,00","1,00","1,00","1,00","2,00","2,00","9,00","9,00","2,00","6,00","1,00","2,00","2,00","1,00","1,00","9,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","5,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","4,00","1,00","1,00","1,00","1,03"
165,H4E,"9,00","5,00","1,00","2,00","1,00","1,00","3,00","1,00","2,00","3,00","3,00","4,00","3,00","2,00","2,00","3,00","3,00","4,00","3,00","3,00","2,00","2,00","2,00","4,00","3,00","1,00","2,00","3,00","3,00","1,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","2,00","2,00","3,00","3,00","9,00","2,00","1,00","1,00","14,00","3,00","3,00","2,00","2,00","2,00","9,00","2,00","1,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","14,00","1,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","8,00",,,,,"8,00","2,00",,,"1,00","1,00","3,00","2,00","2,00","3,00","2,00","1,00","1,00","3,00","2,00","2,00","1,00","3,00","2,00","1,00","2,00","0,93"
166,H1R,"7,00","6,00","1,00","2,00","2,00","4,00","4,00","3,00","4,00","2,00","3,00","4,00","2,00","2,00","3,00","3,00","3,00","3,00","4,00","1,00","3,00","2,00","1,00","2,00","2,00","2,00","4,00","4,00","2,00","1,00","1,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","98,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","4,00","4,00","4,00","4,00","2,00","2,00","2,00","3,00","3,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","99,00",,,,,"99,00","1,00",,,"2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","3,00","3,00","1,00","1,00","0,83"
169,H2C,"16,00","4,00","1,00","1,00","1,00","1,00","2,00","9,00","9,00","4,00","3,00","2,00","2,00","1,00","2,00","4,00","4,00","4,00","4,00","1,00","2,00","4,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","2,00","1,00","2,00","2,00","1,00","1,00","2,00","1,00","2,00","2,00","1,00","1,00","2,00","2,00","3,00","1,00","37,00","2,00","4,00","4,00","2,00","1,00","3,00","1,00","3,00","4,00","2,00","2,00","3,00","2,00","2,00","3,00","14,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","7,00",,,,,"7,00","1,00",,,"4,00","4,00","9,00","9,00","9,00","9,00","3,00","2,00","2,00","3,00","4,00","2,00","1,00","4,00","1,00","2,00","1,00","1,06"
176,H1E,"1,00","4,00","1,00","2,00","3,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","4,00","4,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","1,00","1,00","2,00","1,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","21,00","2,00","3,00","2,00","2,00","2,00","3,00","1,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","20,00","2,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","12,00","24,00",,,,"24,00","3,00",,,"1,00","1,00","9,00","9,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","1,00","1,00","2,00","1,07"
