responseid,survc,lang,qa,qx,postal6,sexe,age,q9,q9_99_other,cible,q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q3,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q5,q5_7_other,q6,q7,q8,q8_7_other,POND,,
38,MW12000_112D,FR,4, ,J8Y3E1,1,5,1, ,1,2,4,3,2,3,2,3,3,2,2,2,10,5,1,1,1,2,1,8,8,4, ,2,3,2, ,.527850091457367,,
39,MW12000_112D,EN,1,3,H3X3P2,1,6,2, ,2,2,3,2,2,2,2,2,2,2,2,2,5,5,1,4,4,4,4,4,4,4, ,1,3,3, ,5.03536987304688,,
40,MW12000_112D,FR,1,8,H1g4m4,2,2,8, ,2,2,3,2,2,2,2,2,2,2,1,2,5,1,4,4,4,4,4,4,4,5, ,2,2,1, ,4.75154638290405,,
41,MW12000_112D,FR,5, ,J4J2P8,1,6,1, ,1,1,3,2,2,2,2,2,1,1,1,2,8,8,8,2,2,2,2,3,3,4, ,2,4,3, ,.425261616706848,,
42,MW12000_112D,FR,7, ,G8A1E9,2,5,1, ,1,2,3,2,3,3,3,3,3,3,3,3,7,8,6,2,2,2,3,3,3,4, ,2,2,5, ,.34767347574234,,
43,MW12000_112D,FR,1,15,h1r1g5,1,3,2, ,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,3,3,3,3,3,3,4, ,1,2,1, ,3.58250665664673,,
44,MW12000_112D,FR,9, ,G9B1J9,1,3,1, ,1,2,2,2,2,2,1,2,2,1,1,2,10,5,9,2,2,2,2,2,8,4, ,1,3,1, ,.215202271938324,,
45,MW12000_112D,FR,7, ,G7x5x6,2,1,1, ,1,2,1,1,2,2,2,2,2,2,2,2,5,5,6,2,2,3,2,4,4,1, ,2,2,1, ,.253914773464203,,
48,MW12000_112D,FR,8, ,G6w7m3,1,6,1, ,1,3,3,2,2,3,3,3,3,2,2,3,7,5,6,2,2,2,3,2,3,1, ,2,4,3, ,.302330136299133,,
49,MW12000_112D,FR,7, ,g7b0b7,1,1,1, ,1,2,2,1,2,2,2,1,1,3,1,2,10,10,98,1,1,1,1,1,8,4, ,1,4,4, ,.60523647069931,,
50,MW12000_112D,FR,5, ,J4G2L5,1,1,1, ,1,3,4,3,3,3,3,4,3,3,2,4,7,1,7,2,2,2,2,2,4,2, ,1,4,4, ,.582456529140472,,
51,MW12000_112D,FR,5, ,99,2,1,1, ,1,2,2,3,3,2,3,2,3,2,2,2,6,9,9,2,1,2,2,1,1,1, ,2,3,2, ,.815439224243164,,
52,MW12000_112D,FR,7, ,G7G2C1,2,1,1, ,1,2,2,2,2,2,2,2,2,2,2,2,8,5,2,3,2,2,3,8,1,4, ,1,3,4, ,.253914773464203,,
53,MW12000_112D,FR,8, ,G6z3m5,2,1,1, ,1,2,2,2,2,2,2,3,2,2,2,2,5,5,3,2,3,2,2,3,3,4, ,1,4,4, ,.272741228342056,,
54,MW12000_112D,FR,6, ,j1e2y9,1,6,1, ,1,2,2,2,2,2,2,2,2,1,1,2,9,3,9,2,2,4,2,3,3,1, ,1,4,3, ,.235627964138985,,
55,MW12000_112D,FR,7, ,g7h6l5,1,5,1, ,1,2,3,2,2,2,2,3,3,2,2,2,8,8,8,3,2,3,2,3,3,4, ,2,3,1, ,.419397115707397,,
56,MW12000_112D,FR,5, ,J4G1H9,2,2,1, ,1,2,2,2,2,1,1,2,2,1,2,2,10,98,10,1,1,1,1,1,4,2, ,1,4,1, ,.921400189399719,,
57,MW12000_112D,FR,5, ,J4k3w4,1,4,1, ,1,2,3,2,3,3,3,3,3,3,2,3,2,2,2,3,2,3,3,4,3,4, ,2,3,1, ,.987214386463165,,
58,MW12000_112D,FR,6, ,j1h2b5,1,2,1, ,1,4,3,2,4,2,3,3,2,3,3,3,3,8,4,2,4,2,3,8,4,4, ,2,4,4, ,.500995397567749,,
59,MW12000_112D,FR,4, ,j8p2c2,1,3,1, ,1,2,3,2,2,2,2,3,2,3,3,2,8,10,8,8,8,8,8,8,8,2, ,1,2,7,proprietaire d une entreprise,.602959096431732,,
60,MW12000_112D,FR,6, ,J1N3T5,2,1,1, ,1,2,2,3,3,2,3,2,2,2,2,2,7,6,5,1,1,2,2,2,3,2, ,1,4,4, ,.382609486579895,,
61,MW12000_112D,FR,8, ,G6W7Y8,2,1,1, ,1,2,2,3,2,2,2,2,2,2,2,1,8,6,9,1,1,1,1,1,3,4, ,1,3,4, ,.272741228342056,,
62,MW12000_112D,FR,5, ,J3y6j7,2,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,8,4,10,1,1,1,1,1,1,1, ,1,3,1, ,.815439224243164,,
63,MW12000_112D,FR,9, ,G9A5Y1,1,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,9,7,8,2,2,4,2,2,4,4, ,2,3,3, ,.43664225935936,,
64,MW12000_112D,EN,1,11,H2T2E5,1,4,2, ,2,2,3,2,2,2,2,2,2,2,2,2,8,8,9,3,3,3,3,8,8,4, ,2,2,2, ,1.87238240242004,,
65,MW12000_112D,FR,1,11,H2J3N8,2,1,1, ,1,2,3,4,2,2,2,2,2,2,2,2,7,3,7,2,3,1,1,2,4,2, ,1,3,4, ,.618917107582092,,
66,MW12000_112D,FR,6, ,j1h6g6,1,6,1, ,1,1,2,1,1,1,2,2,2,1,1,1,10,6,10,2,8,8,1,8,8,1, ,1,1,3, ,.235627964138985,,
67,MW12000_112D,FR,9, ,G8y2h7,1,1,1, ,1,3,2,1,2,2,2,2,2,3,3,2,10,10,10,2,2,2,1,3,4,5, ,2,3,4, ,.561397254467011,,
68,MW12000_112D,FR,2, ,G2B1N3,2,5,1, ,1,4,2,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,7,divorcé sans enfant de - de 18ans,2,3,2, ,1.82636094093323,,
69,MW12000_112D,EN,1,10,H9h2e2,2,4,2, ,2,3,2,4,2,3,3,4,3,4,3,3,8,5,8,8,3,8,3,3,4,1, ,1,4,2, ,1.25639116764069,,
70,MW12000_112D,FR,1,5,H8R2N9,2,6,1, ,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,9,4, ,1,4,3, ,1.31018269062042,,
71,MW12000_112D,FR,4, ,J9H7K3,2,3,2, ,2,3,3,2,2,2,2,2,2,2,1,2,8,8,10,2,2,9,2,2,9,1, ,1,4,1, ,.633559107780457,,
72,MW12000_112D,FR,7, ,G7X8H8,2,1,1, ,1,2,3,3,2,3,3,3,3,2,2,2,6,6,6,2,2,2,2,2,2,1, ,1,2,1, ,.253914773464203,,
73,MW12000_112D,FR,8, ,g6w5n6,1,6,2, ,2,1,1,2,2,2,2,2,2,1,1,1,10,8,10,1,1,1,1,1,1,1, ,1,4,3, ,.302330136299133,,
74,MW12000_112D,FR,3, ,H7M5W2,1,4,1, ,1,1,2,2,2,1,2,2,2,1,1,2,8,5,9,2,2,3,2,4,3,1, ,1,4,3, ,.784232974052429,,
75,MW12000_112D,FR,7, ,G7B1K7,2,1,1, ,1,3,2,2,3,3,3,3,2,1,2,2,7,1,5,1,3,2,1,3,4,4, ,2,3,4, ,.253914773464203,,
76,MW12000_112D,FR,8, ,G6Z2L2,2,4,1, ,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,3,2,1,2,4,1, ,1,2,5, ,.424308836460114,,
77,MW12000_112D,FR,6, ,99,2,1,1, ,1,1,2,1,2,2,2,2,2,2,2,1,98,98,98,8,8,8,8,8,8,7,étudiant en résidence,2,3,4, ,.382609486579895,,
78,MW12000_112D,FR,9, ,g9a3m6,1,5,1, ,1,2,3,2,2,2,2,2,3,2,2,3,9,5,9,2,2,2,2,2,2,1, ,2,2,3, ,.394760280847549,,
80,MW12000_112D,FR,2, ,G3J1W8,2,6,1, ,1,2,2,2,2,2,2,2,2,1,2,2,1,5,7,4,4,4,4,4,4,7,veuve,1,3,2, ,1.8624552488327,,
81,MW12000_112D,FR,2, ,G2g1k1,2,2,1, ,1,2,2,4,2,2,2,3,2,2,2,2,8,1,8,1,1,2,1,2,2,2, ,1,2,1, ,1.88308048248291,,
82,MW12000_112D,FR,8, ,G6V3K8,2,5,1, ,1,2,4,4,2,2,3,3,2,2,2,3,7,1,6,2,2,2,2,2,2,1, ,1,3,2, ,.546345055103302,,
83,MW12000_112D,FR,4, ,J8T2G5,1,2,1, ,1,3,1,2,4,1,2,3,3,1,2,1,10,9,5,1,2,3,2,2,4,4, ,2,2,6, ,1.69064998626709,,
84,MW12000_112D,FR,4, ,J8T1G3,1,5,1, ,1,2,4,3,3,3,3,3,3,3,2,3,7,8,7,2,2,4,3,3,4,1, ,1,4,3, ,.527850091457367,,
85,MW12000_112D,FR,2, ,G1L4n4,2,6,1, ,1,3,4,4,2,2,3,2,2,1,2,2,10,10,10,3,3,3,3,9,4,7,veuve,2,3,3, ,1.8624552488327,,
86,MW12000_112D,FR,4, ,J8L1J1,1,4,1, ,1,3,4,4,4,4,4,4,4,4,3,4,10,1,10,4,3,4,4,4,4,3, ,1,4,1, ,.652162432670593,,
87,MW12000_112D,FR,4, ,J8R0G6,1,5,1, ,1,2,4,3,4,1,4,4,4,4,3,3,6,6,10,4,4,4,4,4,4,4, ,1,2,3, ,.527850091457367,,
88,MW12000_112D,FR,3, ,H7G2A9,1,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,8,7,7,2,2,2,2,2,4,1, ,1,2,3, ,.8204625248909,,
89,MW12000_112D,FR,9, ,g8z3z3,1,5,1, ,1,3,4,3,2,2,2,2,2,2,2,2,10,9,10,2,2,1,2,1,1,2, ,1,2,1, ,.394760280847549,,
90,MW12000_112D,FR,9, ,G8V1L3,1,6,1, ,1,2,2,2,2,2,3,3,3,2,2,2,10,1,6,1,1,1,1,1,1,1, ,1,3,3, ,.43664225935936,,
91,MW12000_112D,FR,5, ,j4k4m2,2,6,1, ,1,3,4,3,2,3,2,3,2,2,2,2,6,7,7,3,3,3,3,3,3,1, ,2,3,3, ,.497556060552597,,
92,MW12000_112D,FR,3, ,H7LY8,1,5,1, ,1,2,2,3,2,2,2,2,2,2,2,2,9,10,10,2,2,2,2,2,2,1, ,1,3,3, ,.594921886920929,,
93,MW12000_112D,FR,1,9,H2V3H4,2,4,1, ,1,1,3,2,2,2,2,3,2,2,2,2,8,5,8,1,1,2,2,2,2,2, ,1,4,5, ,1.59481906890869,,
94,MW12000_112D,FR,4, ,J8P0H8,1,6,1, ,1,3,3,3,3,3,3,3,3,3,3,3,98,1,1,3,3,3,3,3,3,1, ,2,1,3, ,.320790022611618,,
95,MW12000_112D,FR,7, ,g7h5y3,2,5,1, ,1,3,3,2,2,2,2,2,2,2,2,2,4,5,4,2,2,2,2,2,2,7,séparée,2,3,2, ,.34767347574234,,
96,MW12000_112D,FR,2, ,G2A2R6,2,5,1, ,1,2,2,2,2,2,1,2,1,1,1,1,5,5,8,2,2,2,2,2,2,1, ,1,2,5, ,1.82636094093323,,
97,MW12000_112D,EN,1,3,H3W3A7,1,2,1, ,1,4,4,3,3,4,3,4,4,3,4,3,7,9,7,2,3,2,2,3,2,1, ,1,4,1, ,1.48115825653076,,
98,MW12000_112D,FR,4, ,J8L0J9,2,3,1, ,1,2,3,2,1,2,2,1,2,1,1,1,7,1,10,1,1,1,1,2,3,2, ,1,3,2, ,.633559107780457,,
99,MW12000_112D,FR,5, ,j4k3s9,2,4,1, ,1,2,2,2,2,2,2,2,2,3,1,2,10,10,10,2,2,2,2,2,9,4, ,2,3,3, ,.907003283500671,,
100,MW12000_112D,FR,3, ,h7n5j4,2,6,1, ,1,2,3,4,2,2,2,2,2,2,2,2,5,1,5,2,2,3,2,2,4,1, ,2,4,3, ,1.03825962543488,,
102,MW12000_112D,EN,5, ,J3z1b8,2,3,2, ,2,2,2,4,4,3,3,4,3,3,3,3,4,2,2,3,3,4,4,4,4,2, ,1,3,1, ,.770027279853821,,
103,MW12000_112D,FR,5, ,J4h2w8,2,6,1, ,1,2,2,2,1,1,2,2,1,1,1,2,9,9,9,2,2,4,2,4,4,7,Retraites,1,3,3, ,.497556060552597,,
104,MW12000_112D,FR,8, ,G6x1r6,1,3,1, ,1,1,2,2,2,2,2,2,2,2,2,2,7,5,9,8,8,8,8,8,8,2, ,1,4,1, ,.333730548620224,,
105,MW12000_112D,FR,6, ,J1k1n7,1,6,1, ,1,2,3,2,2,2,2,1,2,1,1,2,98,1,1,4,4,4,4,4,4,1, ,1,2,3, ,.235627964138985,,
106,MW12000_112D,FR,3, ,h7p3m2,2,2,1, ,1,3,4,2,3,2,3,2,2,2,2,2,7,10,7,2,2,2,3,3,4,7,habite chez parents,1,4,2, ,.74479866027832,,
107,MW12000_112D,EN,1,18,H3z2e9,2,4,2, ,2,1,3,2,3,2,2,3,1,3,2,2,2,8,10,2,3,2,1,4,4,2, ,1,4,5, ,1.74721968173981,,
108,MW12000_112D,FR,9, ,G9A3N2,2,5,1, ,1,1,1,1,1,1,1,2,2,1,1,2,8,98,9,1,1,1,1,1,1,4, ,2,2,4, ,.344858318567276,,
109,MW12000_112D,FR,7, ,G7X8A7,1,6,1, ,1,2,3,2,2,2,3,3,3,2,2,2,10,2,8,1,1,3,1,3,3,1, ,1,4,3, ,.399696797132492,,
110,MW12000_112D,FR,5, ,j4v1y9,1,3,1, ,1,2,2,2,2,2,2,2,2,2,2,2,7,5,6,2,2,2,2,2,4,2, ,2,4,1, ,.591231763362885,,
111,MW12000_112D,FR,9, ,99,2,3,1, ,1,3,4,3,4,4,4,4,4,4,4,4,5,6,4,4,3,4,4,3,4,4, ,2,3,1, ,.518891394138336,,
112,MW12000_112D,FR,7, ,99,1,2,1, ,1,2,3,2,2,3,3,3,2,2,2,2,98,6,6,2,2,2,2,2,2,4, ,2,2,99, ,.337093740701675,,
113,MW12000_112D,FR,2, ,G1h2g5,2,6,1, ,1,2,2,4,2,2,2,2,2,2,2,2,98,2,7,9,8,8,8,8,4,4, ,1,3,3, ,1.8624552488327,,
114,MW12000_112D,FR,1,12,H1E3H7,1,6,1, ,1,2,1,1,1,1,1,1,1,3,1,1,10,5,10,1,1,1,1,1,8,1, ,1,4,3, ,1.9181193113327,,
115,MW12000_112D,FR,9, ,G8T1N3,2,4,1, ,1,2,3,1,2,2,2,2,2,2,2,2,10,10,5,2,1,3,4,2,4,1, ,1,4,1, ,.308151513338089,,
116,MW12000_112D,FR,8, ,G6Z3N6,1,3,1, ,1,2,3,3,2,3,3,2,3,1,2,2,6,6,1,2,2,2,2,2,4,2, ,1,3,1, ,.333730548620224,,
117,MW12000_112D,FR,8, ,G6K1C2,1,6,1, ,1,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,3,1,4,4,1, ,1,4,3, ,.302330136299133,,
118,MW12000_112D,FR,9, ,g8t6a5,2,3,1, ,1,3,3,1,3,3,2,3,3,2,2,3,9,5,10,1,1,1,1,2,3,2, ,1,4,1, ,.518891394138336,,
119,MW12000_112D,FR,1,11,H2T2M8,2,2,1, ,1,4,4,4,3,3,4,4,3,2,2,3,8,98,8,1,1,1,1,1,1,1, ,2,4,1, ,1.35177159309387,,
120,MW12000_112D,FR,6, ,J1J1H5,1,6,1, ,1,1,2,2,2,2,2,1,2,1,1,2,10,4,3,1,1,1,1,1,8,1, ,1,4,3, ,.235627964138985,,
121,MW12000_112D,FR,9, ,g8w1g6,1,5,1, ,1,1,2,2,2,2,2,2,2,2,2,2,9,8,9,2,2,2,2,2,2,1, ,1,2,1, ,.394760280847549,,
122,MW12000_112D,FR,1,1,H3L3G2,1,2,1, ,1,2,3,4,3,3,2,3,3,2,2,3,7,8,6,2,2,2,2,2,3,4, ,1,4,4, ,1.71772372722626,,
123,MW12000_112D,FR,1,7,h1w2s2,1,2,1, ,1,3,3,3,2,2,2,2,1,3,2,3,8,7,7,2,3,2,1,3,2,1, ,2,4,1, ,1.08540105819702,,
124,MW12000_112D,FR,5, ,J4N1T1,1,6,1, ,1,1,1,1,1,1,1,1,1,1,1,1,10,8,10,1,1,4,1,3,4,1, ,1,4,3, ,.425261616706848,,
125,MW12000_112D,FR,5, ,j4j3a8,1,4,1, ,1,2,2,4,2,2,2,2,1,1,1,1,8,1,8,1,1,1,1,1,1,5, ,2,3,1, ,.987214386463165,,
126,MW12000_112D,FR,2, ,G1P4B1,1,1,1, ,1,3,3,4,4,3,4,4,3,2,3,3,6,8,10,1,1,1,1,1,1,4, ,2,2,1, ,2.22339630126953,,
127,MW12000_112D,FR,5, ,J3Z1G9,2,2,1, ,1,2,2,2,2,2,2,2,2,2,2,2,1,1,10,8,8,8,8,8,8,1, ,1,4,1, ,.921400189399719,,
128,MW12000_112D,FR,1,17,H4H2A2,2,6,1, ,1,3,4,3,3,3,2,4,3,3,2,3,7,99,7,2,2,2,3,3,3,1, ,1,4,3, ,1.74371886253357,,
130,MW12000_112D,FR,6, ,J1n3y4,1,4,1, ,1,2,3,2,3,3,2,3,2,3,2,2,9,1,1,2,2,2,2,2,2,2, ,1,4,1, ,.502139210700989,,
131,MW12000_112D,FR,9, ,G8T3S2,1,3,1, ,1,2,2,1,2,2,1,2,1,1,1,2,10,10,10,2,3,3,3,3,4,2, ,2,3,6, ,.215202271938324,,
132,MW12000_112D,FR,2, ,G1N3J9,1,1,1, ,1,4,3,3,3,2,2,2,2,2,1,2,8,8,10,2,2,1,1,2,3,1, ,2,3,1, ,2.22339630126953,,
133,MW12000_112D,FR,5, ,J4T1P9,2,4,1, ,1,2,2,2,2,1,1,1,2,1,1,1,5,3,8,2,2,2,2,8,2,5, ,2,2,6, ,.907003283500671,,
134,MW12000_112D,EN,4, ,J9J0B7,1,4,2, ,2,3,2,2,2,2,2,2,2,1,1,2,1,10,10,2,1,2,2,2,2,2, ,1,3,1, ,.652162432670593,,
135,MW12000_112D,FR,2, ,G1P4K3,2,5,1, ,1,1,1,2,1,1,1,2,1,1,1,1,98,1,10,2,2,2,2,4,4,4, ,2,2,2, ,1.82636094093323,,
136,MW12000_112D,FR,5, ,j4n1s2,1,6,1, ,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,3,3,3,4, ,1,4,3, ,.425261616706848,,
137,MW12000_112D,FR,5, ,J3Y4Y8,2,4,1, ,1,3,3,3,3,3,3,3,3,2,2,3,7,1,6,2,2,3,2,2,3,1, ,1,4,2, ,.907003283500671,,
138,MW12000_112D,FR,7, ,G8A2C2,2,4,1, ,1,3,3,2,3,2,2,2,2,2,2,2,8,8,10,2,2,2,2,2,3,4, ,2,3,1, ,.662930071353912,,
139,MW12000_112D,FR,6, ,J1e1k4,1,3,1, ,1,2,2,2,3,2,3,3,3,2,2,2,8,1,5,2,2,2,2,2,2,2, ,2,2,1, ,.475177586078644,,
140,MW12000_112D,FR,3, ,h7t1v4,2,3,1, ,1,2,3,3,2,2,2,2,2,2,2,2,7,3,7,1,1,1,1,2,2,1, ,1,3,1, ,1.40095984935761,,
141,MW12000_112D,FR,1,1,99,2,1,1, ,1,2,3,2,3,2,2,3,2,1,1,2,10,10,10,1,1,3,1,2,3,5, ,2,3,4, ,1.24673020839691,,
142,MW12000_112D,FR,3, ,H7N6E6,2,1,1, ,1,1,1,1,1,1,1,2,1,1,1,1,10,98,1,1,1,2,1,3,4,1, ,2,3,4, ,.515024483203888,,
143,MW12000_112D,EN,5, ,j4r1r6,2,6,2, ,2,3,2,1,3,3,3,3,3,3,3,2,3,3,1,4,4,4,4,4,4,4, ,2,3,3, ,.497556060552597,,
144,MW12000_112D,FR,4, ,J8v2p3,1,4,1, ,1,2,2,3,3,3,4,3,3,4,4,3,3,98,3,4,8,8,2,8,4,1, ,1,3,1, ,.652162432670593,,
145,MW12000_112D,FR,6, ,99,2,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,4,4,4,4,4,4, ,1,2,3, ,.682291626930237,,
146,MW12000_112D,EN,1,14,H4M2Y7,1,1,2, ,2,2,2,3,2,3,2,3,3,2,2,3,8,7,7,3,2,3,2,3,4,2, ,1,3,4, ,3.41114783287048,,
147,MW12000_112D,FR,6, ,J1h2k6,1,3,1, ,1,2,2,2,2,2,2,2,2,1,1,2,9,1,7,2,2,2,2,2,2,2, ,1,3,1, ,.475177586078644,,
148,MW12000_112D,FR,6, ,J1J2Y2,1,6,7, ,2,2,3,2,3,2,2,2,2,2,3,2,8,8,8,2,2,4,2,3,4,1, ,1,4,1, ,.235627964138985,,
149,MW12000_112D,FR,1,8,H1H4G1,2,3,1, ,1,3,2,2,2,2,3,3,2,2,2,2,6,8,6,3,3,3,3,2,2,2, ,2,2,1, ,2.46364045143127,,
150,MW12000_112D,EN,1,17,H4G2N2,1,2,2, ,2,2,2,2,2,2,2,3,2,1,1,2,7,7,1,2,1,3,3,1,4,5, ,2,4,4, ,4.5163426399231,,
151,MW12000_112D,FR,1,13,H1x2b5,2,2,1, ,1,2,3,3,2,2,2,2,2,2,1,2,4,4,5,1,1,2,2,2,2,1, ,2,4,1, ,2.128830909729,,
152,MW12000_112D,FR,8, ,G6z0b1,1,1,1, ,1,1,2,3,1,1,1,2,1,1,2,2,3,2,3,2,4,4,2,3,4,4, ,1,2,4, ,.731335639953613,,
153,MW12000_112D,FR,3, ,H7G3S1,2,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,3,3,3,3,3,3,7,Divorcée,2,4,3, ,1.03825962543488,,
154,MW12000_112D,FR,1,10,h8y2t6,2,5,1, ,1,4,4,4,4,4,4,4,4,4,3,4,1,1,1,4,4,4,4,4,4,1, ,1,2,5, ,.923748075962067,,
155,MW12000_112D,FR,7, ,g7g1s7,2,5,1, ,1,2,3,3,3,3,3,3,3,2,3,2,10,5,10,1,1,8,1,8,8,1, ,1,4,3, ,.34767347574234,,
156,MW12000_112D,FR,2, ,G1n2m5,1,5,1, ,1,1,1,2,2,2,2,3,2,1,2,2,1,1,1,4,3,3,4,3,3,4, ,1,4,7,Travailleur autonome,1.44697201251984,,
157,MW12000_112D,FR,1,1,h3l2v3,1,4,1, ,1,3,3,2,3,3,3,3,3,3,3,3,9,9,9,4,2,4,2,4,4,1, ,1,3,2, ,1.33944952487946,,
158,MW12000_112D,FR,9, ,G8w1a3,1,5,1, ,1,2,2,1,1,1,1,1,1,1,1,1,10,2,10,1,1,3,1,4,3,1, ,1,4,3, ,.394760280847549,,
159,MW12000_112D,FR,6, ,j1n2n4,2,5,1, ,1,2,3,2,2,2,2,3,2,2,2,2,9,8,10,2,2,3,2,3,3,4, ,1,2,1, ,.569298148155212,,
160,MW12000_112D,FR,9, ,g8t0b8,1,3,1, ,1,2,2,3,2,2,2,2,2,2,2,2,4,4,8,2,2,3,2,4,4,3, ,2,4,1, ,.215202271938324,,
161,MW12000_112D,FR,1,12,H1e5a3,2,5,1, ,1,1,1,1,1,1,1,1,1,1,1,1,10,10,98,2,2,2,2,2,2,4, ,1,2,3, ,2.44071125984192,,
162,MW12000_112D,FR,1,14,H4R0l2,2,6,1, ,1,1,3,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,4, ,2,2,3, ,1.4919935464859,,
163,MW12000_112D,FR,1,11,H2X2H7,2,5,1, ,1,4,4,4,4,3,3,4,3,3,2,4,10,10,98,2,2,2,2,2,2,7,Grand-mère avec enfants adultes et petit-enfant,2,3,1, ,1.31001448631287,,
164,MW12000_112D,FR,6, ,J1n3b3,1,3,1, ,1,2,3,3,2,3,2,4,3,4,3,4,1,1,1,4,8,8,8,8,2,3, ,1,4,1, ,.475177586078644,,
165,MW12000_112D,FR,1,14,99,1,2,1, ,1,2,2,2,2,2,2,2,2,2,2,2,98,98,98,8,8,8,8,8,8,4, ,2,99,99, ,1.37236189842224,,
166,MW12000_112D,FR,6, ,J1J4G3,2,5,1, ,1,2,2,2,2,2,2,3,2,2,2,2,9,6,9,1,1,1,1,1,1,4, ,1,3,3, ,.569298148155212,,
167,MW12000_112D,FR,1,5,99,2,4,1, ,1,3,2,2,2,2,2,3,2,2,2,2,1,1,8,2,3,3,2,4,4,4, ,2,4,1, ,1.34067940711975,,
168,MW12000_112D,FR,1,7,H1W3G7,2,6,1, ,1,2,2,2,3,2,2,2,2,3,2,2,4,4,4,8,8,8,8,8,8,4, ,2,3,3, ,1.18001484870911,,
170,MW12000_112D,FR,6, ,J1C0G9,2,3,1, ,1,2,2,2,1,1,1,1,1,1,1,1,10,6,9,2,4,4,3,4,4,3, ,2,2,1, ,.477792084217072,,
171,MW12000_112D,FR,5, ,J4L1S7,1,5,1, ,1,3,3,3,3,2,3,3,3,3,2,3,10,6,10,2,2,3,2,3,4,1, ,1,4,3, ,.559750616550446,,
172,MW12000_112D,FR,1,3,H4V2R4,1,2,1, ,1,2,2,2,2,2,2,2,2,2,2,2,6,5,5,2,2,2,2,2,2,4, ,1,3,4, ,1.48115825653076,,
173,MW12000_112D,FR,4, ,J9J0X9,2,2,1, ,1,4,3,3,3,3,4,3,3,2,2,3,1,1,4,1,1,1,1,1,3,1, ,2,4,1, ,.781999945640564,,
174,MW12000_112D,FR,2, ,G1P3Z1,1,5,1, ,1,1,1,1,1,4,1,1,1,1,1,1,10,1,10,2,2,2,2,2,2,7,Veuf,1,4,3, ,1.44697201251984,,
