ï»¿OBJECTID,NBRE_SORTIE,MODELE,PROP,ID_POT_INC,PRISE_SORZ,ANNEE_INSTALL,MUNICIPALITE
21509,3 sorties,MCAVITY-M67B,VILLE,13P1016,2,2010,37067
17527,2 sorties,CANRON-CT,VILLE,13P0380,2,1984,37067
17690,2 sorties,CANRON-CT,VILLE,13P0638,2,1920,37067
17859,2 sorties,LUDLOW,VILLE,43P3096,2,1950,37067
18022,2 sorties,MCAVITY,VILLE,43P2020,2,1950,37067
18120,2 sorties,CONCORD D67M PREMIER,VILLE,43P4026,2,1950,37067
18191,2 sorties,CANRON,VILLE,37P0308,2,1969,37067
21772,2 sorties,CANRON-CT,VILLE,43P5216,2,1950,37067
22436,3 sorties,CONCORD D67M PREMIER,VILLE,12P1086,1,2013,37067
47334,3 sorties,,VILLE,26P0543,1,2018,37067
66143,3 sorties,,VILLE,43P5335,1,2022,37067
19780,2 sorties,CONCORD-D67M,VILLE,11P0244,2,1950,37067
20112,2 sorties,CANRON-CT,VILLE,61P0235,2,1974,37067
20444,2 sorties,LUDLOW,VILLE,12P0678,2,1960,37067
20776,2 sorties,CANRON-CT,VILLE,42P3102,2,1980,37067
21108,2 sorties,DAIGLE-D67M,VILLE,42P2092,2,1995,37067
21440,3 sorties,CONCORD D67M PREMIER,VILLE,13P0730,2,1920,37067
18452,3 sorties,CONCORD D67M PREMIER,VILLE,43P5118,2,2002,37067
18523,2 sorties,DAIGLE-D67M,VILLE,11P0156,2,1986,37067
18784,2 sorties,MCAVITY-M67,VILLE,24P1224,1,1988,37067
18855,2 sorties,DAIGLE-D67M,VILLE,37P0058,2,1990,37067
19116,2 sorties,MCAVITY-M67,VILLE,61P0057,2,1992,37067
19448,2 sorties,CANRON-CT,VILLE,23P2338,2,1986,37067
17504,3 sorties,MCAVITY-BRIGADIERM67,VILLE,26P0398,2,2007,37067
17836,2 sorties,MCAVITY-M67,VILLE,26P0156,2,1989,37067
18045,2 sorties,CANRON-CT,VILLE,13P0250,2,1940,37067
18168,2 sorties,CONCORD D67M PREMIER,VILLE,43P5010,2,1950,37067
18377,3 sorties,MUELLER,VILLE,43P2152,1,2019,37067
18709,2 sorties,CANRON-CT,VILLE,24P1175,2,1985,37067
21131,2 sorties,DAIGLE-D67M,VILLE,42P2054,2,1995,37067
21463,2 sorties,CANRON-CT,VILLE,43P5066,2,1950,37067
21795,3 sorties,CONCORD D67M PREMIER,VILLE,11P1014,2,2011,37067
50136,3 sorties,,VILLE,37P0674,1,2019,37067
18807,2 sorties,CONCORD D67M PREMIER,VILLE,11P0046,2,2001,37067
19139,3 sorties,CONCORD-D67M,VILLE,23P2036,1,2015,37067
19803,2 sorties,CONCORD D67M PREMIER,VILLE,12P0416,2,1960,37067
20135,2 sorties,CANRON-CT,VILLE,61P0128,2,1980,37067
20467,2 sorties,LUDLOW,VILLE,12P0840,2,1950,37067
20799,2 sorties,DAIGLE-D67M,VILLE,42P3028,2,1990,37067
17742,2 sorties,MCAVITY-M67,VILLE,26P0290,2,1993,37067
18068,2 sorties,LUDLOW,VILLE,13P0100,2,1960,37067
18406,2 sorties,CANRON-CT,VILLE,43P3058,2,1970,37067
18732,2 sorties,CANRON-CT,VILLE,23P2076,2,1987,37067
18993,3 sorties,AVK 27-80 2018,VILLE,24P1262,1,2018,37067
19070,2 sorties,MCAVITY-M67,VILLE,24P1460,2,1966,37067
56943,3 sorties,,VILLE,11P1123,1,2021,37067
20991,2 sorties,CANRON,VILLE,42P4018,2,1970,37067
21062,2 sorties,CONCORD D67M PREMIER,VILLE,42P5080,2,1970,37067
21649,3 sorties,CONCORD D67M PREMIER,VILLE,15P0062,2,2010,37067
21655,3 sorties,CONCORD D67M PREMIER,VILLE,15P0074,2,2010,37067
23641,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,25P1202,1,2011,37067
32060,3 sorties,CONCORD D67M PREMIER,VILLE,26P0464,1,2014,37067
19396,2 sorties,MCAVITY-M67,VILLE,24P1182,2,1988,37067
19657,3 sorties,MUELLER,VILLE,37P0492,2,2005,37067
19734,2 sorties,CANRON-C61A,VILLE,12P0410,2,1960,37067
20321,2 sorties,MCAVITY-M59M,VILLE,54P4040,2,1964,37067
20398,2 sorties,CONCORD D67M PREMIER,VILLE,11P0656,2,1960,37067
20985,3 sorties,MUELLER,VILLE,42P9105,2,2005,37067
17642,2 sorties,CONCORD-D67M,VILLE,13P0680,2,1920,37067
17765,2 sorties,LUDLOW,VILLE,26P0246,2,1966,37067
18091,2 sorties,LUDLOW,VILLE,13P0160,2,1950,37067
18306,2 sorties,CANRON-CT,VILLE,24P1100,2,1976,37067
18429,2 sorties,CANRON-CT,VILLE,43P4042,2,1980,37067
18755,2 sorties,CANRON-CT,VILLE,23P2276,2,1976,37067
21632,3 sorties,CONCORD D67M PREMIER,VILLE,25P1162,2,2010,37067
21749,3 sorties,CONCORD D67M PREMIER,VILLE,42P5278,2,2009,37067
30454,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,11P1056,1,2014,37067
32083,3 sorties,MUELLER,VILLE,26P0495,1,2015,37067
50938,3 sorties,,VILLE,11P1103,1,2019,37067
65742,3 sorties,,VILLE,12P1136,1,2023,37067
20083,3 sorties,MCAVITY-BRIGADIERM67,VILLE,37P0462,2,2004,37067
20304,2 sorties,CANRON-C61A,VILLE,54P6054,2,1968,37067
20962,3 sorties,CONCORD D67M PREMIER,VILLE,42P2166,2,1998,37067
20968,2 sorties,CONCORD D67M PREMIER,VILLE,12P0738,2,1950,37067
21085,3 sorties,CONCORD D67M PREMIER,VILLE,42P2130,2,2005,37067
21626,3 sorties,MCAVITY-M67B,VILLE,11P0972,2,2010,37067
18970,2 sorties,DAIGLE-D67M,VILLE,24P1030,2,1989,37067
19093,2 sorties,CANRON-CT,VILLE,23P2272,2,1981,37067
19419,2 sorties,CONCORD-D67M,VILLE,11P0680,2,1992,37067
19634,2 sorties,CANRON-CT,VILLE,12P0328,2,1970,37067
19640,2 sorties,CANRON,VILLE,37P0326,2,1968,37067
19757,3 sorties,MUELLER,VILLE,11P0316,2,2024,37067
17619,2 sorties,CANRON-CT,VILLE,43P1138,2,1950,37067
17696,3 sorties,AVK 2017,VILLE,13P0630,1,2018,37067
18114,3 sorties,MCAVITY-M67,VILLE,26P0256,2,1994,37067
18283,2 sorties,DAIGLE-D67M,VILLE,43P2116,2,1950,37067
18360,2 sorties,MCAVITY-M67,VILLE,54P2030,2,1964,37067
18778,2 sorties,MCAVITY-M67,VILLE,24P1034,2,1988,37067
20275,3 sorties,AUTRE,VILLE,54P7104,2,2003,37067
20770,2 sorties,CANRON-CT,VILLE,26P0190,2,1988,37067
20939,2 sorties,LUDLOW,VILLE,42P4130,2,1950,37067
21532,3 sorties,MCAVITY,VILLE,26P0094,2,1998,37067
28439,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,12P1095,2,2013,37067
18947,3 sorties,CANRON-CT,VILLE,23P2138,2,1986,37067
19024,2 sorties,CANRON-CT,VILLE,11P0442,2,1985,37067
19442,3 sorties,MCAVITY-M67,VILLE,23P2260,2,1992,37067
19611,2 sorties,DAIGLE-D67M,VILLE,37P0442,2,1977,37067
19688,2 sorties,CANRON-CT,VILLE,54P3024,2,1975,37067
20106,2 sorties,SENTINEL,VILLE,61P0225,2,1995,37067
17473,3 sorties,MCAVITY-M67B,VILLE,11P0856,2,2007,37067
17596,3 sorties,CONCORD D67M PREMIER,VILLE,42P9005,2,2006,37067
17719,2 sorties,DAIGLE-D67M,VILLE,43P2012,2,1950,37067
18137,2 sorties,DAIGLE-D67M,VILLE,43P5132,2,1950,37067
18260,2 sorties,DAIGLE-D67M,VILLE,43P2072,2,1950,37067
18383,2 sorties,CANRON,VILLE,43P2132,2,1950,37067
21678,3 sorties,MCAVITY-M67B,VILLE,54P0036,2,2010,37067
47720,3 sorties,MUELLER,VILLE,26P0551,1,2018,37067
20129,2 sorties,CANRON-CT,VILLE,61P0180,2,1974,37067
20252,2 sorties,LUDLOW,VILLE,12P0502,2,1960,37067
20375,2 sorties,DAIGLE-D67M,VILLE,13P0592,2,1960,37067
20793,2 sorties,DAIGLE-D67M,VILLE,42P3064,2,1990,37067
20916,2 sorties,CANRON-CT,VILLE,42P3174,2,1980,37067
21457,3 sorties,MUELLER,VILLE,43P9046,1,2022,37067
18801,2 sorties,LUDLOW,VILLE,13P0522,1,2013,37067
18924,2 sorties,CONCORD-D67M,VILLE,11P0412,2,1984,37067
19047,2 sorties,CANRON-CT,VILLE,11P0728,2,1970,37067
19465,2 sorties,CANRON,VILLE,13P0760,2,1920,37067
19588,2 sorties,LUDLOW,VILLE,11P0296,2,1960,37067
19711,2 sorties,CANRON-C61A,VILLE,12P0230,2,1970,37067
17496,3 sorties,MCAVITY-M67B,VILLE,15P0022,2,2008,37067
17579,2 sorties,CANRON-CT,VILLE,61P0214,2,1983,37067
17828,2 sorties,CONCORD D67M PREMIER,VILLE,43P1044,2,1990,37067
17982,2 sorties,CONCORD-D67M,VILLE,43P4164,2,1950,37067
18231,3 sorties,,VILLE,43P5168,2,2012,37067
18314,2 sorties,CANRON-CT,VILLE,24P1370,2,1976,37067
20235,2 sorties,LUDLOW,VILLE,12P0488,2,1960,37067
20484,2 sorties,CONCORD D67M PREMIER,VILLE,12P0970,2,1950,37067
21480,2 sorties,CANRON-CT,VILLE,61P0074,2,1974,37067
21563,2 sorties,MCAVITY-M59M,VILLE,25P0066,2,1996,37067
21812,3 sorties,MCAVITY-M67B,VILLE,61P0288,2,2011,37067
18575,2 sorties,CONCORD-D67M,VILLE,37P0204,2,1988,37067
18824,2 sorties,CANRON,VILLE,37P0390,2,1969,37067
18907,2 sorties,CANADA IRON,VILLE,11P0790,2,1960,37067
19156,2 sorties,CANRON-CT,VILLE,24P1532,2,1971,37067
19903,2 sorties,CANRON-C61A,VILLE,12P0224,2,1970,37067
20152,2 sorties,SENTINEL,VILLE,61P0271,2,1995,37067
17544,3 sorties,MCAVITY-BRIGADIERM67,VILLE,37P0552,2,2007,37067
17673,2 sorties,CANRON-CT,VILLE,43P1024,2,1980,37067
17888,2 sorties,LUDLOW,VILLE,13P0010,2,1950,37067
18183,2 sorties,CANRON-CT,VILLE,43P4167,2,1950,37067
18220,2 sorties,CONCORD-D67M,VILLE,12P0788,2,1950,37067
18515,2 sorties,CANRON-CT,VILLE,61P0135,2,1974,37067
21872,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,24P1632,1,2013,37067
27669,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,11P1049,1,2014,37067
56139,,,VILLE,25P1230,1,2020,37067
59342,,,VILLE,43P5327,1,2021,37067
20544,2 sorties,CANRON-CT,VILLE,11P0300,2,1970,37067
20722,2 sorties,CANRON-CT,VILLE,42P4050,2,1970,37067
20839,2 sorties,DAIGLE-D67M,VILLE,42P3008,2,1990,37067
20876,2 sorties,CANRON,VILLE,42P3140,2,1980,37067
21171,2 sorties,MCAVITY,VILLE,61P0217,2,1989,37067
21718,3 sorties,MCAVITY-BRIGADIERM67,VILLE,15P0060,2,1996,37067
18669,2 sorties,DAIGLE-D67M,VILLE,13P0294,2,1930,37067
19001,2 sorties,MCAVITY-M67,VILLE,24P1420,2,1966,37067
19216,2 sorties,CANRON-CT,VILLE,37P0120,2,1975,37067
19511,2 sorties,MCAVITY-M67,VILLE,23P2358,2,1987,37067
19548,3 sorties,MCAVITY-BRIGADIERM67,VILLE,25P0062,2,2002,37067
19843,2 sorties,CANRON-CT,VILLE,12P0074,2,1970,37067
18277,2 sorties,MCAVITY-M67,VILLE,24P1498,2,1960,37067
18609,2 sorties,LUDLOW,VILLE,12P0916,2,1950,37067
18870,2 sorties,LUDLOW,VILLE,13P0534,2,1920,37067
18953,2 sorties,MCAVITY-M59M,VILLE,23P2114,2,1996,37067
19202,2 sorties,CANRON-CT,VILLE,37P0822,2,2000,37067
19605,2 sorties,CANRON-CT,VILLE,37P0012,2,1969,37067
21031,2 sorties,DAIGLE-D67M,VILLE,42P5124,2,1990,37067
21277,3 sorties,AUTRE,VILLE,54P7138,2,2003,37067
21363,3 sorties,MCAVITY-BRIGADIERM67,VILLE,26P0390,2,2008,37067
21526,3 sorties,MCAVITY-BRIGADIERM67,VILLE,37P0834,2,2004,37067
21609,3 sorties,MCAVITY-M67B,VILLE,42P5282,1,2010,37067
21858,2 sorties,CANRON,VILLE,37P0420,2,1969,37067
19937,3 sorties,MCAVITY-BRIGADIERM67,VILLE,37P0458,2,2004,37067
19949,2 sorties,CANRON-CT,VILLE,61P0169,2,1980,37067
20035,2 sorties,CANRON-CT,VILLE,54P3000,2,1974,37067
20198,2 sorties,MCAVITY-M59M,VILLE,54P2094,2,1998,37067
20281,3 sorties,AUTRE,VILLE,54P7154,2,2003,37067
20530,2 sorties,CANRON-CT,VILLE,11P0208,2,1989,37067
17590,2 sorties,CANRON-CT,VILLE,61P0166,2,1974,37067
17627,2 sorties,DAIGLE-D67M,VILLE,43P1104,2,1990,37067
17922,2 sorties,DAIGLE-D67M,VILLE,11P0042,2,1989,37067
18266,3 sorties,MCAVITY-BRIGADIERM67,VILLE,61P9044,2,2004,37067
18918,2 sorties,CONCORD-D67M,VILLE,11P0762,2,1988,37067
19250,3 sorties,MCAVITY-M67B,VILLE,25P0022,2,2003,37067
68542,3 sorties,,VILLE,15P0113,1,2023,37067
70952,,,VILLE,BFT-43P5054,1,2024,37067
20885,2 sorties,CANRON-CT,VILLE,42P3134,2,1980,37067
20922,2 sorties,CANRON-CT,VILLE,42P3180,2,1980,37067
21672,3 sorties,CONCORD D67M PREMIER,VILLE,42P5318,2,2010,37067
22004,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,11P1037,1,2012,37067
27660,3 sorties,CONCORD D67M PREMIER,VILLE,26P0474,1,2014,37067
64546,3 sorties,MUELLER,VILLE,26P0572,1,2022,37067
19262,2 sorties,CANRON-CT,VILLE,24P1600,2,1976,37067
19348,2 sorties,CANRON-CT,VILLE,12P0608,2,1950,37067
19594,2 sorties,MCAVITY-M67,VILLE,61P0036,2,1998,37067
19889,2 sorties,MCAVITY-M67,VILLE,61P0099,2,1989,37067
20344,2 sorties,LUDLOW,VILLE,13P0370,2,1940,37067
20590,3 sorties,MUELLER,VILLE,64P8014,2,2003,37067
17481,3 sorties,MCAVITY-BRIGADIERM67,VILLE,15P0028,2,2008,37067
17487,3 sorties,MCAVITY-BRIGADIERM67,VILLE,15P0040,2,2008,37067
17736,3 sorties,MCAVITY-M67,VILLE,26P0324,2,1997,37067
18074,2 sorties,LUDLOW,VILLE,13P0086,2,1960,37067
18323,2 sorties,DAIGLE-D67M,VILLE,43P2176,2,1950,37067
18661,2 sorties,LUDLOW,VILLE,12P0918,2,1950,37067
34058,3 sorties,MUELLER,VILLE,42P5369,1,2018,37067
41291,3 sorties,MUELLER,VILLE,15P0106,1,2016,37067
20730,2 sorties,CANRON,VILLE,42P4046,2,1970,37067
20736,2 sorties,LUDLOW,VILLE,42P4026,2,1970,37067
20979,3 sorties,MCAVITY-M67,VILLE,42P4154,2,2003,37067
21317,2 sorties,CONCORD D67M PREMIER,VILLE,11P0888,2,2005,37067
21323,3 sorties,MCAVITY-BRIGADIERM67,VILLE,15P0044,2,2009,37067
21572,3 sorties,MCAVITY-M67,VILLE,24P1190,2,2001,37067
18815,2 sorties,MCAVITY-M59M,VILLE,26P0008,2,1960,37067
19064,2 sorties, ,VILLE,23P2038,2,1970,37067
19402,3 sorties,CONCORD D67M PREMIER,VILLE,11P0804,2,2004,37067
19408,2 sorties,CONCORD D67M PREMIER,VILLE,11P0532,2,2002,37067
19651,2 sorties,CONCORD D67M PREMIER,VILLE,37P0354,2,1996,37067
19989,2 sorties,CANRON-CT,VILLE,61P0264,2,1974,37067
17636,2 sorties,CANRON-CT,VILLE,43P1090,2,1980,37067
17974,3 sorties,MCAVITY-M67,VILLE,26P0334,2,1998,37067
18128,3 sorties,AUTRE,VILLE,43P3134,1,2017,37067
18761,2 sorties,CONCORD-D67M,VILLE,23P2292,2,1989,37067
18964,2 sorties,MCAVITY-M67,VILLE,23P2072,2,1987,37067
19302,2 sorties,CANRON-CT,VILLE,24P1372,2,1981,37067
21423,2 sorties,AUTRE,VILLE,13P0716,2,1989,37067
21958,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,54P0045,1,2012,37067
36073,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,13P1091,1,2014,37067
36079,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,13P1085,1,2014,37067
19751,2 sorties,MCAVITY-M59M,VILLE,54P2050,2,1987,37067
20089,2 sorties,MCAVITY-M59M,VILLE,25P0016,2,1996,37067
20095,3 sorties,MCAVITY-BRIGADIERM67,VILLE,25P0004,2,2004,37067
20292,2 sorties,MCAVITY-M67,VILLE,54P6004,2,1968,37067
20630,3 sorties,MUELLER,VILLE,54P7016,2,2004,37067
20636,3 sorties,MUELLER,VILLE,54P7012,2,2003,37067
17533,2 sorties,CANRON,VILLE,37P0302,2,1996,37067
17782,2 sorties,CONCORD D67M PREMIER,VILLE,11P0124,2,1989,37067
18028,2 sorties,LUDLOW,VILLE,43P2034,2,1950,37067
18369,2 sorties,MCAVITY-BRIGADIERM67,VILLE,54P5030,2,1964,37067
18615,2 sorties,LUDLOW,VILLE,12P0140,2,1960,37067
18861,2 sorties,CONCORD D67M PREMIER,VILLE,13P0788,2,1920,37067
31258,,MCAVITY-BRIGADIERM67B,VILLE,43P5275,2,,37067
32091,3 sorties,,VILLE,37P0644,1,2014,37067
35681,3 sorties,,VILLE,42P5378,1,2015,37067
42914,3 sorties,,VILLE,26P0528,1,2017,37067
70551,3 sorties,,VILLE,37P0690,1,2024,37067
20782,2 sorties,CANRON-CT,VILLE,42P3056,2,1985,37067
21025,2 sorties,DAIGLE-D67M,VILLE,42P5146,2,1990,37067
21271,3 sorties,MCAVITY-BRIGADIERM67,VILLE,26P0370,2,2006,37067
21615,3 sorties,CONCORD D67M PREMIER,VILLE,42P5252,2,2009,37067
21864,3 sorties,AUTRE,VILLE,26P0032,2,2007,37067
28848,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,61P0290,1,2014,37067
19110,2 sorties,MCAVITY-M67,VILLE,61P0090,2,1989,37067
19356,2 sorties,CANRON-CT,VILLE,12P0344,2,1982,37067
19697,2 sorties,CONCORD D67M PREMIER,VILLE,37P0258,2,1997,37067
19943,2 sorties,CANRON-CT,VILLE,61P0121,2,1980,37067
20189,2 sorties,CANRON-CT,VILLE,12P0042,2,1970,37067
20438,2 sorties,CANRON-CT,VILLE,12P0064,2,1970,37067
17682,2 sorties,LUDLOW,VILLE,43P1012,2,1950,37067
17928,3 sorties,CONCORD D67M PREMIER,VILLE,26P0064,1,2014,37067
18469,2 sorties,LUDLOW,VILLE,43P4094,2,1970,37067
18715,2 sorties,MCAVITY-M67,VILLE,24P1070,2,1986,37067
19010,2 sorties,CONCORD-D67M,VILLE,11P0702,2,1992,37067
19256,3 sorties,MCAVITY-BRIGADIERM67,VILLE,25P0068,2,2000,37067
21125,2 sorties,DAIGLE-D67M,VILLE,42P2078,2,1990,37067
21469,2 sorties,CANRON-CT,VILLE,54P3018,2,2005,37067
21666,3 sorties,CONCORD D67M PREMIER,VILLE,42P5306,2,2010,37067
22010,3 sorties,CONCORD D67M PREMIER,VILLE,54P0051,2,2010,37067
19502,2 sorties,MCAVITY-M67,VILLE,13P0056,2,1984,37067
19797,2 sorties,CANRON-CT,VILLE,12P0212,2,1970,37067
20043,2 sorties,DAIGLE-D67,VILLE,11P0376,2,1970,37067
20338,2 sorties,LUDLOW,VILLE,12P0992,2,1950,37067
20584,3 sorties,MUELLER,VILLE,54P8026,2,2003,37067
20928,2 sorties,LUDLOW,VILLE,42P4120,2,1950,37067
17656,2 sorties,DAIGLE-D67M,VILLE,13P0226,2,1930,37067
18154,2 sorties,DAIGLE-D67M,VILLE,43P5074,2,1950,37067
18652,2 sorties,CANRON-CT,VILLE,24P1244,2,1984,37067
18818,2 sorties,CONCORD D67M PREMIER,VILLE,26P0002,2,1960,37067
19150,2 sorties,CANRON-CT,VILLE,24P1608,2,1976,37067
19316,3 sorties,CONCORD D67M PREMIER,VILLE,11P0503,2,2004,37067
20573,3 sorties,MUELLER,VILLE,54P9089,2,2003,37067
20739,2 sorties,CONCORD D67M PREMIER,VILLE,11P0012,2,2001,37067
21071,2 sorties,LUDLOW,VILLE,12P1046,2,1950,37067
21237,3 sorties, ,VILLE,11P9170,2,2007,37067
34470,3 sorties,MUELLER,VILLE,26P0509,1,2015,37067
52541,3 sorties,,VILLE,43P5321,1,2020,37067
19577,2 sorties,CONCORD D67M PREMIER,VILLE,11P0062,2,2001,37067
19648,2 sorties,CONCORD-D67M,VILLE,37P0358,2,1995,37067
19814,3 sorties,CONCORD D67M PREMIER,VILLE,13P0844,2,1920,37067
20075,2 sorties,DAIGLE-D67M,VILLE,37P0188,2,1988,37067
20241,2 sorties,LUDLOW,VILLE,12P0514,2,1960,37067
20312,2 sorties,MCAVITY-M59M,VILLE,54P6000,2,1968,37067
17513,2 sorties,LUDLOW,VILLE,13P0236,2,1950,37067
18011,2 sorties,CANRON-CT,VILLE,43P1066,2,1980,37067
18177,2 sorties,CONCORD D67M PREMIER,VILLE,43P4114,2,1950,37067
19007,2 sorties,LUDLOW,VILLE,11P0724,2,1960,37067
19056,3 sorties,MCAVITY-M67,VILLE,23P2012,2,1990,37067
19173,2 sorties,MCAVITY-M67,VILLE,24P1278,2,1981,37067
21331,3 sorties,MCAVITY-BRIGADIERM67,VILLE,42P5210,2,2007,37067
21380,2 sorties,LUDLOW,VILLE,43P5096,2,1950,37067
21712,3 sorties,MCAVITY-BRIGADIERM67,VILLE,15P0050,2,2009,37067
21878,3 sorties,CONCORD D67M PREMIER,VILLE,42P5340,2,2011,37067
27663,3 sorties,CONCORD D67M PREMIER,VILLE,25P1210,1,2014,37067
39688,3 sorties,MCAVITY BOC,VILLE,43P5305,1,2012,37067
19222,2 sorties,LUDLOW,VILLE,12P0304,2,1960,37067
19671,2 sorties,MCAVITY-M59M,VILLE,54P4082,2,1964,37067
19720,2 sorties,MCAVITY-M67,VILLE,61P0006,2,1990,37067
20169,2 sorties,LUDLOW,VILLE,12P0408,2,1960,37067
20833,2 sorties,DAIGLE-D67M,VILLE,42P3016,2,1990,37067
21165,2 sorties,LUDLOW,VILLE,42P2016,2,1970,37067
18366,2 sorties,MCAVITY-M67,VILLE,54P2018,1,2012,37067
18440,3 sorties,CONCORD D67M PREMIER,VILLE,43P4224,2,2002,37067
19030,2 sorties,CANRON-CT,VILLE,11P0576,2,1984,37067
19199,2 sorties,DAIGLE-D67M,VILLE,37P0086,2,2000,37067
19863,2 sorties,CONCORD D67M PREMIER,VILLE,11P0466,2,1960,37067
20026,2 sorties,MCAVITY-M67,VILLE,54P2060,2,1987,37067
20690,2 sorties,LUDLOW,VILLE,13P0562,1,2017,37067
20859,2 sorties,SENTINEL,VILLE,42P3088,2,2000,37067
21022,2 sorties,DAIGLE-D67M,VILLE,42P5178,2,1990,37067
21523,2 sorties,CONCORD-D67M,VILLE,11P0490,2,1986,37067
21855,2 sorties,CANRON-CT,VILLE,37P0428,2,1969,37067
68147,3 sorties,,VILLE,26P0578,1,2021,37067
17799,2 sorties,MCAVITY-M67,VILLE,61P0077,2,1987,37067
17848,2 sorties,LUDLOW,VILLE,13P0656,2,1920,37067
18389,2 sorties,CONCORD D67M PREMIER,VILLE,43P2124,2,1995,37067
18795,2 sorties,CANRON-CT,VILLE,13P0310,2,1995,37067
19459,3 sorties,MCAVITY-M67,VILLE,23P2280,2,1980,37067
19791,2 sorties,CONCORD-D67M,VILLE,11P0664,2,1987,37067
21500,3 sorties,MCAVITY-M67B,VILLE,13P1008,2,2010,37067
42107,3 sorties,,VILLE,37P0656,1,2017,37067
19840,2 sorties,CANRON-CT,VILLE,61P0204,2,1985,37067
20381,2 sorties,CONCORD D67M PREMIER,VILLE,12P0740,2,1950,37067
20430,2 sorties,CANRON-CT,VILLE,12P0118,2,1983,37067
20504,3 sorties,CONCORD D67M PREMIER,VILLE,11P0136,2,1960,37067
21045,2 sorties,CANRON,VILLE,42P5022,2,1970,37067
21094,2 sorties,CONCORD-D67M,VILLE,42P2104,2,2000,37067
17819,2 sorties,CANRON-CT,VILLE,43P1050,2,1970,37067
17985,2 sorties,DAIGLE-D67M,VILLE,13P0634,2,1930,37067
18483,2 sorties,DAIGLE-D67M,VILLE,43P5068,2,1950,37067
19485,2 sorties,CONCORD D67M PREMIER,VILLE,11P0060,2,2001,37067
19740,2 sorties,CANRON-CT,VILLE,12P0036,2,1970,37067
19983,2 sorties,MCAVITY-M67,VILLE,61P0249,2,1990,37067
37295,3 sorties,MUELLER,VILLE,26P0520,1,2015,37067
46117,3 sorties,,VILLE,54P0059,1,2017,37067
20149,2 sorties,SENTINEL,VILLE,61P0267,2,1995,37067
20404,2 sorties,CONCORD-D67M,VILLE,11P0650,2,1988,37067
20647,2 sorties,CANRON-CT,VILLE,12P0332,2,1970,37067
21406,2 sorties,CONCORD D67M PREMIER,VILLE,11P0520,2,1999,37067
