ï»¿TYPE_VOIE,TYPE_EQUIPEMENT,REVETEMENT_VOIE,ROUTE_VERTE_NO,ROUTE_CMM,VELO_EXPRESS,CIRCUIT_AGROTOURISTIQUE,TOUR_ILE,WKT
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 285822.71404343 5051626.26536470, 285825.23294343 5051630.41666470, 285834.50094343 5051647.48646470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 284437.90354343 5050512.76296470, 284440.96194343 5050494.37196470, 284445.83614343 5050467.29006470, 284450.19254343 5050443.41266470, 284452.33344343 5050434.17866470, 284455.19084343 5050424.65366470, 284456.82244343 5050420.13696470, 284458.79354343 5050415.46546470, 284460.51124343 5050411.92716470, 284462.48814343 5050407.94326470, 284464.61234343 5050403.72506470, 284466.99354343 5050399.49166470, 284469.24254343 5050395.78756470, 284472.01834343 5050391.79226470, 284479.47974343 5050381.47356470, 284488.36974343 5050370.20226470, 284508.68974343 5050344.80216470, 284540.24884343 5050304.82656470, 284544.72474343 5050299.22716470, 284546.80264343 5050296.17026470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 284846.40594343 5053197.81646470, 284854.23064343 5053195.66606470, 284856.36314343 5053195.31066470, 284859.36264343 5053195.55066470, 284862.86024343 5053196.42496470, 284965.33174343 5053233.18106470, 284974.49534343 5053236.46796470, 284975.62594343 5053237.58936470, 284975.68514343 5053238.88636470, 284975.06074343 5053240.64566470, 284974.41914343 5053242.45366470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,Oui,"LINESTRING  ( 279737.08054343 5050820.60826470, 279741.18244343 5050821.42716470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,Oui,"LINESTRING  ( 279824.15284343 5050843.07456470, 279816.43664343 5050841.18696470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,Oui,"LINESTRING  ( 279817.54804343 5050836.74966470, 279825.35384343 5050838.48896470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 289627.50884343 5047036.70036470, 289630.88704343 5047051.29366470, 289634.29724343 5047066.23196470, 289636.35434343 5047074.35936470, 289639.11074343 5047082.27696470, 289642.54544343 5047089.92486470, 289646.63244343 5047097.24486470, 289651.34084343 5047104.18156470, 289656.63474343 5047110.68236470, 289662.47424343 5047116.69796470, 289668.81484343 5047122.18276470, 289695.04244343 5047142.63496470)"
12103,Piste cyclable,PavÃ©,,,,,,"LINESTRING  ( 281978.91104343 5052576.08506470, 281977.51964343 5052581.15606470, 281965.77214343 5052613.75286470, 281964.71374343 5052616.08116470, 281963.54964343 5052617.98616470, 281962.17384343 5052619.89116470, 281961.00964343 5052621.79616470, 281959.91884343 5052624.24256470, 281952.54924343 5052646.35316470, 281935.96204343 5052693.36916470, 281922.55864343 5052731.58276470, 281902.25314343 5052788.99836470, 281893.75624343 5052813.24996470, 281872.17864343 5052874.12046470, 281861.28874343 5052904.98046470, 281848.67144343 5052940.57646470, 281837.72614343 5052971.56106470, 281816.30504343 5053031.62326470, 281796.15484343 5053088.39406470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,1,,,,,"LINESTRING  ( 275356.82704343 5046086.33906470, 275358.00904343 5046082.02276470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 275361.55414343 5046087.38506470, 275356.82704343 5046086.33906470)"
12103,Piste cyclable,PavÃ©,,,,,,"LINESTRING  ( 287783.24364343 5046330.87986470, 287767.20994343 5046349.69176470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 287064.04944343 5051585.20176470, 287072.92544343 5051596.85126470, 287102.18954343 5051635.22046470, 287102.87024343 5051635.90326470, 287103.64704343 5051636.47436470, 287104.50184343 5051636.92036470)"
12103,Bande cyclable,PavÃ©,1,,,Les Chemins de la Nature,Oui,"LINESTRING  ( 276216.07764343 5046340.02686470, 276213.89004343 5046337.26666470, 276212.09654343 5046335.00366470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 282519.09264343 5052773.66106470, 282517.92854343 5052773.92926470, 282517.02894343 5052774.03516470, 282510.31434343 5052773.96616470, 282507.82144343 5052773.87636470, 282506.86894343 5052774.03516470, 282505.92534343 5052774.66166470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 286326.80434343 5050326.19516470, 286340.86414343 5050338.21676470, 286356.03334343 5050352.11746470, 286371.04514343 5050366.18806470, 286375.22554343 5050370.05096470, 286378.78504343 5050373.72986470, 286382.05184343 5050377.67096470, 286388.54274343 5050385.32396470, 286394.85774343 5050393.12266470, 286409.67444343 5050411.00856470, 286417.54694343 5050421.21266470, 286424.77834343 5050431.88056470, 286431.34154343 5050442.97216470, 286443.64694343 5050466.94156470, 286453.86694343 5050489.03156470, 286462.34654343 5050507.98996470, 286489.36704343 5050565.73716470, 286506.35504343 5050601.95896470, 286517.20854343 5050624.66476470, 286522.34274343 5050636.65816470, 286527.16934343 5050648.77856470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 290345.12854343 5049202.24336470, 290336.55214343 5049195.68776470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 285274.71064343 5049344.18296470, 285282.19714343 5049333.87046470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 283107.32214343 5051392.69406470, 283083.12564343 5051381.98506470, 283077.62234343 5051379.70966470, 283015.28634343 5051359.86586470, 283006.92554343 5051357.27296470, 282972.63544343 5051346.47786470, 282968.77254343 5051345.36666470, 282959.67084343 5051343.40876470, 282956.39004343 5051342.82666470, 282943.88864343 5051341.37136470, 282931.32474343 5051340.62926470, 282918.73884343 5051340.60276470, 282906.17194343 5051341.29206470, 282895.00654343 5051342.66786470, 282891.40824343 5051343.35586470, 282888.67684343 5051344.29476470, 282886.11654343 5051345.63126470, 282883.47864343 5051346.99976470, 282880.66614343 5051347.95956470, 282863.73274343 5051352.51046470, 282846.08664343 5051357.27286470)"
12103,Piste cyclable,PavÃ©,,,,,,"LINESTRING  ( 286527.16934343 5050648.77856470, 286529.93434343 5050649.46036470, 286530.41724343 5050649.70746470, 286530.85284343 5050650.03066470, 286531.22954343 5050650.42106470, 286531.53684343 5050650.86806470, 286531.76654343 5050651.35946470, 286531.91224343 5050651.88196470, 286534.40524343 5050660.42406470, 286536.15774343 5050669.14826470, 286537.15704343 5050677.99046470, 286537.39564343 5050686.88576470, 286537.22934343 5050694.26196470, 286536.53614343 5050701.60746470, 286535.31944343 5050708.88456470, 286533.58564343 5050716.05606470, 286523.30654343 5050756.29926470, 286519.53624343 5050771.73776470, 286517.39914343 5050782.48236470, 286515.98854343 5050793.34626470, 286515.31084343 5050804.28046470, 286515.36904343 5050815.23536470, 286515.78734343 5050823.36136470, 286516.64804343 5050831.45236470, 286517.94874343 5050839.48446470, 286527.51344343 5050886.07766470, 286529.63854343 5050894.63926470, 286532.25644343 5050903.06316470, 286535.33584343 5050911.41976470, 286539.04044343 5050919.51856470, 286543.34874343 5050927.31306470, 286547.30114343 5050933.93296470, 286551.60384343 5050940.33066470, 286572.58534343 5050969.98696470, 286579.12634343 5050979.24066470, 286579.67684343 5050980.20806470, 286580.20914343 5050981.47126470, 286580.33834343 5050982.88696470, 286580.37134343 5050984.77216470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 282848.55304343 5051344.61246470, 282868.86564343 5051340.12786470, 282889.23864343 5051335.62996470, 282893.79294343 5051334.78896470, 282898.39324343 5051334.25416470, 282910.38634343 5051333.36296470, 282922.40634343 5051332.97746470, 282934.43184343 5051333.09816470, 282946.44164343 5051333.72496470, 282952.75344343 5051334.37186470, 282959.03584343 5051335.25956470, 282963.11044343 5051335.89456470, 282972.55314343 5051338.22126470, 282981.89584343 5051340.92166470, 283051.11104343 5051362.93506470, 283057.19644343 5051364.78706470, 283059.84834343 5051365.25416470, 283062.54104343 5051365.26336470, 283064.50164343 5051365.19406470, 283066.45374343 5051365.38936470, 283068.36184343 5051365.84546470, 283111.46094343 5051380.00726470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 283111.46094343 5051380.00726470, 283107.32214343 5051392.69406470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 289826.08534343 5046876.13726470, 289821.18324343 5046876.14996470, 289744.08684343 5046876.34996470, 289709.08674343 5046876.38306470, 289652.79304343 5046876.59616470, 289638.79024343 5046876.68726470, 289633.29374343 5046876.83786470, 289627.83244343 5046877.47676470, 289622.44954343 5046878.59886470, 289619.27814343 5046879.79926470, 289616.25154343 5046881.32866470, 289613.40394343 5046883.16986470)"
12103,Piste cyclable,PavÃ©,,,,,,"LINESTRING  ( 291267.10604343 5046999.83006470, 291270.47334343 5046997.06966470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 287337.76314343 5046679.75746470, 287334.07984343 5046684.73586470, 287330.07224343 5046689.45716470, 287325.92044343 5046694.41486470, 287321.96044343 5046699.52706470, 287244.26244343 5046814.30486470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 287240.58564343 5046812.69266470, 287321.86714343 5046693.46646470, 287324.15734343 5046688.38636470, 287325.96974343 5046683.11686470, 287327.46424343 5046678.44826470, 287329.66684343 5046674.06896470)"
12103,Piste cyclable,PavÃ©,,,,,,"LINESTRING  ( 291176.84234343 5047105.40566470, 291178.37684343 5047105.24696470, 291179.38224343 5047104.87656470, 291180.38774343 5047104.18856470, 291181.23434343 5047103.50066470, 291219.82024343 5047056.58836470, 291266.06314343 5047000.81116470, 291266.88634343 5047000.01016470, 291267.10604343 5046999.83006470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 287192.73834343 5053955.52916470, 287188.41404343 5053952.14706470, 287188.14034343 5053951.70666470, 287187.94504343 5053951.22626470, 287187.83384343 5053950.71976470, 287187.80994343 5053950.20166470, 287187.87404343 5053949.68716470, 287188.02424343 5053949.19076470, 287188.25624343 5053948.72696470, 287188.56334343 5053948.30916470, 287201.99024343 5053930.51286470, 287202.71764343 5053929.57766470, 287203.31824343 5053928.67676470, 287204.22674343 5053927.27476470, 287204.89444343 5053925.74336470, 287205.30334343 5053924.12356470, 287205.44264343 5053922.45876470, 287205.30834343 5053920.79346470, 287204.90434343 5053919.17246470, 287204.24124343 5053917.63906470, 287203.33694343 5053916.23436470, 287202.21564343 5053914.99596470, 287185.21544343 5053899.38446470, 287183.51544343 5053897.79176470, 287182.09634343 5053895.94436470, 287180.99584343 5053893.89116470, 287180.24294343 5053891.68666470, 287179.85774343 5053889.38926470, 287179.85034343 5053887.05976470, 287180.22104343 5053884.75986470, 287180.95984343 5053882.55066470, 287182.04734343 5053880.49056470, 287212.84524343 5053840.35376470, 287212.86324343 5053840.32966470, 287220.31544343 5053830.12906470, 287227.37264343 5053820.87336470, 287248.19764343 5053793.30316470, 287281.99854343 5053748.40196470, 287311.75214343 5053708.84836470, 287326.58204343 5053689.12346470, 287329.09134343 5053685.91166470, 287349.89814343 5053658.17356470, 287351.13774343 5053656.52096470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 294890.86414343 5059820.89306470, 294889.82814343 5059788.81106470, 294888.80044343 5059752.11446470, 294887.69814343 5059715.55636470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 294896.24174343 5059718.93296470, 294897.17974343 5059757.24216470, 294898.92604343 5059810.74096470, 294899.35724343 5059820.21836470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 288046.45934343 5048420.28746470, 288059.82764343 5048406.39006470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 287359.31204343 5053658.51126470, 287358.56354343 5053658.71006470, 287357.85044343 5053659.01236470, 287357.18714343 5053659.41216470, 287356.58674343 5053659.90136470, 287356.06124343 5053660.47036470, 287333.71244343 5053689.83406470, 287332.38474343 5053691.58606470, 287331.48514343 5053692.77296470, 287316.81554343 5053712.39016470, 287292.84464343 5053744.13966470, 287266.20124343 5053779.69826470, 287234.97434343 5053821.04246470, 287217.38004343 5053844.00076470, 287189.12144343 5053881.87156470, 287189.10834343 5053881.88886470, 287188.18224343 5053883.29086470, 287187.49574343 5053884.82446470, 287187.06684343 5053886.44906470, 287186.90694343 5053888.12176470, 287187.02024343 5053889.79816470, 287187.40384343 5053891.43406470, 287188.04754343 5053892.98616470, 287188.93424343 5053894.41336470, 287190.04064343 5053895.67796470, 287206.77144343 5053910.98786470, 287208.59044343 5053912.79236470, 287210.07184343 5053914.88276470, 287211.17164343 5053917.19686470, 287211.85704343 5053919.66576470, 287212.10754343 5053922.21566470, 287211.91564343 5053924.77056470, 287211.28714343 5053927.25446470, 287210.24074343 5053929.59326470, 287208.80764343 5053931.71716470, 287193.64324343 5053951.80166470, 287193.24964343 5053952.33576470, 287192.94554343 5053952.92536470, 287192.73834343 5053953.55556470, 287192.63344343 5053954.21066470, 287192.63344343 5053954.87406470, 287192.73834343 5053955.52916470)"
12103,Piste cyclable,PavÃ©,1,,,,,"LINESTRING  ( 286676.51184343 5050431.92866470, 286686.38324343 5050417.14506470, 286715.20094343 5050375.58246470, 286723.65184343 5050363.74906470, 286747.86774343 5050328.77886470, 286764.05304343 5050305.16196470, 286769.48874343 5050297.23736470, 286770.78714343 5050295.14596470, 286772.20264343 5050292.47456470, 286776.71334343 5050283.15576470, 286777.96594343 5050280.69296470, 286779.30504343 5050278.54936470, 286782.24354343 5050274.46576470, 286784.57134343 5050271.16406470, 286796.20384343 5050254.89856470, 286804.11024343 5050243.56106470, 286813.52254343 5050230.24036470, 286837.34924343 5050195.55356470, 286860.72134343 5050161.77076470, 286888.17884343 5050122.11436470, 286925.41334343 5050068.43976470, 286954.72334343 5050025.67886470, 286983.76384343 5049983.33296470, 286987.55274343 5049977.73126470, 286990.13794343 5049973.45546470, 286992.66944343 5049969.22526470, 287003.84234343 5049951.50966470, 287012.52294343 5049937.39066470, 287027.12654343 5049915.47576470, 287045.25344343 5049890.01816470, 287049.42514343 5049884.46376470, 287053.39164343 5049879.92416470, 287055.33334343 5049878.08346470, 287056.75864343 5049876.25916470, 287076.76204343 5049849.58156470, 287081.04284343 5049844.53216470, 287082.23524343 5049843.11336470, 287086.21144343 5049839.42066470, 287091.81984343 5049834.82086470, 287097.43314343 5049830.64456470, 287106.96724343 5049824.24316470, 287115.19804343 5049819.50976470, 287118.13664343 5049818.11216470, 287122.58524343 5049815.96386470, 287126.53374343 5049814.34806470, 287130.03424343 5049813.30566470, 287137.71934343 5049811.41956470, 287140.85984343 5049810.51566470, 287143.40924343 5049809.40146470, 287144.68134343 5049808.63276470, 287145.96004343 5049807.53316470, 287147.10034343 5049806.07376470, 287148.04344343 5049804.54426470, 287148.77814343 5049802.85186470, 287149.13004343 5049801.11206470, 287149.08934343 5049798.47826470, 287148.11154343 5049792.74936470, 287147.14474343 5049785.71096470, 287147.01124343 5049783.08836470, 287147.17414343 5049780.19386470, 287147.58464343 5049778.16426470, 287148.18744343 5049775.78116470, 287148.91234343 5049773.24176470, 287149.78054343 5049771.48586470, 287150.74824343 5049769.38776470, 287152.32014343 5049766.83866470, 287160.74514343 5049752.93946470, 287166.27054343 5049743.82596470, 287167.97114343 5049740.78976470, 287169.41604343 5049737.97336470, 287170.40154343 5049735.63756470, 287176.20374343 5049721.48436470, 287178.13434343 5049717.25246470, 287179.39844343 5049714.88246470, 287180.94754343 5049712.14756470, 287182.25724343 5049710.14896470, 287183.51964343 5049708.53296470, 287186.85904343 5049704.25886470, 287204.23004343 5049682.23996470, 287228.60064343 5049650.83216470, 287230.91044343 5049647.76816470, 287232.30154343 5049645.66536470, 287233.27404343 5049643.99086470, 287234.11954343 5049642.04926470, 287235.37994343 5049638.20226470, 287236.72244343 5049633.42866470, 287241.19774343 5049616.72086470, 287242.71664343 5049612.78986470, 287244.23924343 5049609.56136470, 287247.61234343 5049603.74246470, 287263.09084343 5049578.64516470, 287267.34074343 5049571.80866470, 287269.47144343 5049568.43696470, 287275.46424343 5049560.44416470, 287276.60814343 5049559.16496470, 287277.65034343 5049558.29076470, 287278.65534343 5049557.64906470, 287280.10664343 5049557.18806470, 287281.26154343 5049557.20176470, 287282.37044343 5049557.43006470, 287294.23784343 5049561.56496470, 287296.08434343 5049562.20046470, 287297.42394343 5049562.64396470, 287298.80654343 5049562.85116470, 287300.18004343 5049562.98416470, 287301.36844343 5049562.83816470, 287302.54774343 5049562.61796470, 287304.02944343 5049562.09676470, 287305.27004343 5049561.45436470, 287306.47414343 5049560.51486470, 287307.42274343 5049559.64446470, 287311.13024343 5049555.75856470, 287312.14934343 5049554.54026470, 287313.59194343 5049552.77966470, 287314.76084343 5049550.93976470, 287316.01834343 5049548.90036470, 287317.26264343 5049546.86206470, 287320.90524343 5049540.49666470, 287322.81954343 5049537.21726470)"
12103,Piste cyclable,PavÃ©,,,,,,"LINESTRING  ( 282711.37384343 5051886.87646470, 282708.44814343 5051902.02626470)"
12104,Piste piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 283836.44704343 5050933.09136470, 283869.39214343 5050938.84396470)"
12103,Piste cyclable,PavÃ©,,,,,,"LINESTRING  ( 282224.00964343 5051374.68396470, 282231.93734343 5051376.43116470, 282255.51324343 5051381.15156470, 282298.20304343 5051389.25526470, 282369.70214343 5051402.94486470, 282371.35844343 5051403.23156470, 282372.63014343 5051403.15076470, 282373.67534343 5051402.75856470, 282374.70214343 5051402.21776470, 282376.14024343 5051400.95526470)"
12104,Bande piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 285326.88404343 5055351.80206470, 285470.23134343 5055374.63946470, 285488.86844343 5055377.39646470, 285491.69064343 5055375.98536470, 285493.10174343 5055372.03426470, 285503.26184343 5055322.92746470)"
12104,Bande piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 299103.76764343 5058985.27116470, 299094.25954343 5058978.54996470, 299085.07944343 5058972.07466470, 299073.52214343 5058963.30426470, 299071.22704343 5058961.41906470, 299069.58784343 5058960.43546470, 299067.53854343 5058959.53386470, 299065.48944343 5058958.63226470, 299064.01404343 5058957.64866470, 299061.80094343 5058956.09126470, 299018.08014343 5058921.85546470)"
12104,Bande piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 275001.93964343 5043558.04276470, 274970.85104343 5043526.29276470, 274964.96404343 5043520.20736470, 274957.75414343 5043512.07136470, 274950.74264343 5043502.87706470, 274948.82444343 5043500.16506470, 274947.03844343 5043497.65156470, 274945.71564343 5043495.53486470, 274944.59114343 5043493.55046470, 274943.00364343 5043490.30926470, 274941.74674343 5043487.72956470, 274940.49004343 5043485.14986470, 274926.79784343 5043450.95246470, 274925.27644343 5043447.18216470, 274923.55664343 5043443.47806470, 274922.03534343 5043440.89826470, 274920.31554343 5043438.12016470, 274911.38584343 5043423.56806470, 274910.19524343 5043421.71596470, 274908.47544343 5043419.20246470, 274892.07124343 5043398.56486470, 274889.35924343 5043394.92686470, 274886.04064343 5043390.03336470, 274883.22564343 5043384.83396470, 274880.94214343 5043379.38016470, 274879.21274343 5043373.72606470, 274878.05464343 5043367.92796470, 274877.47944343 5043362.04346470, 274877.21894343 5043353.80856470, 274877.45934343 5043345.57306470, 274878.19974343 5043337.36736470, 274879.43734343 5043329.22186470, 274885.12594343 5043298.66236470, 274887.73204343 5043284.45426470, 274891.76694343 5043256.93746470, 274893.28834343 5043241.19486470, 274893.61904343 5043232.66196470, 274894.01594343 5043222.34316470, 274894.01594343 5043218.24216470, 274893.88364343 5043213.67806470, 274892.95754343 5043196.41396470, 274892.89144343 5043193.70196470, 274892.56064343 5043190.72536470, 274889.71644343 5043168.89726470, 274888.98874343 5043162.87796470, 274887.99664343 5043156.79256470, 274885.74764343 5043145.94466470, 274881.05124343 5043122.46276470)"
12104,Bande piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 281521.13384343 5048223.44466470, 281529.52944343 5048237.09816470, 281564.12944343 5048290.94866470, 281565.82554343 5048293.74716470, 281566.50394343 5048295.61286470, 281566.84314343 5048297.39376470, 281566.84314343 5048298.83546470, 281566.67354343 5048300.70106470, 281566.41914343 5048302.65156470, 281563.19664343 5048317.40756470, 281550.90004343 5048375.58296470, 281540.29954343 5048426.55026470, 281534.87204343 5048452.50026470, 281534.78724343 5048453.94196470, 281535.04164343 5048455.38356470, 281535.72004343 5048456.48606470, 281536.65294343 5048457.33406470)"
12104,Piste piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 285294.77064343 5052827.71446470, 285249.61404343 5052953.62816470, 285238.37174343 5052985.76226470, 285224.41264343 5053024.07976470, 285218.13564343 5053041.69276470, 285214.76304343 5053051.71706470, 285200.05434343 5053092.09566470, 285184.40884343 5053135.28476470, 285176.07084343 5053158.42516470, 285152.74294343 5053223.81786470, 285127.44784343 5053294.36316470, 285101.21584343 5053370.24866470)"
12104,Piste piÃ©tonniÃ¨re,Gravier,,,,,,"LINESTRING  ( 283983.50564343 5050960.86176470, 283985.96314343 5050958.90506470, 283988.10614343 5050956.84126470, 283989.29674343 5050954.69826470, 283990.09054343 5050952.71386470, 283990.64624343 5050950.72946470, 283997.07564343 5050922.55126470, 283998.02804343 5050920.24946470, 283999.61554343 5050918.02686470, 284001.24664343 5050916.20646470)"
12104,Bande piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 280917.65114343 5048194.57646470, 280900.79704343 5048216.48686470, 280894.80454343 5048223.79036470, 280879.16764343 5048244.95166470, 280869.24244343 5048260.77576470, 280859.12994343 5048278.37896470, 280851.92004343 5048292.42416470, 280844.80384343 5048308.52916470, 280821.80104343 5048358.63906470, 280794.33494343 5048417.81596470, 280775.23364343 5048459.26466470, 280768.99144343 5048470.62556470, 280766.11994343 5048474.99516470)"
12104,Bande piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 281455.36824343 5049356.09016470, 281513.41744343 5049368.84976470, 281559.26784343 5049378.94536470, 281621.66374343 5049392.54616470, 281664.99034343 5049402.22096470, 281711.12124343 5049412.17636470, 281781.64954343 5049427.74026470, 281802.82204343 5049431.66626470, 281874.05144343 5049447.23016470, 281991.13134343 5049473.31026470)"
12104,Piste piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 276773.68484343 5042716.18226470, 276760.98474343 5042718.08716470, 276742.25224343 5042720.94476470, 276717.01094343 5042724.43716470, 276699.54844343 5042726.50096470, 276686.37214343 5042727.61216470, 276674.46594343 5042727.61216470, 276660.97204343 5042726.50096470, 276648.27204343 5042724.75466470, 276638.58834343 5042722.69106470, 276628.90464343 5042719.83346470, 276621.12584343 5042716.97596470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 285421.45444343 5047748.83986470, 285425.08844343 5047745.06816470, 285436.19864343 5047733.53686470, 285436.21984343 5047733.51226470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 286000.21144343 5048092.23576470, 285992.45414343 5048102.00126470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 285970.93574343 5048088.33956470, 285981.91814343 5048074.37996470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 285921.59974343 5048152.91676470, 285935.83634343 5048133.32326470, 285950.63144343 5048114.14806470, 285957.58604343 5048105.30816470)"
