OBJECTID,NO_AIPL,SUPERFICIE,TRAIT_REA,LONGI,LAT,NO_REG_ADM,NO_UA,PRIORITE,INVEST_ANT,TRAIT_SITE,TR_REG_ART,PROC_REGE,TRAIT_EDUC,REMARQUE,DATE_EFFEC,DATE_MAJ,DATE_PUBLI,Shape_Leng,Shape_Area
"130","1126316",149.73000000000,,-65.49254100000,48.90509500000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,13614.49840700000,1483039.80649999995
"131","1126317",846.07000000000,,-65.50526800000,48.89560600000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,59015.05008110000,8380439.16545000020
"132","1126319",313.87000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-65.10659800000,49.16948700000,"11","11263","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,18810.75198480000,3106824.10064999992
"133","1126320",200.47000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.07706300000,49.20460000000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,16564.08835170000,1984226.23780000000
"134","1126322",145.83000000000,,-65.57056000000,49.00669800000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,10843.83746720000,1444104.69204999995
"135","1126323",2191.46000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.16075200000,49.02907300000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,138056.17975899999,21698453.03159999847
"136","1126324",199.60000000000,,-65.45456700000,49.00111100000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,14183.59446510000,1976539.14650000003
"137","1126325",196.04000000000,,-65.39654900000,49.01531500000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,14366.90718620000,1941248.53215000010
"138","1126326",1354.46000000000,"Procédé de régénération,",-65.35269900000,49.00305700000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,75165.70983599999,13412173.21660000086
"139","1126327",695.25000000000,,-65.44534300000,49.02995500000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,47442.65749330000,6884460.69359999988
"140","1126328",429.22000000000,"Procédé de régénération,",-65.57174700000,49.14766500000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,38209.77057770000,4248947.67074999958
"141","1126329",1478.75000000000,,-65.45079500000,49.05321300000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,71169.90444460000,14641634.99110000022
"142","0120064",202.64000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.34978200000,47.99660300000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,8763.85370215000,2012150.23735000007
"143","0120065",285.93000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.30171600000,47.98097800000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,7827.23075490000,2839343.73329999996
"144","0120053",2518.01000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.30227800000,48.08592400000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,80060.21308420000,24996883.60579999909
"145","0120054",295.49000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.40116500000,48.04214700000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,10435.62675270000,2933719.47030000016
"146","0120051",996.32000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.63133100000,48.07785400000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,16967.74266350000,9890726.92844999954
"147","0120052",293.60000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.58584500000,48.10181700000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,9348.00474390000,2914502.65269999998
"148","0120056",4598.92000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.27844300000,48.14718400000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,85503.21583920000,45644077.87569999695
"149","0120058",862.78000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.25968200000,48.23977700000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,23811.63643100000,8560993.89629999921
"150","0120060",1428.32000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.19513600000,48.16643100000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,33358.53248940000,14175639.79399999976
"151","0120059",909.65000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.23394700000,48.11763700000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,21185.75517940000,9029216.90214999951
"152","0120070",520.28000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.08397200000,48.10385900000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,15009.75463460000,5164554.52854999993
"153","0120071",601.47000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.03972800000,48.09617900000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,15978.40791350000,5970476.50169999991
"154","0120063",815.68000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.15443000000,48.06970300000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,21226.18068550000,8097650.94299999997
"155","0120062",876.37000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.20639900000,48.04535900000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,24900.62670790000,8700787.02639999986
"156","0120066",504.98000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.26608400000,48.02340500000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,13197.48518920000,5013915.93059999961
"157","0120067",690.37000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.21611100000,47.99248100000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,13197.48518920000,5013915.93059999961
"158","0120057",506.83000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.29674200000,48.22513100000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,9735.97191663000,5029301.01855000015
"159","0120068",448.92000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.30599900000,47.92414800000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,14410.06375960000,4458555.63714999985
"160","0120069",560.63000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.21417100000,47.92143900000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,18461.02886630000,5567981.68805000000
"161","0120061",1038.64000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.17922200000,48.06199400000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,37185.68690140000,10311163.89379999973
"162","0120080",1103.73000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.81911300000,48.20422000000,"01","01252","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,32827.97709570000,10953003.45590000041
"163","0120074",206.37000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.96043700000,48.23523500000,"01","01252","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,8613.93398658000,2047724.83664999995
"164","0120076",376.87000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.94583000000,48.19712500000,"01","01252","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,14571.33041340000,3739998.32260000007
"165","0120075",498.02000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.95911000000,48.22026800000,"01","01252","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,23672.62930020000,4941889.41610000003
"166","0120077",608.43000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.93952500000,48.23952300000,"01","01252","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,16727.88964990000,6037252.77154999971
"167","0120073",839.43000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.02874600000,48.22224700000,"01","01252","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,33453.22215710000,8329542.07259999961
"168","0120079",1081.84000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.89419700000,48.01132900000,"01","01252","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,22305.21377270000,10741722.21140000038
"169","0120084",1203.38000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.69827200000,48.11405100000,"01","01252","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,23136.99659910000,11944935.07410000078
"170","0120078",1242.62000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.93260800000,48.26216200000,"01","01252","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,44144.41830060000,12328876.92769999988
"171","0120085",1170.23000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.65706300000,48.02009600000,"01","01252","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,25888.05932230000,11619135.69840000011
"172","0120082",1698.02000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.78351500000,48.03690400000,"01","01252","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,54845.66027560000,16858681.77629999816
"173","0120072",1717.41000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.97707100000,48.12730600000,"01","01251","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,40068.72436130000,17046505.94249999896
"174","0120083",1770.54000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.72305300000,48.07139000000,"01","01252","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,34802.23915390000,17576888.80889999866
"175","0120081",1882.35000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.78593100000,48.09047500000,"01","01252","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,35751.21934050000,18685867.65089999884
"176","0120086",173.95000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.66755500000,48.36428100000,"01","01253","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,8206.77614884000,1725483.55949999997
"177","0120102",773.11000000000,"Procédé de régénération, Traitement d'éducation",-66.95721300000,48.30254500000,"11","01253","1",O,N,N,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,18221.78082410000,7669889.20579999965
"178","0120103",1277.48000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.92175500000,48.27785500000,"11","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,36169.64933100000,12674640.03289999999
"179","0120092",323.95000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.33535400000,48.26214200000,"01","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,14272.44539690000,3214262.73639999982
"180","0120095",227.67000000000,Traitement d'éducation,-67.32308900000,47.97800000000,"11","01253","1",O,N,N,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,8483.18788688000,2260783.80480000004
"181","0120096",407.05000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.30219200000,47.95941400000,"11","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,14578.53015590000,4042342.94989999989
"182","0120091",808.19000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.37322800000,48.10711900000,"11","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,29840.99785520000,8022187.22470000014
"183","0120093",1044.97000000000,"Traitement de site, Traitement d'éducation",-67.30793000000,48.11219800000,"01","01253","1",O,O,N,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,34363.04501090000,10372740.66599999927
"184","0120097",1123.38000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.23917000000,48.02281700000,"11","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,45361.70394510000,11153744.53700000048
"185","0120100",1504.66000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.09418700000,48.41476500000,"01","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,26617.79289030000,14922051.32000000030
"186","0120098",1522.47000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.21329600000,48.48722700000,"01","01253","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,34409.50278480000,15096410.91510000080
"187","0120099",2134.29000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.09152900000,48.37199000000,"01","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,49758.75969850000,21169631.05609999970
"188","0120101",2251.00000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.91432300000,48.38980400000,"01","01253","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,40467.40840830000,22326611.07649999857
"189","0120055",1325.11000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-68.35498400000,48.03151000000,"01","01251","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,39154.36737630000,13156038.75899999961
"190","0120094",2165.24000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.35175900000,48.07900700000,"11","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,60560.71685970000,21494687.59600000083
"191","0120087",2646.59000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.50788300000,48.17770200000,"01","01253","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,37892.12729480000,26265321.13989999890
"192","0120088",2968.73000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.48360900000,48.25616200000,"01","01253","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,63933.94959120000,29456077.99300000072
"193","0120090",4615.45000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.41281700000,48.24674300000,"01","01253","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,89046.40219350001,45797306.45340000093
"194","0120089",9939.79000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.43726900000,48.15363200000,"01","01253","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,173336.59685599999,98646711.14820000529
"195","0120125",994.79000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.94945000000,48.90274400000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,38047.07598940000,9853096.28425000049
"196","0120119",625.45000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.06444300000,48.77174100000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,15225.43487760000,6197097.99299999978
"197","0120114",467.89000000000,"Traitement de site, Traitement de régénération artificielle,",-67.15288800000,48.73519800000,"01","01254","1",O,O,O,N,N,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,18302.51488350000,4636309.26274999976
"198","0120108",405.42000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.29756700000,48.75921600000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,19654.40911790000,4017188.68014999991
"199","0120121",246.14000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.00685200000,48.80080600000,"01","01254","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,8263.06750957000,2438627.66179999989
"200","0120117",712.00000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.06751300000,48.60518500000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,28223.32319370000,7057680.98374999966
"201","0120112",1820.54000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.12230500000,48.57595300000,"01","01254","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,56408.93566410000,18047937.67570000142
"202","0120107",7990.47000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.23651500000,48.66054600000,"01","01254","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,251429.99721999999,79179681.24079999328
"203","0120109",1705.08000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.25326100000,48.61715700000,"01","01254","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,36429.43183810000,16900890.24340000004
"204","0120111",1758.34000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.19052400000,48.59631300000,"01","01254","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,57910.62197740000,17430176.87539999932
"205","0120127",1237.29000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.87521600000,48.94834300000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,41571.71907950000,12253978.23210000060
"206","0120113",1040.06000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.18752200000,48.66720500000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,36884.21914920000,10307884.50280000083
"207","0120120",1138.45000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.04310600000,48.80982400000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,34955.97178330000,11278855.59809999913
"208","0120123",851.87000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.04568500000,48.92534700000,"01","01254","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,31379.40580200000,8437516.76390000060
"209","0120128",770.73000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.87240000000,48.92023600000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,20189.52819390000,7633906.76164999977
"210","0120122",735.85000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.94804000000,48.64636900000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,28415.00754760000,7293314.51824999973
"211","0120126",508.07000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.94035200000,48.89210200000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,22953.41999720000,5032551.57524999976
"212","0120104",399.44000000000,Traitement d'éducation,-67.31596600000,48.59641200000,"01","01254","1",O,N,N,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,13194.01673380000,3959541.26970000006
"213","0120116",476.91000000000,"Traitement de site, Traitement de régénération artificielle,",-67.11890200000,48.79958600000,"01","01254","1",O,O,O,N,N,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,15869.23928700000,4725012.76604999974
"214","0120124",436.46000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.99999600000,48.91641700000,"01","01254","1",O,O,O,O,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,14114.22620880000,4322956.94340000022
"215","0120105",372.16000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.30409100000,48.66615400000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,17172.22348830000,3688631.07134999987
"216","0120106",299.88000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.30891200000,48.68744200000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,9967.52179827000,2971953.64669999992
"217","0120115",141.44000000000,,-67.15087700000,48.80003600000,"01","01254","1",N,N,N,N,N,AIPL 2013-2018 (15 %),2013-2018,17/05/03,2021/02/01,6492.22049522000,1401329.30695000011
"218","0120118",1525.49000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-67.03367200000,48.62546400000,"01","01254","1",O,O,O,N,O,AIPL 2013-2018 (15 %)  Circuit panoramique R0100,2013-2018,17/05/03,2021/02/01,49632.86146210000,15120425.95490000024
"219","0120110",248.71000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-67.21854800000,48.64011900000,"01","01254","1",O,O,O,O,O,AIPL 2013-2018 (15 %)  Circuit panoramique R0100,2013-2018,17/05/03,2021/02/01,15676.81699540000,2465157.31165000005
"220","1116105",333.67000000000,,-66.42054200000,48.51826400000,"01","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,21266.55426460000,3308226.07159999991
"221","1116107",200.22000000000,,-66.47652000000,48.54505900000,"01","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,12934.26618340000,1985036.94545000000
"222","1116118",235.70000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.54407500000,48.67902600000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,11577.46854280000,2335974.79854999995
"223","1116130",315.59000000000,"Traitement de site, Traitement de régénération artificielle,",-66.60315800000,48.19058200000,"11","11161","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,19479.65417490000,3131961.13734999998
"224","1116144",118.11000000000,"Procédé de régénération,",-66.45437000000,48.23105700000,"11","11161","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,8265.30555350000,1172021.26960000000
"225","1116167",183.27000000000,"Procédé de régénération,",-65.67635200000,48.35746700000,"11","11161","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,15928.36287800000,1817879.12409999990
"226","1126204",262.77000000000,,-64.63622800000,48.89694400000,"11","11262","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,10618.64773350000,2602743.36945000011
"227","1126221",174.16000000000,,-64.99904400000,49.01644200000,"11","11262","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,9732.07715391000,1724599.04780000006
"228","1126242",147.85000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-64.98168400000,48.84434000000,"11","11262","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,15462.87301060000,1464658.65250000008
"229","1126250",303.54000000000,"Procédé de régénération,",-64.88162900000,48.52511300000,"11","11262","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,17763.64966080000,3009479.78274999978
"230","1126254",139.72000000000,,-64.80249900000,48.41452900000,"11","11262","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,10170.68475860000,1385676.82789999992
"231","1126272",267.31000000000,,-65.15250000000,48.23000700000,"11","11262","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,20071.83702130000,2652488.50554999989
"232","1126274",267.69000000000,,-65.11016600000,48.24202500000,"11","11262","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,14990.64729380000,2656176.78780000005
"233","1126311",163.36000000000,,-65.26299400000,49.02115200000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,11054.92726510000,1617569.23494999995
"234","1126318",141.44000000000,,-65.70108100000,49.04159500000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,11633.67505790000,1400506.58730000001
"235","1126321",119.08000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-65.11991100000,49.16571000000,"11","11263","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,10718.68284590000,1178760.23564999993
"236","1126342",129.35000000000,,-65.29363800000,48.84439900000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,6273.20176960000,1281398.60455000005
"237","1126346",366.70000000000,,-65.17348100000,48.93945000000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,17945.01189620000,3631852.12199999997
"238","1126347",145.34000000000,,-65.16750300000,48.95738200000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,7642.44654131000,1439375.17620000010
"239","1126350",167.61000000000,"Traitement de site, Traitement de régénération artificielle,",-65.66820400000,48.89027500000,"11","11263","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,7342.03492470000,1660263.46930000000
"240","1126362",155.12000000000,,-65.76897400000,49.15276100000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,8327.25606959000,1535522.70325000002
"241","1126363",123.55000000000,,-65.67631200000,48.87582300000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,7904.02364554000,1223853.85275000008
"242","1126373",137.64000000000,,-65.86485500000,49.18699200000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,6978.41992142000,1362436.08810000005
"243","1116101",541.88000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.38941300000,48.71670600000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,34385.08735540000,5369863.05649999995
