ï»¿NUM_TRONCON,CATEG_TRC,WKT
21,Autoroute,"LINESTRING  ( 282621.99770000 5046926.48430000, 282637.01930000 5046932.70840000, 282841.99670000 5047017.20750000, 283209.85000000 5047168.85000000, 283667.99910000 5047359.77790000)"
22,Autoroute,"LINESTRING  ( 283667.99910000 5047359.77790000, 283948.91610000 5047476.84650000, 283982.03560000 5047491.45210000, 284014.85730000 5047506.71530000, 284047.36790000 5047522.63020000, 284079.55460000 5047539.19050000, 284111.40460000 5047556.38940000, 284142.90520000 5047574.22030000, 284174.04380000 5047592.67590000, 284204.80820000 5047611.74900000, 284235.18600000 5047631.43190000, 284265.16510000 5047651.71680000, 284294.73360000 5047672.59570000, 284323.87980000 5047694.06020000, 284352.59200000 5047716.10180000, 284380.85890000 5047738.71180000, 284408.66920000 5047761.88110000, 284436.01170000 5047785.60050000, 284462.87570000 5047809.86060000, 284489.25050000 5047834.65160000, 284515.12550000 5047859.96390000, 285205.11610000 5048474.01990000, 285664.47620000 5048885.64410000, 285791.24730000 5048999.12270000, 286048.44220000 5049229.34950000)"
23,Autoroute,"LINESTRING  ( 286048.44220000 5049229.34950000, 286361.28180000 5049509.38640000, 286393.41990000 5049535.83820000, 286425.98540000 5049561.76190000, 286458.96970000 5049587.15060000, 286492.36400000 5049611.99750000, 286526.15940000 5049636.29610000, 286560.34680000 5049660.03990000, 286594.91730000 5049683.22250000, 286629.86160000 5049705.83770000, 286665.17030000 5049727.87960000, 286846.51030000 5049821.88290000)"
24,Autoroute,"LINESTRING  ( 286846.51030000 5049821.88290000, 286995.42340000 5049899.07670000, 287457.68100000 5050120.84530000, 287485.74700000 5050134.31000000)"
25,Autoroute,"LINESTRING  ( 287485.74700000 5050134.31000000, 287532.46820000 5050156.72450000, 287943.07410000 5050350.22720000, 287975.87790000 5050367.53190000, 288008.33410000 5050385.48020000, 288040.43010000 5050404.06490000, 288072.15340000 5050423.27900000, 288103.49160000 5050443.11480000, 288134.43260000 5050463.56480000, 288164.96430000 5050484.62090000, 288195.07480000 5050506.27500000, 288224.75260000 5050528.51860000, 288253.98590000 5050551.34310000, 288282.76340000 5050574.73970000, 288311.07400000 5050598.69910000, 288338.90660000 5050623.21220000, 288366.25050000 5050648.26930000, 288393.09490000 5050673.86080000, 288419.42940000 5050699.97660000, 288445.24390000 5050726.60660000, 288470.52820000 5050753.74050000, 288495.27260000 5050781.36770000, 288519.46730000 5050809.47750000, 288784.32670000 5051171.93370000)"
26,Autoroute,"LINESTRING  ( 288784.32670000 5051171.93370000, 288857.47590000 5051272.03740000, 288883.08930000 5051301.42290000, 288909.26910000 5051330.30490000, 288936.00530000 5051358.67260000, 288963.28790000 5051386.51520000, 288991.10660000 5051413.82230000, 289019.45080000 5051440.58340000, 289048.30990000 5051466.78850000, 289077.67290000 5051492.42770000, 289107.52870000 5051517.49120000, 289137.86610000 5051541.96970000, 289168.67360000 5051565.85390000, 289199.93950000 5051589.13460000, 289231.65210000 5051611.80330000, 289263.79930000 5051633.85120000, 289296.36900000 5051655.27000000, 289329.34890000 5051676.05170000, 289362.72650000 5051696.18840000, 289681.69260000 5051894.39120000, 290543.48710000 5052433.36520000, 291112.71140000 5052789.18700000, 291184.64650000 5052834.15360000)"
27,Autoroute,"LINESTRING  ( 291184.64650000 5052834.15360000, 291477.86470000 5053017.44420000, 291585.38430000 5053088.36830000, 291630.01220000 5053120.81200000, 291659.46450000 5053143.39330000, 291688.46100000 5053166.55700000, 291716.99030000 5053190.29390000, 291745.04090000 5053214.59440000, 291772.60170000 5053239.44910000, 291799.66190000 5053264.84800000, 291826.21060000 5053290.78100000, 291852.23730000 5053317.23790000, 291877.73170000 5053344.20810000, 291902.68360000 5053371.68090000, 291927.08320000 5053399.64540000, 291950.92080000 5053428.09050000, 291974.18680000 5053457.00500000, 291996.87210000 5053486.37730000, 292018.96770000 5053516.19580000, 292040.46470000 5053546.44860000, 292061.35470000 5053577.12370000, 292081.62930000 5053608.20900000, 292101.28050000 5053639.69210000, 292120.30050000 5053671.56050000, 292138.36020000 5053703.22440000, 292155.79670000 5053735.23570000, 292172.60340000 5053767.58200000, 292188.77390000 5053800.25110000, 292204.30190000 5053833.23040000, 292219.18150000 5053866.50730000, 292233.40700000 5053900.06900000, 292246.97300000 5053933.90270000)"
29,Autoroute,"MULTILINESTRING  (( 293162.78050000 5055777.95890000, 293278.14310000 5056012.05730000, 293291.71270000 5056043.65100000, 293304.66510000 5056075.50260000, 293316.99540000 5056107.60020000, 293328.69880000 5056139.93170000, 293339.77110000 5056172.48470000, 293350.20800000 5056205.24690000, 293360.00550000 5056238.20600000, 293369.15990000 5056271.34950000, 293382.73830000 5056330.50140000, 293395.57810000 5056389.81810000, 293407.67730000 5056449.29020000, 293419.03390000 5056508.90860000, 293429.64630000 5056568.66390000, 293439.51270000 5056628.54690000, 293448.63170000 5056688.54840000, 293457.00180000 5056748.65880000, 293455.06100000 5057011.61430000),( 293453.82680000 5057019.59260000, 293404.08500000 5057374.13500000, 293298.94170000 5057789.85560000))"
15,Autoroute,"LINESTRING  ( 295141.90610000 5055695.99880000, 295024.86220000 5055848.36450000, 294847.88960000 5056065.80080000, 294814.25350000 5056107.12760000, 294759.85920000 5056174.64320000)"
16,Autoroute,"LINESTRING  ( 294759.85920000 5056174.64320000, 294755.44200000 5056180.12600000, 294508.58350000 5056486.53370000, 294452.30280000 5056556.39100000, 294333.24220000 5056695.88210000)"
17,Autoroute,"LINESTRING  ( 294333.24220000 5056695.88210000, 294318.15870000 5056713.55380000, 294289.82900000 5056742.84060000, 294260.95080000 5056771.58660000, 294231.53440000 5056799.78160000, 294201.59020000 5056827.41550000, 294171.12900000 5056854.47840000, 294140.16170000 5056880.96070000, 294108.69940000 5056906.85290000, 294076.75320000 5056932.14570000, 294044.33460000 5056956.83010000, 294011.45520000 5056980.89730000, 293978.12670000 5057004.33870000, 293944.36110000 5057027.14590000, 293910.17040000 5057049.31070000, 293881.19270000 5057067.81680000, 293852.63830000 5057086.96970000, 293824.52170000 5057106.75960000, 293796.85710000 5057127.17660000, 293769.65840000 5057148.21030000, 293742.93950000 5057169.85020000, 293716.71370000 5057192.08520000, 293690.99450000 5057214.90420000, 293665.79470000 5057238.29550000, 293641.12720000 5057262.24750000, 293617.00430000 5057286.74790000, 293593.43830000 5057311.78440000, 293570.44100000 5057337.34440000, 293548.02420000 5057363.41490000, 293526.19910000 5057389.98270000, 293504.97670000 5057417.03450000, 293484.36790000 5057444.55650000, 293464.38290000 5057472.53480000, 293445.03200000 5057500.95530000, 293427.49250000 5057528.24930000, 293410.58220000 5057555.93760000, 293394.31000000 5057584.00560000, 293378.68430000 5057612.43860000, 293363.71330000 5057641.22170000, 293349.40490000 5057670.33990000, 293335.76660000 5057699.77780000, 293322.80550000 5057729.52020000, 293310.52840000 5057759.55140000, 293298.94170000 5057789.85560000, 293281.07820000 5057860.48520000)"
4,Autoroute,"LINESTRING  ( 279063.52260000 5048237.42100000, 279066.25110000 5048233.82010000, 279085.76700000 5048208.06420000, 279193.19600000 5048066.28510000, 279193.94830000 5048065.29220000, 279350.67180000 5047858.45690000, 279384.83750000 5047813.36690000, 279496.93150000 5047665.43120000, 279501.21020000 5047659.78440000, 279506.07730000 5047653.37100000, 279563.75520000 5047577.36970000, 279619.26850000 5047504.22060000, 279711.49210000 5047384.39820000)"
13,Autoroute,"LINESTRING  ( 288777.17860000 5052662.17530000, 288694.88550000 5052761.99090000, 288444.45000000 5053088.00000000)"
33,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 286506.88440000 5055625.61560000, 286472.83700000 5055672.02300000, 286411.50000000 5055767.32500000, 286408.90000000 5055771.65000000, 286345.61130000 5055881.89240000, 286324.35970000 5055918.76700000, 286277.55910000 5056009.91350000, 286251.05330000 5056066.12660000, 286217.48270000 5056141.43600000, 286111.56610000 5056389.65220000, 285942.87730000 5056784.97570000, 285898.67980000 5056886.96300000, 285883.52890000 5056919.07670000, 285860.43950000 5056968.01670000, 285831.11790000 5057025.88870000, 285816.47620000 5057053.09820000, 285801.83440000 5057080.30770000, 285759.13130000 5057152.10410000, 285745.93670000 5057172.76470000, 285726.67600000 5057202.92390000, 285703.36050000 5057236.17140000, 285678.33780000 5057269.58040000, 285613.25000000 5057356.25000000, 285611.73670000 5057358.06790000)"
34,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 285611.73670000 5057358.06790000, 285609.27500000 5057361.02500000, 285605.30000000 5057365.80000000, 285537.03410000 5057443.20090000, 285340.57610000 5057653.11500000, 285201.28450000 5057794.41810000, 285138.32250000 5057861.12220000, 285063.04070000 5057940.39840000, 285035.99550000 5057968.39330000)"
32,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 288444.45000000 5053088.00000000, 287888.11950000 5053806.29140000, 287696.68780000 5054055.06850000, 287626.57300000 5054146.08530000, 287168.30050000 5054740.71740000, 287098.17230000 5054831.93740000, 287028.95770000 5054923.49220000, 286663.97800000 5055411.85500000, 286614.85960000 5055478.44290000, 286506.88440000 5055625.61560000)"
35,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 293345.87780000 5051037.74360000, 293148.18560000 5051223.78840000, 293033.07580000 5051334.12990000, 292998.03270000 5051371.17970000, 292964.16540000 5051408.86330000, 292924.53950000 5051456.37910000, 292922.59030000 5051458.71640000)"
38,Voie Ã  fort dÃ©bit de circulation,"MULTILINESTRING  (( 277519.77060000 5044831.09050000, 277521.14780000 5044831.27320000, 277560.11800000 5044836.44310000, 277597.02450000 5044840.54380000, 277669.03090000 5044849.55520000, 277824.65620000 5044864.88720000, 277871.05410000 5044867.35450000, 277922.75660000 5044868.79980000, 278078.79020000 5044870.35520000, 278147.61540000 5044876.50830000, 278308.16890000 5044894.16460000, 278368.80800000 5044903.57700000, 278427.73610000 5044914.99730000, 278499.02950000 5044932.59050000, 278569.47910000 5044953.96630000, 278629.22710000 5044974.83170000, 278682.10520000 5044996.06050000, 278738.98270000 5045021.49510000, 278786.55600000 5045044.41360000, 278841.91950000 5045075.30770000, 278906.08590000 5045114.04350000, 278959.98550000 5045147.59420000, 278964.70270000 5045150.53050000, 279544.11370000 5045511.19420000, 279766.68140000 5045653.43070000),( 279766.37440000 5045654.39280000, 279948.34980000 5045762.10910000))"
37,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 292058.60980000 5052570.17020000, 291630.01220000 5053120.81200000)"
12,Autoroute,"LINESTRING  ( 289943.40900000 5050545.36070000, 289940.39730000 5050550.64950000, 289884.17320000 5050654.82940000, 289830.97340000 5050756.81020000, 289820.22140000 5050777.49410000, 289744.54260000 5050931.60530000, 289722.29050000 5050976.51450000, 289721.81720000 5050977.46800000, 289662.41580000 5051096.70560000, 289613.73230000 5051193.64910000, 289515.09550000 5051391.13450000, 289362.72650000 5051696.18840000, 289223.80270000 5051973.61130000, 289199.57360000 5052022.34740000, 289174.71970000 5052070.76790000, 289149.24500000 5052118.86470000, 289123.15390000 5052166.62980000, 289096.45050000 5052214.05550000, 289069.13940000 5052261.13370000, 289043.07690000 5052303.25480000, 289016.37130000 5052344.97110000, 288989.02880000 5052386.27280000, 288961.05590000 5052427.15020000, 288932.45910000 5052467.59360000, 288903.24530000 5052507.59350000, 288869.01600000 5052550.54110000, 288834.35430000 5052593.14060000, 288799.26380000 5052635.38750000, 288777.17860000 5052662.17530000)"
10,Autoroute,"LINESTRING  ( 291779.64880000 5048485.90620000, 291575.40010000 5048752.22050000, 291276.93210000 5049139.42070000, 291256.67220000 5049166.56240000, 291235.80170000 5049193.23750000, 291214.33130000 5049219.43210000, 291192.27210000 5049245.13280000, 291177.53200000 5049260.44840000, 291162.28740000 5049275.26180000, 291146.55530000 5049289.55650000, 291130.35350000 5049303.31650000, 291113.70000000 5049316.52630000, 291096.61350000 5049329.17110000, 291079.11330000 5049341.23670000, 291065.53600000 5049350.04220000, 291051.63650000 5049358.32980000, 291037.43470000 5049366.08780000, 291022.95060000 5049373.30520000, 291008.20480000 5049379.97170000, 290908.08630000 5049424.84520000, 290821.09110000 5049464.00360000, 290802.84060000 5049472.92040000, 290784.92510000 5049482.49230000, 290767.36790000 5049492.70680000, 290750.19210000 5049503.55030000, 290734.25460000 5049514.41750000, 290718.70020000 5049525.82630000, 290703.54740000 5049537.76330000, 290688.81400000 5049550.21440000, 290674.51770000 5049563.16480000, 290660.67510000 5049576.59930000, 290647.30280000 5049590.50180000, 290634.41650000 5049604.85610000, 290622.03150000 5049619.64500000, 290437.65720000 5049857.54720000)"
7,Autoroute,"LINESTRING  ( 283807.94760000 5048921.34750000, 283833.22140000 5048923.84990000, 283858.41340000 5048927.07400000, 283883.50290000 5048931.01720000, 283908.46930000 5048935.67620000, 283933.29230000 5048941.04720000, 283957.95160000 5048947.12580000, 284213.27500000 5049043.69890000, 284235.69500000 5049049.74030000, 284258.30260000 5049055.03650000, 284281.07310000 5049059.58200000, 284303.98150000 5049063.37160000, 284327.00270000 5049066.40120000, 284350.11160000 5049068.66750000, 284373.28280000 5049070.16800000, 284396.49090000 5049070.90110000, 284419.71060000 5049070.86600000, 284442.91640000 5049070.06270000, 284466.08300000 5049068.49200000, 284489.18490000 5049066.15580000, 284512.19680000 5049063.05650000, 284535.09360000 5049059.19760000, 284557.85030000 5049054.58330000, 284580.44180000 5049049.21870000, 284602.84340000 5049043.10950000, 284625.03060000 5049036.26250000, 284646.97920000 5049028.68520000, 284668.66510000 5049020.38600000, 284690.06450000 5049011.37380000, 284711.15410000 5049001.65850000, 284731.91070000 5048991.25080000, 284752.31160000 5048980.16210000, 284772.33440000 5048968.40460000, 284791.95730000 5048955.99100000, 284811.15880000 5048942.93500000, 284829.91780000 5048929.25090000, 284848.21380000 5048914.95360000, 284926.32860000 5048841.29220000, 285205.11610000 5048474.01990000, 285230.60000000 5048440.44770000, 285660.90000000 5047863.45000000, 286289.18950000 5047023.21350000, 286698.70000000 5046481.45000000, 286880.28040000 5046235.14120000, 287189.10000000 5045858.20000000, 287410.34700000 5045592.15240000, 287605.14980000 5045332.69690000, 287716.21920000 5045184.76490000, 287717.85470000 5045182.36460000)"
28,Autoroute,"LINESTRING  ( 292246.97300000 5053933.90270000, 292252.61600000 5053948.56770000, 292445.92900000 5054332.51540000, 293097.16770000 5055644.81490000, 293162.78050000 5055777.95890000)"
18,Autoroute,"LINESTRING  ( 293281.07820000 5057860.48520000, 293197.70960000 5058190.11160000, 293120.45110000 5058578.52080000, 293114.91220000 5058611.86220000, 293110.08240000 5058645.31360000, 293105.96400000 5058678.86010000, 293102.55880000 5058712.48650000, 293099.86830000 5058746.17750000, 293097.89370000 5058779.91810000, 293096.63590000 5058813.69300000, 293096.09560000 5058847.48710000, 293096.27290000 5058881.28490000, 293097.16770000 5058915.07140000, 293100.17620000 5059086.65530000, 293119.39280000 5059771.26480000, 293133.15110000 5060267.62410000, 293129.97610000 5060572.42470000, 293118.33440000 5060719.53340000, 293095.99100000 5060954.52480000)"
2,Autoroute,"LINESTRING  ( 280669.79640000 5046116.55830000, 280671.80900000 5046113.91990000, 280677.62560000 5046106.37380000, 280696.29490000 5046082.15300000, 280871.08080000 5045855.39510000, 280878.16250000 5045846.20760000, 281120.76290000 5045526.07860000, 281120.90460000 5045525.89060000, 281181.57680000 5045445.40140000, 281205.60440000 5045413.52590000, 281206.98300000 5045411.69710000, 281218.45770000 5045396.65530000, 281281.41180000 5045314.13180000, 281332.44430000 5045246.96130000, 281350.79940000 5045222.80190000, 281450.50010000 5045089.00390000, 281521.31280000 5044995.46280000, 281568.14180000 5044933.60510000, 281579.29800000 5044918.79820000, 281586.59240000 5044909.11680000, 281592.95300000 5044900.67850000, 281663.35360000 5044807.47600000, 281750.32360000 5044694.31260000, 281755.39090000 5044687.71920000, 281948.66680000 5044433.59890000, 282039.68230000 5044311.26250000, 282152.26550000 5044149.39780000, 282560.93910000 5043560.36400000, 283017.04150000 5042908.65050000, 283134.73520000 5042739.63210000, 283139.77520000 5042732.39420000)"
9,Autoroute,"LINESTRING  ( 280443.76120000 5052263.67330000, 280767.38990000 5051946.81220000, 280783.28440000 5051929.60030000, 280798.62850000 5051911.89600000, 280813.40700000 5051893.71680000, 280827.60500000 5051875.08080000, 280841.20860000 5051856.00660000, 280854.20410000 5051836.51300000, 280866.57880000 5051816.61940000, 280878.32020000 5051796.34570000, 280889.41680000 5051775.71200000, 280899.85740000 5051754.73870000, 280909.63170000 5051733.44680000, 280918.73010000 5051711.85730000, 280927.14340000 5051689.99180000, 280934.86330000 5051667.87200000, 280941.88210000 5051645.51980000, 280948.19290000 5051622.95740000, 280953.78930000 5051600.20740000, 281013.21620000 5051293.04960000, 281057.68870000 5051056.32070000)"
8,Autoroute,"LINESTRING  ( 281057.68870000 5051056.32070000, 281100.96680000 5050825.94980000, 281146.74810000 5050582.25400000, 281152.80750000 5050559.06280000, 281159.61510000 5050536.08000000, 281167.16370000 5050513.32990000, 281175.44550000 5050490.83640000, 281184.45170000 5050468.62290000, 281194.17290000 5050446.71290000, 281204.59890000 5050425.12940000, 281215.71870000 5050403.89500000, 281227.52060000 5050383.03200000, 281239.99230000 5050362.56240000, 281253.12060000 5050342.50760000, 281266.89180000 5050322.88860000, 281281.29140000 5050303.72610000, 281296.30440000 5050285.04030000, 281311.91480000 5050266.85060000, 281328.10640000 5050249.17630000, 281344.86210000 5050232.03590000, 281362.16440000 5050215.44730000, 281379.99510000 5050199.42800000, 281398.33540000 5050183.99490000, 281417.16610000 5050169.16400000, 281436.46740000 5050154.95110000, 282107.05180000 5049752.03320000, 282326.23480000 5049620.33800000, 283234.31480000 5049071.48020000, 283255.59350000 5049057.47780000, 283277.26510000 5049044.09140000, 283299.31170000 5049031.33200000, 283321.71510000 5049019.21020000, 283344.45700000 5049007.73580000, 283367.51860000 5048996.91850000, 283390.88100000 5048986.76690000, 283414.52490000 5048977.28960000, 283438.43080000 5048968.49430000, 283462.57920000 5048960.38820000, 283486.95010000 5048952.97800000, 283511.52360000 5048946.26980000, 283536.27930000 5048940.26910000, 283561.19690000 5048934.98090000, 283586.25590000 5048930.40950000, 283611.43580000 5048926.55870000, 283636.71570000 5048923.43150000, 283662.07490000 5048921.03070000, 283687.49250000 5048919.35820000, 283711.58740000 5048918.44720000, 283735.69810000 5048918.19070000, 283759.80690000 5048918.58890000, 283783.89600000 5048919.64140000, 283807.94760000 5048921.34750000)"
1,Autoroute,"LINESTRING  ( 283139.77520000 5042732.39420000, 283139.83440000 5042732.30920000, 283143.22660000 5042727.47760000, 283227.63520000 5042607.25350000, 283309.26290000 5042490.99010000, 283316.45190000 5042480.75080000, 283324.00000000 5042470.00000000, 283728.02260000 5041888.72860000, 283781.86960000 5041811.25850000, 283990.12340000 5041511.64180000, 284102.23300000 5041354.30370000, 284115.57060000 5041334.78620000)"
14,Autoroute,"LINESTRING  ( 295447.60180000 5055287.32980000, 295216.85730000 5055598.42860000, 295141.90610000 5055695.99880000)"
6,Autoroute,"LINESTRING  ( 287717.85470000 5045182.36460000, 288059.21000000 5044681.36000000, 288105.83280000 5044624.09000000, 288211.40180000 5044526.45860000, 288221.00600000 5044517.99130000)"
5,Autoroute,"LINESTRING  ( 278448.79200000 5049049.63350000, 278588.34290000 5048866.25060000, 278636.32490000 5048803.45080000, 278858.35650000 5048509.26230000, 278869.19700000 5048494.89880000, 279059.42070000 5048242.85530000, 279063.38240000 5048237.60610000, 279063.52260000 5048237.42100000)"
3,Autoroute,"LINESTRING  ( 279711.49210000 5047384.39820000, 279806.43460000 5047261.04320000, 279829.53490000 5047230.33940000, 279834.43870000 5047223.82150000, 279852.41930000 5047200.39940000, 279887.67290000 5047152.85760000, 279892.64120000 5047146.15760000, 279950.50040000 5047068.27940000, 280008.64030000 5046987.68220000, 280033.49650000 5046955.48590000, 280070.36420000 5046906.50600000, 280098.57360000 5046869.02900000, 280114.87360000 5046847.50000000, 280310.44610000 5046589.18810000, 280467.58890000 5046381.63410000, 280645.49740000 5046148.41210000, 280645.50180000 5046148.40620000, 280660.48460000 5046128.76520000, 280669.79640000 5046116.55830000)"
