ROUTE_CMM,WKT
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 276258.70544343 5042523.43696470, 276199.60054343 5042497.37496470, 276190.98614343 5042494.43346470, 276182.19434343 5042492.07516470, 276173.26434343 5042490.31036470, 276164.23624343 5042489.14726470, 276155.15054343 5042488.59086470, 276077.15114343 5042488.59086470, 276022.54104343 5042488.48506470, 275968.64134343 5042488.30556470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 282349.20774343 5042130.60226470, 282317.74974343 5042122.06576470, 282310.02864343 5042119.92426470, 282302.40384343 5042117.46196470, 282284.67674343 5042111.69406470, 282279.43804343 5042110.05366470, 282229.90794343 5042094.86646470, 282177.20284343 5042079.09736470, 282167.70574343 5042076.52856470, 282158.15274343 5042074.17606470, 282136.13934343 5042068.83146470, 282084.28094343 5042055.97266470, 282071.61844343 5042053.13626470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 281821.69474343 5042028.85086470, 281812.79574343 5042028.90226470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 282071.61844343 5042053.13626470, 282059.37784343 5042050.72236470, 282047.08044343 5042048.61726470, 282032.75414343 5042046.70506470, 282018.39954343 5042045.01886470, 281980.61694343 5042041.15596470, 281954.68774343 5042038.88056470, 281923.89024343 5042035.97016470, 281879.49304343 5042031.89556470, 281848.58964343 5042029.51426470, 281837.27674343 5042028.79826470, 281825.94124343 5042028.82636470, 281821.69474343 5042028.85086470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 280649.05454343 5042281.98816470, 280660.82574343 5042278.02706470, 280700.57944343 5042264.07036470, 280721.31764343 5042256.37176470, 280741.91774343 5042248.31066470, 280762.37334343 5042239.88976470, 280797.53394343 5042224.42536470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 280800.70004343 5042231.72386470, 280776.87304343 5042242.09636470, 280752.92774343 5042252.19286470, 280724.19574343 5042263.60566470, 280695.22164343 5042274.38906470, 280650.83014343 5042289.56866470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285632.77294343 5043236.42036470, 285631.59124343 5043235.17446470, 285630.84334343 5043234.49546470, 285629.99214343 5043233.95146470, 285629.06174343 5043233.55806470, 285628.07854343 5043233.32626470, 285627.07034343 5043233.26266470, 285626.06584343 5043233.36916470, 285615.94224343 5043235.31486470, 285612.10814343 5043236.30116470, 285608.42514343 5043237.75336470, 285604.94964343 5043239.64926470, 285582.29814343 5043253.89086470, 285579.64604343 5043255.26546470, 285576.80314343 5043256.18266470, 285573.84774343 5043256.61696470, 285570.86124343 5043256.55656470, 285567.92584343 5043256.00296470, 285565.12234343 5043254.97166470, 285562.52804343 5043253.49086470, 285543.14324343 5043240.17966470, 285541.99494343 5043239.52376470, 285540.75434343 5043239.06596470, 285539.45524343 5043238.81876470, 285538.13314343 5043238.78896470, 285536.82424343 5043238.97736470, 285535.56424343 5043239.37886470, 285530.88224343 5043241.17556470, 285526.06944343 5043242.58496470, 285519.61804343 5043243.81486470, 285513.07084343 5043244.33236470, 285506.50634343 5043244.13106470, 285500.00304343 5043243.21356470, 285493.63914343 5043241.59076470, 285487.49064343 5043239.28216470, 285463.43614343 5043228.71426470, 285454.00614343 5043224.57126470, 285447.24694343 5043221.60176470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285447.24694343 5043221.60176470, 285448.74964343 5043217.98226470, 285460.16294343 5043190.49056470, 285461.74994343 5043185.72966470, 285462.63964343 5043180.79066470, 285462.81394343 5043175.77526470, 285462.26914343 5043170.78646470, 285461.01654343 5043165.92686470, 285459.08174343 5043161.29636470, 285456.50454343 5043156.99016470, 285453.33804343 5043153.09676470, 285449.64734343 5043149.69636470, 285445.50814343 5043146.85866470, 285441.00574343 5043144.64206470, 285436.23254343 5043143.09226470, 285431.28684343 5043142.24096470, 285415.41944343 5043140.66976470, 285412.78954343 5043140.21036470, 285410.25644343 5043139.36706470, 285397.03484343 5043133.84536470, 285387.93284343 5043130.07706470, 285361.61534343 5043119.17676470, 285358.40954343 5043118.12876470, 285355.08114343 5043117.58316470, 285351.70854343 5043117.55276470, 285348.37084343 5043118.03816470, 285339.89974343 5043119.94276470, 285338.91334343 5043120.25606470, 285337.99554343 5043120.73416470, 285337.17344343 5043121.36286470, 285336.47164343 5043122.12346470, 285335.91104343 5043122.99336470, 285333.75874343 5043127.06636470, 285333.24384343 5043127.84426470, 285332.61474343 5043128.53306470, 285331.88664343 5043129.11606470, 285331.07694343 5043129.57936470, 285330.20524343 5043129.91166470, 285329.29264343 5043130.10496470, 285327.16004343 5043130.38546470, 285323.46654343 5043130.87126470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 286876.98254343 5043793.10716470, 286874.24804343 5043791.26176470, 286861.52904343 5043782.67836470, 286860.85144343 5043781.96506470, 286860.29524343 5043781.15356470, 286859.87444343 5043780.26426470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 286382.59644343 5043733.68996470, 286384.28244343 5043734.54996470, 286386.06324343 5043735.19086470, 286387.91054343 5043735.60256470, 286392.05634343 5043735.75006470, 286396.20074343 5043735.56766470, 286406.14594343 5043735.27086470, 286406.19634343 5043735.27226470, 286423.52124343 5043735.75986470, 286427.19514343 5043736.15696470, 286430.75804343 5043737.13736470, 286434.11784343 5043738.67566470, 286437.18804343 5043740.73216470, 286482.46074343 5043776.64476470, 286484.81234343 5043778.21056470, 286487.39084343 5043779.36526470, 286490.12504343 5043780.07706470, 286492.93924343 5043780.32606470, 286495.75594343 5043780.10566470, 286498.49714343 5043779.42176470, 286501.08724343 5043778.29336470, 286523.70534343 5043766.11076470, 286528.31984343 5043763.93336470, 286533.13934343 5043762.25806470, 286538.10954343 5043761.10386470, 286567.51964343 5043755.90356470, 286571.39064343 5043755.49386470, 286575.28104343 5043755.62496470, 286579.11564343 5043756.29436470, 286597.87184343 5043760.93186470, 286600.59834343 5043761.75516470, 286625.30854343 5043770.61166470, 286628.79374343 5043772.13526470, 286637.53764343 5043776.68856470, 286640.10074343 5043778.31146470, 286642.35484343 5043780.34176470, 286644.23594343 5043782.72186470, 286645.69064343 5043785.38396470, 286646.67764343 5043788.25256470, 286647.16884343 5043791.24626470, 286647.15034343 5043794.27986470, 286646.62264343 5043797.26726470, 286642.39244343 5043813.21986470, 286642.18704343 5043814.42146470, 286642.19324343 5043815.64036470, 286642.41084343 5043816.83986470, 286642.83314343 5043817.98336470, 286643.44744343 5043819.03616470, 286644.23514343 5043819.96656470, 286645.17224343 5043820.74616470, 286646.23034343 5043821.35136470, 286647.37744343 5043821.76386470, 286664.27544343 5043826.22306470, 286666.62704343 5043827.02076470, 286668.84644343 5043828.13456470, 286670.89144343 5043829.54316470, 286672.68484343 5043830.97046470, 286674.56864343 5043832.21866470, 286676.64024343 5043833.12186470, 286678.83684343 5043833.65256470, 286681.09224343 5043833.79496470, 286683.33814343 5043833.54456470, 286685.50674343 5043832.90896470, 286687.53254343 5043831.90746470, 286689.35434343 5043830.57026470, 286690.91704343 5043828.93776470, 286692.17334343 5043827.05936470, 286711.07774343 5043792.65756470, 286712.71764343 5043790.17736470, 286714.74654343 5043788.00376470, 286717.10814343 5043786.19706470, 286719.73684343 5043784.80756470, 286722.55974343 5043783.87376470, 286725.49854343 5043783.42146470, 286729.86314343 5043783.14496470, 286794.26344343 5043779.81186470, 286796.65114343 5043779.79016470, 286799.03194343 5043779.97206470, 286808.68744343 5043781.12556470, 286811.77124343 5043781.39346470, 286834.91194343 5043782.65346470, 286841.85984343 5043782.76896470, 286848.79664343 5043782.35966470, 286855.68274343 5043781.42806470, 286859.87444343 5043780.26426470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 286232.57414343 5043674.40526470, 286232.70154343 5043674.39746470, 286236.62074343 5043674.53826470, 286246.35694343 5043676.00056470, 286264.23424343 5043679.29076470, 286266.12054343 5043679.45496470, 286267.64524343 5043679.43736470, 286268.98364343 5043679.17266470, 286277.16514343 5043677.24806470, 286279.08154343 5043676.79726470, 286281.15014343 5043676.59166470, 286283.31484343 5043676.53276470, 286299.55724343 5043676.36726470, 286302.02794343 5043676.68596470, 286304.31694343 5043677.36616470, 286306.30204343 5043678.44116470, 286308.46074343 5043679.79796470, 286310.76914343 5043681.09786470, 286312.84894343 5043681.91686470, 286315.06754343 5043682.94516470, 286317.01424343 5043684.06316470, 286319.15464343 5043685.83616470, 286323.57994343 5043690.09946470, 286327.02594343 5043693.29536470, 286330.06934343 5043695.97526470, 286333.67564343 5043699.09506470, 286336.56654343 5043701.45436470, 286340.56964343 5043704.58196470, 286344.92064343 5043707.77986470, 286348.11844343 5043709.87536470, 286351.93584343 5043711.95136470, 286355.26664343 5043713.74776470, 286357.72174343 5043714.86006470, 286360.41904343 5043716.56456470, 286362.37174343 5043718.19096470, 286362.46934343 5043718.27006470, 286365.76314343 5043720.94116470, 286370.16874343 5043724.58476470, 286375.08274343 5043728.22256470, 286379.25984343 5043731.38526470, 286382.59644343 5043733.68996470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 282073.21604343 5042045.94916470, 282087.79994343 5042049.16386470, 282145.21464343 5042063.31916470, 282165.45524343 5042068.28006470, 282173.12824343 5042070.19826470, 282183.51314343 5042073.17486470, 282206.26734343 5042080.05406470, 282245.02884343 5042091.62956470, 282288.15604343 5042105.12336470, 282310.64564343 5042112.26716470, 282321.26154343 5042115.36396470, 282331.94464343 5042118.22026470, 282346.14494343 5042121.98316470, 282348.12974343 5042122.51686470, 282351.45584343 5042123.25996470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 275968.64134343 5042488.30556470, 275836.71984343 5042487.59116470, 275805.75624343 5042487.40516470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285201.81114343 5042737.04796470, 285203.88044343 5042741.06276470, 285206.69834343 5042747.12556470, 285209.23604343 5042753.97676470, 285210.02764343 5042756.71616470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285210.02764343 5042756.71616470, 285211.36654343 5042761.34916470, 285212.73754343 5042781.72666470, 285216.85774343 5042823.72616470, 285220.72394343 5042859.81936470, 285222.06274343 5042868.41996470, 285223.57414343 5042877.65906470, 285225.33614343 5042894.31286470, 285227.11464343 5042908.79706470, 285229.17004343 5042918.62906470, 285230.51544343 5042924.21296470, 285232.55134343 5042932.35096470, 285234.62644343 5042938.50496470, 285239.51884343 5042953.03786470, 285254.75894343 5042991.13786470, 285267.85724343 5043023.39396470, 285271.02044343 5043030.73386470, 285274.27804343 5043037.30806470, 285278.41274343 5043044.47806470, 285282.42874343 5043050.72716470, 285286.97324343 5043057.80326470, 285295.43994343 5043069.95816470, 285307.14484343 5043086.99346470, 285311.27224343 5043093.74366470, 285314.60784343 5043099.40566470, 285317.21094343 5043105.26656470, 285319.21154343 5043110.99446470, 285321.04834343 5043117.33026470, 285322.38654343 5043123.69446470, 285323.20484343 5043128.75216470, 285323.46654343 5043130.87126470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284654.36524343 5042623.94846470, 284662.30274343 5042620.77346470, 284683.73404343 5042608.07346470, 284690.87784343 5042604.73966470, 284695.32284343 5042603.62846470, 284699.76774343 5042603.46966470, 284738.34414343 5042603.46966470, 284760.98734343 5042603.10946470, 284764.47974343 5042603.15186470, 284772.47554343 5042604.42216470, 284780.41304343 5042606.16836470, 284785.49204343 5042608.10766470, 284789.14424343 5042609.50216470, 284792.81894343 5042611.35886470, 284796.94324343 5042614.24536470, 284800.85514343 5042618.03806470, 284808.03554343 5042625.21846470, 284818.03684343 5042635.21976470, 284856.29564343 5042670.93856470, 284861.69314343 5042675.06606470, 284867.56694343 5042678.71726470, 284874.55194343 5042682.36856470, 284880.74314343 5042684.90856470, 284888.04574343 5042686.49606470, 284899.15824343 5042688.24226470, 284913.92194343 5042690.14736470, 284936.43684343 5042691.83596470, 284982.44664343 5042695.04586470, 285011.39204343 5042696.67546470, 285027.51804343 5042697.52286470, 285043.63424343 5042697.52316470, 285065.66674343 5042698.11656470, 285074.89124343 5042698.09886470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285094.29234343 5042698.06146470, 285101.33604343 5042698.04786470, 285130.18044343 5042698.08756470, 285142.02584343 5042698.61236470, 285150.34284343 5042699.57036470, 285158.93694343 5042701.24836470, 285166.15934343 5042704.03706470, 285171.52494343 5042707.05396470, 285179.20664343 5042712.04836470, 285186.78084343 5042718.46966470, 285192.55684343 5042724.82886470, 285197.13254343 5042729.99366470, 285200.46634343 5042734.43866470, 285201.81114343 5042737.04796470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285074.89124343 5042698.09886470, 285094.29234343 5042698.06146470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284644.69954343 5042627.56566470, 284654.36524343 5042623.94846470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 274837.64644343 5043908.56146470, 274850.86694343 5043890.60506470, 274886.56164343 5043841.29436470, 274918.77824343 5043797.56636470, 274942.15544343 5043765.66796470, 274982.15064343 5043711.29626470, 274985.63774343 5043706.30656470, 275019.38174343 5043660.20456470, 275021.49414343 5043657.75866470, 275023.79974343 5043655.14656470, 275033.90534343 5043644.62356470, 275037.38994343 5043640.76516470, 275047.98984343 5043626.08056470, 275048.60884343 5043625.28826470, 275049.32034343 5043624.63546470, 275049.84844343 5043624.45016470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283459.36694343 5042883.56036470, 283446.45594343 5042906.85096470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284376.52844343 5042943.69376470, 284378.02904343 5042942.78886470, 284379.95354343 5042941.25046470, 284381.83154343 5042939.36336470, 284389.25214343 5042929.22526470, 284407.94884343 5042902.02656470, 284430.68604343 5042870.17026470, 284445.19924343 5042849.35946470, 284467.67484343 5042817.62386470, 284489.25244343 5042786.74246470, 284498.30614343 5042774.50966470, 284509.42614343 5042762.21996470, 284514.07744343 5042757.11666470, 284518.07814343 5042752.85556470, 284523.37874343 5042748.43486470, 284529.64884343 5042743.62656470, 284535.25364343 5042740.00466470, 284538.93814343 5042737.75946470, 284542.54474343 5042735.84036470, 284551.81254343 5042731.26366470, 284559.75004343 5042726.97746470, 284568.32254343 5042722.21486470, 284574.70584343 5042718.19396470, 284581.81764343 5042713.17396470, 284588.16394343 5042708.05926470, 284593.36024343 5042703.55716470, 284597.21514343 5042699.98986470, 284604.99384343 5042691.57606470, 284611.34384343 5042684.11486470, 284619.91644343 5042672.68476470, 284624.53484343 5042667.30836470, 284630.02434343 5042661.35656470, 284633.98914343 5042657.57106470, 284637.69654343 5042654.58716470, 284645.95054343 5042648.71266470, 284648.28634343 5042647.01216470, 284648.99664343 5042645.88826470, 284648.87284343 5042644.11276470, 284640.53934343 5042631.21876470, 284640.60814343 5042629.76526470, 284641.46904343 5042628.77446470, 284644.69954343 5042627.56566470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 281821.78314343 5042021.28256470, 281828.25134343 5042021.41336470, 281838.77324343 5042021.49236470, 281849.27754343 5042022.10596470, 281872.89164343 5042023.82996470, 281892.66934343 5042025.54976470, 281914.43134343 5042027.46796470, 281933.78254343 5042029.35966470, 281977.07154343 5042033.28886470, 282011.66594343 5042036.72846470, 282036.99984343 5042039.57276470, 282048.37694343 5042041.22636470, 282056.90974343 5042042.61546470, 282064.84724343 5042044.13676470, 282073.21604343 5042045.94916470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283751.78804343 5042592.90116470, 283738.70584343 5042596.92906470, 283732.71874343 5042598.12656470, 283726.16174343 5042599.31876470, 283721.22274343 5042600.01016470, 283716.16454343 5042600.50606470, 283709.01654343 5042601.10176470, 283701.99914343 5042601.29946470, 283698.36034343 5042601.20106470, 283692.82164343 5042600.90436470, 283687.36734343 5042600.30936470, 283679.61094343 5042599.41436470, 283671.98784343 5042598.12736470, 283664.85674343 5042596.54266470, 283657.83444343 5042594.66346470, 283650.77524343 5042592.27726470, 283634.48644343 5042586.90286470, 283633.05974343 5042586.43216470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285585.67134343 5043596.28976470, 285603.23124343 5043609.28526470, 285622.95614343 5043624.09166470, 285632.57564343 5043631.20426470, 285640.89314343 5043637.02606470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283750.67834343 5042589.08856470, 283773.16404343 5042581.92646470, 283802.35114343 5042572.23076470, 283856.21024343 5042556.14296470, 283866.17744343 5042553.45176470, 283876.15894343 5042550.95646470, 283883.14414343 5042549.26006470, 283890.11424343 5042547.66686470, 283894.05674343 5042546.87836470, 283900.10704343 5042545.98576470, 283906.16164343 5042545.19156470, 283909.60564343 5042544.89646470, 283913.17724343 5042544.69806470, 283917.35354343 5042544.49916470, 283921.47284343 5042544.40106470, 283926.38034343 5042544.69546470, 283931.30184343 5042545.18766470, 283934.82694343 5042545.77516470, 283940.17154343 5042546.86386470, 283945.40754343 5042548.14826470, 283955.45344343 5042551.13216470, 283965.51064343 5042554.41816470, 283970.96054343 5042556.39986470, 283976.32414343 5042558.58506470, 283986.18824343 5042562.76986470, 283991.01754343 5042565.03676470, 284000.64424343 5042570.02676470, 284009.85714343 5042575.21016470, 284015.87094343 5042578.90136470, 284021.26934343 5042582.64966470, 284024.61164343 5042585.00886470, 284029.66994343 5042588.87706470, 284034.54244343 5042592.85456470, 284056.13504343 5042611.04846470, 284077.73384343 5042629.14736470, 284089.43354343 5042639.04706470, 284101.24044343 5042648.95296470, 284116.14314343 5042661.25516470, 284130.93824343 5042673.55106470, 284138.43144343 5042679.84536470, 284145.86554343 5042686.17446470, 284156.42244343 5042694.01666470, 284163.45574343 5042698.94006470, 284170.58894343 5042703.66196470, 284189.21534343 5042715.27846470, 284214.22824343 5042730.38626470, 284219.41394343 5042733.47776470, 284224.59764343 5042736.76736470, 284230.27054343 5042740.35016470, 284235.83014343 5042744.22216470, 284240.18524343 5042747.38946470, 284243.32754343 5042749.94256470, 284247.88904343 5042754.00826470, 284255.45034343 5042760.64066470, 284261.85084343 5042767.46786470, 284268.67794343 5042774.57946470, 284273.08724343 5042779.55776470, 284277.67494343 5042784.89216470, 284284.58354343 5042793.57766470, 284288.97344343 5042799.76346470, 284293.37604343 5042806.06716470, 284297.97424343 5042812.46476470, 284302.45014343 5042818.92986470, 284306.62014343 5042825.58236470, 284322.62154343 5042851.28446470, 284335.91634343 5042873.27596470, 284345.87794343 5042887.40856470, 284354.08114343 5042902.71466470, 284362.68444343 5042918.42056470, 284376.52844343 5042943.69376470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284371.09194343 5042946.97226470, 284352.91934343 5042912.68636470, 284342.21664343 5042893.08126470, 284330.49144343 5042871.63696470, 284327.89164343 5042867.23716470, 284302.81384343 5042825.07226470, 284296.98234343 5042815.96936470, 284292.00424343 5042809.14206470, 284282.47464343 5042796.05676470, 284273.94064343 5042785.38926470, 284266.40224343 5042776.71296470, 284258.09244343 5042767.81196470, 284251.13354343 5042760.90986470, 284241.64194343 5042752.83196470, 284232.26924343 5042745.67646470, 284222.20314343 5042739.03286470, 284212.46094343 5042733.10716470, 284192.26154343 5042721.60756470, 284173.10424343 5042709.93346470, 284160.75064343 5042701.76416470, 284152.68894343 5042695.99166470, 284141.02624343 5042687.09206470, 284126.76244343 5042674.54946470, 284116.36264343 5042665.84956470, 284083.86324343 5042638.65006470, 284047.37374343 5042608.05896470, 284033.65814343 5042596.14536470, 284028.31254343 5042591.90916470, 284022.87734343 5042587.88316470, 284017.14454343 5042583.86016470, 284007.03964343 5042577.49496470, 284003.91254343 5042575.77996470, 284000.70224343 5042574.07446470, 283995.41034343 5042571.27876470, 283990.10314343 5042568.37486470, 283986.55514343 5042566.55016470, 283983.00854343 5042564.92886470, 283975.76794343 5042561.81146470, 283970.82864343 5042559.89616470, 283965.58664343 5042557.98086470, 283960.25204343 5042556.26976470, 283949.61394343 5042552.95786470, 283943.85504343 5042551.44236470, 283938.00004343 5042550.12996470, 283934.15294343 5042549.42136470, 283930.30304343 5042548.81346470, 283927.58624343 5042548.49996470, 283924.08794343 5042548.49996470, 283918.78464343 5042548.14456470, 283913.09544343 5042548.42896470, 283908.68614343 5042548.71346470, 283904.41914343 5042549.28246470, 283899.86764343 5042549.85136470, 283895.60074343 5042550.70466470, 283870.91534343 5042556.05016470, 283866.03474343 5042557.34506470, 283862.22004343 5042558.24856470, 283841.26244343 5042564.26506470, 283769.63074343 5042587.40756470, 283751.78804343 5042592.90116470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283633.05974343 5042586.43216470, 283634.59464343 5042584.20286470, 283635.76494343 5042583.44406470, 283637.21464343 5042583.73726470, 283660.26564343 5042591.53646470, 283672.29064343 5042594.77016470, 283687.42674343 5042597.09106470, 283693.81684343 5042597.59816470, 283700.19594343 5042597.80056470, 283707.86834343 5042597.59876470, 283715.63424343 5042597.09446470, 283721.80694343 5042596.38616470, 283728.01534343 5042595.36836470, 283746.12114343 5042590.54016470, 283750.67834343 5042589.08856470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284376.52844343 5042943.69376470, 284371.09194343 5042946.97226470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283448.36944343 5042871.69916470, 283459.43104343 5042878.18996470, 283460.36024343 5042878.95206470, 283460.75404343 5042879.94196470, 283460.74744343 5042880.62406470, 283460.62514343 5042881.31136470, 283460.21444343 5042882.05166470, 283459.37164343 5042883.57066470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 281494.11194343 5042097.88466470, 281501.47164343 5042098.03486470, 281508.80834343 5042097.43476470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 281347.55944343 5042125.85496470, 281348.42744343 5042125.80166470, 281349.28234343 5042125.64246470, 281350.11134343 5042125.37956470, 281355.32714343 5042123.52146470, 281360.63334343 5042121.93976470, 281365.21064343 5042120.79936470, 281369.88694343 5042120.17936470, 281374.60334343 5042120.08766470, 281377.72544343 5042120.03476470, 281381.94864343 5042120.08476470, 281386.13924343 5042119.55846470, 281414.63454343 5042114.30376470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 281414.63454343 5042114.30376470, 281426.71464343 5042112.07616470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285750.39674343 5043369.17226470, 285724.43274343 5043404.74316470, 285656.43464343 5043498.19416470, 285610.71454343 5043561.42966470, 285585.67134343 5043596.28976470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285581.51384343 5043593.15016470, 285592.98044343 5043577.67516470, 285654.68134343 5043493.16706470, 285725.64274343 5043395.95896470, 285742.99944343 5043372.04056470, 285743.53174343 5043370.93236470, 285743.87534343 5043369.75196470, 285744.02114343 5043368.53126470, 285743.96514343 5043367.30316470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285632.77294343 5043236.42036470, 285639.18374343 5043239.53696470, 285640.94284343 5043240.88776470, 285642.57044343 5043242.39446470, 285658.27784343 5043258.02266470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285654.08074343 5043262.32436470, 285638.77724343 5043247.01936470, 285637.86564343 5043246.10116470, 285637.06824343 5043245.08216470, 285636.39594343 5043243.97666470, 285632.77294343 5043236.42036470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285743.96514343 5043367.30316470, 285743.71174343 5043366.11036470, 285743.26794343 5043364.97446470, 285742.64564343 5043363.92576470, 285741.86134343 5043362.99206470, 285740.93574343 5043362.19806470, 285715.64144343 5043343.41256470, 285714.05174343 5043341.34716470, 285712.83054343 5043339.04456470, 285712.01214343 5043336.57006470, 285711.61984343 5043333.99336470, 285710.13814343 5043321.39916470, 285709.66694343 5043319.65186470, 285708.95274343 5043317.98906470, 285708.00984343 5043316.44446470, 285706.85734343 5043315.04916470, 285664.25934343 5043272.50406470, 285654.08074343 5043262.32436470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285658.27784343 5043258.02266470, 285674.05594343 5043273.72116470, 285716.70684343 5043316.31916470, 285717.82714343 5043317.82296470, 285718.70704343 5043319.47906470, 285719.32614343 5043321.24916470, 285719.67024343 5043323.09256470, 285720.94024343 5043335.42216470, 285721.24114343 5043337.07216470, 285721.81334343 5043338.64876470, 285722.64074343 5043340.10766470, 285723.70014343 5043341.40786470, 285724.96184343 5043342.51296470, 285750.73234343 5043362.30386470, 285751.22064343 5043362.98336470, 285751.58634343 5043363.73596470, 285751.81894343 5043364.53976470, 285751.91164343 5043365.37136470, 285751.86174343 5043366.20656470, 285751.67054343 5043367.02116470, 285751.34384343 5043367.79156470, 285750.89104343 5043368.49516470, 285750.39674343 5043369.17226470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285640.89314343 5043637.02606470, 285672.43004343 5043594.13326470, 285694.72124343 5043564.43376470, 285697.31904343 5043561.61606470, 285700.28674343 5043559.19096470, 285703.56554343 5043557.20666470, 285707.09054343 5043555.70246470, 285768.80464343 5043531.49306470, 285771.66364343 5043530.67846470, 285774.61704343 5043530.34056470, 285777.58614343 5043530.48826470, 285780.49144343 5043531.11776470, 285783.25544343 5043532.21206470, 285785.80424343 5043533.74206470, 285812.06414343 5043553.45356470, 285838.25794343 5043573.76036470, 285838.57204343 5043574.03626470, 285838.92874343 5043574.25446470, 285839.31734343 5043574.40856470, 285839.72664343 5043574.49406470, 285840.14444343 5043574.50836470, 285840.55864343 5043574.45116470, 285840.95694343 5043574.32396470, 285841.32764343 5043574.13066470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285841.32764343 5043574.13066470, 285837.76844343 5043578.83706470, 285837.19094343 5043578.99806470, 285836.59564343 5043579.06866470, 285835.99644343 5043579.04716470, 285835.40774343 5043578.93416470, 285834.84324343 5043578.73226470, 285834.31634343 5043578.44626470, 285833.83944343 5043578.08296470, 285804.47054343 5043555.72566470, 285782.70854343 5043539.12296470, 285781.32954343 5043538.09016470, 285779.81104343 5043537.27606470, 285778.18754343 5043536.69926470, 285776.49584343 5043536.37286470, 285774.77434343 5043536.30406470, 285773.06194343 5043536.49466470, 285771.39764343 5043536.94016470, 285706.24384343 5043562.40636470, 285704.59044343 5043563.16356470, 285703.06034343 5043564.14636470, 285701.68404343 5043565.33496470, 285700.48914343 5043566.70586470, 285645.45314343 5043640.06606470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285841.32764343 5043574.13066470, 285863.89994343 5043543.89156470, 285882.15904343 5043519.55366470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285882.00004343 5043519.59996470, 285886.85984343 5043513.86676470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 285886.85984343 5043513.86676470, 285916.33664343 5043538.78386470, 285974.80964343 5043588.31396470, 285979.14884343 5043592.22986470, 286020.26514343 5043626.83736470, 286022.73524343 5043628.79856470, 286025.39814343 5043630.48866470, 286093.50204343 5043668.42996470, 286095.22164343 5043669.75556470, 286096.68674343 5043671.35806470, 286097.85324343 5043673.18936470, 286098.68614343 5043675.19446470, 286099.16054343 5043677.31326470, 286099.26204343 5043679.48216470, 286098.98784343 5043681.63606470, 286098.34594343 5043683.71026470)"
