annee,arrondissement,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1993,"Villeray - Saint-Michel - Parc-Extension","TR",329,101879.52,16302078
1994,"Ahuntsic - Cartierville","CO, DE, TR",370,221422.58,45184431
1994,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",31,182508.3,34426373
1994,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",12,1800,
1994,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",386,191464.29,34506111
1994,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",313,66643,21355700
1994,"LaSalle","CA",1222,243209.82,3455520
1994,"LaSalle","CO",243,38464,23147063
1994,"LaSalle","TR",118,11226,7237580
1994,"Le Plateau-Mont-Royal","CO",40,60136,11141982
1994,"Le Plateau-Mont-Royal","DE",36,2100,
1994,"Le Plateau-Mont-Royal","TR",642,153941.14,27405732
1994,"Le Sud-Ouest","CO",28,21154.3,3819270
1994,"Le Sud-Ouest","DE",26,2700,
1994,"Le Sud-Ouest","TR",225,137532.62,23849202
1994,"Mercier - Hochelaga-Maisonneuve","CO",53,186456.03,33546226
1994,"Mercier - Hochelaga-Maisonneuve","DE",30,5100,
1994,"Mercier - Hochelaga-Maisonneuve","TR",413,346919.57,61359638
1994,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",391,339464.52,73711490
1994,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",28,6585,
1994,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",270,81600.7,13449660
1994,"Rosemont - La Petite-Patrie","CO",49,43499.82,7520155
1994,"Rosemont - La Petite-Patrie","DE",76,5385,
1994,"Rosemont - La Petite-Patrie","TR",399,242773.43,56375031
1994,"Saint-Laurent","CA",826,63328,24766033
1994,"Saint-Laurent","CO",184,66268.9,33037000
1994,"Saint-Laurent","DE",19,1834,
1994,"Saint-Laurent","TR",43,26425,11554370
1994,"Verdun","CO, DE",68,425,382000
1994,"Ville-Marie","CO",25,739731.27,132650279
1994,"Ville-Marie","DE",24,4200,
1994,"Ville-Marie","TR",865,968409.4,155563250
1994,"Villeray - Saint-Michel - Parc-Extension","CO",29,34667.66,4473210
1994,"Villeray - Saint-Michel - Parc-Extension","DE",25,1500,
1994,"Villeray - Saint-Michel - Parc-Extension","TR",304,101382.88,18429039
1995,"Ahuntsic - Cartierville","CO",39,36805.3,6751795
1995,"Ahuntsic - Cartierville","DE",22,5100,
1995,"Ahuntsic - Cartierville","TR",305,201462.78,31401811
