Station,Latitude,Longitude,Débit (m3/s),Date,pH (inSitu),MES (mg/L),COT (mg/L),DCO (mg/L),DBO5c (mg/L),Azote ammoniacal (mg/L),Ammoniac non ionisé (mg/L),P total (mg/L),n total (mg/L),Nitrite-Nitrate (mg/L),Nitrites (mg/L),Nitrates (mg/L),Al (mg/L),Sb (mg/L),Ag (mg/L),As (mg/L),Ba (mg/L),Be (mg/L),Bi (mg/L),B (mg/L),Cd (mg/L),Ca (mg/L),Cd (mg/L),Ca (mg/L),Cr (mg/L),Co (mg/L),Cu (mg/L),Sn (mg/L),Fe (mg/L),Li (mg/L),Mg (mg/L),Mn (mg/L),Hg (mg/L),Mo (mg/L),Ni (mg/L),Pb (mg/L),K (mg/L),Se (mg/L),Si (mg/L),Na (mg/L),Tl (mg/L),Ti (mg/L),U (mg/L),V (mg/L),Zn (mg/L)
Trop-plein JOLIETTE (DÉZÉRY/NICOLET),45.54072,-73.53485,0.364,2015-11-11,7.71,447,43.7,210,61,46,1.233,2.87,24.6,<0.1,,,0.58,< 0.0025,< 0.0005,< 0.001,0.04,< 0.0005,,,< 0.0005,49.8,< 0.0005,49.8,< 0.0015,0.0009,0.0533,< 0.005,1.25,,11.9,0.0557,0.000039,< 0.005,0.0033,0.0043,9.38,< 0.0025,,47.7,< 0.001,,< 0.0005,0.0013,0.048
Régulateur DE LA SALLE,45.54793,-73.52797,0.66,2015-11-11,9.29,359,1429.0,3960,1830,7.98,0.044,5.34,27.8,1.59,,,0.31,< 0.0025,< 0.0005,0.0025,0.032,< 0.0005,,,< 0.0005,46.8,< 0.0005,46.8,0.0062,0.0011,0.055,< 0.005,1.63,,10.5,0.0368,< 0.025,0.0184,0.0067,0.0038,7.46,0.0059,,>500,< 0.001,,0.0006,0.0502,0.105
Trop-plein OUV. D'INTERC. VIAU,45.55405,-73.52303,0.117,2015-11-11,7.05,173,35.3,247,38,11.1,0.120,2.9,32.2,,< 0.02,< 0.02,0.88,0.003,< 0.0005,0.001,0.04,< 0.001,< 0.001,0.06,0.0009,48.5,0.0009,48.5,0.005,< 0.001,0.059,0.003,1.5,0.008,11.1,0.065,< 0.0001,0.002,0.005,0.01,7.7,< 0.001,1.89,74.9,< 0.001,0.024,< 0.001,0.002,0.257
Trop-plein OUV. D'INTERC. LOT 13,45.56245,-73.52111,0.077,2015-11-11,6.63,204,73.8,498,184,8.72,0.038,3.57,33.4,,< 0.02,< 0.02,1.06,0.003,< 0.0005,0.001,0.05,< 0.001,< 0.001,0.12,< 0.0005,46.5,< 0.0005,46.5,0.006,0.001,0.077,0.002,2.12,0.012,11.3,0.078,< 0.0001,0.003,0.006,0.009,9.5,< 0.001,2.75,43,< 0.001,0.039,< 0.001,0.003,0.234
Régulateur DICKSON,45.56399,-73.51986,1.211,2015-11-11,6.88,174,44.2,259,104,12,0.082,3.29,27.6,,< 0.02,< 0.02,0.83,0.003,0.0006,0.001,0.14,< 0.001,< 0.001,0.06,< 0.0005,50.7,< 0.0005,50.7,0.008,0.001,0.106,0.006,2.65,0.009,10.5,0.069,< 0.0001,0.005,0.006,0.032,6.8,< 0.001,1.74,60.1,< 0.001,0.038,< 0.001,0.005,0.243
Régulateur CLARENCE-GAGNON,45.56914,-73.51735,0.678,2015-11-11,7.04,113,19.4,116,67,5.75,0.013,1.62,14.4,,< 0.02,< 0.02,0.43,0.002,< 0.0005,0.001,0.04,< 0.001,< 0.001,0.06,< 0.0005,52.3,< 0.0005,52.3,0.004,0.001,0.058,0.001,1.54,0.005,10.7,0.063,< 0.0001,0.002,0.004,0.011,4.6,< 0.001,1.2,32.1,< 0.001,0.024,< 0.001,0.003,0.198
Régulateur DE BOUCHERVILLE,45.58381,-73.50465,0.369,2015-11-11,6.99,112,34.0,178,62,10.7,0.019,2.35,20.1,,< 0.02,< 0.02,0.44,0.001,< 0.0005,< 0.001,0.04,< 0.001,< 0.001,0.15,0.0006,42,0.0006,42,0.003,< 0.001,0.037,0.001,0.71,0.008,9.65,0.027,< 0.0001,0.006,0.004,0.004,6.1,< 0.001,1.16,42.7,< 0.001,0.016,< 0.001,< 0.001,0.371
Régulateur PARC CLÉMENT-JETTÉ,45.60088,-73.50898,0.66,2015-11-11,6.95,76,38.4,155,53,9.7,0.105,2.04,19.6,,< 0.02,< 0.02,0.47,0.001,< 0.0005,< 0.001,0.04,< 0.001,< 0.001,0.08,0.0005,46,0.0005,46,0.004,< 0.001,0.046,0.002,1.32,0.016,10.5,0.047,< 0.0001,0.002,0.007,0.006,6.6,< 0.001,1.47,42.9,< 0.001,0.023,< 0.001,0.002,0.337
Régulateur GONTHIER,45.61064,-73.50750,0.082,2015-11-11,6.92,148,7.6,288,82,9.83,0.068,2.26,21.7,,< 0.02,< 0.02,1.09,0.002,< 0.0005,0.002,0.05,< 0.001,< 0.001,0.1,0.0009,50.1,0.0009,50.1,0.007,0.001,0.06,0.002,3.72,0.009,10.3,0.078,< 0.0001,0.002,0.007,0.01,7.4,< 0.001,2.19,43.4,< 0.001,0.056,< 0.001,0.004,0.37
Industrie Indorama,45.61666,-73.50418,0.055,2015-11-11,7.05,68,307.1,805,324,12.7,0.138,4.47,,,,,2.11,< 0.0025,< 0.0005,0.0035,0.106,< 0.0005,,,< 0.0005,143,< 0.0005,143,0.0287,3.37,0.0465,< 0.005,7.76,,30.4,5.95,0.000026,0.02,0.0504,0.0011,9.06,0.007,,>500,< 0.001,,0.0009,< 0.001,0.06
Régulateur RICHARD,45.62587,-73.49669,0.159,2015-11-11,7.43,95,7.0,30,6,1.21,0.026,0.27,2.6,1.15,0.03,1.12,0.80,0.032,< 0.0005,0.056,0.07,< 0.001,0.001,0.08,0.001,55,0.001,55,0.007,0.002,0.04,0.002,4.16,0.008,94.1,0.108,< 0.0001,0.005,0.165,0.008,3,0.036,2.37,58,< 0.001,0.036,< 0.001,0.004,0.473
Régulateur LAURENDEAU,45.63019,-73.49398,0.069,2015-11-11,6.8,75,27.2,97,29,5.37,0.046,2.37,12.6,,< 0.02,< 0.02,0.50,0.002,< 0.0005,0.002,0.04,< 0.001,< 0.001,0.12,0.0006,49,0.0006,49,0.004,0.004,0.046,0.001,2.71,0.018,11.6,0.064,< 0.0001,0.003,0.015,0.006,7.6,0.001,1.79,52,< 0.001,0.027,< 0.001,0.002,0.359
Régulateur ST-JEAN-BAPT SUD (PAT),45.63955,-73.48715,0.157,2015-11-11,6.97,263,30.1,120,30,7.65,0.066,1.68,16.3,,< 0.02,< 0.02,1.41,0.001,< 0.0005,0.002,0.06,< 0.001,< 0.001,0.09,0.001,83.5,0.001,83.5,0.013,0.003,0.061,0.001,10.7,0.078,14.8,0.199,< 0.0001,0.003,0.01,0.01,6.3,< 0.001,2.98,44,< 0.001,0.051,0.001,0.006,0.649
Régulateur 24è AVE (PAT),45.64986,-73.48654,0.03,2015-11-11,6.85,91,49.0,191,65,6.22,0.043,2.65,15.2,,< 0.02,< 0.02,0.38,< 0.001,< 0.0005,< 0.001,0.03,< 0.001,< 0.001,0.07,0.0011,45.8,0.0011,45.8,0.006,0.001,0.186,0.002,2.79,0.009,10.7,0.039,< 0.0001,0.003,0.004,0.005,6.3,< 0.001,1.57,43.4,< 0.001,0.019,< 0.001,0.002,0.601
Trop-plein LA GAUCHETIÈRE-40e AVE,45.66918,-73.49127,0.283,2015-11-11,7.02,74,76.3,274,115,17.9,0.155,3.39,33.2,,< 0.02,< 0.02,0.29,< 0.001,< 0.0005,< 0.001,0.05,< 0.001,< 0.001,0.14,< 0.0005,44.2,< 0.0005,44.2,0.003,< 0.001,0.092,0.001,1.13,0.011,10.6,0.033,< 0.0001,0.002,0.004,0.006,9.7,< 0.001,1.17,38.3,< 0.001,0.032,< 0.001,0.001,0.335
Dérivation 52e Ave,45.66917,-73.49121,0.729,2015-11-11,6.68,76,71.6,336,143,14.2,0.049,2.79,29.6,,< 0.02,< 0.02,0.23,< 0.001,< 0.0005,< 0.001,0.04,< 0.001,< 0.001,0.19,< 0.0005,50.1,< 0.0005,50.1,0.002,< 0.001,0.062,0.002,0.78,0.007,13.4,0.066,< 0.0001,0.001,0.003,0.002,10.5,< 0.001,1.82,73.9,< 0.001,0.025,< 0.001,< 0.001,0.154
Trop-plein DÉR. HENRI-BOURASSA,45.68201,-73.48932,0.033,2015-11-11,7.12,58,74.2,305,125,7.4,0.080,1.52,15.4,,< 0.02,< 0.02,1.05,0.001,< 0.0005,< 0.001,0.04,< 0.001,0.03,0.1,0.0078,55.6,0.0078,55.6,0.012,0.001,0.041,< 0.001,1.66,0.007,11.9,0.043,< 0.0001,0.002,0.008,0.004,7.8,< 0.001,2.62,47.3,< 0.001,0.064,< 0.001,0.003,0.348
