ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice_PCI,Etat_PCI,Indice_IRI,Etat_IRI
1110404,"Mistral, rue","Saint-Hubert, rue","Saint-André, rue",64.32,Villeray-Saint-Michel-Parc-Extension,2022-07-27,38,Mauvais,3.54,Bon
1110403,"Mistral, rue","De Chateaubriand, avenue","Saint-Hubert, rue",72.3,Villeray-Saint-Michel-Parc-Extension,2022-07-27,40,Mauvais,4.97,Moyen
1110402,"Mistral, rue","des Belges, avenue","De Chateaubriand, avenue",63.3,Villeray-Saint-Michel-Parc-Extension,2022-07-27,17,Très mauvais,2.05,Excellent
1110401,"Mistral, rue","Foucher, rue","des Belges, avenue",70.37,Villeray-Saint-Michel-Parc-Extension,2022-07-27,26,Mauvais,2.28,Excellent
1110400,"Mistral, rue","Saint-Gérard, rue","Foucher, rue",69.65,Villeray-Saint-Michel-Parc-Extension,2022-07-27,28,Mauvais,4.66,Moyen
1110025,"des Belges, avenue","Jarry Est, rue","Mistral, rue",164.96,Villeray-Saint-Michel-Parc-Extension,2022-07-27,22,Mauvais,6.73,Mauvais
1110026,"des Belges, avenue","Mistral, rue","Leman, rue",181.88,Villeray-Saint-Michel-Parc-Extension,2022-07-27,47,Moyen,4.53,Moyen
1110027,"des Belges, avenue","Leman, rue","de Liège Est, rue",181.81,Villeray-Saint-Michel-Parc-Extension,2022-07-27,22,Mauvais,5.97,Moyen
1110028,"des Belges, avenue","de Liège Est, rue","Crémazie Est, boulevard",229.14,Villeray-Saint-Michel-Parc-Extension,2022-07-27,19,Très mauvais,6.99,Mauvais
1110073,"De Chateaubriand, avenue","de Liège Est, rue","Crémazie Est, boulevard",210.17,Villeray-Saint-Michel-Parc-Extension,2022-07-27,27,Mauvais,3.07,Bon
1110072,"De Chateaubriand, avenue","Leman, rue","de Liège Est, rue",181.83,Villeray-Saint-Michel-Parc-Extension,2022-07-27,28,Mauvais,2.93,Bon
1110071,"De Chateaubriand, avenue","Mistral, rue","Leman, rue",182.19,Villeray-Saint-Michel-Parc-Extension,2022-07-27,28,Mauvais,4.15,Moyen
1110070,"De Chateaubriand, avenue","Jarry Est, rue","Mistral, rue",175.1,Villeray-Saint-Michel-Parc-Extension,2022-07-27,82,Excellent,2.91,Bon
1120056,"De Chateaubriand, avenue","Saint-Élie, rue","Jarry Est, rue",42.27,Villeray-Saint-Michel-Parc-Extension,2022-07-27,42,Moyen,6.66,Mauvais
1120055,"De Chateaubriand, avenue","Saint-Alfred, rue","Saint-Élie, rue",77.13,Villeray-Saint-Michel-Parc-Extension,2022-07-27,22,Mauvais,6.1,Mauvais
1120054,"De Chateaubriand, avenue","Gounod, rue","Saint-Alfred, rue",76.28,Villeray-Saint-Michel-Parc-Extension,2022-07-27,13,Très mauvais,6.83,Mauvais
1120053,"De Chateaubriand, avenue","Juillet, rue","Gounod, rue",68.57,Villeray-Saint-Michel-Parc-Extension,2022-07-27,4,Très mauvais,4.14,Moyen
1120052,"De Chateaubriand, avenue","du Rosaire, rue","Juillet, rue",107.42,Villeray-Saint-Michel-Parc-Extension,2022-07-27,18,Très mauvais,5.34,Moyen
4012298,"Foucher, rue","Villeray, rue","Gounod, rue",241.48,Villeray-Saint-Michel-Parc-Extension,2022-07-27,73,Bon,1.82,Excellent
1120103,"Foucher, rue","Gounod, rue","Gounod, rue",43.27,Villeray-Saint-Michel-Parc-Extension,2022-07-27,62,Bon,2.71,Bon
1120104,"Foucher, rue","Gounod, rue","Saint-Alfred, rue",80.07,Villeray-Saint-Michel-Parc-Extension,2022-07-27,66,Bon,2.74,Bon
