ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice PCI,Etat PCI,Indice IRI,Etat IRI
4006454,Christophe-Colomb  avenue,Henri-Gauthier  rue,Raymond-Pelletier  rue,39,Ahuntsic-Cartierville,2018-07-20,22,Très mauvais,6.66,Très mauvais
1040101,Christophe-Colomb  avenue,Émile-Journault  avenue,Legendre Est  rue,242,Ahuntsic-Cartierville,2018-07-20,30,Très mauvais,6.52,Très mauvais
1040102,Christophe-Colomb  avenue,Legendre Est  rue,Chabanel Est  rue,239,Ahuntsic-Cartierville,2018-07-20,37,Très mauvais,5.32,Mauvais
1040103,Christophe-Colomb  avenue,Chabanel Est  rue,de Louvain Est  rue,273,Ahuntsic-Cartierville,2018-07-20,40,Très mauvais,3.61,Moyen
4003275,Christophe-Colomb  avenue,de Louvain Est  rue,de Louvain Est  rue,16,Ahuntsic-Cartierville,2018-07-20,49,Mauvais,3.93,Moyen
4007760,Christophe-Colomb  avenue,de Louvain Est  rue,Christophe-Colomb  avenue,181,Ahuntsic-Cartierville,2018-07-20,34,Très mauvais,3.86,Moyen
4007761,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Christophe-Colomb  avenue,30,Ahuntsic-Cartierville,2018-07-20,59,Mauvais,3.56,Moyen
4007759,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Christophe-Colomb  avenue,60,Ahuntsic-Cartierville,2018-07-20,54,Mauvais,2.29,Bon
1625550,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Christophe-Colomb  avenue,30,Ahuntsic-Cartierville,2018-07-20,52,Mauvais,2.53,Moyen
1625548,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Sauvé Est  rue,77,Ahuntsic-Cartierville,2018-07-20,47,Mauvais,5.6,Mauvais
1625547,Christophe-Colomb  avenue,Sauvé Est  rue,Sauriol Est  rue,260,Ahuntsic-Cartierville,2018-07-20,52,Mauvais,4.62,Mauvais
1625546,Christophe-Colomb  avenue,Sauriol Est  rue,Fleury Est  rue,260,Ahuntsic-Cartierville,2018-07-20,38,Très mauvais,5.46,Mauvais
4007758,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Christophe-Colomb  avenue,30,Ahuntsic-Cartierville,2018-07-20,56,Mauvais,1.65,Bon
4007756,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Christophe-Colomb  avenue,73,Ahuntsic-Cartierville,2018-07-20,60,Mauvais,4.32,Moyen
1625549,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Christophe-Colomb  avenue,43,Ahuntsic-Cartierville,2018-07-20,36,Très mauvais,5.31,Mauvais
4007757,Christophe-Colomb  avenue,de Louvain Est  rue,Christophe-Colomb  avenue,181,Ahuntsic-Cartierville,2018-07-20,35,Très mauvais,3.45,Moyen
4003274,Christophe-Colomb  avenue,de Louvain Est  rue,de Louvain Est  rue,16,Ahuntsic-Cartierville,2018-07-20,71,Moyen,4.55,Mauvais
4006453,Christophe-Colomb  avenue,Raymond-Pelletier  rue,Étienne-Blanchard  rue,242,Ahuntsic-Cartierville,2018-07-20,24,Très mauvais,6.53,Très mauvais
4002560,Christophe-Colomb  avenue,Henri-Bourassa Est  boulevard,Henri-Bourassa Est  boulevard,21,Ahuntsic-Cartierville,2018-07-20,41,Mauvais,16.75,Très mauvais
4004696,Christophe-Colomb  avenue,Henri-Bourassa Est  boulevard,Christophe-Colomb  avenue,131,Ahuntsic-Cartierville,2018-07-20,41,Moyen,7.16,Mauvais
1050041,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Gouin Est  boulevard,91,Ahuntsic-Cartierville,2018-07-20,63,Bon,3.74,Bon
1625544,Christophe-Colomb  avenue,Prieur Est  rue,Henri-Bourassa Est  boulevard,161,Ahuntsic-Cartierville,2018-07-20,29,Très mauvais,4.37,Moyen
1625545,Christophe-Colomb  avenue,Fleury Est  rue,Prieur Est  rue,258,Ahuntsic-Cartierville,2018-07-20,24,Très mauvais,4.13,Moyen
1050042,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Gouin Est  boulevard,93,Ahuntsic-Cartierville,2018-07-20,39,Mauvais,9.23,Très mauvais
1041120,Christophe-Colomb  avenue,Crémazie Est  boulevard,Raymond-Pelletier  rue,138,Ahuntsic-Cartierville,2018-07-20,48,Mauvais,3.2,Moyen
1040563,Christophe-Colomb  avenue,Émile-Journault  avenue,Legendre Est  rue,242,Ahuntsic-Cartierville,2018-07-20,11,Très mauvais,10.26,Très mauvais
1040562,Christophe-Colomb  avenue,Legendre Est  rue,Chabanel Est  rue,236,Ahuntsic-Cartierville,2018-07-20,39,Très mauvais,4.93,Mauvais
1040561,Christophe-Colomb  avenue,Chabanel Est  rue,de Louvain Est  rue,273,Ahuntsic-Cartierville,2018-07-20,14,Très mauvais,8.72,Très mauvais
1030056,Clark  rue,Cul de sac,de Port-Royal Ouest  rue,52,Ahuntsic-Cartierville,2018-08-03,45,Moyen,9.31,Très mauvais
1030057,Clark  rue,de Port-Royal Ouest  rue,Sauvé Ouest  rue,231,Ahuntsic-Cartierville,2018-08-03,31,Mauvais,7.27,Mauvais
4009734,Crémazie Est  boulevard,Papineau  avenue,Crémazie Est  boulevard,37,Ahuntsic-Cartierville,2018-07-30,90,Bon,5.15,Mauvais
4007515,Crémazie Est  boulevard,Non-nommée  voie,Chambord  rue,54,Ahuntsic-Cartierville,2018-07-30,84,Bon,1.43,Excellent
1041107,Crémazie Est  boulevard,Non-nommée  voie,Non-nommée  voie,35,Ahuntsic-Cartierville,2018-07-30,86,Bon,1.92,Bon
1041146,Crémazie Est  boulevard,Non-nommée  voie,Saint-Laurent  boulevard,22,Ahuntsic-Cartierville,2018-07-30,97,Excellent,2.28,Bon
1040160,Crémazie Est  boulevard,Non-nommée  voie,Non-nommée  voie,112,Ahuntsic-Cartierville,2018-07-30,98,Excellent,2.41,Bon
1040172,Crémazie Est  boulevard,Christophe-Colomb  avenue,Non-nommée  voie,93,Ahuntsic-Cartierville,2018-07-30,65,Moyen,2.21,Bon
4003283,Crémazie Est  boulevard,Christophe-Colomb  avenue,Christophe-Colomb  avenue,14,Ahuntsic-Cartierville,2018-07-30,87,Bon,5.31,Mauvais
1040171,Crémazie Est  boulevard,Non-nommée  voie,Christophe-Colomb  avenue,87,Ahuntsic-Cartierville,2018-07-30,82,Bon,2.86,Moyen
1040167,Crémazie Est  boulevard,Foucher  rue,De Chateaubriand  avenue,148,Ahuntsic-Cartierville,2018-07-30,60,Mauvais,3,Moyen
1040169,Crémazie Est  boulevard,De Chateaubriand  avenue,Non-nommée  voie,60,Ahuntsic-Cartierville,2018-07-30,49,Mauvais,3.48,Moyen
1625206,Crémazie Est  boulevard,Non-nommée  voie,Saint-Hubert  rue,35,Ahuntsic-Cartierville,2018-07-30,57,Mauvais,4.89,Mauvais
1040170,Crémazie Est  boulevard,Saint-Hubert  rue,Non-nommée  voie,383,Ahuntsic-Cartierville,2018-07-30,73,Moyen,2.53,Moyen
1040162,Crémazie Est  boulevard,Henri-Julien  avenue,Drolet  rue,54,Ahuntsic-Cartierville,2018-07-30,49,Mauvais,3.93,Moyen
1625195,Crémazie Est  boulevard,Drolet  rue,Saint-Denis  rue,72,Ahuntsic-Cartierville,2018-07-30,54,Mauvais,2.74,Moyen
1040164,Crémazie Est  boulevard,Non-nommée  voie,Berri  rue,59,Ahuntsic-Cartierville,2018-07-30,71,Moyen,3.09,Moyen
1622547,Crémazie Est  boulevard,Chambord  rue,Fabre  rue,306,Ahuntsic-Cartierville,2018-07-30,76,Moyen,2.4,Bon
1041155,Crémazie Est  boulevard,Saint-Denis  rue,Non-nommée  voie,16,Ahuntsic-Cartierville,2018-07-30,31,Très mauvais,4.39,Moyen
1040166,Crémazie Est  boulevard,Basile-Routhier  rue,Foucher  rue,68,Ahuntsic-Cartierville,2018-07-30,63,Moyen,2.96,Moyen
1040165,Crémazie Est  boulevard,Lajeunesse  rue,Basile-Routhier  rue,64,Ahuntsic-Cartierville,2018-07-30,60,Mauvais,4.07,Moyen
1041153,Crémazie Est  boulevard,Berri  rue,Lajeunesse  rue,69,Ahuntsic-Cartierville,2018-07-30,68,Moyen,2.44,Bon
1041150,Crémazie Est  boulevard,De Gaspé  avenue,Henri-Julien  avenue,91,Ahuntsic-Cartierville,2018-07-30,40,Très mauvais,3.39,Moyen
1041149,Crémazie Est  boulevard,Casgrain  avenue,De Gaspé  avenue,81,Ahuntsic-Cartierville,2018-07-30,62,Moyen,2.72,Moyen
1041143,Crémazie Est  boulevard,Crémazie Ouest  boulevard,Non-nommée  voie,15,Ahuntsic-Cartierville,2018-07-30,95,Excellent,3.55,Moyen
1041109,Crémazie Est  boulevard,Non-nommée  voie,Papineau  avenue,53,Ahuntsic-Cartierville,2018-07-30,60,Mauvais,3.98,Moyen
1040174,Crémazie Est  boulevard,Fabre  rue,Non-nommée  voie,40,Ahuntsic-Cartierville,2018-07-30,82,Bon,2.66,Moyen
1040173,Crémazie Est  boulevard,Non-nommée  voie,Non-nommée  voie,89,Ahuntsic-Cartierville,2018-07-30,72,Moyen,2.29,Bon
1040161,Crémazie Est  boulevard,Saint-Laurent  boulevard,Casgrain  avenue,68,Ahuntsic-Cartierville,2018-07-30,96,Excellent,2.52,Moyen
4010728,Crémazie Ouest  boulevard,de l'Acadie  boulevard,Crémazie Ouest  boulevard,204,Ahuntsic-Cartierville,2018-07-13,73,Moyen,3.32,Moyen
4006147,Crémazie Ouest  boulevard,du Marché-Central  rue,Non-nommée  voie,110,Ahuntsic-Cartierville,2018-08-03,89,Bon,3.51,Moyen
4006145,Crémazie Ouest  boulevard,Non-nommée  voie,Non-nommée  voie,89,Ahuntsic-Cartierville,2018-07-30,73,Moyen,2.34,Bon
1030120,Crémazie Ouest  boulevard,Crémazie Est  boulevard,Non-nommée  voie,21,Ahuntsic-Cartierville,2018-07-30,98,Excellent,6.9,Très mauvais
1625189,Crémazie Ouest  boulevard,Non-nommée  voie,Clark  rue,29,Ahuntsic-Cartierville,2018-07-30,100,Excellent,5.78,Mauvais
1030121,Crémazie Ouest  boulevard,Clark  rue,Saint-Urbain  rue,72,Ahuntsic-Cartierville,2018-07-30,100,Excellent,2.2,Bon
1030122,Crémazie Ouest  boulevard,Saint-Urbain  rue,de Reims  rue,69,Ahuntsic-Cartierville,2018-07-30,100,Excellent,2.95,Moyen
1030123,Crémazie Ouest  boulevard,de Reims  rue,Waverly  rue,67,Ahuntsic-Cartierville,2018-07-30,99,Excellent,3.22,Moyen
1030124,Crémazie Ouest  boulevard,Waverly  rue,Non-nommée  voie,64,Ahuntsic-Cartierville,2018-07-30,95,Excellent,3.44,Moyen
4007514,Crémazie Ouest  boulevard,Non-nommée  voie,de l'Esplanade  avenue,12,Ahuntsic-Cartierville,2018-07-30,98,Excellent,5.25,Mauvais
1030125,Crémazie Ouest  boulevard,de l'Esplanade  avenue,Meunier  rue,67,Ahuntsic-Cartierville,2018-07-30,89,Bon,3.5,Moyen
1030126,Crémazie Ouest  boulevard,Meunier  rue,Tolhurst  rue,68,Ahuntsic-Cartierville,2018-07-30,98,Excellent,2.7,Moyen
1030127,Crémazie Ouest  boulevard,Tolhurst  rue,Jeanne-Mance  rue,70,Ahuntsic-Cartierville,2018-07-30,69,Moyen,3.63,Moyen
4006166,Crémazie Ouest  boulevard,Jeanne-Mance  rue,Non-nommée  voie,397,Ahuntsic-Cartierville,2018-07-30,77,Moyen,2.71,Moyen
4006143,Crémazie Ouest  boulevard,Non-nommée  voie,Non-nommée  voie,115,Ahuntsic-Cartierville,2018-07-30,50,Mauvais,3.29,Moyen
4006117,Crémazie Ouest  boulevard,Non-nommée  voie,de la Côte-de-Liesse  chemin,208,Ahuntsic-Cartierville,2018-07-30,89,Bon,3.33,Moyen
4006114,Crémazie Ouest  boulevard,Crémazie Ouest  boulevard,Non-nommée  voie,84,Ahuntsic-Cartierville,2018-07-13,70,Moyen,2.24,Bon
4006116,Crémazie Ouest  boulevard,Non-nommée  voie,Non-nommée  voie,86,Ahuntsic-Cartierville,2018-07-13,88,Bon,2.28,Bon
4006189,De Beauharnois Ouest  rue,de l'Acadie  boulevard,De Beauharnois Ouest  rue,259,Ahuntsic-Cartierville,2018-07-30,32,Mauvais,8.41,Très mauvais
4009575,De Beauharnois Ouest  rue,Charles-De La Tour  rue,Jean-Pratt  rue,104,Ahuntsic-Cartierville,2018-07-30,47,Moyen,8.12,Très mauvais
4009574,De Beauharnois Ouest  rue,Jean-Pratt  rue,Gince  rue,131,Ahuntsic-Cartierville,2018-07-30,99,Excellent,3.06,Bon
4008651,De Beauharnois Ouest  rue,De Beauharnois Ouest  rue,Non-nommée  voie,19,Ahuntsic-Cartierville,2018-07-30,5,Très mauvais,11.04,Très mauvais
1030018,De Beauharnois Ouest  rue,du Parc  avenue,Meilleur  rue,70,Ahuntsic-Cartierville,2018-08-13,99,Excellent,4.82,Moyen
1010059,de Beauséjour  rue,Beauséjour  rue,Jean-Bourdon  avenue,30,Ahuntsic-Cartierville,2018-07-11,37,Mauvais,4.26,Moyen
1010060,de Beauséjour  rue,Jean-Bourdon  avenue,De Bécancour  rue,84,Ahuntsic-Cartierville,2018-07-11,87,Excellent,4.41,Moyen
1010061,de Beauséjour  rue,De Bécancour  rue,De Villebon  rue,76,Ahuntsic-Cartierville,2018-07-11,87,Excellent,2.76,Bon
1010062,de Beauséjour  rue,De Villebon  rue,Gouin Ouest  boulevard,69,Ahuntsic-Cartierville,2018-07-11,81,Excellent,4.27,Moyen
1010514,de la Miséricorde  avenue,Gouin Ouest  boulevard,du Bocage  rue,187,Ahuntsic-Cartierville,2018-08-09,99,Excellent,3.6,Bon
1011076,de la Miséricorde  avenue,du Bocage  rue,du Bocage  rue,30,Ahuntsic-Cartierville,2018-07-20,99,Excellent,5.82,Moyen
1020039,de l'Acadie  boulevard,Sauvé Ouest  rue,Arthur-Lismer  rue,227,Ahuntsic-Cartierville,2018-07-12,63,Moyen,3.62,Moyen
1020912,de l'Acadie  boulevard,Sauvé Ouest  rue,Alain-Grandbois  rue,179,Ahuntsic-Cartierville,2018-07-12,59,Mauvais,3.51,Moyen
1021151,de l'Acadie  boulevard,Alain-Grandbois  rue,Arthur-Lismer  rue,56,Ahuntsic-Cartierville,2018-07-12,50,Mauvais,4.98,Mauvais
1021224,de l'Acadie  boulevard,Arthur-Lismer  rue,du Liban  rue,203,Ahuntsic-Cartierville,2018-07-12,28,Très mauvais,7.42,Très mauvais
4006548,de l'Acadie  boulevard,du Liban  rue,Persillier  boulevard,295,Ahuntsic-Cartierville,2018-07-12,34,Très mauvais,7.62,Très mauvais
4006547,de l'Acadie  boulevard,Persillier  boulevard,de l'Acadie  boulevard,105,Ahuntsic-Cartierville,2018-07-12,66,Moyen,3.04,Moyen
1624911,de l'Acadie  boulevard,Caroline-Béique  rue,Persillier  boulevard,132,Ahuntsic-Cartierville,2018-07-12,71,Moyen,2.64,Moyen
4006543,de l'Acadie  boulevard,Persillier  boulevard,Persillier  boulevard,15,Ahuntsic-Cartierville,2018-07-12,75,Moyen,1.92,Bon
4006549,de l'Acadie  boulevard,Persillier  boulevard,Marcelin-Wilson  avenue,31,Ahuntsic-Cartierville,2018-07-12,39,Très mauvais,11.72,Très mauvais
1624817,de l'Acadie  boulevard,Marcelin-Wilson  avenue,Non-nommée  voie,109,Ahuntsic-Cartierville,2018-07-12,23,Très mauvais,8.18,Très mauvais
1020910,de l'Acadie  boulevard,Non-nommée  voie,de l'Acadie  place,178,Ahuntsic-Cartierville,2018-07-12,33,Très mauvais,7.49,Très mauvais
1625614,de l'Acadie  boulevard,de l'Acadie  place,Non-nommée  voie,95,Ahuntsic-Cartierville,2018-07-12,70,Moyen,2.83,Moyen
1020909,de l'Acadie  boulevard,Non-nommée  voie,Henri-Bourassa Ouest  boulevard,57,Ahuntsic-Cartierville,2018-07-12,75,Moyen,3.62,Moyen
4002436,de l'Acadie  boulevard,Henri-Bourassa Ouest  boulevard,Henri-Bourassa Ouest  boulevard,16,Ahuntsic-Cartierville,2018-07-12,87,Bon,5.61,Mauvais
1021216,de l'Acadie  boulevard,Henri-Bourassa Ouest  boulevard,Non-nommée  voie,60,Ahuntsic-Cartierville,2018-07-12,73,Moyen,3.16,Moyen
1020908,de l'Acadie  boulevard,Non-nommée  voie,Charles-Gill  rue,238,Ahuntsic-Cartierville,2018-07-12,70,Moyen,2.14,Bon
4002449,de l'Acadie  boulevard,Charles-Gill  rue,Charles-Gill  rue,10,Ahuntsic-Cartierville,2018-07-12,68,Moyen,2.04,Bon
1021150,de l'Acadie  boulevard,Charles-Gill  rue,Victor-Doré  rue,299,Ahuntsic-Cartierville,2018-07-12,60,Mauvais,2.26,Bon
1021167,de l'Acadie  boulevard,Victor-Doré  rue,Dudemaine  rue,123,Ahuntsic-Cartierville,2018-07-12,73,Moyen,2.58,Moyen
1021165,de l'Acadie  boulevard,Dudemaine  rue,Frigon  rue,99,Ahuntsic-Cartierville,2018-07-12,72,Moyen,2.45,Bon
1020901,de l'Acadie  boulevard,Frigon  rue,de Louisbourg  rue,202,Ahuntsic-Cartierville,2018-07-12,67,Moyen,2.17,Bon
1021243,de l'Acadie  boulevard,de Louisbourg  rue,de l'Acadie  boulevard,82,Ahuntsic-Cartierville,2018-07-12,69,Moyen,1.92,Bon
1020031,de l'Acadie  boulevard,de l'Acadie  boulevard,De Salaberry  rue,238,Ahuntsic-Cartierville,2018-07-12,67,Moyen,2.66,Moyen
1020032,de l'Acadie  boulevard,De Salaberry  rue,Frigon  rue,111,Ahuntsic-Cartierville,2018-07-12,36,Très mauvais,5.26,Mauvais
1020033,de l'Acadie  boulevard,Frigon  rue,Viel  rue,143,Ahuntsic-Cartierville,2018-07-12,37,Très mauvais,5.13,Mauvais
