NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NO_TYPEPRODUCTION,NO_PROVENANCE,NOM_TYPEPRODUCTION,NOM_PROVENANCE
24528,Prise d'images avec drone,Patrick St-Arnaud,2019,2019-02-02,2019-12-31,0,0,20,6,Multimédia,Canadienne
24529,DIVERS PUBLICITÉ,DIVERS,2019,2019-02-01,2019-02-01,0,0,15,6,Message publicitaire,Canadienne
24530,Neutrogena,Jean-Pier Philippot,2019,2019-02-07,2019-02-08,1,0,15,6,Message publicitaire,Canadienne
24531,AUTOPROMOTION,DIVERS,2019,2019-02-01,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24532,Leaks,Gabriel Saulnier,2019,2019-03-03,2019-03-04,2,0,19,6,Film étudiant,Canadienne
24533,Jusqu'au déclin,Patrice Laliberté,2019,2019-02-18,2019-04-06,3,0,11,8,Long métrage,Coproduction
24534,Campagne Énergie,André Pelletier,2019,2019-02-12,2019-02-13,2,0,15,6,Message publicitaire,Canadienne
24535,Le Monde de Jamy,Laura Miret,2019,2019-02-06,2019-02-08,1,0,14,7,Télévision générale,Etrangère
24536,Fondation Jasmin Roy,Maxime Giroux,2019,2019-02-15,2019-02-17,1,0,15,6,Message publicitaire,Canadienne
24537,La loi c'est la loi,Vincent RC,2019,2019-02-14,2019-02-14,1,0,27,6,Série web,Canadienne
24538,MIRA,Salomé Villeneuve,2019,2019-02-07,2019-02-11,5,0,19,6,Film étudiant,Canadienne
24539,Divers photos,a/d,2019,2019-02-13,2019-12-31,0,0,18,6,Photographie,Canadienne
24540,Kamik Hiver 2019,Martin Girard,2019,2019-02-13,2019-02-13,1,0,18,6,Photographie,Canadienne
24541,Vinland,,2019,2019-02-15,2019-05-29,4,0,11,6,Long métrage,Canadienne
24542,Jeunesse sans drogue,Zoé Pelchat,2019,2019-02-13,2019-02-13,1,0,15,6,Message publicitaire,Canadienne
24543,Tu te souviendras de moi,Éric Tessier,2019,2018-09-17,2019-02-14,2,0,11,6,Long métrage,Canadienne
24544,Famous,Valérie Lemercier,2019,2019-02-18,2019-05-22,6,0,11,8,Long métrage,Coproduction
24545,DIVERS VIDÉOCLIP,DIVERS,2019,2019-02-08,2019-12-31,0,0,17,6,Vidéo,Canadienne
24546,La Faille,Patrice Sauvé,2019,2019-02-22,2019-06-15,2,0,13,6,Série télévisée,Canadienne
24547,Cavale saison 2,Michel Montreuil,2019,2019-02-09,2019-02-09,1,0,20,6,Multimédia,Canadienne
24548,Les Louanges,Philippe Chagnon,2019,2019-02-16,2019-02-17,2,0,17,6,Vidéo,Canadienne
24549,CURATEUR,Émile Lavoie,2019,2019-02-14,2019-02-14,1,0,15,6,Message publicitaire,Canadienne
24550,DIVERS PUBLICITÉ,DIVERS,2019,2019-02-12,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24551,L'Érable R-078,Jérémie Saindon,2019,2019-02-22,2019-02-25,3,0,15,6,Message publicitaire,Canadienne
24552,Réseau Sélection,Jack Hackel,2019,2019-02-14,2019-02-14,1,0,15,6,Message publicitaire,Canadienne
24553,East 153rd,Amélia Segrera,2019,2019-02-23,2019-02-28,4,0,19,6,Film étudiant,Canadienne
24554,DREAMLAND,Nicholas Jarecki,2019,2019-03-02,2019-04-20,19,1,11,8,Long métrage,Coproduction
24555,GÉNIAL 9 (Suite…),Patrice Ouimet,2019,2018-02-13,2019-02-25,1,0,14,6,Télévision générale,Canadienne
24556,Le Grand Chapitre,Stéphane Rocheleau,2019,2019-02-18,2019-03-19,3,0,14,6,Télévision générale,Canadienne
24557,Prise d'images avec drone,a/d,2019,2019-02-14,2019-12-31,0,0,20,6,Multimédia,Canadienne
24558,Grandeur Nature,Etienne Marcoux,2019,2019-02-18,2019-02-19,1,0,27,6,Série web,Canadienne
24559,VACARME,Frédérick Neegan Trudel,2019,2019-02-23,2019-03-31,19,0,11,6,Long métrage,Canadienne
24560,Les Cahiers,"Khalil joreige, Joana Hadjithomas",2019,2019-02-24,2019-03-11,2,0,11,8,Long métrage,Coproduction
24561,DIVERS PUBLICITÉ,DIVERS,2019,2019-02-15,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24562,A&W,Mathieu Baer,2019,2019-02-21,2019-02-22,1,1,15,6,Message publicitaire,Canadienne
24563,Divers publicités,a/d,2019,2019-02-19,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24564,Newlook,Nicolas Brassard Asselin,2019,2019-02-19,2019-02-22,4,0,15,6,Message publicitaire,Canadienne
24565,4 Trente Sous - démo,Clara L'Heureux Garcia,2019,2019-02-21,2019-02-21,1,0,27,6,Série web,Canadienne
24566,S.D.R.,Alexa-Jeanne Dubé,2019,2019-02-21,2019-02-24,3,0,16,6,Court métrage,Canadienne
24567,Thirsty,Zoé Pelchat,2019,2019-02-23,2019-02-23,1,0,27,6,Série web,Canadienne
24568,Bombardier,Nathan O'Brian,2019,2019-02-24,2019-02-26,3,0,15,6,Message publicitaire,Canadienne
24569,La Gaffe,François Robidoux-Descary,2019,2019-02-25,2019-02-26,2,0,27,6,Série web,Canadienne
24570,Sport Expert,François St-Amand,2019,2019-03-01,2019-03-02,2,0,15,6,Message publicitaire,Canadienne
24571,Landgraves,Jean-François Leblanc,2019,2019-03-04,2019-03-10,1,0,16,6,Court métrage,Canadienne
24572,Cerebrum,Richard Blaimert,2019,2019-03-11,2019-06-04,42,0,13,6,Série télévisée,Canadienne
24573,C'est juste de la TV XII (Gala des Zapettes d'or 2019),Eric D. Savage,2019,2019-04-04,2019-04-06,0,0,14,6,Télévision générale,Canadienne
24574,"BMO ""All The Money""",Lisa Mann,2019,2019-03-11,2019-03-12,0,2,24,6,Vidéo corporatif,Canadienne
24575,Divers messages publicitaires,Plusieurs,2019,2019-03-04,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24576,Fromage du Québec,François Gamache,2019,2019-03-08,2019-03-13,1,0,15,6,Message publicitaire,Canadienne
24577,Fragile,Claude Desrosiers,2019,2019-02-01,2019-06-17,10,0,13,6,Série télévisée,Canadienne
24578,PHOTOGRAPHIES,a/d,2019,2019-03-05,2019-12-31,0,0,18,6,Photographie,Canadienne
24579,Mariage,Axel Pépin,2019,2019-03-14,2019-03-14,1,0,18,6,Photographie,Canadienne
24580,Woman in Car,Vanya Rose-Khurt,2019,2019-03-28,2019-04-21,8,0,11,6,Long métrage,Canadienne
24581,Afro-Prospérité,Henri Pardo,2019,2019-03-08,2019-03-18,5,0,22,6,Documentaire,Canadienne
24582,Messages publicitaires,a/d,2019,2019-03-10,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24583,Lightspeed,Charles Éric Savard,2019,2019-03-10,2019-03-11,2,0,15,6,Message publicitaire,Canadienne
24584,Victor Lessard 3 (Projet #431),François Gingras,2019,2019-03-21,2019-06-06,40,0,13,6,Série télévisée,Canadienne
24585,L'indice McSween 3,Benoit Gignac,2019,2019-03-29,2019-11-15,35,0,14,6,Télévision générale,Canadienne
24586,La Voix 7,Jean-François Blais,2019,2018-11-02,2019-05-06,55,0,14,6,Télévision générale,Canadienne
24587,Testé pour la vie,Shauna Denis,2019,2019-03-11,2019-03-11,1,0,27,6,Série web,Canadienne
24588,Cœur à la vanille et chocolat,Nahhwefa Prod,2019,2019-03-27,2019-03-27,1,0,22,6,Documentaire,Canadienne
24589,Regret,Santiago Menghini,2019,2019-03-29,2019-03-31,3,0,16,6,Court métrage,Canadienne
24590,DIVERS,DIVERS,2019,2019-03-12,2019-12-31,0,0,14,6,Télévision générale,Canadienne
24591,Comment devenir une personne parfaite,François Lachapelle,2019,2019-03-15,2019-06-12,12,0,14,6,Télévision générale,Canadienne
24592,Video Dance 4x4,Anna Iunes,2019,2019-03-16,2019-03-18,3,0,16,6,Court métrage,Canadienne
24593,DIVERS PUBLICITÉ,DIVERS,2019,2019-03-13,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24594,Co-Operator,Cynthia Karazato,2019,2019-03-18,2019-03-18,1,0,15,6,Message publicitaire,Canadienne
24595,Bonhomme,Romain Dumont et Antoine Ryan,2019,2019-03-22,2019-03-25,4,0,16,6,Court métrage,Canadienne
24596,Arrive en Campagne 5,Paul Carrière,2019,2019-03-30,2019-10-01,10,0,14,6,Télévision générale,Canadienne
24597,Photographies,,2019,2019-03-20,2019-12-31,0,0,18,6,Photographie,Canadienne
24598,RW&Co,Ali Shams,2019,2019-03-20,2019-03-21,0,2,18,6,Photographie,Canadienne
24599,Les Prodiges 2,Patrick St-Martin,2019,2019-03-22,2019-04-05,7,0,27,6,Série web,Canadienne
24600,Ma curieuse Cité,Louis-François Joubert,2019,2019-02-04,2019-04-23,10,0,14,6,Télévision générale,Canadienne
24601,Spark,Guy Ettlin,2019,2019-03-27,2019-03-28,3,0,16,6,Court métrage,Canadienne
24602,L'Heure Bleue 4,Anne De Lean,2019,2019-04-02,2019-11-17,100,0,13,6,Série télévisée,Canadienne
24603,Videotron TMO Club Illico,François Jaros,2019,2019-03-28,2019-03-30,1,0,15,6,Message publicitaire,Canadienne
24604,Boomerang V,,2019,2019-04-15,2019-06-05,0,0,13,6,Série télévisée,Canadienne
24605,Les Zozos Migrateurs au Québec,"M. Charden, C. Tellenne",2019,2019-03-29,2019-04-01,2,0,14,7,Télévision générale,Etrangère
24606,Messages publicitaires,divers,2019,2019-03-25,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24607,Archidiocèse,Nicolas Legendre,2019,2019-04-03,2019-04-03,1,0,15,6,Message publicitaire,Canadienne
24608,Tuned in for Terror,Philippe Gagnon,2019,2019-04-15,2019-05-10,13,0,12,6,Téléfilm,Canadienne
24609,divers publicités,divers,2019,2019-04-05,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24610,IA,,2019,2019-04-05,2019-04-06,2,0,15,6,Message publicitaire,Canadienne
24611,DIVERS PUBLICITÉ,Jacqueline Zegray,2019,2019-04-10,2019-04-11,1,0,15,6,Message publicitaire,Canadienne
24612,Capsule Web Ligue des droits et libertés,Will Prosper,2019,2019-03-31,2019-03-31,1,0,20,6,Multimédia,Canadienne
24613,Campagne Propreté 2019 - Ville de Montréal,Cristina Martins,2019,2019-03-28,2019-03-28,1,0,28,6,Publicité web,Canadienne
24614,Alerte Amber,Stéphan Beaudoin,2019,2019-04-23,2019-07-15,52,0,13,6,Série télévisée,Canadienne
24615,Toyota,Mathieu Cyr,2019,2019-04-03,2019-04-03,1,0,15,6,Message publicitaire,Canadienne
24616,Maple Leaf,Baz,2019,2019-04-03,2019-04-06,4,0,15,6,Message publicitaire,Canadienne
24617,Faux Départs,Marie-Claude Blouin,2019,2019-04-17,2019-05-10,10,0,27,6,Série web,Canadienne
24618,That's Awesome! 2,Leo Singer,2019,2019-05-10,2019-11-03,16,0,14,6,Télévision générale,Canadienne
24619,Death of a ladies Man,Matt Bissonnette,2019,2019-04-15,2019-05-10,16,0,11,8,Long métrage,Coproduction
24620,DIVERS PUBLICITÉS,DIVERS,2019,2019-04-05,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24621,Bi*,Simon Madore,2019,2019-03-01,2019-06-30,4,0,14,6,Télévision générale,Canadienne
24622,St-Hubert Ribs,,2019,2019-04-08,2019-04-08,3,0,15,6,Message publicitaire,Canadienne
24623,DIVERS PUBLICITÉS,DIVERS,2019,2019-04-05,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24624,Lasik MD,Félix Charest,2019,2019-04-09,2019-04-09,0,0,15,6,Message publicitaire,Canadienne
24625,"Émergence, campagne 2019",Simon Lebrun,2019,2019-04-25,2019-04-26,1,0,28,6,Publicité web,Canadienne
24626,Trop III,"Chloé Robichaud, Louise Archambault",2019,2019-04-28,2019-06-29,35,0,13,6,Série télévisée,Canadienne
24628,RBC,JF Asselin,2019,2019-04-10,2019-04-11,2,0,15,6,Message publicitaire,Canadienne
24629,DIVERS PHOTOS,DIVERS,2019,2019-04-10,2019-12-31,0,0,18,6,Photographie,Canadienne
24630,Prière de ne pas envoyer de fleurs IX,Luc Sirois,2019,2019-04-23,2020-01-26,15,0,14,6,Télévision générale,Canadienne
24631,Sport Experts - Shoot Course 2019,Photo,2019,2019-04-16,2019-04-17,2,0,18,6,Photographie,Canadienne
24632,Le p'tit cabaret IV,Jean-Sébastien Lozeau,2019,2019-05-20,2019-06-05,10,0,14,6,Télévision générale,Canadienne
24633,180 Jours (saison 2),Mélissa Beaudet,2019,2019-01-01,2019-06-24,51,0,14,6,Télévision générale,Canadienne
24634,My Salinger Year,Philippe Falardeau,2019,2019-05-23,2019-06-30,29,0,11,8,Long métrage,Coproduction
24635,Moonshadows (re-shoot),Tony Asimakopoulos,2019,2019-04-26,2019-04-29,0,0,16,6,Court métrage,Canadienne
24636,Méchant Trip! 4,"Sophie Fortier, William Mazzoleni Valin.",2019,2019-05-03,2019-10-04,15,0,14,6,Télévision générale,Canadienne
24637,Takis,Louis-Philippe Hénault,2019,2019-04-18,2019-04-18,1,0,15,6,Message publicitaire,Canadienne
24638,Vie de quartier,Ismail Farhane,2019,2019-05-16,2019-07-17,20,0,14,6,Télévision générale,Canadienne
24639,Oculus,Marco Spier,2019,2019-04-23,2019-04-25,3,0,15,7,Message publicitaire,Etrangère
24640,16 ans et Patriote,Gabriel Bissonnette,2019,2019-05-19,2019-05-19,1,0,16,6,Court métrage,Canadienne
24641,Si on s'aimait,Dominic Robert,2019,2019-04-30,2019-07-15,44,0,14,6,Télévision générale,Canadienne
24642,La Myopie,Théo Parent,2019,2019-05-18,2019-05-22,1,0,19,6,Film étudiant,Canadienne
24643,DIVERS PROJETS ÉTUDIANTS,DIVERS,2019,2019-04-17,2019-12-31,0,0,19,6,Film étudiant,Canadienne
24644,Bengale,Samuel Jodry-Larouche,2019,2019-04-25,2019-04-25,4,0,19,6,Film étudiant,Canadienne
24645,Sucré Salé #18,Camille Dufresne,2019,2019-04-16,2019-08-31,70,0,14,6,Télévision générale,Canadienne
24646,IOGO,JF Asselin,2019,2019-04-23,2019-04-24,1,0,15,6,Message publicitaire,Canadienne
24647,Zoo Granby,JF Bernier,2019,2019-04-30,2019-04-30,1,0,15,6,Message publicitaire,Canadienne
24648,Les Alouettes,Hugo Courtemanche,2019,2019-05-01,2019-05-02,1,0,15,6,Message publicitaire,Canadienne
24649,Divers publicités,Divers,2019,2019-04-24,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24650,Honda,Nicolas Fransolet,2019,2019-04-25,2019-04-26,2,0,15,6,Message publicitaire,Canadienne
24651,Wynn Resort,Ivan Grbovic,2019,2019-05-01,2019-05-02,1,0,15,6,Message publicitaire,Canadienne
24652,DIVERS PHOTOGRAPHIES,DIVERS,2019,2019-04-24,2019-12-31,0,0,18,6,Photographie,Canadienne
24653,Reitmans Fall 2019 Photoshoot,,2019,2019-05-06,2019-05-09,4,0,18,6,Photographie,Canadienne
24654,Fatal Vows 7,Sylvia Wilson,2019,2019-04-16,2019-10-30,39,0,14,6,Télévision générale,Canadienne
24655,LOUD #3,William Fradette,2019,2019-05-01,2019-05-01,1,0,15,6,Message publicitaire,Canadienne
24656,STUB HUB,JP Chartrand,2019,2019-04-30,2019-04-30,1,0,15,6,Message publicitaire,Canadienne
24657,DIVERS PUBLICITÉ,DIVERS,2019,2019-04-30,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24658,LOLË,,2019,2019-04-30,2019-05-01,1,0,15,6,Message publicitaire,Canadienne
24659,Bell,Jean-François Asselin,2019,2019-04-27,2019-04-30,3,0,15,6,Message publicitaire,Canadienne
24660,Kabaret KINO,Divers,2019,2019-05-06,2019-05-19,11,0,16,6,Court métrage,Canadienne
24661,Un souper presque parfait X,Maxime Pelletier,2019,2019-05-13,2019-08-30,120,0,14,6,Télévision générale,Canadienne
24662,DIVERS PUBLICITÉ,DIVERS,2019,2019-04-26,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24663,Desjardins Habitation,Olivier Bouchard,2019,2019-04-30,2019-04-30,1,0,15,6,Message publicitaire,Canadienne
24664,Max et Livia 3,Martin Roy et Isabelle Garnesu,2019,2019-05-23,2019-07-18,26,0,14,6,Télévision générale,Canadienne
24665,Les Gags Juste pour rire XX,"Y Vallière, D Taylor, B Gagnon, JM Péloquin…",2019,2019-05-06,2019-10-04,122,0,14,6,Télévision générale,Canadienne
24666,Toute la Vie,Jean-Philippe Duval,2019,2019-05-13,2019-12-23,96,0,13,6,Série télévisée,Canadienne
24667,Ruptures V,Rafaël Ouellet,2019,2019-05-05,2019-08-09,58,0,13,6,Série télévisée,Canadienne
24668,Viens-tu faire un tour VI,Pierre Gagnon,2019,2019-05-01,2019-11-30,5,0,14,6,Télévision générale,Canadienne
24669,St-Narcisse,Bruce La Bruce,2019,2019-05-05,2019-06-20,2,0,11,6,Long métrage,Canadienne
24670,Mouvement Deluxe,Mathieu Handfield,2019,2019-05-03,2019-05-03,1,0,27,6,Série web,Canadienne
24671,La Maison Bleue,Ricardo Trogi,2019,2019-05-06,2019-06-22,20,0,13,6,Série télévisée,Canadienne
24672,Divers Photos,Photographe,2019,2019-04-29,2019-12-31,0,0,18,6,Photographie,Canadienne
24673,Addition-Elle Automne 2019,Royal Gilbert,2019,2019-05-13,2019-05-30,2,0,18,6,Photographie,Canadienne
24674,Perséide,Giuliano Bossa,2019,2019-05-19,2019-05-20,2,0,16,6,Court métrage,Canadienne
24675,Reitmans Automne 2019,Geneviève Charbonneau,2019,2019-05-06,2019-05-09,2,0,18,6,Photographie,Canadienne
24676,Kamik 2020,Martin Girard,2019,2019-05-08,2019-05-09,1,0,18,6,Photographie,Canadienne
24677,Roue de fortune chez vous,Ève Meilleur,2019,2019-05-05,2019-10-30,40,0,14,6,Télévision générale,Canadienne
24678,Fall 2020 Photoshoot,Dorothée Cuny,2019,2019-05-21,2019-05-22,2,2,18,6,Photographie,Canadienne
24679,Producteurs de Lait du Québec,Raphaël Ouellet,2019,2019-05-05,2019-05-05,1,0,15,6,Message publicitaire,Canadienne
24680,Desjardins Entreprises,Benjamin Lussier,2019,2019-05-06,2019-05-06,4,0,15,6,Message publicitaire,Canadienne
24681,Il n'y a pas de faux métier,Olivier Godin,2019,2019-05-09,2019-06-15,19,0,11,6,Long métrage,Canadienne
24682,Faits Divers III,Stéphane Lapointe,2019,2019-05-13,2019-06-30,1,0,13,6,Série télévisée,Canadienne
24683,Léo,Jean-François Chagnon,2019,2019-05-16,2019-07-07,4,0,14,6,Télévision générale,Canadienne
24684,Après OD Grèce,Rémi Fréchette,2019,2019-04-03,2019-05-11,4,0,27,6,Série web,Canadienne
24685,Subway W4,Mélanie Charbonneau,2019,2019-05-14,2019-05-15,1,0,15,6,Message publicitaire,Canadienne
24686,La Fabrique culturelle,"Louis-Philippe Chagnon, Alain Chevarier, J.Scaglia",2019,2019-05-08,2019-12-31,10,0,20,6,Multimédia,Canadienne
24687,Strongest Man in History,Brian Wendel,2019,2019-05-24,2019-05-30,7,0,14,7,Télévision générale,Etrangère
24688,Matador Network with Destination Canada,,2019,2019-05-21,2019-05-28,4,0,28,7,Publicité web,Etrangère
24689,Nomads,Mathieu Ratthé,2019,2019-05-21,2019-05-30,1,0,22,6,Documentaire,Canadienne
24690,Où es-tu (Saison 2),Patricia Beaulieu,2019,2019-05-27,2019-10-31,14,0,14,6,Télévision générale,Canadienne
24691,Winnebago,Francis Leclerc,2019,2019-06-09,2019-08-08,5,0,13,6,Série télévisée,Canadienne
24692,Le Métro voyage dans le temps,Béatrice Pautel,2019,2019-05-03,2019-07-31,15,0,14,6,Télévision générale,Canadienne
24693,Fondation 2019,Joëlle Desjardins,2019,2019-05-17,2019-05-17,1,0,28,6,Publicité web,Canadienne
