Date,CorridorKM1,CorridorKM1_Pietons_IN_-_dir_Ouest_-_Amherst,CorridorKM1_Pietons_OUT_-_dir_Est_-_Morin-Heights,CorridorKM1_Velos_IN_-_dir_Ouest_-_Amherst,CorridorKM1_Velos_OUT_-_dir_Est_-_Morin-Heights,MontLaurierKM199,MontLaurierKM199_Pietons_direction_SUD_vers_St-Jerome,MontLaurierKM199_Pietons_direction_NORD_vers_gare_Mont-Laurier,MontLaurierKM199_Velos_direction_SUD_vers_St-Jerome,MontLaurierKM199_Velos_direction_NORD_vers_gare_Mont-Laurier,Mirabel,BoisesMirabel_Verskm0,BoisesMirabel_Sud,BoisesMirabel_IN,BoisesMirabel_OUT,GareNominingue,GareNominingue_Pietons_direction_SUD,GareNominingue_Pietons_direction_NORD,GareNominingue_Velos_direction_SUD,GareNominingue_Velos_direction_NORD,Gare_de_Tremblant,Gare_de_Tremblant_A_IN,Gare_de_Tremblant_A_OUT,Gare_de_Tremblant_B_IN,Gare_de_Tremblant_B_OUT,Prevost,IN,OUT,MT_ROLLAND_NORD,MT_ROLLAND_NORD_A_IN,MT_ROLLAND_NORD_A_OUT,MT_ROLLAND_NORD_B_IN,MT_ROLLAND_NORD_B_OUT,Mont_Rolland_(5238A),5238A_Sens_IN,5238A_Sens_OUT,Blainville_(7282A),7282A_Sens_IN,7282A_Sens_OUT,Prevost_suite,Prevost_suite_Cyclists,Prevost_suite_Cars,Compteur_lac_Mercier_Tremblant,Compteur_lac_Mercier_Tremblant_IN,Compteur_lac_Mercier_Tremblant_OUT
2012-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,0,0,0,,,,,,
2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,,,,,,
2012-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,0,0,0,,,,,,
2012-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,,,,,,
2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,,,,,,
2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802,1802,0,0,0,0,,,,,,
2012-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,,,,,,
2012-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,,,,,,
2012-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,0,0,0,,,,,,
2012-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,0,0,0,,,,,,
2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,,,,,,
2012-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,0,0,,,,,,
2012-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,0,0,0,,,,,,
2012-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,,,,,,
2012-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,0,0,0,,,,,,
2012-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,0,0,,,,,,
2012-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,,,,,,
2012-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,,,,,,
2012-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,,,,,,
2012-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,2,0,0,0,,,,,,
2012-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,,,,,,
2012-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,0,0,,,,,,
2012-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,0,,,,,,
2012-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,,,,,,
2012-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,,,,,,
2012-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,,,,,,
2012-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,,,,,,
2012-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,0,0,0,,,,,,
2012-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,,,,,,
2012-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,0,0,,,,,,
2012-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,0,0,0,,,,,,
2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,,,,,,
2012-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,,,,,,
2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,0,0,0,,,,,,
2012-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,,,,,,
2012-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,0,0,,,,,,
2012-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,,,,,,
2012-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,0,0,,,,,,
2012-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,,,,,,
2012-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,,,,,,
2012-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,,,,,,
2012-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,,,,,,
2012-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,,,,,,
2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,2,,,,,,
2012-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,18,11,7,,,,,,
2012-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,21,9,12,,,,,,
2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,71,29,42,,,,,,
2012-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,90,38,52,,,,,,
2012-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,73,30,43,,,,,,
2012-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,50,22,28,,,,,,
2012-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,20,5,15,,,,,,
2012-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,4,28,10,18,,,,,,
2012-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,9,3,6,,,,,,
2012-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,15,8,7,,,,,,
2012-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,,,,,,
2012-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,14,8,6,,,,,,
2012-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,13,13,,,,,,
2012-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,63,38,25,,,,,,
2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,6,6,5,1,,,,,,
2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22,9,13,,,,,,
2012-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,40,20,20,,,,,,
2012-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,33,14,19,,,,,,
2012-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,34,20,14,,,,,,
2012-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,83,40,43,,,,,,
2012-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12,18,68,28,40,,,,,,
2012-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,32,19,133,84,49,,,,,,
2012-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,30,27,8,3,5,,,,,,
2012-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8,10,23,9,14,,,,,,
2012-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,9,20,11,9,,,,,,
2012-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,13,62,32,30,,,,,,
2012-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,20,29,99,47,52,,,,,,
2012-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,50,74,198,100,98,,,,,,
2012-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,142,127,220,117,103,,,,,,
2012-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,62,70,172,87,85,,,,,,
2012-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,39,31,57,24,33,,,,,,
2012-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,29,30,78,39,39,,,,,,
2012-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,37,44,118,66,52,,,,,,
2012-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,41,43,2,1,1,,,,,,
2012-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,5,0,0,0,,,,,,
2012-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,9,18,41,23,18,,,,,,
2012-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,40,34,0,0,0,,,,,,
2012-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,19,9,10,,,,,,
2012-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8,13,18,7,11,,,,,,
2012-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,21,15,43,25,18,,,,,,
2012-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,8,14,8,6,,,,,,
2012-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12,18,78,45,33,,,,,,
2012-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,54,67,166,83,83,,,,,,
2012-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,91,88,77,42,35,,,,,,
2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,60,53,35,16,19,,,,,,
2012-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,10,16,73,40,33,,,,,,
2012-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,23,29,50,30,20,,,,,,
2012-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,25,30,36,17,19,,,,,,
2012-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,60,98,275,123,152,,,,,,
2012-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,370,371,407,192,215,,,,,,
2012-05-06,305,101,91,60,53,,,,,,2446,148,133,1027,1138,,,,,,,,,,,,,,,,,,,600,338,262,205,88,117,,,,,,
2012-05-07,108,32,30,22,24,262,43,34,84,101,2027,104,119,824,980,87,15,9,29,34,,,,,,,,,,,,,,296,160,136,3,2,1,,,,,,
2012-05-08,20,11,9,0,0,86,22,23,21,20,18,0,0,11,7,12,2,1,5,4,,,,,,,,,,,,,,33,17,16,51,13,38,,,,,,
2012-05-09,52,25,24,2,1,112,24,28,25,35,338,29,24,135,150,15,5,5,3,2,,,,,,,,,,,,,,129,60,69,24,10,14,,,,,,
2012-05-10,32,11,14,4,3,49,7,10,19,13,215,17,12,107,79,66,25,34,5,2,,,,,,,,,,,,,,81,41,40,78,37,41,,,,,,
2012-05-11,100,43,40,11,6,138,25,22,46,45,840,50,48,361,381,82,23,21,19,19,,,,,,,,,,,,,,391,153,238,227,97,130,,,,,,
2012-05-12,222,55,80,50,37,212,23,41,78,70,1942,72,60,886,924,125,9,22,47,47,,,,,,,,,,,,,,696,394,302,223,114,109,,,,,,
2012-05-13,309,109,112,47,41,167,18,17,66,66,1464,57,55,671,681,102,18,10,39,35,,,,,,,,,,,,,,429,211,218,191,97,94,,,,,,
2012-05-14,120,37,38,28,17,239,43,44,69,83,2016,93,82,867,974,50,7,4,22,17,,,,,,,,,,,,,,351,169,182,76,45,31,,,,,,
2012-05-15,121,49,41,17,14,237,33,45,79,80,602,44,39,262,257,42,5,2,16,19,,,,,,,,,,,,,,166,81,85,103,52,51,,,,,,
2012-05-16,42,20,14,3,5,118,18,21,19,60,564,36,35,237,256,12,2,4,2,4,,,,,,,,,,,,,,71,38,33,88,43,45,,,,,,
2012-05-17,77,31,26,10,10,124,22,26,50,26,883,60,50,364,409,43,3,4,26,10,,,,,,,,,,,,,,143,84,59,145,70,75,,,,,,
2012-05-18,129,71,41,5,12,194,59,75,29,31,1307,170,189,447,501,65,15,19,17,14,,,,,,,,,,,,,,437,222,215,251,121,130,,,,,,
2012-05-19,318,109,69,69,71,275,56,52,101,66,1975,154,157,789,875,320,28,23,153,116,,,,,,,,,,,,,,1036,555,481,266,152,114,,,,,,
2012-05-20,416,129,133,87,67,346,80,57,108,101,2292,195,194,1010,893,355,38,31,144,142,,,,,,,,,,,,,,1012,548,464,378,211,167,,,,,,
2012-05-21,323,111,115,50,47,244,43,33,74,94,2827,295,306,1233,993,202,35,26,81,60,,,,,,,,,,,,,,621,336,285,13,6,7,,,,,,
2012-05-22,50,23,23,2,2,128,31,32,34,31,53,9,4,19,21,109,14,16,13,66,,,,,,,,,,,,,,62,34,28,213,92,121,,,,,,
2012-05-23,94,42,38,8,6,360,51,41,153,115,1166,106,95,478,487,149,39,17,43,50,,,,,,,,,,,,,,290,132,158,167,108,59,,,,,,
2012-05-24,133,57,51,14,11,241,55,46,64,76,1474,144,121,588,621,153,8,11,106,28,,,,,,,,,,,,,,282,125,157,78,51,27,,,,,,
2012-05-25,94,36,38,11,9,171,56,42,39,34,833,77,61,328,367,33,6,3,9,15,,,,,,,,,,,,,,455,203,252,271,131,140,,,,,,
2012-05-26,281,92,81,53,55,296,50,51,96,99,2382,151,158,1008,1065,242,45,18,114,65,,,,,,,,,,,,,,813,367,446,368,207,161,,,,,,
2012-05-27,282,96,93,55,38,236,28,15,92,101,2253,184,190,926,953,123,16,19,49,39,,,,,,,,,,,,,,623,298,325,71,39,32,,,,,,
2012-05-28,60,27,24,5,4,139,28,22,57,32,299,29,30,114,126,24,6,0,8,10,,,,,,,,,,,,,,104,55,49,89,22,67,,,,,,
2012-05-29,48,19,23,3,3,133,19,21,43,50,405,47,32,157,169,93,8,12,52,21,,,,,,,,,,,,,,164,91,73,237,95,142,,,,,,
2012-05-30,86,40,33,2,11,237,34,25,77,101,1536,111,124,644,657,71,13,4,27,27,,,,,,,,,,,,,,260,164,96,190,53,137,,,,,,
2012-05-31,149,65,71,8,5,193,49,40,49,55,853,69,73,341,370,72,9,7,27,29,,,,,,,,,,,,,,217,121,96,253,89,164,,,,,,
2012-06-01,97,33,30,21,13,137,17,21,58,41,974,53,60,422,439,68,3,2,42,21,,,,,,,,,,,,,,159,59,100,11,1,10,,,,,,
2012-06-02,22,8,8,3,3,66,13,25,19,9,21,2,2,10,7,260,212,22,20,6,,,,,,,,,,,,,,45,23,22,280,100,180,,,,,,
2012-06-03,154,56,56,22,20,102,16,14,36,36,986,83,86,408,409,2251,2154,27,45,25,,,,,,,,,,,,,,112,68,44,97,32,65,,,,,,
2012-06-04,53,25,19,4,5,121,25,15,49,32,209,24,18,86,81,210,174,0,21,15,,,,,,,,,,,,,,147,74,73,238,81,157,,,,,,
2012-06-05,83,32,30,9,12,179,25,27,66,61,1361,101,107,562,591,522,460,0,37,25,,,,,,,,,,,,,,232,116,116,295,115,180,,,,,,
2012-06-06,62,23,23,7,9,168,40,52,36,40,1251,85,85,541,540,64,16,0,27,21,,,,,,,,,,,,,,209,84,125,157,71,86,,,,,,
2012-06-07,101,41,39,10,11,191,29,31,69,62,1332,174,143,518,497,107,64,0,25,18,,,,,,,,,,,,,,190,99,91,146,77,69,,,,,,
2012-06-08,39,18,16,3,2,135,25,16,55,39,553,28,30,249,246,95,47,1,27,20,,,,,,,,,,,,,,344,147,197,273,171,102,,,,,,
2012-06-09,294,74,92,82,46,414,76,44,185,109,2380,156,170,1015,1039,1104,766,0,172,166,,,,,,,,,,,,,,1064,494,570,375,207,168,,,,,,
2012-06-10,370,129,131,67,43,343,62,62,103,116,2823,284,254,1165,1120,582,410,0,89,83,,,,,,,,,,,,,,925,573,352,171,101,70,,,,,,
2012-06-11,115,48,40,12,15,181,37,25,57,62,1584,140,138,637,669,111,25,0,48,38,,,,,,,,,,,,,,268,174,94,55,26,29,,,,,,
2012-06-12,39,19,19,0,1,49,10,12,16,11,334,22,19,149,144,29,13,0,10,6,,,,,,,,,,,,,,104,58,46,174,106,68,,,,,,
2012-06-13,101,31,42,20,8,448,88,59,143,158,1344,111,144,541,548,90,16,0,41,33,,,,,,,,,,,,,,327,188,139,223,142,81,,,,,,
2012-06-14,111,42,40,16,13,281,47,44,92,98,1615,200,170,627,618,4052,3937,3,60,52,,,,,,,,,,,,,,360,228,132,188,107,81,,,,,,
2012-06-15,118,41,36,22,19,231,43,24,76,88,1580,114,127,656,683,1500,1408,0,50,42,,,,,,,,,,,,,,454,253,201,249,132,117,,,,,,
2012-06-16,228,70,80,41,37,200,19,18,82,81,2119,137,130,896,956,223,0,0,116,107,,,,,,,,,,,,,,941,608,333,313,200,113,,,,,,
2012-06-17,354,110,120,79,45,192,30,24,72,66,2278,181,157,984,956,964,761,6,102,95,,,,,,,,,,,,,,561,376,185,266,176,90,,,,,,
2012-06-18,153,52,54,30,17,119,18,15,44,42,1627,103,128,665,731,66,0,0,36,30,,,,,,,,,,,,,,325,197,128,208,107,101,,,,,,
2012-06-19,91,38,39,9,5,121,28,14,47,32,893,64,56,397,376,54,0,0,32,22,,,,,,,,,,,,,,227,134,93,164,94,70,,,,,,
2012-06-20,81,26,32,13,10,131,29,26,39,37,982,89,81,406,406,2144,1821,245,42,36,,,,,,,,,,,,,,168,102,66,143,74,69,,,,,,
2012-06-21,63,30,20,8,5,127,26,30,31,40,779,111,82,311,275,54,0,0,31,23,323,133,120,37,33,,,,,,,,,151,83,68,196,114,82,,,,,,
2012-06-22,127,42,34,26,25,192,31,26,69,66,1137,79,89,449,520,136,0,0,71,65,371,137,108,57,69,,,,,,,,,427,252,175,288,150,138,,,,,,
2012-06-23,259,81,91,52,35,294,34,29,148,83,1790,116,107,716,851,323,0,0,166,157,843,184,171,254,234,,,,,,,,,810,476,334,314,167,147,,,,,,
2012-06-24,353,92,133,80,48,219,23,23,81,92,2521,125,115,1094,1187,309,0,0,157,152,3381,1756,1445,99,81,,,,,,,,,743,513,230,231,125,106,,,,,,
2012-06-25,164,61,62,25,16,57,16,13,26,2,768,46,51,355,316,13177,13123,12,30,12,184,64,56,41,23,,,,,,,,,195,128,67,74,41,33,,,,,,
2012-06-26,84,34,34,9,7,196,53,44,58,41,297,26,24,130,117,16349,16260,17,41,31,310,76,82,89,63,,,,,,,,,110,69,41,54,25,29,,,,,,
2012-06-27,95,37,34,13,11,166,31,26,58,51,270,34,30,103,103,74,0,0,41,33,185,43,50,48,44,,,,,,,,,185,106,79,205,119,86,,,,,,
2012-06-28,101,37,33,18,13,267,38,37,80,112,1525,116,99,652,658,212,58,0,80,74,457,116,80,129,132,,,,,,,,,368,222,146,178,102,76,,,,,,
2012-06-29,119,43,40,22,14,261,32,22,120,87,1091,84,76,444,487,204,0,0,106,98,465,155,68,118,124,,,,,,,,,466,271,195,260,154,106,,,,,,
2012-06-30,277,74,85,67,51,323,54,34,143,92,1742,85,100,725,832,373,0,0,190,183,956,170,141,311,334,,,,,,,,,812,503,309,397,230,167,,,,,,
2012-07-01,456,136,146,108,66,260,40,33,96,91,2431,164,149,1025,1093,405,0,0,207,198,1230,261,210,379,380,,,,,,,,,992,640,352,389,213,176,,,,,,
2012-07-02,313,97,99,59,58,350,36,30,149,135,2580,161,197,1129,1093,296,0,0,149,147,1063,295,195,278,295,,,,,,,,,690,486,204,248,137,111,,,,,,
2012-07-03,180,59,65,34,22,192,14,8,92,78,1583,141,139,651,652,197,0,0,102,95,539,86,82,192,179,,,,,,,,,330,227,103,157,79,78,,,,,,
2012-07-04,94,32,35,14,13,181,46,42,48,45,744,58,62,322,302,103,0,0,54,49,556,272,99,108,77,,,,,,,,,336,210,126,235,128,107,,,,,,
2012-07-05,135,46,47,23,19,279,44,35,93,107,1776,139,135,749,753,186,0,0,97,89,517,114,98,160,145,,,,,,,,,469,314,155,136,86,50,,,,,,
2012-07-06,189,69,53,40,27,220,27,21,92,80,1207,78,69,532,528,144,0,0,74,70,411,72,71,135,133,,,,,,,,,445,256,189,196,116,80,,,,,,
2012-07-07,233,73,79,48,33,245,33,26,83,103,1713,81,102,733,797,304,0,0,156,148,954,242,122,295,295,,,,,,,,,779,491,288,405,213,192,,,,,,
