ï»¿nom,adresse,typologie,image,jeux_balancoire,jeux_balancoireadapte,jeux_eau,jeux_module,jeux_sable,sport_acceseau,sport_baseball,sport_basket,sport_bmx,sport_bocce,sport_dekhockey,sport_football,sport_glissade,sport_minisoccer,sport_moduleexercice,sport_patinoireext,sport_petanque,sport_peche,sport_picleball,sport_piscine,sport_plage,sport_sentiers,sport_skate,sport_soccer,sport_tennis,sport_velo,sport_volley,service_agora,service_barbecue,service_boitelivre,service_canin,service_chalet,service_eau,service_feu,service_gloriette,service_jardin,service_piquenique,service_stationnement,service_tableadapte,service_toilettes,autres,objectid
Parc Jean-Claude-LÃ©garÃ©,Avenue Georges / Rue Notre-Dame,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Jean_Claude_Legare.jpg,non,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,60
Parc Lord,Rue Pierre Lord,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Lord.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,41
Parc Ludger-Gerbeau,"75, 119e Rue / 101e Avenue",parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Ludger_Gerbeau.jpg,OUI,non,non,OUI,non,non,non,OUI,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,40
Parc Morand,Rue Morand,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Morand.jpg,OUI,non,non,OUI,non,non,non,OUI,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,46
Parc Saint-Michel,Rue Ovila-Demontigny,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Saint_Michel.jpg,OUI,OUI,non,OUI,non,non,non,OUI,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,44
Espace vert Eymard,Boulevard St-Sacrement / Boulevard des HÃªtres / Rue Julien-Eymard,ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Eymard.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,38
Parc de Belgoville,Rue de Belgoville / Rue Ãmile-Jacob,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Belgoville.jpg,OUI,non,non,OUI,non,non,non,OUI,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,OUI,OUI,non,non,non,OUI,OUI,non,OUI,,57
Parc Boisvert,128e Rue / 110e Avenue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Boisvert.jpg,OUI,OUI,OUI,OUI,OUI,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,non,non,non,OUI,non,non,non,,49
Parc des Trois-L,Rue Viger / Avenue Laval,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Trois_L.jpg,OUI,OUI,non,OUI,non,non,non,non,non,non,non,,non,non,,OUI,non,non,,non,non,OUI,non,non,non,non,non,non,non,OUI,non,OUI,OUI,non,non,OUI,OUI,non,non,OUI,,50
Parc du Domaine-du-Havre,Rue EugÃ¨ne-Dumas,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Domaine_du_Havre.jpg,OUI,OUI,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,58
Parc Glenada,Rue Foucher,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Glenada.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,59
Parc Saint-Jean,Rue Notre-Dame / Avenue Laurier,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Saint_Jean.jpg,OUI,OUI,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,,55
Parc Val-Mauricie,Rue de Val-Mauricie / Rue Antoinette-J.-Goulet,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Val_Mauricie.jpg,OUI,OUI,non,non,non,non,OUI,non,OUI,non,non,,non,non,,non,non,non,,OUI,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,,52
Parc Notre-Dame,Rue Notre-Dame / Avenue St-Marc,ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Notre_Dame.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,56
Parc Eddy-Rivard,Rue Vachon / Chemin de la Vigilance,ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Eddy_Rivard.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,non,OUI,non,non,non,,54
Place du Capitaine-J.-Marcel-Girardeau,Avenue de Vimy,espace vert,,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,53
Parc de l'Ãle-Melville,Avenue Melville,autre parc,,non,non,non,non,non,OUI,non,non,non,non,non,,non,OUI,,non,non,non,OUI,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,,85
Parc Paul-AndrÃ©-Potvin,200e Avenue / 209e Rue,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Paul_Andre_Potvin.jpg,OUI,non,OUI,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,OUI,OUI,OUI,non,non,non,non,non,OUI,non,non,non,non,OUI,OUI,non,non,,70
Parc Turcotte,Chemin des Daniel,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Turcotte.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,OUI,non,OUI,non,non,non,OUI,non,OUI,non,non,non,non,non,non,non,OUI,,69
Parc des Jardins-Saint-Georges,215e Rue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Jardins_Saint-Georges.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,71
Parc des Piles,Rue Morin,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Piles.jpg,non,non,non,non,non,OUI,non,non,non,non,non,,non,non,,non,OUI,non,,non,non,non,non,non,non,non,OUI,non,OUI,non,non,non,non,non,non,non,OUI,OUI,non,non,,64
Parc du Beau-Rivage,Avenue du Beau-Rivage,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Beau_Rivage.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,OUI,non,,OUI,non,non,,non,non,non,non,non,non,non,OUI,non,non,non,non,OUI,non,OUI,non,non,OUI,OUI,non,non,,61
Parc Guillaume-Tell,206e Rue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Guillaume_Tell.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,68
Parc Maurice-Beaudoin,Avenue de la Station,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Maurice_Beaudoin.jpg,non,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,62
Parc Cendrillon,211e Rue,ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Cendrillon.jpg,non,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,67
Parc Ãtienne-Bellemare,Chemin de Saint-Jean-des-Piles,espace vert,http://jmap.shawinigan.ca/doc/photos/Parcs/Etienne_Bellemare.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,OUI,non,non,non,belvÃ©dÃ¨re,66
Parc Guillemette,Rue Guillemette,espace vert,http://jmap.shawinigan.ca/doc/photos/Parcs/Guillemette.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,63
Parc du Saint-Maurice,Avenue Broadway,parc municipal,http://jmap.shawinigan.ca/doc/photos/Parcs/Saint_Maurice.jpg,OUI,OUI,OUI,OUI,non,non,non,non,non,non,non,,non,non,,non,OUI,non,,OUI,non,non,non,non,OUI,OUI,non,OUI,non,non,non,OUI,OUI,non,non,non,OUI,OUI,OUI,OUI,,72
Parc Bellevue,Avenue BeauprÃ©,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Bellevue.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,OUI,non,non,non,non,non,non,non,OUI,OUI,non,non,non,non,non,non,OUI,,74
Parc Gervais,207e Avenue,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Gervais.jpg,OUI,non,non,OUI,non,non,OUI,non,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,,77
Parc Alphonse-TrÃ©panier,"171, rue des Loisirs",parc de voisinage,,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,OUI,non,non,non,non,OUI,non,non,non,non,OUI,OUI,non,OUI,chambre des joueurs dans le chalet,79
Parc du Petit-Poucet,132e Rue / 104e Avenue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Petit_Poucet.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,76
Parc des VÃ©tÃ©rans,Promenade du Saint-Maurice,ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Veterans.jpg,non,non,non,non,non,OUI,non,non,non,non,non,,non,non,,non,non,non,,non,non,OUI,non,non,non,OUI,non,non,non,non,non,OUI,OUI,non,non,non,OUI,non,OUI,OUI,,75
Parc Hamilton,Promenade du Saint-Maurice,espace vert,http://jmap.shawinigan.ca/doc/photos/Parcs/Hamilton.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,OUI,non,non,,80
Complexe sportif RenÃ©-Perron,5285 Avenue Albert-Tessier,autre parc,,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,,non,non,non,,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,,82
Parc de la PoudriÃ¨re,Rue de la PoudriÃ¨re,parc de voisinage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
Parc Suzanne-Langevin,Rue Suzanne-Langevin,parc de voisinage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
Parc Antoine-St-Onge,"Rue St-Paul, rue St-Joseph, boul. Royal, boul. des HÃªtres",parc municipal,http://jmap.shawinigan.ca/doc/photos/Parcs/Antoine_St_onge.jpg,OUI,OUI,non,OUI,non,non,non,non,non,non,OUI,,non,non,,non,OUI,non,,OUI,non,non,oui,non,non,non,non,non,non,non,non,OUI,OUI,non,non,non,OUI,non,non,OUI,,36
Parc de la Plage-IdÃ©ale,Avenue du Tour-du-Lac,parc municipal,http://jmap.shawinigan.ca/doc/photos/Parcs/Plage_Ideale.jpg,OUI,non,OUI,OUI,non,OUI,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,OUI,non,non,OUI,OUI,non,non,non,non,OUI,non,non,OUI,non,OUI,OUI,non,non,,51
Parc de la RiviÃ¨re-Grand-MÃ¨re,7e Rue / 11e Avenue,parc municipal,http://jmap.shawinigan.ca/doc/photos/Parcs/Riviere_Grand_Mere.jpg,OUI,non,non,OUI,non,non,non,OUI,non,non,non,,non,non,OUI,non,non,non,,non,non,OUI,OUI,non,OUI,OUI,non,non,non,non,non,non,OUI,non,non,non,OUI,OUI,OUI,non,,2
Parc des Papetiers,"99, avenue Chahoon",parc municipal,http://jmap.shawinigan.ca/doc/photos/Parcs/Papetiers.jpg,non,non,non,non,non,OUI,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,OUI,OUI,non,non,non,OUI,OUI,non,OUI,,81
Parc multisport RÃ©al-Dufresne,"925, 129e Rue",parc municipal,http://jmap.shawinigan.ca/doc/photos/Parcs/Real_Dufresne.jpg,non,non,non,non,non,non,OUI,OUI,non,non,non,,non,non,,non,non,non,,non,non,non,OUI,OUI,OUI,non,OUI,non,non,non,OUI,OUI,OUI,non,non,non,non,OUI,non,OUI,mini-putt,78
Parc du Grand-Orme,Rue Morin,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Grand_Orme.jpg,OUI,non,non,OUI,non,non,non,non,non,non,OUI,,non,non,,OUI,non,non,,non,non,non,OUI,non,OUI,non,non,non,non,non,non,OUI,OUI,non,non,non,OUI,non,non,OUI,,65
Parc Jacob,Avenue du Capitaine-Veilleux / Avenue d'Almaville,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Jacob.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,OUI,non,non,,43
Parc Pierre-Garceau,Chemin des GenÃ©vriers,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Pierre_Garceau.jpg,OUI,non,non,OUI,non,non,non,OUI,non,non,non,,non,non,,OUI,non,non,,non,non,non,OUI,non,non,non,non,non,non,non,non,OUI,non,non,non,non,OUI,non,non,non,,23
Parc Wellie-Robitaille,Avenue Joseph-Beaumier,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Robitaille.jpg,OUI,non,non,OUI,non,non,non,OUI,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,45
Parc Lambert,105e avenue,belvÃ©dÃ¨re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
Espace vert Summit,Rue Summit,espace vert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
Parc du Lac-Montclair,Rue du Lac-Montclair / Chemin des Bouleaux,ilot et placette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
Espace vert Van Bruyssel,Escalier Rue des Ãrables / Rue Cascade,belvÃ©dÃ¨re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
