OBJECTID,DOMANIALIT,NO_TERRI,TYPE_TERRI,FSC,SFI,CERT_PARTI,REMARQUES,DATE_PUBLI,SUP_TERRI,Shape_Length,Shape_Area
"23",PU,"06271",UA,O,,,,2023/04/01 00:00:00,702490.3,1020872.55553094,7007235276.48399
"24",PU,"06452",UA,,O,SFI,Uniquement pour les opérations de Louisiana Pacific,2023/04/01 00:00:00,201332.9,945585.37610791,2011337908.5028
"25",PU,"06471",UA,O,O,SFI,Seule la partie correspondant à l'ancienne 061-52 est FSC. Tout approvisionnement livré à BiomasseDuTaureau et opérations de LP sont SFI (autres BGA et secteurs BMMB inclus),2023/04/01 00:00:00,151830.8,379317.479387862,1513807024.26452
"26",PU,"06471",UA,,O,SFI,Tout approvisionnement livré à LaGranaudière et opérations de LP sont SFI (autres BGA et secteurs BMMB inclus),2023/04/01 00:00:00,1064590.3,1265644.36438984,10599250111.479
"27",PU,"06471",UA,O,O,SFI,Uniquement pour les chantiers qui approvisionnent BiomasseDuTaureau (peut inclure autres BGA et BMMB),2023/04/01 00:00:00,1.8,2806.2725329146,18436.972466378
"28",PU,"07151",UA,,O,,,2023/04/01 00:00:00,287997.7,722486.732033775,2879081838.68813
"29",PU,"07152",UA,,O,,,2023/04/01 00:00:00,587579.4,697319.91880735,5863605621.95582
"30",PU,"07251",UA,,O,SFI,Uniquement pour les opérations de Louisiana Pacific,2023/04/01 00:00:00,169036.4,1005399.38083507,1690898712.90861
"31",PU,"07351",UA,,O,,,2023/04/01 00:00:00,469697.8,1072612.74088669,4687078907.09079
"32",PU,"07352",UA,,O,,,2023/04/01 00:00:00,469362.9,586006.147239064,4675063361.00199
"33",PU,"07451",UA,,O,,,2023/04/01 00:00:00,1044220.2,788423.943658219,10385142041.2383
"34",PU,"08151",UA,O,,,,2023/04/01 00:00:00,420060.6,359697.918154725,4192106220.15929
"35",PU,"08152",UA,O,,,,2023/04/01 00:00:00,835543.4,807994.329149729,8321374721.55989
"36",PU,"08251",UA,O,O,,,2023/04/01 00:00:00,653830.9,1474866.0319342,6490036157.62488
"37",PU,"08351",UA,,O,,FSC d'Interfor suspendu le 10 août 2022,2023/04/01 00:00:00,1280170.1,1552409.96414135,12718912735.8051
"38",PU,"08451",UA,O,O,,,2023/04/01 00:00:00,878129,948991.360555446,8708349453.62213
"39",PU,"08462",UA,,O,,,2023/04/01 00:00:00,292948.8,269850.652081765,2904443457.18637
"40",PU,"08551",UA,O,O,,,2023/04/01 00:00:00,1041507.5,748455.020113461,10301836978.2602
"41",PU,"08562",UA,O,,,,2023/04/01 00:00:00,132560.4,412099.177514501,1309641309.08843
"42",PU,"08651",UA,,O,,,2023/04/01 00:00:00,411357.8,1088561.59820377,4075232827.55015
"43",PU,"08652",UA,,O,,,2023/04/01 00:00:00,391537.5,555869.135727711,3872287141.44015
"44",PU,"08663",UA,O,O,,,2023/04/01 00:00:00,389618.4,454317.261848365,3845812025.24441
"45",PU,"08664",UA,O,O,,,2023/04/01 00:00:00,290432.7,363205.213352434,2868463282.06518
"46",PU,"08665",UA,,O,,,2023/04/01 00:00:00,358900.7,495130.07592053,3544646457.4503
"47",PU,"08666",UA,,O,,,2023/04/01 00:00:00,507970,570742.361034824,5014421841.26809
"48",PU,"08751",UA,O,O,,,2023/04/01 00:00:00,542290.6,658190.502650984,5369625443.51805
"49",PU,"08762",UA,,O,,,2023/04/01 00:00:00,466523.2,364729.222063058,4617807620.17971
"50",PU,"08763",UA,,O,,,2023/04/01 00:00:00,442040.6,453804.085072899,4372354032.63067
"51",PU,"08764",UA,,O,,,2023/04/01 00:00:00,440044.8,479523.646773931,4349330629.73876
"52",PU,"09351",UA,O,O,,,2023/04/01 00:00:00,2286987,1561487.51074463,22598184332.7357
"53",PU,"09352",UA,,,,,2023/04/01 00:00:00,1424512,1245268.41905512,14045443997.3401
"54",PU,"09471",UA,,O,,,2023/04/01 00:00:00,2601656.9,1879725.19314708,25679424103.206
"55",PU,"09551",UA,,,,,2023/04/01 00:00:00,251811.4,574767.612322013,2485672871.02081
"56",PU,"09751",UA,,O,,,2023/04/01 00:00:00,1558647.4,1239834.14972813,15429421827.8139
"57",PU,"11161",UA,O,,,,2023/04/01 00:00:00,691931.3,634254.352974757,6861202735.32877
"58",PU,"11262",UA,O,,,,2023/04/01 00:00:00,440913.5,578401.449722438,4369993364.29894
"59",PU,"11263",UA,O,,,,2023/04/01 00:00:00,491084.4,679126.102406191,4862970370.89108
"60",PU,"03771",UA,O,,,,2023/04/01 00:00:00,334204.2,503681.624702016,3326393459.57473
"61",PU,"03772",UA,,,,,2023/04/01 00:00:00,700262.2,1004592.57646112,6958304986.36472
"62",PU,"12171",UA,,,,,2023/04/01 00:00:00,16289.3,74192.5288356241,162574180.972624
"63",PU,"12171",UA,O,,,,2023/04/01 00:00:00,145054.6,1474363.74670325,1446850231.0542
