caseid,mode,q1a,q1b,q2,age5,q3a,q3b,classc,q4,q4t,q4a,q5,qquot_m1,qquot_m2,qquot_m3,q6,q7,q7t_m1,q7t_m2,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,nbq10,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,q11i,nbq11,q12,q13,q14a,q14b,q14c,q14d,q14e,q14f,q14g,q14h,q14i,nbq14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,nbq15,q16,q17,q18,q19,q20,q21,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q22h,q22i,q22j,q22k,q22k_o,nbq22,q23a,q23b,q23c,q25a,q25b,q25c,q25d,q25e,q25f,q26a,q26b,q26c,q26d,q26e,q26f,q26g,q27a,q27b,q27c,q27d,q27e,q27f,nbq27,q28a,q28b,q28c,q28d,q28e,q28f,nbq28,q29,q30,q31,q32,q3132_m1,q3132_m2,q3132_m3,q33,q34,q35,poids
2127,2,1,4,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2,1,1,1,1,1,1,6,2,1,2,2,2,2,1,1,4,,,,,,2,2,2,"0,503492295742035"
2410,2,1,6,6,5,1,1,1,,1,,,1,,,1,,1,11,2,2,1,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,1,2,2,2,2,2,2,2,2,2,9,2,,0,5,5,5,5,5,5,5,5,5,1,2,3,2,2,3,2,1,1,2,2,1,2,3,2,2,,,2,,0,1,4,,,,,,2,1,3,"0,586503446102142"
2450,1,1,3,6,5,1,1,1,,1,,,1,,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,2,2,9,2,2,2,2,2,2,1,2,2,,1,2,3,3,2,2,3,3,4,4,2,2,1,2,2,3,2,2,2,2,2,2,2,0,,,,,,,0,1,4,,,,,,2,2,99,"0,309020727872848"
2618,1,1,9,6,5,1,1,1,,1,,,1,,,2,1,2,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,9,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,9,9,4,5,5,5,5,4,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,,,,,0,2,2,,,,,,2,2,2,"0,604089081287384"
2696,2,1,14,5,4,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,5,5,5,5,5,5,2,2,3,2,1,2,2,2,1,2,2,1,2,2,,2,,,2,,0,2,3,,,,,,2,2,3,"0,548326790332794"
2867,1,1,9,7,5,1,1,1,,1,,,1,,,2,1,2,11,4,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,0,5,9,4,4,4,4,4,3,4,1,3,3,2,2,3,3,2,2,2,2,2,2,0,,,,,,,0,2,4,,,,,,2,2,7,"0,154100090265274"
3380,2,1,6,7,5,1,1,1,,1,,,1,,,1,,1,11,4,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,3,5,4,4,4,5,4,3,3,3,2,2,3,2,2,2,2,2,2,2,0,,,,,,,0,2,4,,,,,,2,2,5,"0,39475953578949"
4022,2,1,7,5,4,1,1,1,,1,,,1,,,2,4,5,10,4,99,,,,,,,,,,,,,,,,,,3,1,9,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,3,4,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,,6,4,4,5,4,5,2,3,3,3,1,2,2,1,2,2,1,1,2,1,1,1,1,5,9,,2,2,2,2,0,1,3,,,,,,2,2,5,"0,486326009035111"
4182,2,1,3,6,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,2,99,2,2,2,2,2,2,2,2,2,2,2,,0,3,4,2,3,3,4,5,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,5,2,2,2,2,2,,0,1,3,,,,,,2,2,5,"0,332781195640564"
4320,1,1,14,6,5,1,1,1,,1,,,1,,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,2,2,1,2,1,1,3,3,4,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,,1,5,5,3,3,5,5,5,5,4,2,2,2,2,2,3,2,1,1,2,1,1,1,5,2,2,,2,2,2,0,1,4,,,,,,2,2,6,"0,282999515533447"
4386,1,1,12,7,5,1,1,1,,1,,,1,,,1,,1,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,4,4,5,5,5,4,3,1,2,9,2,2,3,3,2,1,2,1,2,2,2,,2,,2,,,0,2,4,,,,,,2,2,3,"0,467784941196442"
5009,2,1,11,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,2,1,8,2,,,,,,,,,,,,,,,,,,,,,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,2,2,3,4,4,4,2,3,2,2,2,2,2,3,3,1,1,1,1,1,1,6,2,2,2,2,2,2,0,1,4,,,,,,2,2,3,"0,315241366624832"
5115,1,1,5,6,5,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,3,4,4,4,4,4,4,2,2,2,2,3,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,1,4,,,,,,2,2,7,"0,490598410367966"
5119,1,1,14,6,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,2,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,5,5,5,5,5,2,2,3,3,2,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,3,,,,,,2,2,2,"0,205123543739319"
5224,2,1,9,6,5,1,1,1,,1,,,1,,,1,,1,11,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,4,5,3,4,3,4,4,3,3,3,1,2,1,3,2,2,1,2,2,2,2,1,,2,,,,,0,2,3,,,,,,2,2,3,"0,165948823094368"
5301,2,1,18,4,3,1,1,1,,1,,,1,,,3,2,3,10,2,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,3,2,2,3,2,2,2,2,2,2,2,1,2,1,2,2,,2,5,5,4,2,5,2,5,2,4,2,2,1,2,3,3,3,2,1,1,2,1,2,3,,2,2,,2,,0,2,3,,,,,,2,2,7,"0,602340459823608"
5328,1,1,1,5,4,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,2,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,3,4,4,3,4,5,4,1,2,2,2,2,3,3,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,5,"0,414017349481583"
5800,2,1,14,7,5,1,1,1,,1,,,1,,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,9,2,3,2,3,3,3,3,3,2,3,3,3,3,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,3,,,,,,2,2,3,"0,205123543739319"
6247,2,1,13,7,5,1,1,1,,1,,,1,,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,5,5,4,5,5,5,2,3,9,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,2,,,,,,2,2,3,"0,968639552593231"
6337,1,1,6,6,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,1,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,0,1,1,9,9,9,1,1,1,9,0,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,4,3,5,4,4,2,3,2,2,3,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,4,"0,39475953578949"
6355,1,1,6,6,5,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,4,3,2,99,1,2,1,2,2,1,2,2,2,2,1,99,3,4,4,3,2,5,1,1,1,1,3,3,3,2,3,3,3,2,1,2,2,1,2,2,,2,,,2,,0,1,4,,,,,,2,2,7,"0,586503446102142"
6574,1,1,14,6,5,1,1,1,,1,,,1,,,2,1,2,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,4,4,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,3,3,5,2,3,4,2,2,2,2,3,3,1,2,2,2,2,2,2,0,,,,,,,0,2,4,,,,,,2,2,5,"0,190478146076202"
6584,1,1,18,5,4,1,1,1,,1,,,1,,,1,,1,11,1,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,5,5,5,5,5,5,1,3,3,3,3,3,3,1,1,2,2,1,2,3,2,2,,,2,,0,2,3,,,,,,2,2,3,"0,654722809791565"
6641,2,1,9,4,3,1,1,1,,1,,,1,,,1,,1,11,1,2,1,2,2,1,2,2,2,2,2,2,2,1,9,1,2,2,2,5,2,,,,,,,,,,,,,,,,,,,,,4,4,3,1,99,99,1,2,2,2,2,2,2,1,2,2,9,,2,3,3,3,4,5,9,5,5,4,2,2,2,3,3,9,3,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,2,,,,,,2,2,1,"2,21218752861023"
6820,1,1,3,6,5,1,1,1,,1,,,1,,,1,,1,11,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,1,4,3,3,2,2,2,1,1,2,2,2,1,2,1,2,2,,4,5,5,3,3,4,5,5,3,3,2,2,3,3,3,3,3,2,1,1,1,2,2,3,,2,2,2,,,0,2,4,,,,,,2,1,2,"0,20799320936203"
7356,1,1,18,7,5,2,3,3,1,2,,3,2,3,5,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,2,1,8,1,2,2,2,2,2,1,1,1,2,3,1,1,9,9,9,9,2,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,9,2,2,2,9,,0,3,4,3,3,1,1,5,1,5,3,3,3,3,3,3,3,1,2,2,1,2,2,2,2,,,2,,,0,1,4,4,1,1,3,,2,2,3,"0,38288539648056"
7444,1,1,7,7,5,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,9,5,5,5,5,5,5,3,3,3,3,3,3,2,2,2,2,2,1,2,1,,,,,2,,0,1,2,,,,,,2,2,3,"1,06277275085449"
7514,2,1,9,6,5,2,3,3,1,2,,3,2,3,5,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,9,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,4,4,4,4,4,4,4,2,3,2,2,3,3,3,1,2,2,1,1,2,3,2,,,2,2,,0,1,2,,2,4,,,2,2,2,"1,85350954532623"
7738,1,1,14,5,4,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,3,3,4,4,5,5,4,4,1,2,1,2,3,3,2,1,1,1,2,1,1,5,2,2,2,,2,2,0,1,4,,,,,,2,2,7,"0,701952636241913"
8114,2,1,6,6,5,1,1,1,,1,,,1,,,2,5,6,11,2,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,1,2,1,1,1,9,9,9,1,1,1,1,0,3,4,3,1,3,2,2,2,2,2,2,2,1,2,2,2,2,,1,5,5,4,4,4,5,5,5,5,2,2,2,2,2,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,2,"0,39475953578949"
8289,2,1,18,7,5,1,1,1,,1,,,1,,,2,5,6,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,5,5,4,4,5,5,4,5,2,2,2,2,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,3,,,,,,2,2,3,"0,363890051841736"
8533,1,1,11,5,4,1,2,2,,1,,,1,,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,3,4,5,4,4,5,4,3,3,2,2,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,4,,,,,,2,2,7,"0,781923472881317"
9299,2,1,1,6,5,1,1,1,,1,,,1,,,1,,1,11,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,5,3,5,5,4,2,3,3,3,3,3,9,1,1,2,1,2,1,4,2,2,,2,,1,1,2,2,,,,,,2,2,2,"0,607142448425293"
9419,2,1,1,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,2,99,2,2,2,2,2,2,2,2,2,2,2,,0,4,9,9,3,4,3,5,3,2,2,2,3,2,3,3,2,1,1,9,1,1,9,4,2,2,,2,2,,0,2,3,,,,,,2,2,99,"0,166787028312683"
9539,1,1,19,6,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,3,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,4,5,4,5,5,4,5,1,1,2,3,3,3,2,1,2,2,2,2,2,1,2,,,,,,0,1,4,,,,,,2,2,2,"0,364015251398087"
9804,2,1,1,6,5,1,1,1,,1,,,1,,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,4,5,5,5,5,5,1,1,1,3,3,3,3,2,1,2,2,2,2,1,,2,,,,,0,2,4,,,,,,2,2,99,"0,15487901866436"
9883,2,1,9,4,3,1,1,1,,1,,,1,,,3,6,7,10,3,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,4,5,1,2,1,2,2,2,2,2,1,9,2,9,9,9,9,9,9,9,9,9,0,4,4,3,1,3,99,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,4,4,3,4,4,3,2,2,1,2,3,2,2,1,1,9,1,1,2,4,2,1,,1,2,,2,2,2,,,,,,2,2,1,"2,21218752861023"
10224,2,1,1,4,3,1,1,1,,1,,,1,,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,3,9,2,5,3,3,2,3,3,3,2,3,3,3,2,1,1,1,9,1,9,4,2,2,2,,2,,0,2,2,,,,,,2,2,6,"2,22336649894714"
10299,2,1,9,6,5,1,1,1,,1,,,1,,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,3,5,5,5,5,5,5,3,2,1,2,1,3,2,2,1,2,1,2,2,2,,2,,2,,,0,1,2,,,,,,2,2,3,"0,897512078285217"
10460,2,1,18,5,4,1,1,1,,1,,,1,,,1,,1,11,4,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,3,4,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,,1,5,5,9,9,4,5,5,5,5,3,2,2,2,3,3,3,1,1,1,1,1,1,6,2,2,2,2,2,2,0,1,4,,,,,,2,1,3,"0,838153779506683"
10619,1,1,9,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,3,2,2,2,2,2,2,2,2,9,2,9,2,,0,5,4,4,5,5,5,5,4,5,3,1,2,1,2,3,1,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,4,"0,154100090265274"
10877,1,1,19,5,4,2,3,3,1,2,,3,2,3,5,3,2,3,10,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,,1,3,4,3,3,5,4,5,5,4,1,2,1,3,3,3,3,1,1,1,1,1,2,5,2,2,2,2,2,,0,2,4,1,1,1,2,3,2,2,99,"0,633655488491058"
10923,2,1,14,7,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,3,99,2,2,2,2,2,2,2,2,1,2,2,2,2,,1,5,4,9,3,4,3,4,3,3,3,3,3,3,2,3,2,2,1,2,2,2,2,1,,2,,,,,0,1,4,,,,,,2,2,5,"0,282999515533447"
11826,2,1,19,3,2,2,3,3,1,2,,3,2,3,5,4,2,3,10,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,2,2,1,2,1,2,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,3,3,3,5,4,5,5,3,3,2,2,3,3,3,3,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,3,1,1,1,2,3,1,2,99,"0,747976839542389"
11910,1,1,1,6,5,1,1,1,,1,,,1,,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,4,4,4,4,4,4,2,2,2,3,3,3,3,1,2,2,2,2,2,1,2,,,,,,0,1,4,,,,,,2,2,7,"0,230107858777046"
12002,1,1,13,6,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,0,2,1,1,1,1,9,9,1,1,1,3,4,3,4,4,3,2,2,2,2,2,2,2,2,2,2,2,,0,4,5,4,4,5,4,5,4,5,2,3,2,3,3,3,3,2,1,2,2,2,2,1,,2,,,,,0,2,2,,,,,,2,2,2,"0,651963949203491"
12088,2,1,18,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,4,3,5,5,5,5,5,5,3,3,2,3,3,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,2,"0,227437660098076"
12216,2,1,1,7,5,1,1,1,,1,,,1,,,1,,1,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,9,4,4,2,3,4,4,1,2,3,2,3,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,3,"0,15487901866436"
12270,1,1,9,3,2,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,1,4,1,2,2,2,2,2,2,2,2,2,0,1,1,9,9,9,1,9,1,9,0,3,4,3,99,4,99,2,2,2,2,2,2,2,2,2,2,2,,0,9,9,9,9,9,4,4,9,9,3,3,3,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,3,,,,,,2,2,1,"1,44818711280823"
