ID_USAGE1,USAGE1,ID_USAGE2,USAGE2,70,USAGE3,SCIAN,ECONOMIE_CIRCULAIRE,DETAILS
G,Services d'affaires,33,Industrie de l'information et de la culture,74,Industrie du film et enregistrement sonore,512,,"Studio d'enregistrement de musique, studio de cinéma"
G,Services d'affaires,34,Installation et vente,76,"Installation et vente de piscines, spas et cabanons",453999,,
G,Services d'affaires,34,Installation et vente,77,Installation et vente de systèmes d'alarmes,561621,,
G,Services d'affaires,34,Installation et vente,78,Installation et vente de systèmes de chauffages et de climatisations,238220,,
G,Services d'affaires,43,Production d'arts et de spectacles,109,Production d'arts et de spectacles,7111,,"Producteur (spectacle, musique, cinéma, théatre etc.)"
G,Services d'affaires,33,Industrie de l'information et de la culture,115,Radio et télévision,515,,"Radiodifuseur, télédifusseur (TVA, Bell médias, etc.)"
G,Services d'affaires,54,Services d'entretien commercial,129,Services d'entretien commercial,561722,,Conciergerie
G,Services d'affaires,56,Services immobiliers ou de location,130,Services immobiliers ou de location,53,,"Gestion d'immeubles, service de location ou de location à bail"
G,Services d'affaires,33,Industrie de l'information et de la culture,141,Traitement ou hébergement de données,518210,,
G,Services d'affaires,34,Installation et vente,152,Installation et vente portes et fenêtres,444190,,"Incluant vitraux, vitrerie"
G,Services d'affaires,34,Installation et vente,157,"Installation et vente d'armoires, comptoirs, salle de bain, céramique",444190,,Incluant les revêtements de plancher
G,Services d'affaires,2,Agence de placement,158,Gérant d'artistes et autres agences artistiques,711411,,
G,Services d'affaires,69,Conception de systèmes informatiques et divers services connexes,165,Conception de systèmes informatiques et divers services connexes,541514,,
G,Services d'affaires,33,Industrie de l'information et de la culture,166,Agence de presse,519110,,"Presse écrite (Le Devoir, La Presse, etc.)"
G,Services d'affaires,,Service de traduction,169,Service de traduction,541930,,
H,Soins personnels,18,Coiffure homme et femme,42,Coiffure homme et femme,812116,,
H,Soins personnels,26,Esthétique et beauté (Manicure/Pédicure),62,Esthétique et beauté (Manicure/Pédicure),812115,,
H,Soins personnels,51,Salon de bronzage,124,Salon de bronzage,812190,,
H,Soins personnels,53,Saunas et spas,126,Saunas et spas,812190,,
H,Soins personnels,59,Tatouage,137,Tatouage,812190,,
H,Soins personnels,61,Toilettage d'animaux,140,Toilettage d'animaux,812910,,
H,Soins personnels,66,Massage,153,Massage thérapeutique,812190,,
H,Soins personnels,66,Massage,154,Massage érotique,812190,,
I,Autres,38,"Organismes religieux, fondations, groupes de citoyens et organisations similaires",66,Fondations et associations communautaires et syndicats,813,Oui,"Fondation et organisme de charité, fraternité, association communautaire ou sportive, association de consommateurs, association de défense des droits ou des intérêts d'un groupe, association de gens d'affaires, association sportive, autres associations de personnes, centres de services sociaux ou communautaires, chambre de commerce, Chevaliers de Colomb, club d'intérêt (sport, collection, marche etc.), organisme et ordre professionnel, organisme d'action sociale, service de placement communautaire, syndicat, union de travailleurs"
I,Autres,38,"Organismes religieux, fondations, groupes de citoyens et organisations similaires",97,Organismes religieux,813110,,Organisme religieux et lieu de culte
I,Autres,64,Vente en (ou de) gros,146,Vente en (ou de) gros,41,Oui,Vrac
I,Autres,67,Organismes publiques,155,Organismes publiques,91,,"Ville de Montréal et paramunicipal, gourvernment du Québec et du Canada"
I,Autres,68,Bureaux,156,Bureaux,N/A,,
Z,VACANT,62,VACANT,143,VACANT,N/A,,
