TERMES_EXPRESSIONS,MOTIFS,INSTANCE,SOUS_LA_PRESIDENCE_DE,DATE
Flouer les citoyens (les Québécois),syn. de mentir,AssNat,Michel Bissonnet,2005-11-09
Déshonorant( e),insulte,AssNat,Michel Bissonnet,2005-11-17
Intimidation (compilicté dans l'…)(cautionner l'..),accusation,AssNat,Michel Bissonnet,2005-12-07
Connivence,accusation,AssNat,William Cusano,2005-12-08
Politicaillerie (faire de la petite…),accusation,AssNat,François Gendron,2005-12-08
Bonne foi (ne pas négocier de…),syn. de mentir,AssNat,Diane Leblanc,2006-03-26
Tromperie,syn. de mentir,AssNat,Diane Leblanc,2006-03-29
Yes Man,insulte,AssNat,Diane Leblanc,2006-03-29
Culot,insulte,AssNat,Jean-Pierre Saintonge,2006-03-30
Duperie,syn. de mentir,AssNat,Diane Leblanc,2006-03-30
Motifs indignes (ils ont des…),accusation,AssNat,Michel Bissonnet,2006-05-03
Tentative d'induire la population en erreur,syn. de mentir,AssNat,Michel Bissonnet,2006-05-18
Justicier de bas étage,insulte,AssNat,Michel Bissonnet,2006-06-01
Mains sales,accusation,AssNat,François Gendron,2006-06-06
Amis malhonnêtes,accusation,AssNat,Michel Bissonnet,2006-06-08
Incriminer,accusation,AssNat,Michel Bissonnet,2006-06-09
Pleutre,insulte,AssNat,Michel Bissonnet,2006-06-09
Basses œuvres,accusation,AssNat,Michel Bissonnet,2006-06-12
Cheap,insulte,AssNat,Michel Bissonnet,2006-06-12
Détourner de l'argent,accusation,AssNat,Michel Bissonnet,2006-06-12
Trafiquer,accusation,AssNat,Michel Bissonnet,2006-11-07
Demi-vérité,syn. de mentir,AssNat,Michel Bissonnet,2006-11-09
Salir la réputation,accusation,AssNat,Michel Bissonnet,2006-11-21
Cacher,syn. de mentir,AssNat,Michel Bissonnet,2006-11-22
Diffamer la réputation,accusation,AssNat,Michel Bissonnet,2006-11-22
Travestir des règles parlementaires,accusation,AssNat,Diane Leblanc,2006-11-22
Esbroufe (faire de..),accusation,AssNat,Diane Leblanc,2006-11-23
Pyromane,insulte,AssNat,Michel Bissonnet,2006-11-23
Carpette (comportement),insulte,AssNat,Michel Bissonnet,2006-12-14
Poulailler,insulte,AssNat,Michel Bissonnet,2007-05-24
Vire-capot,insulte,AssNat,Michel Bissonnet,2007-05-25
Opportunisme politique,accusation,AssNat,Michel Bissonnet,2007-06-01
"Girouette, girouette nationale",insulte,AssNat,Michel Bissonnet,2007-10-16
Marionnette (Mario-nette),insulte,AssNat,Michel Bissonnet,2007-10-24
Pitreries,insulte,AssNat,Michel Bissonnet,2007-11-15
Maquiller les chiffres,accusation,AssNat,Michel Bissonnet,2007-12-11
Pitou (pauvre petit) (en parlant d’un ministre),Insulte,AssNat,Michel Bissonnet,2007-12-11
Pelleter du fumier,accusation,AssNat,Michel Bissonnet,2007-12-17
Mascotte,insulte,AssNat,Michel Bissonnet,2008-03-12
Deux de pique,insulte,AssNat,Diane Leblanc,2008-03-16
Loser,insulte,AssNat,Michel Bissonnet,2008-04-15
Grossier personnage,insulte,AssNat,Michel Bissonnet,2008-04-17
Sornettes de l'opposition (écouter les…),insulte,AssNat,Michel Bissonnet,2008-05-14
Berner la population,syn. de mentir,AssNat,Michel Bissonnet,2008-05-21
Sale job (faire faire la sale job par ses conseillers),accusation,AssNat,Michel Bissonnet,2008-06-03
Fainéants,insulte,AssNat,Michel Bissonnet,2008-06-12
Rase-motte (faire),insulte,AssNat,Michel Bissonnet,2008-06-12
"Déguiser (la réalité, les chiffres)",syn. de mentir,AssNat,François Gendron,2008-11-04
Inconscience crasse,insulte,AssNat,Yvon Vallières,2009-06-04
Logique tordue (sur la base de la… du ministre),insulte,AssNat,Yvon Vallières,2009-11-12
Rôle de la victime (lui sied bien),insulte,AssNat,Yvon Vallières,2009-11-26
Racisme (ils ont vraiment le … au sein de leur propre parti),accusation,AssNat,Yvon Vallières,2010-02-10
Mépriser,accusation,AssNat,Yvon Vallières,2010-02-18
"Honnêteté intellectuelle (avoir le moindrement d', manque d')",insulte,AssNat,Michel Bissonnet,2010-03-25
Argent sale,accusation,AssNat,François Gendron,2010-04-14
Hypocrite,insulte,AssNat,Michel Bissonnet,2010-04-14
Corrompu,accusation,AssNat,Yvon Vallières,2010-04-15
Racket,accusation,AssNat,Yvon Vallières,2010-04-20
Démagogie,accusation,AssNat,Louise Harel,2010-05-13
Tête de Slinky (en parlant d’un député),insulte,AssNat,Yvon Vallières,2010-05-19
Rire (des québécois),accusation,AssNat,Yvon Vallières,2010-05-27
Trahison,syn. de mentir,AssNat,Yvon Vallières,2010-06-02
Bebites,accusation,AssNat,Michel Bissonnet,2010-06-07
Être dans l'erreur (en parlant d'un député),insulte,AssNat,Yvon Vallières,2010-06-10
Hypocrisie,syn. de mentir,AssNat,Yvon Vallières,2010-06-11
Peddleur,Insulte,AssNat,Fatima Houda-Pepin,2010-09-28
Induire en erreur (la chambre),syn. de mentir,AssNat,Yvon Vallières,2010-10-06
Triturer,,AssNat,Yvon Vallières,2010-10-27
Prendre les gens pour des imbéciles,accusation,AssNat,Yvon Vallières,2010-12-10
Barons,accusation,CM,Harout Chitilian,2011-08-11
Bafouer,accusation,CM,Harout Chitilian,2011-08-22
Foutaise,insulte,CM,Harout Chitilian,2011-09-15
Gourou (en référence à une éminence sur un sujet),insulte,CM,Harout Chitilian,2011-09-26
Sucks (the bag),insulte,CM,Harout Chitilian,2011-09-26
Travestissement,accusation,CM,Harout Chitilian,2011-10-03
Complot,accusation,CM,Harout Chitilian,2011-10-24
Otaries (qualifier les élus de la majorité d'…),insulte,CM,Harout Chitilian,2012-08-30
Patates (qualifier les élus de la majorité de…),Insulte,CM,Harout Chitilian,2012-08-30
Blanchiment d'argent,accusation,CM,Harout Chitilian,2012-10-22
Chier (faire chier le monde),insulte,CM,Harout Chitilian,2012-10-22
Ridicule (qualifiant la motion de l’opposition),insulte,CM,Harout Chitilian,2012-10-22
Gonflé à l'hélium (en référence à l'égo d'un élu),insulte,CM,Harout Chitilian,2013-08-22
Mettre ses culottes (quand l'arrondissement va t-il…),insulte,CM,Harout Chitilian,2013-08-26
Idiotes (réponses...),insulte,CM,Frantz Benjamin,2014-01-29
Cerveau (problème au…),insulte,CM,Frantz Benjamin,2014-04-28
Stupide,insulte,CM,Frantz Benjamin,2015-02-23
Ordinaire (pour qualifier l'intervention d'un autre membre du conseil),insulte,CM,Frantz Benjamin,2015-11-25
Fallacieux,syn. de mentir,CM,Frantz Benjamin,2017-01-27
Coup de pied au cul (mériter un),insulte,AssNat,Michel Bissonnet,2018-04-16
Péter les bretelles (se),péjoratif,CM,Suzie Miron,2021-03-22
Bonbons électoralistes,partisan,CM,Suzie Miron,2021-06-15
Show de boucane,Injurieux,CM,Suzie Miron,2021-08-24
