OBJECTID,ARRONDISSEMENT,NBR_PLA,X,Y,ID_STA,JURIDICTION,EMPLACEMENT,LOCATION,HEURES,HOURS,BOROUGH,NBR_PLA_I,NOTE_FR,NOTE_EN,TYPE_PAY,Latitude,Longitude
"63",Lachine,"18",289827,5032702.61,"63",Municipale,"À l'est de la 32e av, entre la rue Notre-Dame et le boulevard Saint-Joseph",East of 32th Ave between Notre-Dame St. and Saint-Joseph Blvd,24h,24h,Lachine,"18",,,"0",45.434100,-73.691400
"64",Lachine,"65",289884,5032614.15,"64",Municipale,La maison du brasseur,La maison du brasseur,24h,24h,Lachine,"65",,,"0",45.433300,-73.690600
"65",Lachine,"21",290046,5032684.31,"65",Municipale,Boulevard Saint-Joseph (entre 27e avenue et 28e avenue),St-Joseph Blvd (between 27th Ave and 28th Ave),24h,24h,Lachine,"21",,,"0",45.433900,-73.688600
"66",Lachine,"26",290244,5032688.5,"66",Municipale,Parc des Saules,Des Saules Park,24h,24h,Lachine,"26",,,"0",45.434000,-73.686000
"67",Lachine,"32",290405,5032573.36,"67",Municipale,"Club de Canoë de Course, 2105, boulevard Saint-Joseph","Club de Canoë de Course, 2105 Saint-Joseph Blvd",24h,24h,Lachine,"32",,,"0",45.432900,-73.684000
"68",Lachine,"19",290655,5032648.46,"68",Municipale,Mairie - Boulevard Saint-Joseph (entre 18e avenue et 19e avenue),City Hall - St-Joseph Blvd (between 18th Ave and 19th Ave),24h,24h,Lachine,"19",,,"0",45.433600,-73.680800
"69",Lachine,"48",290687,5032612.02,"69",Municipale,Boulevard Saint-Joseph (entre 17e avenue et 18e avenue),Saint-Joseph Blvd (between 17th Ave and 18th Ave),24h,24h,Lachine,"48",,,"0",45.433300,-73.680400
"70",Lachine,"47",291173,5032428.49,"70",Municipale,Boulevard Saint-Joseph entre la 11e avenue et la 12e avenue,Saint-Joseph Blvd between 11th Ave and 12th Ave,24h,24h,Lachine,"47",,,"0",45.431700,-73.674200
"71",Lachine,"142",291312,5032078.3,"71",Municipale,Parc René-Lévesque,René-Lévesque Park,24h,24h,Lachine,"142",,,"0",45.428500,-73.672400
"72",Lachine,"25",291789,5032184.53,"72",Municipale,Musée Lachine,Lachine Museum,24h,24h,Lachine,"25",,,"0",45.429500,-73.666300
"73",Lachine,"94",291723,5033130.34,"73",Municipale,Rue Victoria entre la 6e avenue et la 1ère avenue,Victoria St between 6th Ave and 1st Ave,24h,24h,Lachine,"94",,,"0",45.438000,-73.667100
"74",Lachine,"60",291516,5032899.48,"74",Municipale,Rue Notre-Dame (entre 6e avenue et 7e avenue),Notre-Dame St between 6th Ave and 7th Ave,24h,24h,Lachine,"60",,,"0",45.435900,-73.669800
"75",Lachine,"143",291393,5033051.4,"75",Municipale,Rue Victoria et rue William-McDonald entre la 6e et la 10e avenue,Victoria St and William-McDonald St between 6th Ave and 10th Ave,24h,24h,Lachine,"143",,,"0",45.437300,-73.671400
"76",Lachine,"110",290986,5032945.55,"76",Municipale,Rue Victoria et rue William-MacDonald entre la 15e avenue et la 10e avenue,Victoria St and William-MacDonald St between 15th Ave and 10th Ave,24h,24h,Lachine,"110",,,"0",45.436300,-73.676600
"77",Lachine,"85",290833,5032904.09,"77",Municipale,Rue Victoria et rue William-MacDonald entre la 17e avenue et la 15e avenue,Victoria St and William-MacDonald St between 17th Ave and 15th Ave,24h,24h,Lachine,"85",,,"0",45.435900,-73.678500
"78",Lachine,"55",291403,5032711.27,"78",Municipale,Entre Rue Saint-Louis et rue Notre-Dame (entre 9e avenue et 8e avenue),Between St-Louis St and Notre-Dame St (between 9th Ave and 8th Ave),24h,24h,Lachine,"55",,,"0",45.434200,-73.671200
"79",Lachine,"63",291258,5032726.71,"79",Municipale,Entre Rue Saint-Louis et rue Notre-Dame (entre 11e avenue et 10e avenue),Between St-Louis St and Notre-Dame St (between 11th Ave and 10th Ave),24h,24h,Lachine,"63",,,"0",45.434300,-73.673100
"81",Lachine,"52",291101,5032846.11,"81",Municipale,Rue Notre-Dame (entre 13e avenue et 12e avenue),Notre-Dame St (between 13th Ave and 12th Ave),24h,24h,Lachine,"52",,,"0",45.435400,-73.675100
"82",Lachine,"20",291180,5032838.18,"82",Municipale,Rue Notre-Dame (entre 11e avenue et 12e avenue),Notre-Dame St (between 11th Ave and 12th Ave),24h,24h,Lachine,"20",,,"0",45.435300,-73.674100
"83",Lachine,"51",290568,5033368.36,"83",Municipale,Aréna Pierre Pete Morin,Pierre Pete Morin Arena,24h,24h,Lachine,"51",,,"0",45.440100,-73.681900
"115",LaSalle,"149",292122,5032097.02,"115",Municipale,"Mairie d'arrondissement, 55, av. Dupras","City Hall, 55 Dupras Ave",24h,24h,LaSalle,"149",,,"0",45.428700,-73.662000
"37",LaSalle,"120",294688,5031275.02,"37",Municipale,"Centre sportif Dollard St-Laurent - 707, 75e Avenue","Centre sportif Dollard St-Laurent – 707, 75th Ave. ",24h,24h,LaSalle,"120",Section horaire,Hourly spaces,"0",45.421300,-73.629200
"84",LaSalle,"63",297520,5032138.51,"84",Municipale,"Chevalier de Colomb - 7710, boulevard LaSalle",Chevalier de Colomb - 7710 LaSalle Blvd ,24h,24h,LaSalle,"63",,,"0",45.429100,-73.593000
"85",LaSalle,"52",294628.48,5030628.37,"85",Municipale,"Parc Marie-Claire-Kirkland-Casgrain - 8970, boulevard LaSalle",Marie-Claire-Kirkland-Casgrain Park - 8970 LaSalle Blvd,24h,24h,LaSalle,"52",,,"0",45.415500,-73.630000
"86",LaSalle,"104",296216.31,5031154.33,"86",Municipale,Parc Riverside (rue Raymond et rue Centrale),Riverside Park (Raymond  St and Centrale St),24h,24h,LaSalle,"104",,,"0",45.420300,-73.609700
"87",LaSalle,"28",292301,5032647.99,"87",Municipale,Parc Dollier-de Casson - (rue Beauchamps/rue St-Patrick),Dollier-de Casson Park - (Beauchamps St and St-Patrick St),24h,24h,LaSalle,"28",,,"0",45.433700,-73.659700
"88",LaSalle,"20",297016.77,5031965.71,"88",Municipale,rue Centrale/boulevard Bishop-Power,Centrale St and Bishop-Power Blvd,24h,24h,LaSalle,"20",,,"0",45.427600,-73.599500
"89",LaSalle,"192",295175.94,5030917.03,"89",Municipale,"Aréna Jacques-Lemaire - 8681, boulevard Champlain",Jacques-Lemaire Arena - 8681 Champlain Blvd,24h,24h,LaSalle,"192",,,"0",45.418100,-73.623000
"90",LaSalle,"42",297191.24,5032362.35,"90",Municipale,"rue Centrale/4e avenue (derrière le #7648, rue Centrale)",Centrale St and 4e Ave (behind #7648 Centrale St),24h,24h,LaSalle,"42",,,"0",45.431200,-73.597200
"44",Le Plateau-Mont-Royal,"101",299665,5042596.02,"44",Stationnement de Montréal,Rue Sherbrooke entre la rue Calixa-Lavallée et le Parc Lafontaine (#139),Sherbrooke St between Calixa-Lavallée St and Parc Lafontaine (#139),15:00 à 07:00,3:00 pm to 07:00 am,Le Plateau-Mont-Royal,"101",Temporairement gratuit entre 15 h et 7 h jusqu'à la fin du couvre-feu gouvernemental. ,Temporary free from 3:00 pm to 7:00 am until end of curfew. ,"0",45.523300,-73.565700
"24",Le Sud-Ouest,"735",296781,5033939.02,"24",Stationnement de Montréal,"Parc Angrignon, sur le boul. des Trinitaires au nord du boul. De La Vérendrye à l'angle de la rue Lacroix (#243)","Angrignon Park, des Trinitaires Blvd, north of De La Vérendrye Blvd, corner of Lacroix St. (parking #243)",15:00 à 07:00,3:00 pm to 07:00 am,Le Sud-Ouest,"735",,,"0",45.445300,-73.602500
"60",Le Sud-Ouest,"221",297352.35,5036323.34,"60",Municipale,"Complexe Gadbois, accès rue Notre-Dame Ouest","Complexe Gadbois, entrance on Notre-Dame St. West",18:00 à 07:00,6:00 pm to 7:00 am,Le Sud-Ouest,"221",,,"0",45.466800,-73.595200
"4",Mercier - Hochelaga-Maisonneuve,"485",300900,5047006.02,"4",Municipale,"3000, rue Viau","3000, Viau St",18:00 à 08:00,6:00 pm to 8:00 am,Mercier - Hochelaga-Maisonneuve,"485",,,"0",45.563000,-73.550000
"147",Mercier - Hochelaga-Maisonneuve,"41",300756.97,5044587.48,"147",Municipale,"Aréna Francis-Bouillon - 3175, rue de Rouen",Francis-Bouillon Arena - 3175 de Rouen St,,,Mercier - Hochelaga-Maisonneuve,"41","28 places situées sur le côté ont un maximum de 2 h, du lundi au vendredi entre 8 h et 16 h",28 spaces (on the side) have a maximum of 2 hours from Monday to Friday between 8:00 am to 4:00 pm,"0",45.541200,-73.551800
"148",Mercier - Hochelaga-Maisonneuve,"25",301876.75,5049185.15,"148",Municipale,"Aréna Saint-Donat - 6750, rue de Marseille",Saint-Donat Arena - 6750 de Marseille St,24h,24h,Mercier - Hochelaga-Maisonneuve,"25",Accès par l'avenue Parkville,Entrance by Parkville Ave,"0",45.582600,-73.537500
"149",Mercier - Hochelaga-Maisonneuve,"35",303554.41,5051319.1,"149",Municipale,"Aréna Clément-Jetté - 8780, avenue Dubuisson",Clément-Jetté Arena - 8780 Dubuisson Ave,24h,24h,Mercier - Hochelaga-Maisonneuve,"35",,,"0",45.601800,-73.516000
"150",Mercier - Hochelaga-Maisonneuve,"30",302679.51,5047882.4,"150",Municipale,"Centre des loisirs Guybourg - 1905, rue de Cadillac",Centre des loisirs Guybourg - 1905 de Cadillac St,24h,24h,Mercier - Hochelaga-Maisonneuve,"30","Stationnement à l'arrière, accès par la rue Du Quesne","Parking lot in the back, entrance by Du Quesne St","0",45.570800,-73.527200
"151",Mercier - Hochelaga-Maisonneuve,"45",303594.03,5051319.88,"151",Municipale,"Piscine Annie-Pelletier - 8850, avenue Dubuisson",Piscine Annie-Pelletier - 8850 Dubuisson Ave,24h,24h,Mercier - Hochelaga-Maisonneuve,"45",,,"0",45.601800,-73.515500
"152",Mercier - Hochelaga-Maisonneuve,"2",301789.36,5045939.52,"152",Municipale,"Bain Morgan - 1875, avenue Morgan",Bain Morgan - 1875 Morgan Ave,24h,24h,Mercier - Hochelaga-Maisonneuve,"2",,,"0",45.553400,-73.538600
"153",Mercier - Hochelaga-Maisonneuve,"18",301227.98,5044734.39,"153",Municipale,"Piscine Pierre-Lorange - 1870, rue Davidson",Piscine Pierre-Lorange - 1870 Davidson St,24h,24h,Mercier - Hochelaga-Maisonneuve,"18",,,"0",45.542500,-73.545700
"100",Montréal-Nord,"60",294068.15,5050460.59,"100",Municipale,"Mairie d'arrondissement, 4243, rue de Charleroi","City Hall, 4243 de Charleroi St",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"60",,,"0",45.594000,-73.637600
"101",Montréal-Nord,"18",294021.83,5050373.81,"101",Municipale,"Rue de Charleroi (côté sud), entre l'avenue Saint-Julien et l'avenue Hébert","de Charleroi St (South side), between Saint-Julien Ave and Hébert Ave",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"18",,,"0",45.593200,-73.638100
"102",Montréal-Nord,"130",293964.71,5050600,"102",Municipale,"Stationnement Aréna Garon, 11212 rue Garon","Garon Arena parking lot, 11212 Garon St",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"130",,,"0",45.595200,-73.638900
"103",Montréal-Nord,"18",294229.12,5051013.84,"103",Municipale,"Parc Paul-Sauvé, entrée sur la rue de Bayonne","Paul-Sauvé Park, entrance by de Bayonne St",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"18",,,"0",45.598900,-73.635500
"104",Montréal-Nord,"100",295210.21,5051332.65,"104",Municipale,"Centre de loisirs de Montréal-Nord, 11121, avenue Salk","Centre de loisirs de Montréal-Nord, 11121 Salk Ave",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"100",,,"0",45.601800,-73.622900
"105",Montréal-Nord,"59",295332.96,5052904.01,"105",Municipale,"Maison culturelle et communautaire, 12004, boulevard Rolland (stat. arrière)","Maison culturelle et communautaire, 12004 Rolland Blvd (rear parking)",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"59",,,"0",45.616000,-73.621400
"106",Montréal-Nord,"28",295053.38,5051634.52,"106",Municipale,"Bibliothèque Henri-Bourassa, 5400 boulevard Henri-Bourassa Est","Henri-Bourassa library, 5400 Henri-Bourassa Blvd East",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"28",,,"0",45.604500,-73.624900
"107",Montréal-Nord,"28",294117.3,5049224.14,"107",Municipale,"Aréna Fleury, 3700 rue Fleury Est (stat. arrière)","Fleury Arena, 3700 Fleury St East (rear parking)",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"28",,,"0",45.582800,-73.636900
"108",Montréal-Nord,"20",293887.94,5048744.76,"108",Municipale,"Rue de Mont-Joli (côté nord), entre avenue Audoin et avenue Lausanne","de Mont-Joli St (North side), between Audoin Ave and Lausanne Ave",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"20",,,"0",45.578500,-73.639800
"109",Montréal-Nord,"20",293066.77,5049198.06,"109",Municipale,"Boulevard Henri-Bourassa Est/avenue Oscar (terrain vacant, future bibliothèque)","Henri-Bourassa Blvd East and Oscar Ave (vacant lot, futur library)",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"20",,,"0",45.582600,-73.650400
"110",Montréal-Nord,"10",293678.17,5049112.62,"110",Municipale,"Parc Ottawa, 10400, avenue de Belleville","Ottawa Park, 10400 de Belleville Ave",17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"10",,,"0",45.581800,-73.642500
"155",Montréal-Nord,"50",294428.65,5049517.07,"155",Privée,"10300, boul. Pie-IX",10300 Pie-IX Blvd,17:00 à 07:00,5:00 pm to 7:00 am,Montréal-Nord,"50",Complexe funéraire Magnus Poirier,Magnus Poirier - funeral complex,"0",45.585500,-73.632900
"6",Outremont,"10",296066,5042596.02,"6",Municipale,sud de Van Horne entre Querbes et Épée (stat. nos 6 et 8),"South of Van Horne, between Querbes and Épée (parkings #6 and 8)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"10",,,"0",45.523200,-73.611800
"7",Outremont,"5",295917,5042529.02,"7",Municipale,nord de Van Horne entre Champagneur et Bloomfield (stat. no 18),"North of Van Horne, between Champagneur and Bloomfield (parking # 18)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"5",,,"0",45.522600,-73.613700
"8",Outremont,"9",296348,5042413.01,"8",Municipale,nord de Bernard entre Épée et Querbes (stat. no 7),"North of Bernard, between Épée and Querbes (parking #7)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"9",,,"0",45.521600,-73.608200
"9",Outremont,"13",296314,5042382.02,"9",Municipale,nord de Bernard entre Bloomfield et Épée (stat. no 17),"North of Bernard, between Bloomfield and Épée (parking #17)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"13",,,"0",45.521300,-73.608600
"10",Outremont,"10",296282,5042299.01,"10",Municipale,nord de Bernard entre Champagneur et Bloomfield (stat. no 10),"North of Bernard, between Champagneur and Bloomfield (parking #10)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"10",,,"0",45.520600,-73.609000
"11",Outremont,"12",296183,5042105.01,"11",Municipale,nord de Bernard entre Wiseman et Outremont (stat. no 16),"North of Bernard, between Wiseman and Outremont (parking #16)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"12",,,"0",45.518800,-73.610300
"12",Outremont,"15",297242,5041977.02,"12",Municipale,nord de Édouard-Charles entre Querbes et Hutchison (stat. no 12),"North of Édouard-Charles, between Querbes and Hutchison (parking #12)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"15",,,"0",45.517700,-73.596700
"13",Outremont,"8",297156,5042026.02,"13",Municipale,nord de Laurier entre Querbes et Durocher (stat. no 14),"North of Laurier, between Querbes et Durocher (parking #14)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"8",,,"0",45.518100,-73.597800
"48",Outremont,"8",297177,5042059.02,"48",Municipale,nord de l'avenue Laurier entre Durocher et Hutchison (stat. no 13),"north of Laurier ave, between Durocher and Hutchison (parking #13)",18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"8",,,"0",45.518400,-73.597600
"49",Outremont,"17",297104,5041966.02,"49",Municipale,nord de l'avenue Laurier entre Querbes et Épée (stat. 15),north of Laurier ave between Querbes and Épée (parking #15),18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"17",,,"0",45.517600,-73.598500
"145",Outremont,"20",296210.65,5042248.41,"145",Municipale,"Nord de l'avenue Bernard, entre les avenues Champagneur et Outremont (#11)",North of Bernard Ave between Champagneur Ave and Outremont Ave (#11),18:00 à 08:00,6:00 pm to 8:00 am,Outremont,"20",,,"0",45.520100,-73.609900
"146",Outremont,"46",295514.75,5042219.94,"146",Municipale,nord de l'avenue Ducharme à l'ouest de Dollard (stat. CCI),"North of Ducharme Ave, West of Dollard Ave (parking CCI)",24h,24h,Outremont,"46",,,"0",45.519800,-73.618900
"111",Pierrefonds-Roxboro,"100",277447.32,5039425.23,"111",Municipale,"Caserne de pompiers 57, 13795, boulevard de Pierrefonds (stat. arrière)","Fire station #57, 13795 de Pierrefonds Blvd (rear parking)",24h,24h,Pierrefonds-Roxboro,"100",,,"0",45.494200,-73.850000
"112",Rivière-des-Prairies-Pointe-aux-Trembles,"30",304739.49,5056895.94,"112",Municipale,"Aréna Rodrigue-Gilbert, 1515, Boulevard du Tricentenaire",Rodrigue-Gilbert Arena – 1515 du Tricentenaire Blvd,18:00 à 08:00,6:00 pm to 8:00 am,Rivière-des-Prairies-Pointe-aux-Trembles,"30",,,"0",45.652000,-73.500800
"113",Rivière-des-Prairies-Pointe-aux-Trembles,"12",298581.6,5056749.43,"113",Municipale,"Centre aquatique de Rivière-des-Prairies-Pointe-aux-Trembles, 12515, boulevard Rodolphe-Forget","Centre aquatique de Rivière-des-Prairies-Pointe-aux-Trembles, 12515 Rodolphe-Forget Blvd",18:00 à 08:00,6:00 pm to 8:00 am,Rivière-des-Prairies-Pointe-aux-Trembles,"12",,,"0",45.650600,-73.579800
"114",Rivière-des-Prairies-Pointe-aux-Trembles,"10",305197.86,5058730.97,"114",Municipale,"Bibliothèque de Pointe-aux-Trembles, 14001, rue Notre-Dame Est","Pointe-aux-Trembles Library, 14001 Notre-Dame St East",18:00 à 08:00,6:00 pm to 8:00 am,Rivière-des-Prairies-Pointe-aux-Trembles,"10",,,"0",45.668500,-73.494900
"25",Rosemont - La Petite-Patrie,"31",296871,5044018.02,"25",Stationnement de Montréal,Rue Saint-André entre la rue Beaubien et la rue Bellechasse (#303),Saint-André St.  between Beaubien St. and Bellechasse St. (parking #303),15:00 à 07:00,3:00 pm to 7:00 am,Rosemont - La Petite-Patrie,"31",Sauf places réservées,Except reserved spaces,"0",45.536000,-73.601500
"27",Rosemont - La Petite-Patrie,"27",298969.07,5045528.96,"27",Stationnement de Montréal,8e Avenue entre la rue Dandurand et la rue Masson (#75),8th Ave. between Dandurand St. and Masson St. (parking #75),15:00 à 07:00,3:00 pm to 7:00 am,Rosemont - La Petite-Patrie,"27",,,"0",45.549600,-73.574700
"28",Rosemont - La Petite-Patrie,"100",296600,5044226.02,"28",Stationnement de Montréal,Rue Boyer entre la rue Beaubien et la rue Saint-Zotique (#24),Boyer St. between Beaubien St. and Saint-Zotique St. (parking #24),15:00 à 07:00,3:00 pm to 7:00 am,Rosemont - La Petite-Patrie,"100",,,"0",45.537900,-73.605000
"35",Rosemont - La Petite-Patrie,"19",296976,5043948.02,"35",Stationnement de Montréal,"Rue Saint-André, entre la rue Beaubien Est et la rue Bellechasse (#302)",Saint-André St. between Beaubien St. E and Bellechasse St. (#302),15:00 à 07:00,3:00 pm to 7:00 am,Rosemont - La Petite-Patrie,"19",,,"0",45.535400,-73.600200
"39",Rosemont - La Petite-Patrie,"300",300503,5046378.02,"39",Municipale,"4101, rue Sherbrooke Est (P2)","4101, Sherbrooke St. E (P2)",18:00 à 07:00,6:00 pm to 7:00 am,Rosemont - La Petite-Patrie,"300",,,"0",45.557300,-73.555000
"47",Rosemont - La Petite-Patrie,"45",296053,5044554.02,"47",Stationnement de Montréal,Rue Saint-André entre la rue Jean-Talon et la rue Bélanger (#191),Saint-André St. between Jean-Talon St.  and Bélanger St. (#191),15:00 à 07:00,3:00 pm to 7:00 am,Rosemont - La Petite-Patrie,"45",,,"0",45.540800,-73.612000
"137",Saint-Laurent,"25",287091.29,5041962.69,"137",Municipale,"Parc Noël-Nord, 3110, boulevard Toupin","Noël-Nord Park, 3110 Toupin Blvd",18:00 à 08:00,6:00 pm to 8:00 am,Saint-Laurent,"25",,,"0",45.517400,-73.726700
"138",Saint-Laurent,"16",287002,5041748.04,"138",Municipale,"Parc Noël-Sud, 3005, rue Matis","Noël-Sud Park, 3005 Matis St",18:00 à 08:00,6:00 pm to 8:00 am,Saint-Laurent,"16",,,"0",45.515400,-73.727800
"139",Saint-Laurent,"11",290876.38,5042223.23,"139",Municipale,"Parc Beaulac, 1145, rue Elizabeth","Beaulac Park, 1145 Elizabeth St",18:00 à 08:00,6:00 pm to 8:00 am,Saint-Laurent,"11",,,"0",45.519800,-73.678200
"140",Saint-Laurent,"19",290299.17,5043119.58,"140",Municipale,"Parc Saint-Laurent, 845, rue Poirier","Saint-Laurent Park, 845 Poirier St",18:00 à 08:00,6:00 pm to 8:00 am,Saint-Laurent,"19",,,"0",45.527800,-73.685600
"141",Saint-Laurent,"180",289032.14,5040828.64,"141",Municipale,"Complexe sportif, 2385, boulevard Thimens","Complexe sportif, 2385 Thimens Blvd",18:00 à 08:00,6:00 pm to 8:00 am,Saint-Laurent,"180",,,"0",45.507200,-73.701800
"142",Saint-Laurent,"80",289952.6,5041582.64,"142",Municipale,"Centre des loisirs, 1375, rue Grenet","Centre des loisirs, 1375 Grenet St",18:00 à 08:00,6:00 pm to 8:00 am,Saint-Laurent,"80",,,"0",45.514000,-73.690000
"143",Saint-Laurent,"70",290549.77,5040859.65,"143",Municipale,"Mairie d'arrondissement, 777, boulevard Marcel-Laurin","City Hall, 777 Marcel-Laurin Blvd",18:00 à 08:00,6:00 pm to 8:00 am,Saint-Laurent,"70",,,"0",45.507500,-73.682400
"144",Saint-Laurent,"30",290544.55,5043196.19,"144",Municipale,"1694, boulevard Jules-Poitras (terrain)",1694 Jules-Poitras Blvd (lot),24h,24h,Saint-Laurent,"30",,,"0",45.528500,-73.682500
"14",Saint-Léonard,"40",298370.05,5050398,"14",Municipale,"Rue Jarry (côté sud, à l'ouest du boul. Langelier)","Jarry St ( South side, West of Langelier Blvd)",18:00 à 07:00,6:00 pm to 7:00 am,Saint-Léonard,"40",,,"0",45.593500,-73.582400
"15",Saint-Léonard,"84",297474,5049141.01,"15",Municipale,Rue Jarry Est (côté nord) à l'ouest de la rue du Cap,"Jarry St (North side, West of Du Cap St)",18:00 à 07:00,6:00 pm to 7:00 am,Saint-Léonard,"84",,,"0",45.582100,-73.593900
"16",Saint-Léonard,"32",298232,5048974.02,"16",Municipale,"Parc Ladauversière, entrée par la rue de Lisieux","Ladauversière Park, entrance by De Lisieux St",18:00 à 07:00,6:00 pm to 7:00 am,Saint-Léonard,"32",,,"0",45.580600,-73.584200
"18",Saint-Léonard,"100",297318,5049643.02,"18",Municipale,"Parc Wilfrid-Bastien, entrée par le boul. Lacordaire entre des Galets et boul. Robert","Wilfrid-Bastien Park, entrance by Lacordaire Blvd between Des Galets and Robert",18:00 à 07:00,6:00 pm to 7:00 am,Saint-Léonard,"100",,,"0",45.586700,-73.595900
"20",Saint-Léonard,"31",296476.21,5050002.1,"20",Municipale,"Parc Pie-XII, entrée par le boulevard Lavoisier entre la rue Daillon et la rue Jean-Marie-Lefebvre","Pie-XII Park, entrance by Lavoisier Blvd, between Daillon St and Jean-Marie-Lefebvre St ",18:00 à 07:00,6:00 pm to 7:00 am,Saint-Léonard,"31",,,"0",45.589900,-73.606700
"21",Saint-Léonard,"16",296223.69,5049286.04,"21",Municipale,"Parc Coubertin, 4755, rue Valéry","Coubertin Park, 4755 Valéry St",18:00 à 07:00,6:00 pm to 7:00 am,Saint-Léonard,"16",,,"0",45.583400,-73.609900
