No_UADM,Description,Type,Service_arrondissement 
050000000008,PLANIFICATION ET SOUTIEN - ADMINISTRATION,BUR,Service
050000020000,SECTION SOUTIEN ADMINISTRATIF AUX OPÉRATIONS,SEC,Service
050200000000,DIRECTION ENTREPRENEURIAT,DIR,Service
050202000000,DIVISION CRÉATIVITÉ ET INNOVATION,DIV,Service
050203000000,DIVISION SERVICE AUX ENTREPRISES,DIV,Service
050400000000,DIRECTION MISE EN VALEUR DES PÔLES ÉCONOMIQUES,DIR,Service
050402000000,DIVISION DÉVELOPPEMENT DU TERRITOIRE,DIV,Service
050403000000,DIVISION PROGRAMMES ET PARTENARIATS,DIV,Service
050500000000,DIRECTION INTÉLIGENCE ÉCONOMIQUE ET RAYONNEMENT INTERNATION.,DIR,Service
050502000000,DIVISION DE L INTELLIGENCE,DIV,Service
060000000000,BUREAU DE LA VÉRIFICATRICE GÉNÉRALE,SER,Service
060200000000,PROCESSUS FINANCIER,DIR,Service
060300000000,DIRECTION DE L AUDIT DES TECHNOLOGIES DE L INFORMATION,DIR,Service
060500000000,DIRECTION DE L AUDIT DE PERFORMANCE ET DE CONFORMITÉ,DIR,Service
070000000000,OFFICE DE CONSULTATION PUBLIQUE DE MONTRÉAL,SER,Service
070002000000,ADMINISTRATION ET LOGISTIQUE,SEC,Service
090000000000,PLANIFICATION STRATÉGIQUE ET PERFORMANCE ORGANISATIONNELLE,SER,Service
090000000001,PERFORMANCE ORGANISATIONNELLE,BUR,Service
090000040000,SOUTIEN AUX CHANTIERS DE PERFORMANCE,SEC,Service
090003000000,DIV.-CHANTIER D AMÉLIORATION DU RÉSEAU LOGISTI.ET GEST.STOCK,DIV,Service
090004000000,DIRECTION - ARCHITECTURE D AFFAIRES,DIV,Service
090005000000,"DIV GOUVERNANCE,GESTION DES ACTIFS,DES PROJETS ET DESRISQUE",DIV,Service
090200000000,"DIRECTION PERFORMANCE,PLANIFICATION ET EXÉCUTION STRATÉGIQUE",DIR,Service
090300000000,DIRECTION INNOVATION URBAINE ET AMÉLIORATION CONTINUE,DIR,Service
090302000000,DIVISION LABORATOIRE D INNOVATION URBAINE,DIV,Service
090303000000,DIVISION AMÉLIORATION CONTINUE,DIV,Service
090400000000,DIRECTION REVUE DES ACTIVITÉS DE LA VILLE,DIR,Service
090402000000,DIVISION REVUE DES ACTIVITÉS DE LA VILLE,DIV,Service
100000000000,SERVICE DE SÉCURITÉ INCENDIE DE MONTRÉAL,SER,Service
100002000000,DIV. DES COMM. ET RELATIONS AVEC LES MÉDIAS,DIV,Service
100003020000,SECTION SÉCURITÉ CIVILE,SEC,Service
100003040000,CENTRE DE SÉCURITÉ CIVILE SOURCE DÉDIÉE,SEC,Service
100004000000,DIVISION DES RESSOURCES FINANCIÈRES ET IMMOBILIÈRES,DIV,Service
100004010000,SECTION DE LA GESTION DE L ASSIDUITÉ DES AVANTAGES SOCIAUX,SEC,Service
100004020000,SECTION DES RESSOURCES IMMOBILIÈRES,SEC,Service
100200040000,SECTION STATION NOUVEAU DÉPART,SEC,Service
102200000000,GESTION STRAT. RESS.FIN.HUM. ET MAT.,BUR,Service
102201000000,CENTRE DE SERVICES DES RESSOURCES HUMAINES,DIR,Service
102201020000,DIVISION DES RESSOURCES HUMAINES,DIV,Service
103000000000,OPÉRATION BUDGETS CENTRALISÉS,DIR,Service
103300000000,DIRECTION DES OPÉRATIONS ET DE LA PRÉVENTION,DIR,Service
103300030000,SCHÉMA DE COUVERTURE DE RISQUE,SEC,Service
103301000000,CENTRE OPÉRATIONNEL NORD,SEC,Service
103301020000,DIVISION INTERVENTION ET ADM. NORD,DIV,Service
103301021100,OPÉRATIONS - RÉGION 1,SEC,Service
103301021102,CASERNE 51,INS,Service
103301021103,CASERNE 56,INS,Service
103301021104,CASERNE 57,INS,Service
103301021105,CASERNE 58,INS,Service
103301021106,CASERNE 61,INS,Service
103301021200,OPÉRATIONS - RÉGION 2,SEC,Service
103301021202,CASERNE 52,INS,Service
103301021203,CASERNE 53,INS,Service
103301021204,CASERNE 54,INS,Service
103301021205,CASERNE 55,INS,Service
103301021300,OPÉRATIONS - RÉGION 3,SEC,Service
103301021302,CASERNE 62,INS,Service
103301021303,CASERNE 63,INS,Service
103301021304,CASERNE 71,INS,Service
103301021305,CASERNE 72,INS,Service
103301021306,CASERNE 73,INS,Service
103301021307,CASERNE 74,INS,Service
103301022000,OPÉRATIONS - RÉGION 4,SEC,Service
103301022002,CASERNE 09,INS,Service
103301022003,CASERNE 21,INS,Service
103301022004,CASERNE 22,INS,Service
103301022005,CASERNE 31,INS,Service
103301022006,CASERNE 37,INS,Service
103301022007,CASERNE 41,INS,Service
103301022100,OPÉRATIONS - RÉGION 5,SEC,Service
103301022102,CASERNE 17,INS,Service
103301022103,CASERNE 18,INS,Service
103301022104,CASERNE 35,INS,Service
103301022105,CASERNE 42,INS,Service
103301022106,CASERNE 43,INS,Service
103301022107,CASERNE 49,INS,Service
103301022500,OPÉRATIONS - RÉGION 6,SEC,Service
103301022502,CASERNE 08,INS,Service
103301022503,CASERNE 14,INS,Service
103301022505,CASERNE 38,INS,Service
103301022506,CASERNE 44,INS,Service
103301040000,DIVISION PREMIERS RÉPONDANTS ET EXPERTISE,DIV,Service
103301050000,DIV. DU CENTRE DE COMMUNICATIONS ET PLANIFICATION OPÉRATION.,DIV,Service
103301050200,SECTION DU CENTRE DE COMM.,SEC,Service
103302000000,CENTRE OPÉRATIONNEL SUD,BUR,Service
103302020000,DIVISION INTERVENTION ET ADM. SUD,DIV,Service
103302021400,OPÉRATIONS - RÉGION 7,SEC,Service
103302021402,CASERNE 64,INS,Service
103302021403,CASERNE 65,INS,Service
103302021404,CASERNE 77,INS,Service
103302021405,CASERNE 78,INS,Service
103302021500,OPÉRATIONS - RÉGION 8,SEC,Service
103302021502,CASERNE 03,INS,Service
103302021503,CASERNE 15,INS,Service
103302021504,CASERNE 23,INS,Service
103302021505,CASERNE 33,INS,Service
103302021506,CASERNE 66,INS,Service
103302021507,CASERNE 67,INS,Service
103302021700,OPÉRATIONS - RÉGION 9,SEC,Service
103302021702,CASERNE 04,INS,Service
103302021703,CASERNE 27,INS,Service
103302021704,CASERNE 34,INS,Service
103302021705,CASERNE 46,INS,Service
103302021706,CASERNE 75,INS,Service
103302021707,CASERNE 76,INS,Service
103302021800,OPÉRATIONS - RÉGION 10,SEC,Service
103302021803,CASERNE 05,INS,Service
103302021804,CASERNE 10,INS,Service
103302021805,CASERNE 19,INS,Service
103302021806,CASERNE 20,INS,Service
103302021807,CASERNE 25,INS,Service
103302022200,OPÉRATIONS - RÉGION 11,SEC,Service
103302022202,CASERNE 16,INS,Service
103302022203,CASERNE 26,INS,Service
103302022204,CASERNE 29,INS,Service
103302022205,CASERNE 30,INS,Service
103302022206,CASERNE 47,INS,Service
103302022207,CASERNE 50,INS,Service
103302022300,OPÉRATIONS - RÉGION 12,SEC,Service
103302022302,CASERNE 13,INS,Service
103302022303,CASERNE 39,INS,Service
103302022304,CASERNE 40,INS,Service
103302022305,CASERNE 45,INS,Service
103302022306,CASERNE 48,INS,Service
103302040000,DIVISION DE LA FORMATION ET ÉQUIP SPÉC,DIV,Service
103302040200,SECTION FORMATION ET PEFECT,SEC,Service
103302040300,"SECTION RECHERCHE, DÉV. ET CONCEPTION",SEC,Service
103302040400,ÉQUIPES SPÉC.,SEC,Service
103302040600,"SECTION FORM. ET PERF. SAUVETAGE NAUTIQUE, GLACE",SEC,Service
103305000000,CENTRE DE SERV. DE L EXP. ET DU DEV. DE LA PRÉV.,BUR,Service
103305020000,"DIV.EXP., DÉV. DES PROG., DU TERRI. ET REL. AVEC LES PART.",DIV,Service
103305020200,SECTION ÉVÈN. SPÉC. MESURES OPÉRATIONNELLES,SEC,Service
103305020300,SECTION RECHERCHE DES CAUSES D INCENDIES (RCI),SEC,Service
103305020400,SECTION EXPERTISE RÈGLEMENTAIRE,SEC,Service
103305020500,SECTION ÉDUCATION DU PUBLIC,SEC,Service
103305050000,DIVISION PRÉVENTION NORD,DIV,Service
103305050200,SECTION PRÉVENTION RÉGION 1 (OUEST),SEC,Service
103305050300,SECTION PRÉVENTION RÉGION 2 (NORD),SEC,Service
103305050400,SECTION PRÉVENTION RÉGION 3 (EST),SEC,Service
103305060000,DIVISION PRÉVENTION SUD,DIV,Service
103305060200,SECTION PRÉVENTION RÉGION 4 (SUD OUEST),SEC,Service
103305060300,SECTION PRÉVENTION RÉGION 5 (CENTRE),SEC,Service
103305060400,SECTION PRÉVENTION RÉGION 6 (SUD EST),SEC,Service
103500000000,DIRECTION DE LA PRÉVENTION ET GESTION INTÉGRÉE DES RISQUES,DIR,Service
103501000000,DIVISION - SÉCURITÉ CITOYENNE ET CONFIRMITÉ,DIV,Service
103501010000,SECTION DES RISQUES PARTICULIERS,SEC,Service
103501020000,SECTION DE LA RÉGLEMENTATION,SEC,Service
103501030000,SECTION DES RELATIONS CITOYENNES ET SENSIBILISATION,SEC,Service
103501040000,SEC BUREAU ANALYSE DES INCIDENTS ET RECHERCHE DES CAUSES C.,SEC,Service
103502000000,DIVISION - PRÉVENTION ET PROXIMITÉ AVEC LE CITOYEN - EST,DIV,Service
103502010000,SECTION 1,SEC,Service
103502020000,SECTION 2,SEC,Service
103502030000,SECTION 3,SEC,Service
103502040000,SECTION 4,DIV,Service
103502050000,SECTION 5,SEC,Service
103502060000,SECTION 6,SEC,Service
103502080000,SECTION 8,SEC,Service
103503000000,DIVISION - SÉCURITÉ ET ÉVÉNEMENTS SPÉCIAUX,DIV,Service
103503010000,SECTION DES ÉVÉNEMENTS SPÉCIAUX,SEC,Service
103503020000,SECTION DE L ÉQUIPE TECHNIQUE D INTERVENTION,SEC,Service
103504000000,DIVISION - PRÉVENTION ET PROXIMITÉ AVEC LE CITOYEN - OUEST,DIV,Service
103504010000,SECTION 1,SEC,Service
103504020000,SECTION 2,SEC,Service
103504030000,SECTION 3,SEC,Service
103504070000,SECTION 7,SEC,Service
104000000000,SIM,DIR,Service
104500000000,DIRECTION DES OPÉRATIONS,DIR,Service
104501000000,CENTRE DE SERVICES - OPÉRATIONS,DIV,Service
104501020000,DIVISION 1,SEC,Service
104501030000,DIVISION 2,SEC,Service
104501040000,DIVISION 3,SEC,Service
104501050000,DIVISION 4,SEC,Service
104501060000,DIVISION 5,SEC,Service
104501070000,DIVISION 6,SEC,Service
104502000000,CENTRE DE SERVICES OPÉRATIONS SPÉCIALISÉES ET DÉVELOPPEMENT,DIV,Service
104502010000,DIVISION DE LA SANTÉ ET SÉCURITÉ AU TRAVAIL,SEC,Service
104502010200,SECTION DE LA SANTÉ ET DE LA SÉCURITÉ AU TRAVAIL,INS,Service
104502020000,DIVISION DES OPÉRATIONS SPÉCIALISÉES,SEC,Service
104502020100,"SAUVETAGE SPÉCIALISÉ, MATIÈRES DANGEREUSES ET RSMUEL",BUR,Service
104502030000,DIVISION DE LA FORMATION ET DU DÉVELOPPEMENT,SEC,Service
104502030100,SECTION DE LA FORMATION EN INTERVENTION,BUR,Service
104502030200,SEC DU DÉVELOPPEMENT DE LA FORMATION DES PREMIERS RÉPONDANTS,BUR,Service
104502030300,SECTION DE LA CONCEPTION DE LA FORMATION,BUR,Service
104502030400,SEC ASSURANCE QUALITÉ ET FORMATION DES PREMIERS RÉPONDANTS,BUR,Service
104502030500,SEC FORMATION ET DÉVELOPPEMENT DES OFFICIERS-PLANIFICATION,BUR,Service
104502030600,SEC FORMATION ET DÉVELOPPEMENT DES OFFICIERS-DÉVELOPPEMENT,BUR,Service
104502040000,DIVISION INTERVENTION,DIV,Service
104503000000,CENTRE DE SERVICES - INTERVENTION,DIV,Service
104503010000,DIVISION INTERVENTION - OUEST,SEC,Service
104503020000,DIVISION INTERVENTION-EST,SEC,Service
104503030000,"DIV CENTRE COMM.,PLANIFICATION OPÉRATIONELLEET SÉC.CIVILE",SEC,Service
104503030100,SECTION DE LA PLANIFICATION OPÉRATIONNELLE,BUR,Service
104503030200,SECTION DU CENTRE DE COMMUNICATIONS,BUR,Service
104503040000,DIVISION 3,SEC,Service
104504000000,CENTRE DE SERV-PLANIF. OPÉR.EN SANTÉ SÉCURITÉ ET MIEUX-ÊTRE,DIV,Service
104504010000,DIVISION DE LA PLANIFICATION DES EFFECTIFS,SEC,Service
104504020000,"DIVISION DE LA SANTÉ,MIEUX-ÊTRE ET DE LA SÉCURITÉ AU TRAVAIL",SEC,Service
105000000000,SIM,DIR,Service
105500000000,DIRECTION DU SOUTIEN TECHNIQUE ET STRATÉGIQUE,DIR,Service
105500010100,SECTION DES ÉQUIPEMENTS DE COMBAT INCENDIE,BUR,Service
105500010200,SECTION DES ÉQUIPEMENTS DE PROTECTION,BUR,Service
105500010300,SECTION DE L APPROVISIONNEMENT,BUR,Service
105501000000,CENTRE DE SERVICES - EXPERTISE ET DÉV. DE LA PRÉVENTION.,DIV,Service
105501010000,DIVISION DE L EXPERTISE ET DU DÉVELOPPEMENT,SEC,Service
105501010100,SECTION RECH. CAUSES CIRC. INCENDIES ÉDUC. DU PUBLIC,BUR,Service
105501010200,SECTION DES RISQUES PARTICULIERS,BUR,Service
105501010300,SECTION DE LA RÈGLEMENTATION,BUR,Service
105501010400,"SEC FORMATION PRÉVENTION INCENDIE,SENSIBILISATION COMMUNAUTA",SEC,Service
105501020000,DIVISION DE LA PRÉVENTION,SEC,Service
105501020100,SECTION - PRÉVENTION - DIVISION 1,BUR,Service
105501020200,SECTION - PRÉVENTION - DIVISION 1,BUR,Service
105501020300,SECTION - PRÉVENTION - DIVISION 3,BUR,Service
105501020400,SECTION DE L ÉQUIPE TECHNIQUE D INTERVENTION,BUR,Service
105501020500,SECTION - PRÉVENTION - DIVISION 2,BUR,Service
105501020600,SECTION - PRÉVENTION - DIVISION 6,BUR,Service
105501020700,SECTION - PRÉVENTION - DIVISION 5,BUR,Service
105501020800,SECTION DE LA PRÉVENTION - DIVISIONS 3,BUR,Service
105501020900,SECTION - PRÉVENTION - DIVISION 4,BUR,Service
105501021000,SECTION DES ÉVÉNEMENTS SPÉC. ET DES MESURES OPÉRATIONNELLES,SEC,Service
105501030000,"DIV DES GRANDS CHANTIERS, MOBILITÉ URBAINE ET ÉVÉN SPÉC",SEC,Service
105501030100,SECTION DES ÉVÉNEMENTS SPÉCIAUX,BUR,Service
105501040000,SEC DE LA RECHERCHE DES CAUSES ET CIRCONSTANCES DES INCENDIE,SEC,Service
105502000000,CENTRE DE SERVICES-STRATÉGIQUE ET TECHNIQUE,DIV,Service
105502010000,DIVISION STRATÉGIE PROJET ET INNOVATION,SEC,Service
105502010100,SEC PLANIFICATION STRATÉGIQUE ET RESSOURCE INFORMATIONNELLE,BUR,Service
105502030000,DIVISION DES SERVICES TECHNIQUES,SEC,Service
105502030100,SECTION DES ÉQUIPEMENTS DE PROTECTION,BUR,Service
105502030101,ATELIER - TUYAUX,INS,Service
105502030102,ATELIER - APRIA,INS,Service
105502030103,ATELIER - MÉPI,INS,Service
105502030104,ATELIER - MENUISERIE,INS,Service
105502030200,SECTION DES ÉQUIPEMENTS DE COMBAT INCENDIE,BUR,Service
105502030201,ATELIER - FORGE,INS,Service
105502030202,ATELIER - HYDRAULIQUE,INS,Service
105502030203,ATELIER - ÉLECTRICITÉ ET COMMUNICATION,INS,Service
105502030204,ATELIER - RÉCEPTION ET EXPÉDITION,INS,Service
105502040000,DIVISION - GESTION DES EFFECTIFS,SEC,Service
106500000000,CENTRE DE SÉCURITÉ CIVILE (CSC),DIR,Service
106501000000,DIV DE LA PRÉPARATION À L INTERVENTION AUX SINISTRES MAJEURS,DIV,Service
106501020000,SECTION DE LA PLANIFICATION ET DU SOUTIEN AUX INTERVENANTS,SEC,Service
106502000000,DIV GESTION DES RISQUES MAJEURS ET CONTINUITÉ DESAFFAIRES,DIV,Service
110000000000,SECRETARIAT DE LIAISON DE L AGGLOMERATION DE MONTREAL,SER,Service
114070000000,CADRE REGLEMENTAIRE,DIV,Service
120000000000,COMMISSION DES SERVICES ELECTRIQUES,INS,Service
120200000000,DIV. ADMINISTRATION DES RESSOURCES HUMAINES ET FINANCIERES,DIV,Service
130000000000,SERVICE DE L HABITATION,SER,Service
130000000002,SECTION DES SERVICES ADMINISTRATIFS,BUR,Service
130002000000,DIVISION PROJETS,DIV,Service
130003000000,DIVISION PROGRAMMES DE SUBVENTION,DIV,Service
130003020000,SECTION ACQUISITION,SEC,Service
130004000000,DIVISION STRATÉGIES ET POLITIQUES,DIV,Service
130005000000,DIVISION SALUBRITÉ,DIV,Service
130005020000,SECTION DE L INSPECTION DE LA SALUBRITÉ,SEC,Service
130006000000,DIVISION INCLUSION ET ACQUISITION,DIV,Service
130200000000,DIRECTION DÉVELOPPEMENT RÉSIDENTIEL,DIR,Service
130202000000,DIVISION PROJETS,DIV,Service
130206000000,DIVISION INCLUSION ET ACQUISITION,DIV,Service
130300000000,DIRECTION SALUBRITÉ ET PROGRAMMES,DIR,Service
130303000000,DIVISION PROGRAMMES DE SUBVENTION,DIV,Service
130303020000,SECTION ACQUISITION,SEC,Service
130305000000,DIVISION SALUBRITÉ,DIV,Service
130305020000,SECTION INSPECTION DE LA SALUBRITÉ,SEC,Service
170000000000,COMMISSION DE LA FONCTION PUBLIQUE DE MONTREAL,ORG,Service
170000000001,CFPM,ORG,Service
170000020000,SECTION TRAITEMENT DES PLAINTES,SEC,Service
170100000000,DIRECTION,DIR,Service
180000000000,SERVICE DE LA GESTION ET DE LA PLANIFICATION DES IMMEUBLES,SER,Service
180000000002,IMMEUBLES,BUR,Service
180000000200,IMMEUBLES - AGGLO.,BUR,Service
180000000900,REGROUPEMENT DES ACTIVITÉS IMMOBILIÈRES - AGGLOMÉRATION,BUR,Service
180002000000,DIV.EXPERTISE TECHNIQUE ET ASSURANCE QUALITÉ IMMOBILIÈRE,DIV,Service
180002020000,SECTION EXPERTISE TECHNIQUE EN BÂTIMENT,SEC,Service
180002030000,SECTION ASSURANCE QUALITÉ IMMOBILIÈRE,SEC,Service
180003000000,DIV. DE LA STATÉGIE ET DU DÉVELOPPEMENT DURABE EN IMMOBILIER,DIV,Service
180003020000,SECTION ÉNERGIE ET ENVIRONNEMENT,SEC,Service
180003030000,SECTION STRATÉGIES IMMOBILIÈRES,SEC,Service
180004000000,DIVISION DE LA GESTION IMMOBILIÈRE,DIV,Service
180004020000,SECTION GESTION IMMOBILIÈRE / CORPORATIF,SEC,Service
180004030000,SECTION GESTION IMMOBILIÈRE / ARRONDISSEMENTS,SEC,Service
180004040000,SECTION GESTION IMMOBILIÈRE / AGGLOMÉRATION,SEC,Service
180005000000,DIVISION ÉVALUATION ET TRANSACTION IMMOBILIÈRES,DIV,Service
180005020000,SECTION ÉVALUATION IMMOBILIÈRE,SEC,Service
180005030000,SECTION TRANSACTIONS IMMOBILIÈRES,SEC,Service
180005050000,SECTION LOCATION,SEC,Service
180006000000,DIVISION DU BUREAU DE PROJET,DIV,Service
180007000000,DIVISION GESTION DES TRAVAUX D ENTRETIEN,DIV,Service
180007020000,SECTION ENTRETIEN OUEST,SEC,Service
