no_civiq,Rue,Rue_De,Rue_A,Nom_parc,Sigle,Nom_arrond,Invent,Coord_X,Coord_Y,Injections,Longitude,Latitude
1585,"Prieur Est, rue","Curotte, avenue","Francis, rue",,FRPE,Ahuntsic-Cartierville,R,292380.563,5047190.861,2017,-73.65909925,45.56451743
1633,"Prieur Est, rue","Francis, rue","Taché, rue",,FRPE,Ahuntsic-Cartierville,R,292421.206,5047288.181,2017,-73.65858105,45.56539387
1637,"Prieur Est, rue","Francis, rue","Taché, rue",,FRPE,Ahuntsic-Cartierville,R,292425.8894,5047300.7137,2017,-73.65852137,45.56550672
1580,"Prieur Est, rue","Curotte, avenue","Francis, rue",,FRPE,Ahuntsic-Cartierville,R,292396.6779,5047183.5801,2017,-73.65889262,45.5644522
1590,"Prieur Est, rue","Curotte, avenue","Francis, rue",,FRPE,Ahuntsic-Cartierville,R,292401.595,5047195.962,2017,-73.65882995,45.5645637
1606,"Prieur Est, rue","Francis, rue","Taché, rue",,FRPE,Ahuntsic-Cartierville,R,292432.373,5047268.99,2017,-73.65843751,45.56522138
1607,"Prieur Est, rue","Francis, rue","Taché, rue",,FRPE,Ahuntsic-Cartierville,R,292414.9919,5047272.5691,2017,-73.65866027,45.56525328
0,"Prieur Est, rue","Olympia, boulevard","Hamel, avenue",,FRPE,Ahuntsic-Cartierville,R,292331.688,5047030,2017,-73.65972126,45.56306908
1530,"Prieur Est, rue","Hamel, avenue","Curotte, avenue",,FRPE,Ahuntsic-Cartierville,R,292362.9656,5047106.8023,2017,-73.65932254,45.56376073
1530,"Prieur Est, rue","Hamel, avenue","Curotte, avenue",,FRPE,Ahuntsic-Cartierville,R,292368.638,5047118.799,2017,-73.65925018,45.56386878
1525,"Prieur Est, rue","Hamel, avenue","Curotte, avenue",,FRPE,Ahuntsic-Cartierville,R,292356.064,5047132.052,2017,-73.65941159,45.56398781
1500,"Prieur Est, rue","Hamel, avenue","Curotte, avenue",,FRPE,Ahuntsic-Cartierville,R,292357.4761,5047092.2639,2017,-73.65939249,45.56362981
1500,"Prieur Est, rue","Hamel, avenue","Curotte, avenue",,FRPE,Ahuntsic-Cartierville,R,292360.1149,5047098.4865,2017,-73.65935885,45.56368585
1564,"Prieur Est, rue","Curotte, avenue","Francis, rue",,FRPE,Ahuntsic-Cartierville,R,292385.9906,5047157.2089,2017,-73.65902886,45.56421471
1570,"Prieur Est, rue","Curotte, avenue","Francis, rue",,FRPE,Ahuntsic-Cartierville,R,292390.6881,5047170.8783,2017,-73.65896903,45.5643378
0,"Prieur Est, rue","Olympia, boulevard","Hamel, avenue",,FRPE,Ahuntsic-Cartierville,R,292305.4328,5047010.7762,2017,-73.6600571,45.56289563
0,"Prieur Est, rue","Christophe-Colomb, avenue","Olympia, boulevard",,FRPE,Ahuntsic-Cartierville,R,292290.529,5046976.013,2017,-73.66024713,45.56258255
0,"Prieur Est, rue","Christophe-Colomb, avenue","Olympia, boulevard",,FRPE,Ahuntsic-Cartierville,R,292295.9558,5046988.2672,2017,-73.66017792,45.56269291
1420,"Prieur Est, rue","Christophe-Colomb, avenue","Olympia, boulevard",,FRPE,Ahuntsic-Cartierville,R,292296.354,5046946.356,2017,-73.66017175,45.56231579
0,"Prieur Est, rue","Olympia, boulevard","Hamel, avenue",,FRPE,Ahuntsic-Cartierville,R,292322.743,5047008.396,2017,-73.65983529,45.56287452
0,"Prieur Est, rue","Olympia, boulevard","Hamel, avenue",,FRPE,Ahuntsic-Cartierville,R,292309.849,5047023.013,2017,-73.66000084,45.56300582
0,"Port-Royal Est, rue de","Péloquin, avenue","Saint-Charles, rue",,FRPE,Ahuntsic-Cartierville,R,292948.597,5046118.095,2017,-73.65179648,45.55487425
8595,"Pierre-Dupaigne, rue","Pierre-Dupaigne, place","Pierre-Dupaigne, place",,FRPE,Ahuntsic-Cartierville,R,294657,5045963,2017,-73.62991156,45.55350564
10350,"Parthenais, rue","Fleury Est, rue","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,293009.585,5048108.5,2017,-73.65106332,45.57278555
10230,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293171.997,5048011.5,2017,-73.64898013,45.57191545
10240,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293160.304,5048018,2017,-73.6491301,45.57197375
10250,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293150.429,5048025,2017,-73.64925679,45.57203657
10338,"Parthenais, rue","Fleury Est, rue","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,293028.122,5048096.5,2017,-73.65082553,45.57267789
10261,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293152.561,5048052,2017,-73.64923012,45.57227956
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293277.7767,5047975.9356,2017,-73.64762403,45.57159719
10200,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293201.621,5047993.5,2017,-73.64860016,45.57175398
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293229.691,5048007,2017,-73.64824084,45.57187592
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293221.916,5048010.5,2017,-73.64834054,45.57190729
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293215.026,5048015,2017,-73.64842892,45.57194766
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293208.665,5048019,2017,-73.64851052,45.57198355
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293269.217,5047981.1157,2017,-73.64773382,45.57164366
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293238.293,5048002.5,2017,-73.64813053,45.57183557
10125,"Parthenais, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293292.7054,5047966.374,2017,-73.64743254,45.5715114
9920,"Parthenais, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293395.156,5047879.5,2017,-73.64611791,45.57073137
10007,"Parthenais, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293364.938,5047923.5,2017,-73.64650609,45.5711268
9925,"Parthenais, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293422.094,5047890.5,2017,-73.64577304,45.57083079
9186,"Papineau, avenue / Voie latérale Ouest","Legendre Est, rue","Lecocq, avenue",,FRPESU,Ahuntsic-Cartierville,R,294040.2056,5046814.4208,2017,-73.63783017,45.56115774
10225,"Papineau, avenue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292891.878,5047567.913,2017,-73.65255825,45.56791919
10210,"Papineau, avenue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292891.138,5047534.635,2017,-73.65256692,45.56761973
10160,"Papineau, avenue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292963.283,5047492.071,2017,-73.65164163,45.56723796
10180,"Papineau, avenue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292943.563,5047503.492,2017,-73.65189454,45.56734039
10190,"Papineau, avenue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292920.719,5047517.297,2017,-73.65218753,45.56746422
10210,"Papineau, avenue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292903.053,5047527.65,2017,-73.65241411,45.56755708
10055,"Papineau, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293072.816,5047460.517,2017,-73.65023764,45.56695588
10150,"Papineau, avenue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292973.226,5047485.826,2017,-73.6515141,45.56718193
9905,"Papineau, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293174.378,5047400.287,2017,-73.64893509,45.56641562
9905,"Papineau, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293140.688,5047420.09,2017,-73.64936716,45.56659325
9845,"Papineau, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293255.219,5047352.5,2017,-73.64789832,45.56598696
9905,"Papineau, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293130.828,5047426.17,2017,-73.64949362,45.56664779
9905,"Papineau, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293102.972,5047442.686,2017,-73.64985088,45.56679594
10830,"Olympia, boulevard","Henri-Bourassa Est, boulevard","Gouin Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291964.025,5047106,2017,-73.66443306,45.56374627
10556,"Olympia, boulevard","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292219.928,5047024,2017,-73.66115276,45.56301308
10115,"Olympia, boulevard","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292743.771,5046824.138,2017,-73.65443734,45.56122393
9763,"Olympia, boulevard","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,293102.723,5046671.5,2017,-73.64983562,45.55985657
9360,"Olivier-Maurault, avenue","Berthe-Louard, avenue","De La Colombière, place",,FRAM,Ahuntsic-Cartierville,R,293459.299,5046162.5488,2017,-73.6452563,45.55528277
9300,"Olivier-Maurault, avenue","Louis-Archambault, avenue","Berthe-Louard, avenue",,FRAM,Ahuntsic-Cartierville,R,293534.37,5046141.5,2017,-73.64429428,45.55509458
0,"Olivier-Maurault, avenue","Legendre Est, rue","Berthe-Louard, avenue",,FRAM,Ahuntsic-Cartierville,R,293734.063,5046061,2017,-73.64173472,45.55437342
9167,"De Montgolfier, place","De Montgolfier, place","De Galinée, avenue",,FRPESU,Ahuntsic-Cartierville,R,293806.313,5046564,2017,-73.64082064,45.55890072
9921,"Millen, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPESU,Ahuntsic-Cartierville,R,292501.3081,5046013.805,2017,-73.65752285,45.55392806
9525,"Millen, avenue","Louvain Est, rue de","Frémont, rue",,FRPE,Ahuntsic-Cartierville,R,293021.281,5045819,2017,-73.65085832,45.55218413
9485,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293108.813,5045781.5,2017,-73.64973634,45.55184817
9495,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293085.594,5045791,2017,-73.65003395,45.55193326
9395,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293193.25,5045746.5,2017,-73.64865408,45.55153464
