"Annee_imposition","Region_administrative","Nombre_de_particuliers"
2017,"08 - Abitibi-Témiscamingue",32
2017,"12 - Chaudière-Appalaches",67
2017,"13 - Laval",138
2017,"14 - Lanaudière",68
2017,"15 - Laurentides",185
2017,"16 - Montérégie",529
2017,"17 - Centre-du-Québec",43
2017,"Hors Québec ou Indéterminé",506
2018,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",33
2018,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",36
2018,"03 - Capitale-Nationale",197
2018,"04 - Mauricie",34
2018,"05 - Estrie",130
2018,"06 - Montréal",2084
2018,"07 - Outaouais",50
2018,"08 - Abitibi-Témiscamingue",27
2018,"12 - Chaudière-Appalaches",73
2018,"13 - Laval",156
2018,"14 - Lanaudière",84
2018,"15 - Laurentides",226
2018,"16 - Montérégie",575
2018,"17 - Centre-du-Québec",56
2018,"Hors Québec ou Indéterminé",628
2019,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",22
2019,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",34
2019,"03 - Capitale-Nationale",216
2019,"04 - Mauricie",34
2019,"05 - Estrie",150
2019,"06 - Montréal",2130
2019,"07 - Outaouais",68
2019,"08 - Abitibi-Témiscamingue",29
2019,"12 - Chaudière-Appalaches",85
2019,"13 - Laval",189
2019,"14 - Lanaudière",79
2019,"15 - Laurentides",207
2019,"16 - Montérégie",600
2019,"17 - Centre-du-Québec",45
2019,"Hors Québec ou Indéterminé",652
2020,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",36
2020,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",38
2020,"03 - Capitale-Nationale",242
2020,"04 - Mauricie",42
2020,"05 - Estrie",166
2020,"06 - Montréal",2280
2020,"07 - Outaouais",60
2020,"08 - Abitibi-Témiscamingue",30
2020,"12 - Chaudière-Appalaches",73
2020,"13 - Laval",185
2020,"14 - Lanaudière",109
2020,"15 - Laurentides",235
2020,"16 - Montérégie",604
2020,"17 - Centre-du-Québec",45
2020,"Hors Québec ou Indéterminé",911
2021,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",47
2021,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",68
2021,"03 - Capitale-Nationale",378
2021,"04 - Mauricie",57
2021,"05 - Estrie",255
2021,"06 - Montréal",2938
2021,"07 - Outaouais",88
2021,"08 - Abitibi-Témiscamingue",40
2021,"12 - Chaudière-Appalaches",127
2021,"13 - Laval",233
2021,"14 - Lanaudière",134
2021,"15 - Laurentides",343
2021,"16 - Montérégie",941
2021,"17 - Centre-du-Québec",76
2021,"Hors Québec ou Indéterminé",1197
2022,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",57
2022,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",67
2022,"03 - Capitale-Nationale",317
2022,"04 - Mauricie",62
2022,"05 - Estrie",296
2022,"06 - Montréal",2609
2022,"07 - Outaouais",79
2022,"08 - Abitibi-Témiscamingue",37
2022,"12 - Chaudière-Appalaches",126
2022,"13 - Laval",243
2022,"14 - Lanaudière",149
2022,"15 - Laurentides",365
2022,"16 - Montérégie",924
2022,"17 - Centre-du-Québec",79
2022,"Hors Québec ou Indéterminé",827

