NoBI,XNAD83MTM6,YNAD83MTM6,DESIGNA,CODELIEN,VOIE,MARQUEB,NBSORTIE1,NBSORTIE2,NBFILETPC,DIAMCOND,DEBITAQ,CLASSENFBA,MUNICIPALITE,GEOM
0581,226077.52099999972,5366913.879000001,RUE,,GUY,Canron C-61,2,0,7,0,0,Classe A,10043,Point
0561,226078.4759999998,5367021.502,RUE,DU,COTEAU,Canada valve Century,2,0,7,6,0,Classe C,10043,Point
0426,226002.83100000024,5366977.066,RUE,,HENRI-JACOB,Daigle Concord Premier,2,0,7,6,0,Classe A,10043,Point
0432,225829.67599999998,5366811.755000001,RUE,DU,DOMAINE,Darling,2,0,7,6,0,Classe A,10043,Point
0487,225802.55700000003,5366751.285,RUE,DU,REPOS,Canada valve,2,0,7,6,0,Classe A,10043,Point
0433,225726.15500000026,5366800.583000001,RUE,DU,REPOS,Daigle Concord Premier,2,0,7,6,0,Classe A,10043,Point
0758,225664.29700000025,5366764.238,RUE,DU,BOSQUET,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0479,225454.10599999968,5366619.495999999,RUE,DE LA,SAPINIERE SUD,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0818,225344.76400000043,5366550.177999999,RUE,DU,BOSQUET,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0759,225624.08600000013,5366652.059,RUE,DES,CONIFERES,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0760,225761.233,5366674.629000001,RUE,DU,BOSQUET,Canron CT,2,0,7,6,0,Classe AA,10043,Point
0761,225663.69099999964,5366570.715,RUE,DU,BOSQUET,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0762,225548.09399999958,5366458.805,RUE,DU,BOSQUET,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0067,225439.75700000022,5366460.832,RUE,DU,BOSQUET,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0639,225513.06599999964,5366564.457,RUE,DE LA,SAPINIERE SUD,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0503,225472.49799999967,5367212.186000001,RUE,DE,DIEPPE,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0773,225385.6799999997,5367180.625,RUE,DES,BRAVES,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0504,225544.63200000022,5367146.555,RUE,DES,ARDENNES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0691,225296.8030000003,5367115.795,RUE,DES,FLEURS,Daigle D-67,2,0,7,6,0,Classe C,10043,Point
0424,225799.2120000003,5367146.914000001,RUE,DES,ARDENNES,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0605,225600.5259999996,5367095.710000001,RUE,DE,DIEPPE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0505,225659,5367148.786,RUE,DES,ARDENNES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0423,225865.2089999998,5367184.642999999,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0421,225993.44799999986,5367257.772,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0420,226091.29200000037,5367306.231000001,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,2,0,7,6,0,Classe AA,10043,Point
