"Cote","No de plan","Dates","Fichier en haute résolution (cliquer sur le lien)","Mention de crédits",,,,,,,,
"VM165-1_2","43-69",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-69A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-69",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-69B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-70",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-70.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-71",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-71.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-72",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-72.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-73",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-73.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-50",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-50.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-51",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-51.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-52",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-52.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-53",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-53.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-54",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-54.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-55",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-55A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-55",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-55B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-56",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-56A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-56",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-56B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-57",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-57A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-57",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-57B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-58",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-58A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-58",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-58B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-59A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-59B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-60A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-60B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-61A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-61B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-62",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-62.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-63",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-63.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-64",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-64.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-65",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-65.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-66",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-66.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-67",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-67A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-67",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-67B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-68",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-68A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-68",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-68B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-69",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-69A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-69",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-69B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-70",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-70.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-71",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-71.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","44-72",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_44-72.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","45-51",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_45-51.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","45-52",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_45-52.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","45-53",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_45-53.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","45-54",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_45-54.TIF","Archives de la Ville de Montréal",,,,,,,,
