mun_c,mun_n,reg_c,coord_x,coord_y,q2011,q2012,q2013,q2014,q2015,q2016,q2017
05055,Saint-Sim�on,11,-65.5601895,48.113009508,368,369,368,367,366,366,366
05060,Caplan,11,-65.67848089,48.132206451,376,377,377,376,377,377,378
05065,Saint-Alphonse,11,-65.63865958,48.196767999,356,355,358,358,358,363,359
05070,New Richmond,11,-65.80963156,48.196678425,380,381,,,,381,386
05077,Cascap�dia--Saint-Jules,11,-65.93174693,48.270201223,,,,,,,
06005,Maria,11,-66.01295101,48.20001558,374,375,376,378,,381,381
06013,Carleton-sur-Mer,11,-66.17712345,48.155995978,384,384,,385,,385,386
06020,Nouvelle,11,-66.35505656,48.152140603,365,,,368,367,363,
06025,Escuminac,11,-66.50409579,48.122579828,,,,,,,
06030,Pointe-�-la-Croix,11,-66.73891899,48.122237073,,,,,368,,
06035,Ristigouche-Partie-Sud-Est,11,-66.82446824,48.024238897,,,,,,,
06040,Saint-Andr�-de-Restigouche,11,-66.98923554,48.069426916,,,,,,,
06045,Matap�dia,11,-66.95961861,47.962540946,359,358,,358,358,,
06050,Saint-Alexis-de-Matap�dia,11,-67.06072243,47.979117311,349,348,349,348,351,,359
06055,Saint-Fran�ois-d'Assise,11,-67.18352517,47.980462938,361,358,359,358,359,358,
06060,L'Ascension-de-Patap�dia,11,-67.26730181,47.929787275,,,,,,,
07005,Sainte-Marguerite-Marie,01,-67.0925885,48.312714623,,,,,,,
07010,Sainte-Florence,01,-67.23503734,48.268738213,,,,,,,
07018,Causapscal,01,-67.2379817,48.378225149,378,378,378,377,377,,
07025,Albertville,01,-67.37014462,48.322681764,,,,,,,
07030,Saint-L�on-le-Grand,01,-67.51528913,48.368054369,,,,,,,
07035,Saint-Z�non-du-Lac-Humqui,01,-67.6094769,48.311433172,,,,,,,
07040,Sainte-Ir�ne,01,-67.64014345,48.423449952,348,,,,,,358
07047,Amqui,01,-67.42588015,48.486658993,389,389,390,393,390,390,390
07057,Lac-au-Saumon,01,-67.39468917,48.404202127,,,,365,366,368,367
07065,Saint-Alexandre-des-Lacs,01,-67.27776162,48.47881118,330,329,332,332,342,338,
07070,Saint-Tharcisius,01,-67.30709836,48.54400489,348,344,,,344,344,344
07075,Saint-Vianney,01,-67.418548,48.619532265,353,354,,,353,352,354
07080,Val-Brillant,01,-67.55985764,48.524260311,362,362,,,360,,359
07085,Sayabec,01,-67.67672326,48.595519711,376,374,374,375,374,374,375
07090,Saint-Cl�ophas,01,-67.72950085,48.48516485,346,344,,,,,
07095,Saint-Mo�se,01,-67.84976429,48.524861119,353,352,,353,354,,
07100,Saint-No�l,01,-67.82621319,48.603439562,352,352,,353,353,353,355
07105,Saint-Damase,01,-67.7813917,48.65644677,346,345,347,347,347,348,350
08005,Les M�chins,01,-66.8822719,48.931876693,361,361,,,,,
08010,Saint-Jean-de-Cherbourg,01,-67.10454591,48.845152868,,,,,,,
08015,Grosses-Roches,01,-67.16084254,48.917128278,355,355,,355,351,,351
08023,Sainte-F�licit�,01,-67.29082923,48.882576162,360,362,,,,,
08030,Saint-Adelme,01,-67.30932591,48.81666382,346,346,344,,,343,344
08035,Saint-Ren�-de-Matane,01,-67.34542589,48.723238094,351,349,,,,,351
08040,Sainte-Paule,01,-67.53418954,48.668937681,,,,,,,
08053,Matane,01,-67.48727371,48.799319832,402,402,,403,402,402,402
08065,Saint-L�andre,01,-67.59627094,48.709816312,,,,,,,
08073,Saint-Ulric,01,-67.70265464,48.74839935,365,362,,366,,,
08080,Baie-des-Sables,01,-67.86259562,48.707176292,355,351,354,356,356,356,357
09005,La R�demption,01,-67.89311987,48.423379768,353,347,,,,,
09010,Saint-Charles-Garnier,01,-68.02784964,48.331380414,,,,,,,
09015,Les Hauteurs,01,-68.10093451,48.366827305,,,,,,,
09020,Sainte-Jeanne-d'Arc,01,-67.9788364,48.467350962,,,,,,,
09025,Saint-Gabriel-de-Rimouski,01,-68.19078695,48.417451696,362,363,,,,,
09030,Saint-Donat,01,-68.23930747,48.492692219,356,356,,,,,
09035,Sainte-Ang�le-de-M�rici,01,-68.08248687,48.504627433,362,,,,,,
09040,Padoue,01,-67.94927105,48.5938397,,,,,,,
09048,M�tis-sur-Mer,01,-68.10997847,48.735852215,359,358,364,360,354,354,354
09055,Saint-Octave-de-M�tis,01,-68.03291317,48.603416247,345,346,,,350,,
09060,Grand-M�tis,01,-68.08941708,48.63004711,320,320,,376,375,375,
09065,Price,01,-68.12638337,48.601338412,376,375,375,376,375,375,375
09070,Saint-Joseph-de-Lepage,01,-68.16550711,48.559838591,,,,,,,
09077,Mont-Joli,01,-68.18005283,48.585668247,393,393,393,393,393,393,393
09085,Sainte-Flavie,01,-68.23422628,48.599805922,364,364,364,367,367,367,369
09092,Sainte-Luce,01,-68.3337857,48.534425448,381,380,382,382,382,382,383
10005,Esprit-Saint,01,-68.53229472,48.047620014,,,,,,,
10010,La Trinit�-des-Monts,01,-68.41847566,48.13134952,,,,,,,
10015,Saint-Narcisse-de-Rimouski,01,-68.46720544,48.250872993,357,357,,,357,,358
10025,Saint-Marcellin,01,-68.28435849,48.338378314,,,,,,,
10030,Saint-Anaclet-de-Lessard,01,-68.37419132,48.442226485,376,376,378,378,378,378,377
10043,Rimouski,01,-68.66525041,48.407833311,420,420,419,420,420,420,421
10060,Saint-Val�rien,01,-68.62243037,48.299425084,,,,,,,
10070,Saint-Fabien,01,-68.85876814,48.285328564,373,371,372,,,,372
10075,Saint-Eug�ne-de-Ladri�re,01,-68.69034484,48.187130447,,,,,,,
11005,Saint-Cl�ment,01,-69.09482701,47.922524339,,,,,347,,348
11010,Saint-Jean-de-Dieu,01,-69.02215718,47.995403779,371,373,373,371,371,371,371
11015,Sainte-Rita,01,-68.87701923,47.948467871,,,,,,,
11020,Saint-Guy,01,-68.75840101,48.040604188,,,,,,,
11025,Saint-M�dard,01,-68.86851006,48.074983275,,,,,,,
11030,Sainte-Fran�oise,01,-69.04393321,48.075051898,344,,,,,,
11035,Saint-�loi,01,-69.20286277,48.032427462,,,,,,,
11040,Trois-Pistoles,01,-69.17134629,48.128581289,384,387,386,386,386,386,387
11045,Notre-Dame-des-Neiges,01,-69.11468038,48.111276014,384,,,386,386,386,387
11050,Saint-Mathieu-de-Rioux,01,-68.96376121,48.16864094,353,354,352,,,352,352
11055,Saint-Simon,01,-69.01508066,48.211661491,349,343,350,349,349,,
12005,Saint-Cyprien,01,-68.97088759,47.875512296,366,365,,369,370,369,370
12010,Saint-Hubert-de-Rivi�re-du-Loup,01,-69.1642704,47.783263602,367,364,366,366,365,366,366
12015,Saint-Antonin,01,-69.42751721,47.735301152,381,382,383,381,380,,383
12020,Saint-Modeste,01,-69.38060806,47.814662229,359,360,362,362,362,362,363
12025,Saint-Fran�ois-Xavier-de-Viger,01,-69.24656037,47.83351491,,,,,,,
12030,Saint-�piphane,01,-69.30564732,47.8986483,361,361,,360,359,359,362
12035,Saint-Paul-de-la-Croix,01,-69.19471128,47.946946006,,,,,,,
12043,L'Isle-Verte,01,-69.31956962,48.051459249,368,,,,367,367,367
12045,Notre-Dame-des-Sept-Douleurs,01,-69.46703998,48.048309517,,,,,,,
12057,Cacouna,01,-69.52765061,47.943681647,373,369,,374,372,372,372
12065,Saint-Ars�ne,01,-69.40491917,47.912304872,367,367,368,,364,364,365
12072,Rivi�re-du-Loup,01,-69.53705886,47.842343036,407,408,408,408,408,409,409
12080,Notre-Dame-du-Portage,01,-69.64415541,47.779594499,346,,,,,,344
13005,D�gelis,01,-68.51478259,47.627955169,383,383,384,380,380,380,380
13010,Saint-Jean-de-la-Lande,01,-68.67243885,47.431393602,,,,,,,
13015,Packington,01,-68.81035453,47.467304202,,,,,,,
13020,Saint-Marc-du-Lac-Long,01,-68.87892625,47.401320643,350,350,354,354,352,,
13025,Rivi�re-Bleue,01,-68.98962922,47.412857324,370,371,374,371,371,371,371
13030,Saint-Eus�be,01,-68.90954134,47.536348813,,,,,,,
13040,Saint-Juste-du-Lac,01,-68.73784944,47.722498346,347,346,340,343,342,343,342
13045,Auclair,01,-68.6637334,47.743552556,347,347,348,349,349,349,
13050,Lejeune,01,-68.54495767,47.763262439,341,341,,344,341,340,343
13055,Biencourt,01,-68.57003178,47.929770864,360,350,352,351,350,350,351
13060,Lac-des-Aigles,01,-68.67983456,47.992976725,,,,,354,354,354
13065,Saint-Michel-du-Squatec,01,-68.79112406,47.823022517,360,360,,,,,370
13073,T�miscouata-sur-le-Lac,01,-68.87781548,47.6729161,390,390,390,387,387,,
13075,Saint-Pierre-de-Lamy,01,-68.98700624,47.784312995,,,,,,,
13080,Saint-Louis-du-Ha! Ha!,01,-69.00513981,47.663888415,,,,,,,
13085,Saint-Elz�ar-de-T�miscouata,01,-69.06378787,47.567338906,,,,,,,
13090,Saint-Honor�-de-T�miscouata,01,-69.19368849,47.663879076,,,,,,,
13095,Poh�n�gamook,01,-69.2886797,47.521151633,379,378,378,378,,378,380
13100,Saint-Athanase,01,-69.42111132,47.41324351,,,,,,,
14005,Mont-Carmel,01,-69.7156624,47.296969054,362,362,362,361,362,362,360
