District;Bureau;Candidat1;Vote1;Candidat2;Vote2;Candidat3;Vote3;Candidat4;Vote4;Candidat5;Vote5;Rejetes
2;43;Clément BÉLANGER;4;Rémi BERGERON;3;Sylvie GONEAU;25;Maxime PEDNEAUD-JOBIN;67;Denis TASSÉ;30;3
2;44;Clément BÉLANGER;2;Rémi BERGERON;5;Sylvie GONEAU;22;Maxime PEDNEAUD-JOBIN;58;Denis TASSÉ;39;6
2;45;Clément BÉLANGER;11;Rémi BERGERON;5;Sylvie GONEAU;33;Maxime PEDNEAUD-JOBIN;75;Denis TASSÉ;50;0
2;46;Clément BÉLANGER;16;Rémi BERGERON;4;Sylvie GONEAU;32;Maxime PEDNEAUD-JOBIN;52;Denis TASSÉ;49;0
2;47;Clément BÉLANGER;2;Rémi BERGERON;3;Sylvie GONEAU;31;Maxime PEDNEAUD-JOBIN;43;Denis TASSÉ;49;1
2;48;Clément BÉLANGER;11;Rémi BERGERON;3;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;55;Denis TASSÉ;62;2
2;49;Clément BÉLANGER;13;Rémi BERGERON;1;Sylvie GONEAU;23;Maxime PEDNEAUD-JOBIN;59;Denis TASSÉ;37;3
2;50;Clément BÉLANGER;14;Rémi BERGERON;2;Sylvie GONEAU;24;Maxime PEDNEAUD-JOBIN;57;Denis TASSÉ;36;4
2;51;Clément BÉLANGER;10;Rémi BERGERON;6;Sylvie GONEAU;22;Maxime PEDNEAUD-JOBIN;70;Denis TASSÉ;31;1
2;52;Clément BÉLANGER;4;Rémi BERGERON;7;Sylvie GONEAU;33;Maxime PEDNEAUD-JOBIN;55;Denis TASSÉ;39;2
2;BVA-02-4;Clément BÉLANGER;14;Rémi BERGERON;2;Sylvie GONEAU;32;Maxime PEDNEAUD-JOBIN;88;Denis TASSÉ;47;2
2;BVA-02-5;Clément BÉLANGER;6;Rémi BERGERON;1;Sylvie GONEAU;26;Maxime PEDNEAUD-JOBIN;60;Denis TASSÉ;48;3
2;BVA-02-6;Clément BÉLANGER;12;Rémi BERGERON;2;Sylvie GONEAU;30;Maxime PEDNEAUD-JOBIN;73;Denis TASSÉ;51;4
