TSPID,SCIAN,SCIAL,Q1_1,Q2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7A,Q2_7B,Q2_7C,Q2_7D,Q3A,Q3B,Q3C,Q3D,Q4,Q5,Q6,Q8,Q9,Q10AM1,Q10AM2,Q10AM3,Q10AM4,Q10AM5,Q11,Q12AM1,Q12AM2,Q12AM3,Q13,Q14,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,Q16,Q17,Q18,Q19,Q20M1,Q20M2,Q20M3,Q20M4,Q20M5,Q20M6,QENT1,Q21,Q24,Q25,Q26,Q23,Poids
4151,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",2,2,2,4,3,2,1,3,90,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
4190,448120,Magasins de vêtements pour femmes,2,2,2,2,2,2,2,2,,,99,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
4194,445310,"Magasins de bière, de vin et de spiritueux",1,2,3,1,2,1,1,2,90,,,,1,1,1,2,1,2,1,1,1,5,,,,,5,1,,,1,2,2,2,1,1,3,1,1,1,1,1,1,90,9,,,,,,1,1,1,1,2,,1.014062070316750
4212,811122,Ateliers de remplacement de glaces et de pare-brise,1,2,4,1,2,1,1,2,90,,,,2,2,2,3,2,2,2,2,1,90,,,,,90,1,,,3,2,2,1,1,1,1,1,1,1,2,2,2,90,1,,,,,,1,1,1,1,1,,1.014062070316750
4226,811310,Réparation et entretien de machines et de matériel d'usage commercial et industr,2,3,4,9,3,2,1,2,,,,90,3,2,3,4,3,3,3,2,1,6,,,,,6,1,2,,99,2,3,2,3,2,1,2,2,3,2,3,2,90,3,,,,,,1,1,1,1,2,,1.014062070316750
4228,451110,Magasins d'articles de sport,1,2,4,2,3,2,1,2,,,,90,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,2,,1.014062070316750
4249,451110,Magasins d'articles de sport,2,2,2,2,3,3,2,3,,,,90,2,2,2,9,3,2,2,2,1,5,,,,,5,1,,,1,2,2,2,2,1,1,1,1,2,2,2,2,90,4,,,,,,1,2,4,1,2,,1.014062070316750
4258,451210,Librairies et marchands de journaux,2,3,3,1,3,1,1,1,,90,,,3,3,3,3,3,3,3,1,1,12,,,,,12,4,,,4,2,2,2,3,2,2,2,2,3,3,3,3,90,3,4,,,,,2,2,4,3,2,,0.972624747313544
4262,445299,Tous les autres magasins d'alimentation spécialisée,1,3,4,2,3,2,2,2,90,,,,3,3,4,3,3,2,2,3,1,90,,,,,90,1,,,1,2,1,3,2,1,3,1,2,1,2,2,3,90,3,5,,,,,1,2,4,2,2,,0.886177530449585
4327,811111,Réparations générales de véhicules automobiles,3,4,1,1,1,1,1,1,,99,,,2,1,1,4,2,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,2,1,2,,1.014062070316750
4343,812116,Salons de coiffure mixtes,2,2,1,1,2,2,2,2,90,,,,2,2,2,2,2,2,2,3,1,90,,,,,90,1,,,1,1,2,2,1,2,2,2,2,2,2,2,2,90,6,,,,,,1,2,1,1,2,,1.014062070316750
4410,811412,Réparation et entretien d'appareils ménagers,2,9,3,9,2,2,1,2,,,90,,2,3,2,3,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,1,1,1,2,,1.014062070316750
4466,812190,Autres services de soins personnels,1,3,3,2,1,1,9,2,90,,,,3,3,3,3,3,3,3,2,1,1,2,5,90,,5,1,,,1,2,3,3,3,3,2,2,2,1,1,2,2,90,9,,,,,,1,2,1,1,1,,1.014062070316750
4476,448120,Magasins de vêtements pour femmes,1,4,4,2,4,2,2,1,90,,,,3,3,2,4,4,4,4,1,1,1,90,,,,90,1,,,1,1,1,1,1,1,5,1,1,4,4,2,4,90,6,,,,,,2,2,1,1,1,,1.014062070316750
4481,448210,Magasins de chaussures,3,1,2,1,3,2,1,1,,,,90,2,2,1,9,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,99,4,1,2,,1.014062070316750
4496,443130,Magasins d'appareils et de fournitures photographiques,3,3,4,9,3,2,2,2,90,,,,4,3,3,3,4,3,3,2,1,90,,,,,90,1,,,4,4,2,2,2,2,2,2,2,4,3,3,4,90,5,6,,,,,1,1,1,1,1,,1.014062070316750
4518,448110,Magasins de vêtements pour hommes,2,1,2,2,2,2,2,2,,90,,,2,2,2,1,2,2,2,3,1,4,,,,,4,1,,,1,2,2,2,1,1,2,3,2,2,2,2,1,90,1,3,4,5,,,1,2,4,1,2,,1.014062070316750
4538,812116,Salons de coiffure mixtes,3,2,2,4,2,2,1,2,,,,90,2,2,3,9,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
4561,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",2,3,4,9,4,2,2,2,,,,90,2,2,3,4,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,1.014062070316750
4598,442291,Magasins de garnitures de fenêtres,2,4,2,2,2,4,2,2,90,,,,2,2,2,9,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
4625,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",3,2,2,9,3,9,1,1,,,90,,2,2,9,2,3,3,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,1,2,1,1,2,,1.014062070316750
4633,812116,Salons de coiffure mixtes,2,3,2,2,2,3,2,2,,,,90,3,2,2,4,3,2,3,2,1,90,,,,,90,1,,,1,5,2,2,2,2,2,2,2,2,2,2,2,90,3,,,,,,1,2,4,1,2,,1.014062070316750
4644,448110,Magasins de vêtements pour hommes,2,2,2,2,3,2,2,2,,,90,,3,2,2,3,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,1,4,1,2,,1.014062070316750
4711,448120,Magasins de vêtements pour femmes,3,9,9,2,9,2,2,1,,,99,,2,2,2,9,9,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,2,4,1,9,,1.014062070316750
4755,812114,Salons de coiffure pour hommes,3,3,4,2,2,3,2,2,90,,,,2,2,2,2,2,1,2,2,1,1,5,,,,5,1,,,1,2,2,2,2,2,5,2,3,2,2,2,2,90,9,,,,,,1,2,1,1,1,,1.014062070316750
4760,445120,Dépanneurs,1,2,2,2,2,1,2,2,,,90,,2,2,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,3,1,2,,1.014062070316750
4779,445120,Dépanneurs,3,2,2,2,2,2,2,2,,99,,,3,4,2,4,3,3,3,2,1,5,6,90,,,90,1,,,1,2,5,5,3,2,3,3,2,1,3,2,3,90,5,,,,,,1,2,4,1,2,,1.014062070316750
4794,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",1,4,2,2,2,1,1,2,,,,90,1,1,1,1,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,4,1,1,,1.014062070316750
4815,445120,Dépanneurs,3,9,3,2,2,4,3,2,,,,90,2,2,3,3,3,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,1.014062070316750
4825,443120,Magasins d'ordinateurs et de logiciels,2,2,2,2,2,1,1,1,,90,,,2,2,2,2,2,2,2,2,1,5,,,,,5,1,,,1,2,2,2,2,2,2,2,2,1,2,2,2,90,4,5,6,,,,1,2,3,1,2,,1.014062070316750
4828,812116,Salons de coiffure mixtes,1,9,2,2,2,4,1,2,,,,90,2,2,2,9,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
4831,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",3,4,4,9,2,2,2,2,,90,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,1,1,2,,1.014062070316750
4855,448110,Magasins de vêtements pour hommes,2,1,2,9,1,1,1,1,,,,90,2,2,2,2,2,2,2,2,1,90,5,,,,5,1,,,1,1,1,1,2,1,2,2,2,1,2,2,2,90,9,,,,,,1,1,1,1,2,,1.014062070316750
4858,811210,Réparation et entretien de matériel électronique et de matériel de précision,2,2,3,9,3,2,2,2,,,,90,2,2,2,4,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,2,1,1,2,,1.014062070316750
4877,452999,Magasins divers de tout autres fournitures de tout genre,4,3,3,9,3,3,1,3,,,90,,4,3,3,3,3,4,3,3,1,90,,,,,90,1,,,1,4,3,3,3,3,3,3,3,3,4,4,4,90,9,,,,,,1,2,1,2,1,,0.886177530449585
4878,442210,Magasins de revêtements de sol,1,2,3,3,3,3,1,3,,,,90,3,3,3,3,3,4,3,1,1,90,,,,,90,1,,,1,2,2,3,2,2,3,2,3,1,3,3,3,90,3,,,,,,1,2,1,1,2,,1.014062070316750
4883,448140,Magasins de vêtements pour la famille,2,2,4,9,2,2,2,2,90,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,1,1,1,1,2,,1.014062070316750
4917,445120,Dépanneurs,3,4,3,4,4,1,1,2,,,,90,2,2,4,4,2,2,3,2,1,6,,,,,6,1,,,1,2,2,2,2,2,2,2,1,2,2,3,3,90,6,,,,,,2,2,1,1,2,,1.014062070316750
4942,451130,Magasins d'articles de couture et de travaux d'aiguille et de tissus à la pièce,1,1,3,1,1,2,1,1,,,,90,1,1,1,1,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,1,1,1,1,,1.014062070316750
4998,812116,Salons de coiffure mixtes,3,1,1,1,1,1,1,1,,,,90,1,1,1,4,1,2,1,2,1,90,,,,,90,1,,,1,1,1,1,1,1,1,1,1,1,2,2,2,90,2,,,,,,1,1,1,1,2,,1.014062070316750
5005,445210,Boucheries,2,2,2,2,3,2,1,1,,,90,,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,1,2,90,1,2,,1.014062070316750
5012,448210,Magasins de chaussures,1,9,2,2,2,3,2,2,99,,,,2,2,2,4,2,2,2,3,1,90,,,,,90,1,,,1,2,2,2,2,2,2,2,2,1,2,2,2,90,6,,,,,,1,1,4,1,1,,1.014062070316750
5019,445299,Tous les autres magasins d'alimentation spécialisée,2,3,1,2,2,1,1,1,,99,,,2,1,2,9,9,9,9,1,1,2,,,,,2,1,,,1,2,3,2,3,1,3,3,1,2,2,3,2,90,9,,,,,,1,1,3,1,2,,1.014062070316750
5027,445120,Dépanneurs,2,1,2,1,9,1,1,1,,,90,,2,2,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,1.014062070316750
5077,448310,Bijouteries,2,2,2,9,3,2,1,1,90,,,,1,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
5081,445120,Dépanneurs,3,3,3,9,9,3,2,3,,,99,,1,3,3,3,2,4,3,4,1,5,,,,,5,1,,,1,3,3,5,5,3,3,2,3,4,9,9,9,90,5,,,,,,1,2,1,1,2,,1.014062070316750
5094,445291,Boulangeries-pâtisseries,2,2,2,2,2,1,2,1,,,,90,1,2,2,4,2,2,2,3,1,6,,,,,6,1,,,1,2,1,1,2,1,2,2,2,3,2,2,2,90,9,,,,,,1,2,4,1,2,,1.014062070316750
5111,448110,Magasins de vêtements pour hommes,3,2,2,9,4,1,1,1,90,,,,2,2,4,4,4,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,1,,1.014062070316750
5136,445120,Dépanneurs,2,1,1,2,3,1,1,2,,,90,,2,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
5150,442210,Magasins de revêtements de sol,3,3,1,9,2,2,2,2,,99,,,1,1,2,2,2,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,1,1,2,,1.014062070316750
5163,448120,Magasins de vêtements pour femmes,4,9,2,9,4,2,1,1,,90,,,2,1,2,2,9,9,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,1.014062070316750
5178,451210,Librairies et marchands de journaux,3,2,3,2,9,2,1,4,90,,,,2,2,2,2,3,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
5232,811430,Réparation de chaussures et de maroquinerie,2,2,3,9,2,4,2,2,,,90,,2,3,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,2,1,9,2,,0.972624747313544
5237,812116,Salons de coiffure mixtes,3,1,1,9,3,2,2,2,,,,90,2,2,2,1,2,2,2,2,1,6,,,,,6,1,,,1,1,1,1,1,1,1,1,1,1,2,2,1,90,9,,,,,,1,2,1,1,2,,1.014062070316750
5243,811210,Réparation et entretien de matériel électronique et de matériel de précision,3,2,4,9,3,3,2,2,90,,,,4,4,4,4,3,3,3,2,1,1,,,,,1,2,,,1,2,2,2,2,2,2,2,2,3,2,2,2,90,4,,,,,,1,1,1,1,1,,1.014062070316750
5277,812115,Salons de beauté,2,2,3,2,9,2,1,2,,99,,,3,9,9,2,3,2,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,1,1,1,,1.014062070316750
5283,812116,Salons de coiffure mixtes,2,2,2,9,3,2,2,9,90,,,,2,2,2,2,2,2,2,2,1,6,,,,,6,1,,,1,2,2,2,2,2,2,2,2,1,2,2,2,90,2,,,,,,1,1,1,1,2,,1.014062070316750
5310,811310,Réparation et entretien de machines et de matériel d'usage commercial et industr,3,1,3,3,4,4,1,1,,,90,,3,1,1,4,4,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
5321,445120,Dépanneurs,9,2,4,2,4,9,2,4,,,90,,2,2,3,4,4,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,1,2,1,1,2,,1.014062070316750
5324,445120,Dépanneurs,3,1,3,9,9,1,2,9,90,,,,3,2,9,4,2,3,3,3,1,11,,,,,11,1,,,2,3,2,3,2,2,3,2,3,3,3,3,3,90,9,,,,,,1,2,1,1,1,,1.014062070316750
5361,812115,Salons de beauté,4,3,2,9,4,3,2,2,,90,,,3,3,2,3,3,3,3,2,1,5,,,,,5,1,,,1,2,2,2,2,2,3,2,2,2,2,2,2,90,9,,,,,,1,2,1,1,1,,1.014062070316750
5365,445291,Boulangeries-pâtisseries,1,3,2,9,2,2,1,2,90,,,,2,2,2,2,3,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,4,1,2,,1.014062070316750
5412,445120,Dépanneurs,2,4,4,9,9,2,2,2,,90,,,4,4,4,4,4,3,4,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,1.014062070316750
5445,445120,Dépanneurs,3,2,2,9,4,1,2,2,,,,90,2,2,3,3,2,3,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,1,1,1,2,,1.014062070316750
5484,445120,Dépanneurs,2,2,2,3,2,3,9,3,,,,90,2,2,2,9,2,2,2,2,1,5,,,,,5,1,,,1,2,2,2,2,2,1,1,1,1,2,2,2,90,6,,,,,,1,1,4,1,1,,1.014062070316750
5492,812116,Salons de coiffure mixtes,3,4,2,2,2,3,1,1,,99,,,3,2,2,3,2,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,90,1,2,,1.014062070316750
5509,448310,Bijouteries,2,1,3,1,2,2,1,1,90,,,,3,1,2,2,2,2,2,2,1,2,,,,,2,1,,,1,1,1,1,1,1,1,1,1,2,2,2,2,90,1,2,3,4,5,6,2,2,1,1,2,,1.014062070316750
5563,811121,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de v",3,2,3,9,4,2,1,9,,,90,,2,3,3,3,3,2,2,3,1,90,,,,,90,1,,,99,1,1,1,1,1,1,1,1,1,1,2,1,90,3,,,,,,2,2,1,1,2,,1.014062070316750
5577,445210,Boucheries,4,1,2,9,4,2,2,4,,,,90,4,3,4,4,4,3,4,4,1,12,,,,,12,1,,,1,4,4,4,4,2,2,4,4,4,4,3,4,90,3,6,,,,,1,1,1,1,2,,1.014062070316750
5635,812114,Salons de coiffure pour hommes,4,2,4,2,2,1,1,3,,,90,,2,2,1,3,2,3,4,3,1,5,,,,,5,1,,,1,1,1,1,1,1,1,1,1,1,1,2,1,90,1,3,4,6,,,1,2,1,1,2,,1.014062070316750
5653,811192,Lave-autos,2,1,2,9,2,9,2,2,,90,,,2,2,3,2,2,2,2,2,1,2,,,,,2,1,,,2,2,1,1,1,1,1,2,2,1,1,2,1,90,5,,,,,,1,2,1,1,1,,1.014062070316750
5657,445120,Dépanneurs,1,1,2,1,2,1,1,1,,,,90,1,1,1,2,1,1,1,1,1,2,,,,,2,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,90,9,,,,,,1,2,1,1,2,,1.014062070316750
5673,811121,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de v",3,4,2,2,2,2,2,2,,,,90,2,2,3,2,2,2,2,3,1,90,6,,,,90,2,,,1,3,1,2,2,2,2,2,2,2,2,2,2,99,6,,,,,,1,1,1,1,9,,1.014062070316750
5714,812910,"Soins pour animaux de maison, sauf les services vétérinaires",3,4,4,3,3,2,2,2,,,,99,3,4,4,3,4,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,1,1,2,,1.014062070316750
5749,811111,Réparations générales de véhicules automobiles,3,3,3,3,4,2,2,4,,,99,,2,2,2,3,2,3,3,4,1,90,,,,,90,2,,,2,1,1,2,1,2,4,4,5,4,4,4,3,99,6,2,,,,,1,1,1,1,1,,1.014062070316750
5774,445120,Dépanneurs,1,4,4,9,4,4,2,3,90,,,,3,3,4,4,4,4,3,3,1,90,,,,,90,2,,,2,3,3,3,4,2,1,2,2,4,4,3,3,90,9,,,,,,1,2,1,1,2,,1.014062070316750
5781,453920,Marchands d'oeuvres d'art,1,2,2,3,3,3,2,9,90,,,,3,3,2,3,3,2,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,1,1,4,1,9,,1.014062070316750
5809,453999,"Tous les autres magasins de détail divers, sauf les magasins de matériel pour la",2,1,2,2,2,9,9,9,,90,,,2,2,9,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,2,1,1,2,,1.014062070316750
5819,445120,Dépanneurs,3,4,3,2,3,4,1,2,90,,,,4,3,2,4,4,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,4,1,2,,1.014062070316750
5830,812116,Salons de coiffure mixtes,2,4,3,2,4,2,2,2,,,90,,3,3,3,4,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,1,1,1,,1.014062070316750
5859,811310,Réparation et entretien de machines et de matériel d'usage commercial et industr,9,3,3,2,2,2,2,9,,90,,,3,2,3,4,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,1,1,2,,1.014062070316750
5913,448191,Magasins de fourrures,2,2,2,2,2,2,1,1,,90,,,1,2,2,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1,1,1,,1.014062070316750
5953,448120,Magasins de vêtements pour femmes,2,2,2,1,3,2,2,2,90,,,,3,2,2,2,2,2,2,2,1,99,,,,,,,,,,,,,,,,,,,,,,90,9,,,,,,1,2,4,1,2,,1.014062070316750
5971,453310,Magasins de marchandises d'occasion,3,3,3,1,4,1,1,9,,,99,,1,2,2,2,9,9,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,2,3,1,2,,1.014062070316750
5976,448210,Magasins de chaussures,4,2,2,9,2,2,2,2,,,99,,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,1,4,1,2,,1.014062070316750
5987,447190,Autres stations-service,2,1,2,9,3,2,1,2,,,90,,4,2,4,2,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,2,,1.014062070316750
5988,445299,Tous les autres magasins d'alimentation spécialisée,1,2,3,9,3,2,1,9,,,99,,1,3,4,3,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,1,,1.014062070316750
5989,445210,Boucheries,2,9,2,9,9,2,2,3,90,,,,2,2,2,9,2,2,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,4,1,1,,1.014062070316750
6002,812116,Salons de coiffure mixtes,2,3,3,2,2,2,2,3,90,,,,3,3,3,3,2,2,2,2,1,90,,,,,90,1,,,1,2,2,2,2,1,1,2,2,1,2,2,2,90,9,,,,,,1,1,1,1,2,,1.014062070316750
6004,812116,Salons de coiffure mixtes,2,2,2,2,2,2,2,2,,,,90,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,1,1,2,,1.014062070316750
6022,453110,Fleuristes,3,2,4,2,4,2,1,4,,,,90,3,3,2,4,1,3,3,3,1,90,,,,,90,1,2,,2,4,2,2,3,3,3,4,2,3,4,4,3,90,6,,,,,,1,2,1,1,2,,1.014062070316750
6025,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",3,1,4,1,1,1,1,1,,,90,,3,3,4,4,4,4,4,2,1,90,,,,,90,1,,,1,4,4,4,3,4,2,2,2,4,4,4,4,90,5,,,,,,1,1,1,1,2,,1.014062070316750
6050,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",2,2,2,3,3,2,2,2,90,,,,2,2,2,2,2,2,2,3,1,90,,,,,90,1,,,1,4,2,2,2,2,5,5,2,2,2,2,3,90,6,,,,,,1,2,1,1,2,,1.014062070316750
6071,812115,Salons de beauté,3,4,3,1,4,2,2,3,,90,,,3,4,4,4,3,3,3,2,1,90,,,,,90,1,4,,99,1,2,2,2,2,3,2,1,1,2,3,2,90,1,,,,,,1,2,1,9,2,,0.972624747313544
6089,453110,Fleuristes,3,9,3,2,2,2,2,2,90,,,,2,4,2,4,4,4,4,3,1,12,,,,,12,1,2,,1,1,2,2,4,1,3,3,2,2,2,4,4,90,9,,,,,,1,2,1,1,2,,1.014062070316750
6123,811121,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de v",3,1,4,9,1,1,1,1,,,99,,2,1,2,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,1,,1.014062070316750
6124,811210,Réparation et entretien de matériel électronique et de matériel de précision,1,1,2,1,1,2,1,1,,90,,,1,2,2,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,1,4,1,1,,1.014062070316750
6130,812115,Salons de beauté,4,4,2,2,2,4,2,2,,90,,,2,2,2,2,2,3,3,2,1,5,1,,,,5,1,,,1,2,2,2,1,1,2,2,2,2,2,2,2,90,9,,,,,,1,2,1,1,1,,1.014062070316750
6134,812116,Salons de coiffure mixtes,3,2,2,9,2,1,2,2,,,,99,2,3,3,2,2,2,2,2,1,90,,,,,90,1,,,1,2,2,2,2,1,5,2,1,1,2,2,2,99,4,,,,,,1,2,1,1,2,,1.014062070316750
6143,451130,Magasins d'articles de couture et de travaux d'aiguille et de tissus à la pièce,2,2,2,9,2,2,2,1,,,,90,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
6199,812114,Salons de coiffure pour hommes,3,4,1,2,2,3,1,1,,90,,,1,1,1,9,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
6203,453310,Magasins de marchandises d'occasion,9,2,4,9,4,1,1,1,90,,,,9,4,1,4,2,2,2,2,1,90,,,,,90,1,,,1,2,2,4,2,2,2,1,2,2,2,3,3,90,3,5,,,,,2,1,1,1,1,,1.014062070316750
6215,812116,Salons de coiffure mixtes,2,2,2,2,2,1,2,2,,90,,,2,2,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
6219,453310,Magasins de marchandises d'occasion,3,2,4,9,3,4,1,3,,,,90,3,2,2,4,3,4,3,9,1,12,,,,,12,2,1,,1,3,1,1,1,1,2,2,2,5,2,2,2,90,9,,,,,,1,2,1,1,2,,1.014062070316750
6237,811111,Réparations générales de véhicules automobiles,2,2,4,1,2,1,1,2,,,,90,2,2,1,3,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,1,,1.014062070316750
6322,812190,Autres services de soins personnels,3,2,3,3,3,2,2,2,,,,99,3,3,3,3,2,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,1,1,2,,1.014062070316750
6340,812115,Salons de beauté,3,9,4,9,2,2,2,2,99,,,,2,2,2,2,9,9,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
6354,453999,"Tous les autres magasins de détail divers, sauf les magasins de matériel pour la",2,2,3,2,2,3,2,3,,,,90,3,3,2,3,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,3,1,2,,1.014062070316750
6390,453220,"Magasins de cadeaux, d'articles de fantaisie et de souvenirs",3,3,3,2,9,2,2,2,,99,,,9,9,3,4,2,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
6394,453999,"Tous les autres magasins de détail divers, sauf les magasins de matériel pour la",2,1,1,3,1,1,1,1,,99,,,1,1,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,4,1,2,,1.014062070316750
6465,445120,Dépanneurs,2,2,2,9,2,1,1,1,,,90,,2,2,2,1,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,2,1,,1,2,4,1,9,,1.014062070316750
6468,811111,Réparations générales de véhicules automobiles,1,1,4,9,4,1,1,1,,90,,,1,1,1,4,2,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,1,,1.014062070316750
6489,445120,Dépanneurs,3,4,4,2,9,2,2,4,90,,,,2,2,4,4,4,2,3,9,1,90,,,,,90,1,,,1,4,5,1,1,1,4,3,3,1,3,4,3,99,9,,,,,,1,2,2,1,2,,1.014062070316750
6515,812190,Autres services de soins personnels,2,4,2,9,4,2,2,2,,90,,,2,2,2,4,3,3,3,1,1,1,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,2,2,1,90,2,3,4,,,,1,2,3,1,1,,1.014062070316750
6544,442110,Magasins de meubles,1,1,1,2,3,3,2,1,,,90,,1,1,1,4,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
6561,811411,Réparation et entretien de matériel de maison et de jardin,2,3,4,9,2,2,2,3,,,90,,3,3,3,3,3,3,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,9,,1.014062070316750
